state,year,district,block,gram_panchayat,ward_no,tier,reservation,caste_reservation,woman_reserved,winner,votes,reservation_raw,script,source_pdf,source_path,source_page
Goa,2017,North Goa,Bardez,Assonora,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,7
Goa,2017,North Goa,Bardez,Assonora,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,7
Goa,2017,North Goa,Bardez,Assonora,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,8
Goa,2017,North Goa,Bardez,Revora,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,9
Goa,2017,North Goa,Bardez,Revora,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,9
Goa,2017,North Goa,Bardez,Revora,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,9
Goa,2017,North Goa,Bardez,Revora,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,9
Goa,2017,North Goa,Bardez,Pirna,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,10
Goa,2017,North Goa,Bardez,Pirna,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,10
Goa,2017,North Goa,Bardez,Pirna,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,10
Goa,2017,North Goa,Bardez,Pirna,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,10
Goa,2017,North Goa,Bardez,Nadora,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,11
Goa,2017,North Goa,Bardez,Nadora,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,11
Goa,2017,North Goa,Bardez,Nadora,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,11
Goa,2017,North Goa,Bardez,Aldona,II,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,11
Goa,2017,North Goa,Bardez,Aldona,III,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,11
Goa,2017,North Goa,Bardez,Aldona,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,12
Goa,2017,North Goa,Bardez,Aldona,X,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,13
Goa,2017,North Goa,Bardez,Pomburpa­,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,13
Goa,2017,North Goa,Bardez,Olaulim,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,13
Goa,2017,North Goa,Bardez,Pomburpa­,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,13
Goa,2017,North Goa,Bardez,Pomburpa­,V,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,14
Goa,2017,North Goa,Bardez,Bastora,I,ward,SC Other than Woman,SC,0,,,SC,latin,bardez.pdf,data/goa/2017/bardez.pdf,14
Goa,2017,North Goa,Bardez,Bastora,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,14
Goa,2017,North Goa,Bardez,Bastora,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,14
Goa,2017,North Goa,Bardez,Bastora,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,15
Goa,2017,North Goa,Bardez,Ucassaim­,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,15
Goa,2017,North Goa,Bardez,Ucassaim­,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,15
Goa,2017,North Goa,Bardez,Ucassaim­,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,16
Goa,2017,North Goa,Bardez,Sirsaim,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,16
Goa,2017,North Goa,Bardez,Sirsaim,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,16
Goa,2017,North Goa,Bardez,Sirsaim,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,17
Goa,2017,North Goa,Bardez,Tivim,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,17
Goa,2017,North Goa,Bardez,Tivim,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,18
Goa,2017,North Goa,Bardez,Tivim,X,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,19
Goa,2017,North Goa,Bardez,Moira,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,19
Goa,2017,North Goa,Bardez,Moira,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,19
Goa,2017,North Goa,Bardez,Moira,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,20
Goa,2017,North Goa,Bardez,Nachinola,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,20
Goa,2017,North Goa,Bardez,Nachinola,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,20
Goa,2017,North Goa,Bardez,Nachinola,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,21
Goa,2017,North Goa,Bardez,Nachinola,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,21
Goa,2017,North Goa,Bardez,Anjuna­Caisua,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,21
Goa,2017,North Goa,Bardez,Anjuna­Caisua,II,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,22
Goa,2017,North Goa,Bardez,Anjuna­Caisua,III,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,22
Goa,2017,North Goa,Bardez,Anjuna­Caisua,X,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,24
Goa,2017,North Goa,Bardez,Verla­Canca,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,24
Goa,2017,North Goa,Bardez,Verla­Canca,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,24
Goa,2017,North Goa,Bardez,Verla­Canca,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,24
Goa,2017,North Goa,Bardez,Verla­Canca,IV,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,24
Goa,2017,North Goa,Bardez,Verla­Canca,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,25
Goa,2017,North Goa,Bardez,Assagao,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,25
Goa,2017,North Goa,Bardez,Assagao,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,26
Goa,2017,North Goa,Bardez,Assagao,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,26
Goa,2017,North Goa,Bardez,Calangute,I,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,27
Goa,2017,North Goa,Bardez,Calangute,II,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,27
Goa,2017,North Goa,Bardez,Calangute,III,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,27
Goa,2017,North Goa,Bardez,Calangute,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,28
Goa,2017,North Goa,Bardez,Calangute,X,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,28
Goa,2017,North Goa,Bardez,Candolim,I,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,29
Goa,2017,North Goa,Bardez,Candolim,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,29
Goa,2017,North Goa,Bardez,Candolim,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,29
Goa,2017,North Goa,Bardez,Candolim,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,29
Goa,2017,North Goa,Bardez,Candolim,X,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,30
Goa,2017,North Goa,Bardez,Arpora­Nagao,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,31
Goa,2017,North Goa,Bardez,Arpora­Nagao,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,31
Goa,2017,North Goa,Bardez,Arpora­Nagao,V,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,31
Goa,2017,North Goa,Bardez,,IV,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,33
Goa,2017,North Goa,Bardez,Saligao,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,34
Goa,2017,North Goa,Bardez,Saligao,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,34
Goa,2017,North Goa,Bardez,Saligao,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,34
Goa,2017,North Goa,Bardez,Saligao,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,34
Goa,2017,North Goa,Bardez,Parra,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,35
Goa,2017,North Goa,Bardez,Parra,VI,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,35
Goa,2017,North Goa,Bardez,,VII,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,36
Goa,2017,North Goa,Bardez,Guirim,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,36
Goa,2017,North Goa,Bardez,Guirim,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,36
Goa,2017,North Goa,Bardez,Guirim,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,36
Goa,2017,North Goa,Bardez,Guirim,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,36
Goa,2017,North Goa,Bardez,Reis­Magos,I,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,37
Goa,2017,North Goa,Bardez,Reis­Magos,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,37
Goa,2017,North Goa,Bardez,Reis­Magos,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,38
Goa,2017,North Goa,Bardez,Reis­Magos,IX,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,38
Goa,2017,North Goa,Bardez,Reis­Magos,X,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,38
Goa,2017,North Goa,Bardez,Pilerne­Marra,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,39
Goa,2017,North Goa,Bardez,Pilerne­Marra,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,39
Goa,2017,North Goa,Bardez,Pilerne­Marra,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,39
Goa,2017,North Goa,Bardez,Pilerne­Marra,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,39
Goa,2017,North Goa,Bardez,Nerul,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,40
Goa,2017,North Goa,Bardez,Nerul,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,40
Goa,2017,North Goa,Bardez,Nerul,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,41
Goa,2017,North Goa,Bardez,Sangolda,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,42
Goa,2017,North Goa,Bardez,Sangolda,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,42
Goa,2017,North Goa,Bardez,Sangolda,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,42
Goa,2017,North Goa,Bardez,Sangolda,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,42
Goa,2017,North Goa,Bardez,Penha­de,II,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,43
Goa,2017,North Goa,Bardez,Penha­de,III,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,43
Goa,2017,North Goa,Bardez,Penha­de,X,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,44
Goa,2017,North Goa,Bardez,Salvador­do­,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,44
Goa,2017,North Goa,Bardez,Mundo,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,44
Goa,2017,North Goa,Bardez,Salvador­do­,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,44
Goa,2017,North Goa,Bardez,Mundo,IV,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,45
Goa,2017,North Goa,Bardez,Salvador­do­,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,45
Goa,2017,North Goa,Bicholim,Latambarcem,I,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,1
Goa,2017,North Goa,Bicholim,Latambarcem,II,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,1
Goa,2017,North Goa,Bicholim,Latambarcem,IV,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,2
Goa,2017,North Goa,Bicholim,Latambarcem,V,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,2
Goa,2017,North Goa,Bicholim,Latambarcem,VI,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,2
Goa,2017,North Goa,Bicholim,Latambarcem,VII,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,2
Goa,2017,North Goa,Bicholim,Latambarcem,VIII,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,2
Goa,2017,North Goa,Bicholim,Latambarcem,IX,ward,SC Other than Woman,SC,0,,,SC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,2
Goa,2017,North Goa,Bicholim,Mulgao,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Mulgao,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Mulgao,III,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Mulgao,IV,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Mulgao,V,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Mulgao,VI,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Mulgao,VII,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Salem,I,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,3
Goa,2017,North Goa,Bicholim,Salem,II,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Salem,IV,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Salem,V,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Salem,VI,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Salem,VII,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Mencurem­,I,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Dhumasem,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Mencurem­,III,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,4
Goa,2017,North Goa,Bicholim,Mencurem­,IV,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Dhumasem,V,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Advalpal,I,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Advalpal,II,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Advalpal,III,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Advalpal,IV,ward,SC Other than Woman,SC,0,,,SC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Advalpal,V,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,I,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,5
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,II,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,6
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,III,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,6
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,IV,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,6
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,VI,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,6
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,VII,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,7
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,VIII,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,7
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,IX,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,7
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,X,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,7
Goa,2017,North Goa,Bicholim,Karapur­Sarvan,XI,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,7
Goa,2017,North Goa,Bicholim,Ona­Maulinguem­,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,8
Goa,2017,North Goa,Bicholim,Ona­Maulinguem­,II,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,8
Goa,2017,North Goa,Bicholim,Ona­Maulinguem­,IV,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,8
Goa,2017,North Goa,Bicholim,Ona­Maulinguem­,V,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,8
Goa,2017,North Goa,Bicholim,Ona­Maulinguem­,VI,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,8
Goa,2017,North Goa,Bicholim,Ona­Maulinguem­,VII,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,9
Goa,2017,North Goa,Bicholim,Cudnem,I,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,9
Goa,2017,North Goa,Bicholim,Cudnem,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,9
Goa,2017,North Goa,Bicholim,Cudnem,IV,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,9
Goa,2017,North Goa,Bicholim,Cudnem,V,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,9
Goa,2017,North Goa,Bicholim,Cudnem,VI,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,10
Goa,2017,North Goa,Bicholim,Cudnem,VII,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,10
Goa,2017,North Goa,Bicholim,Piligao,I,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,10
Goa,2017,North Goa,Bicholim,Piligao,II,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,10
Goa,2017,North Goa,Bicholim,Piligao,III,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,10
Goa,2017,North Goa,Bicholim,Piligao,IV,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,11
Goa,2017,North Goa,Bicholim,Piligao,V,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,11
Goa,2017,North Goa,Bicholim,Piligao,VI,ward,ST Other than Woman,ST,0,,,ST,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,11
Goa,2017,North Goa,Bicholim,Piligao,VII,ward,ST Other than Woman,ST,0,,,ST,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,11
Goa,2017,North Goa,Bicholim,Maem­Vainguinim,I,ward,Woman,NONE,1,,,Women,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,11
Goa,2017,North Goa,Bicholim,Maem­Vainguinim,III,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,12
Goa,2017,North Goa,Bicholim,Maem­Vainguinim,IV,ward,BC Other than Woman,BC,0,,,OBC,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,12
Goa,2017,North Goa,Bicholim,Maem­Vainguinim,VI,ward,Other than Woman,NONE,0,,,General,latin,bicholim.pdf,data/goa/2017/bicholim.pdf,12
