state,year,district,block,gram_panchayat,ward_no,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,votes,reservation_raw,script,source_pdf,source_path,source_page
Goa,2022,South Goa,Quepem,Assolda,VII,gp_ward,ward,BC Woman,BC,1,,,OBC Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,8
Goa,2022,South Goa,Quepem,Avedem- Cotombi- Chaifi,I,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,8
Goa,2022,South Goa,Quepem,Avedem- Cotombi- Chaifi,II,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,8
Goa,2022,South Goa,Quepem,Avedem- Cotombi- Chaifi,III,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,8
Goa,2022,South Goa,Quepem,Avedem- Cotombi- Chaifi,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,9
Goa,2022,South Goa,Quepem,Avedem- Cotombi- Chaifi,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,9
Goa,2022,South Goa,Quepem,Avedem- Cotombi- Chaifi,VI,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,9
Goa,2022,South Goa,Quepem,Avedem- Cotombi- Chaifi,VII,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,10
Goa,2022,South Goa,Quepem,Barcem- Quedem,I,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,10
Goa,2022,South Goa,Quepem,Barcem- Quedem,II,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,10
Goa,2022,South Goa,Quepem,Barcem- Quedem,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,10
Goa,2022,South Goa,Quepem,Barcem- Quedem,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,10
Goa,2022,South Goa,Quepem,Barcem- Quedem,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,10
Goa,2022,South Goa,Quepem,Barcem- Quedem,VI,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Barcem- Quedem,VII,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Barcem- Quedem,VIII,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Barcem- Quedem,IX,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Caurem- Pirla,I,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Caurem- Pirla,II,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Caurem- Pirla,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Caurem- Pirla,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,11
Goa,2022,South Goa,Quepem,Caurem- Pirla,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Caurem- Pirla,VI,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Caurem- Pirla,VII,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Molcornem,I,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Molcornem,II,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Molcornem,III,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Molcornem,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Molcornem,V,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Molcornem,VI,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,12
Goa,2022,South Goa,Quepem,Molcornem,VII,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,13
Goa,2022,South Goa,Quepem,Morpirla,I,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,13
Goa,2022,South Goa,Quepem,Morpirla,II,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,13
Goa,2022,South Goa,Quepem,Morpirla,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,13
Goa,2022,South Goa,Quepem,Morpirla,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,13
Goa,2022,South Goa,Quepem,Morpirla,V,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,13
Goa,2022,South Goa,Quepem,Morpirla,VII,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,14
Goa,2022,South Goa,Quepem,Fatorpa- Quitol,I,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,14
Goa,2022,South Goa,Quepem,Fatorpa- Quitol,II,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,14
Goa,2022,South Goa,Quepem,Fatorpa- Quitol,III,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,14
Goa,2022,South Goa,Quepem,Fatorpa- Quitol,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,14
Goa,2022,South Goa,Quepem,Fatorpa- Quitol,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,15
Goa,2022,South Goa,Quepem,Fatorpa- Quitol,VI,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,15
Goa,2022,South Goa,Quepem,Fatorpa- Quitol,VII,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,15
Goa,2022,South Goa,Quepem,Naqueri Betul,I,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,15
Goa,2022,South Goa,Quepem,Naqueri Betul,II,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,15
Goa,2022,South Goa,Quepem,Naqueri Betul,III,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,15
Goa,2022,South Goa,Quepem,Naqueri Betul,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,15
Goa,2022,South Goa,Quepem,Naqueri Betul,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,16
Goa,2022,South Goa,Quepem,Naqueri Betul,VI,gp_ward,ward,BC Other than Woman,BC,0,,,OBC,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,16
Goa,2022,South Goa,Quepem,Naqueri Betul,VII,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,16
Goa,2022,North Goa,Bicholim,Latambarcem,I,gp_ward,ward,BC Other than Woman,BC,0,,,OBC,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,1
Goa,2022,North Goa,Bicholim,Latambarcem,II,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,1
Goa,2022,North Goa,Bicholim,Latambarcem,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,1
Goa,2022,North Goa,Bicholim,Latambarcem,IV,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,1
Goa,2022,North Goa,Bicholim,Latambarcem,V,gp_ward,ward,SC Other than Woman,SC,0,,,SC,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,1
Goa,2022,North Goa,Bicholim,Latambarcem,VI,gp_ward,ward,BC Woman,BC,1,,,OBC Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,1
Goa,2022,North Goa,Bicholim,Latambarcem,VII,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,1
Goa,2022,North Goa,Bicholim,Latambarcem,VIII,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,2
Goa,2022,North Goa,Bicholim,Latambarcem,IX,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,2
Goa,2022,North Goa,Bicholim,Mulgao,I,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,2
Goa,2022,North Goa,Bicholim,Mulgao,II,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,2
Goa,2022,North Goa,Bicholim,Mulgao,III,gp_ward,ward,SC Other than Woman,SC,0,,,SC,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,2
Goa,2022,North Goa,Bicholim,Mulgao,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,2
Goa,2022,North Goa,Bicholim,Mulgao,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,2
Goa,2022,North Goa,Bicholim,Mulgao,VII,gp_ward,ward,BC Other than Woman,BC,0,,,OBC,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Salem,I,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Salem,II,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Salem,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Salem,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Salem,V,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Salem,VI,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Salem,VII,gp_ward,ward,BC Other than Woman,BC,0,,,OBC,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Mencurem- Dhumasem,I,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,3
Goa,2022,North Goa,Bicholim,Mencurem- Dhumasem,II,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,4
Goa,2022,North Goa,Bicholim,Mencurem- Dhumasem,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,4
Goa,2022,North Goa,Bicholim,Mencurem- Dhumasem,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,4
Goa,2022,North Goa,Bicholim,Mencurem- Dhumasem,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,4
Goa,2022,North Goa,Bicholim,Advalpal,I,gp_ward,ward,BC Other than Woman,BC,0,,,OBC,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,4
Goa,2022,North Goa,Bicholim,Advalpal,II,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,data/goa/2022/list-of-validly-nominated-candidates-Bicholimvp_2022.pdf,4
