S.No,DISTRICT,PANCHAYAT SAMITI,CATEGORY,ELECTED MEMBERS,PARTY,VOTE SECURED,NEAREST RIVAL,PARTY,VOTE SECURED,MARGIN,REMARKS
,,KHANPUR,SC,BAJRANG LAL NAYAK,BJP,10,BANSHI LAL NAYAK,INC,9,1,
,,MANOHAR THANA,GEN,KAILASH CHAND MEENA,INC,12,BAL KRISHAN,BJP,9,3,
,,PIRWA,GEN,RAM KARAN,BJP,11,RAM LAL,INC,10,1,
21,JHUNJHUNU,ALSISAR,SC,MOHAR SINGH,INC,11,DALIP PREMI,BJP,8,3,
,,BUHANA,GEN W,SANTOSH AHLAWAT,IND,17,GULABO,INC,6,11,
,,CHIDAWA,OBC,SUDHA DEVI,INC,13,MOOL CHAND,BJP,6,7,
,,JHUNJHUNU,GEN,SUSHILA DEVI,INC,13,VIMLA BENIWAL,IND,9,4,
,,KHETRI,GEN,GYRASI LAL,INC,17,HAJRI LAL,BJP,11,6,
,,NAVALGARH,OBC,PRATIBHA SINGH,INC,16,ANITA DEVI,IND,7,9,
,,SURAJGARH,GEN,SHER SINGH,INC,14,SUBHASH,BJP,7,7,
,,UDAIPURWATI,GEN W,JOR KANWAR,INC,17,MUNNI,IND,9,8,
22,JODHPUR,BAAP,SC,KIRTA RAM MEGHWAL,BJP,10,HANUTA RAM,INC,6,4,
,,BHOPALGARH,GEN,BADRI RAM JAKHAR,INC,12,BHERA RAM,BJP,11,1,
,,BILARA,OBC,CHAINA RAM,BJP,12,RAM NIWAS,INC,9,3,
,,LUNI,GEN,KESA RAM PATEL,INC,15,BHALARAM PATEL,BJP,10,5,
,,MANDORE,GEN W,KAMLA,INC,,,,,,UNCONTESTED
,,OSIAN,GEN,BHOMA RAM,INC,24,CHANDAN SINGH,IND,19,5,
,,PHALODI,OBC W,SMT.MUNI DEVI,IND,14,SUSHILA DEVI,INC,11,3,
,,SERGARH,GEN,KALYAN SINGH,INC,,,,,,UNCONTESTED
,,BALESAR,SC W,SMT.GEETA DEVI MEGHWAL,INC,,,,,,UNCONTESTED
23,KARUALI,HINDON,GEN W,RAJJU DEVI DANGUR,INC,18,SHREE BAI MEENA,IND,11,7,
,,KARUALI,SC,BABU LAL,INC,,,,,,UNCONTESTED
,,NADOTI,ST,PUKHA RAJ MEENA,INC,9,LHODCHYA,IND,8,1,
,,SAPOTRA,OBC,MAHESH JANGIR,IND,14,SUJAN GUJAR,INC,13,1,
,,TODABHEEM,GEN W,SARUSHI MEENA,INC,,,,,,UNCONTESTED
24,KOTA,KHERABAD,GEN W,SMT.VIDHU BHARGAVA,BJP,15,KANTI BAI,INC,8,7,
,,ITAWA,SC,HEERA LAL ARYA,BJP,12,BABU LAL,,7,5,
,,LADPURA,OBC W,SMT.SANTI BAI,INC,13,SMT. LALITA SWAMI,IND,4,9,
,,SANGOD,GEN,OM PRAKASH SHARMA,INC,11,RAMDEV,BJP,8,3,
,,SULTANPUR,ST,RAMESHWAR MEENA,BJP,12,SMT. RUKMANI MEENA,INC,7,5,
25,NAGAUR,DEGANA,GEN,RAM PAL,BJP,16,KANA RAM,IND,9,7,
,,DIDWANA,GEN,BHOMA RAM,INC,21,SANTOSH,IND,12,9,
,,JAYAL,SC W,MANJU DEVI,INC,,,,,,UNCONTESTED
,,KUCHAMAN CITY,GEN W,BANWARI DEVI,INC,19,"KUNANI, LALITA","CPIM, BJP","6, 6",13,
,,LADANU,OBC,JAGANNATH,INC,11,ANAND PAL SINGH,IND,8,3,
,,MAKRANA,GEN W,SMT. MOHINI,BJP,14,CHOTHI,INC,11,3,
,,MERTA,GEN,RAM AVTAR,BJP,15,JORA RAM,INC,6,9,
,,MUNDWA,GEN,RAJENDRA,INC,,,,,,UNCONTESTED
,,NAGAUR,GEN,UMA RAM,INC,17,BHERA RAM,IND,10,7,
,,PARBATSAR,OBC W,SMT. SARITA DEVI,BJP,11,KANI DEVI,INC,10,1,
,,RIYA,SC,BHANWARA RAM,BJP,12,RAJENDRA,INC,9,3,
26,PALI,BALI,GEN,PUSHPENDRA SINGH,BJP,12,VIKRAM SINGH,INC,11,1,
,,DESURI,GEN W,ASHA KANWAR,INC,8,UMA HADAU,BJP,7,1,
,,JAITRAN,GEN,SHIV NARAYAN SINGH,BJP,,,,,,UNCONTESTED
,,MARWAR JUNCTION,SC W,SMT. GOMTI,BJP,19,SMT. NARBEDA,IND,6,13,
,,PALI,GEN,PRIYAVRATE,INC,10,PUKHRAJ,BJP,5,5,
,,RAIPUR,GEN W,KAMLA DEVI,BJP,12,MAINA,INC,8,4,
,,RANI STATION,GEN,SULTAN SINGH,BJP,6,INDER SINGH,IND,6,,BY LOTTERY
,,ROHAT,SC,DHALA RAM,BJP,8,DUDA RAM,INC,7,1,
,,SOJAT,SC,DEVA RAM,INC,16,OM PRAKASH,BJP,5,11,
,,SUMERPUR,SC,TARA RAM,BJP,10,SARDA,INC,9,1,
27,RAJSAMAND,AMET,SC,MOHAN LAL,BJP,11,AMBA LAL,INC,4,7,
,,BHEEM,GEN W,NERMLA DEVI,INC,,,,,,UNCONTESTED
,,DEOGARH,GEN W,PUSHPA KANWAR,INC,,,,,,UNCONTESTED
,,KHAMNOR,ST,KISHAN LAL,INC,,,,,,UNCONTESTED
,,KUMBHALGARH,,KISHAN LAL GURJAR,INC,10,NATHU LAL GURJAR,BJP,7,3,
,,RAJSAMAND,GEN,RAGHU VEER SINGH RATHORE,IND,10,GUNSAGAR,INC,7,3,
,,RELMAGRA,GEN,ABHAY SINGH RATHORE,BJP,9,BHERU LAL JAT,INC,6,3,
28,S.MADHOPUR,BAMANWAS,ST W,KAMLA MEENA,INC,12,BHURA BAI,BJP,7,5,
,,BOLI,GEN,KAJOD MAL,INC,14,GANPAT LAL,IND,9,5,
,,GANGAPUR CITY,SC,KANHAIYA LAL,BJP,18,SHIV RAM,IND,5,13,
,,KHANDAR,GEN,MITHLESH,INC,10,PRAHLAD,BJP,9,1,
,,S.MADHOPUR,OBC W,MEERA,BJP,15,LILAWATI,INC,9,6,
29,SIKAR,DATARAMGAH,OBC,VERENDRA SINGH,INC,25,HANUMAN,BJP,6,19,
,,DHODH,GEN,BHANROO SINGH,CPI(M),13,HANUMAN,IND,12,1,
,,FATEHPUR,SC,GOG NARAYAN,INC,19,SURESH KUMAR,BJP,4,15,
,,KHANDELA,GEN,SHIV DAYAL PALIWAL,BJP,14,PARVATI,INC,12,2,
,,LAXMANGARH,OBC W,SUDHA DEVI,INC,14,UMA,BJP,6,8,
,,NEEM KA THANA,GEN,KANTA PRASAD,INC,21,"PRABHATI, PRABHU DAYAL","BJP, IND","8, 8",13,
,,PIPRALI,GEN W,SUPYAR KANWAR,BJP,15,SMT. MAHENDER,INC,10,5,
,,SRI MADHOPUR,GEN W,SURJI DEVI,BJP,17,SEDEE DEVI,INC,8,9,
30,SIROHI,ABU ROAD,ST W,GANGA,INC,9,BADLI,BJP,6,3,
,,PINDWARA,GEN W,LEELA,INC,11,SOBHAGAYA KANWAR,BJP,10,1,
,,REODHAR,OBC,CHAGAN LAL,INC,12,KALURAM,BJP,9,3,
,,SHEOGANJ,GEN,DILIP SINGH,INC,11,SURAJ PAL SINGH,BJP,4,7,
,,SIROHI,SC,BHANWAR LAL,BJP,,,,,,UNCONTESTED
31,TONK,DEOLI,ST W,SMT.RAM KURI,BJP,13,SMT. MANJU KUMARI,INC,8,5,
,,MALPURA,GEN,KAMAL KUMAR,BJP,13,RAM DHAN,INC,10,3,
,,NIWAI,SC,JAI RAM,INC,11,DINESH,BJP,10,1,
,,TODARAISINGH,GEN,MADAN JAIN,BJP,11,SHANKAR LAL,INC,4,7,
,,TONK,OBC W,KOSHALYA,INC,13,KAILASHI,BJP,12,1,
