Sr. No.,DISTRICT,MUNICIP ALITY,WARD NO.,WARD CATEG.,NAME,PARTY,ELECTED CANDIDATE (MALE/ FEMALE),"ELECTED CANDIDATE BELONGS WHICH CATEG. WHETHER GEN, SC, ST, OBC"
1222,NAGAUR,MAKRANA,35,GEN,NATHU RAM,IND,MALE,GEN
1223,NAGAUR,MAKRANA,36,GEN,MOHMAD ALI,INC,MALE,GEN
1224,NAGAUR,MAKRANA,37,GENW,SHAHIDAN,INC,FEMALE,GENW
1225,NAGAUR,MAKRANA,38,GENW,ZUBEDA,INC,FEMALE,GENW
1226,NAGAUR,MAKRANA,39,GENW,FEHMEEDA,IND,FEMALE,GENW
1227,NAGAUR,MAKRANA,40,OBC,MOHD. SHEED,IND,MALE,OBC
1228,PALI,PALI,1,GENW,SUMITRA SHARMA,INC,FEMALE,GENW
1229,PALI,PALI,2,GENW,RAJSHREE TRIVEDI,INC,FEMALE,GENW
1230,PALI,PALI,3,GEN,BABU SINGH,BJP,MALE,GEN
1231,PALI,PALI,4,GENW,SANTOSH,BJP,FEMALE,OBCW
1232,PALI,PALI,5,GENW,LAXMI DEVI,BJP,FEMALE,GENW
1233,PALI,PALI,6,GENW,JAMKU DEVI,IND,FEMALE,OBCW
1234,PALI,PALI,7,GEN,JAI SINGH,INC,MALE,GEN
1235,PALI,PALI,8,GEN,MANISH,BJP,MALE,GEN
1236,PALI,PALI,9,GENW,BABALI DEVI,IND,FEMALE,STW
1237,PALI,PALI,10,GEN,TRIBHUWAN SINGH,BJP,MALE,GEN
1238,PALI,PALI,11,GEN,MOTU BHAI @DEVIDAS,INC,MALE,OBC
1239,PALI,PALI,12,SC,DEVPAL,INC,MALE,SC
1240,PALI,PALI,13,GEN,SANDEEP SURANA,BJP,MALE,GEN
1241,PALI,PALI,14,SCW,LEELA,INC,FEMALE,SCW
1242,PALI,PALI,15,GEN,FAKER MOHAMMAD,IND,MALE,OBC
1243,PALI,PALI,16,SCW,KHUME SHRI BORANA,INC,FEMALE,SCW
1244,PALI,PALI,17,OBC,RADHEYSHYAM CHOUHAN,BJP,MALE,OBC
1245,PALI,PALI,18,GENW,SHAMIM,INC,FEMALE,GENW
1246,PALI,PALI,19,GEN,HAKIM,INC,MALE,OBC
1247,PALI,PALI,20,OBC,MEHBOOB,INC,MALE,OBC
1248,PALI,PALI,21,GEN,SURESH CHOUDHARY,BJP,MALE,OBC
1249,PALI,PALI,22,GENW,NAYNA VYAS,BJP,FEMALE,GENW
1250,PALI,PALI,23,GENW,KHATOON BANO,INC,FEMALE,GENW
1251,PALI,PALI,24,OBC,SHYAM SINGH,BJP,MALE,OBC
1252,PALI,PALI,25,GENW,FARIDA BANO,INC,FEMALE,GENW
1253,PALI,PALI,26,OBC,KISHORE KUMAR,BJP,MALE,OBC
1254,PALI,PALI,27,ST,JETHA RAM BHEEL,INC,MALE,ST
1255,PALI,PALI,28,GEN,ABHISHEK,INC,MALE,GEN
1256,PALI,PALI,29,OBCW,TARA KANWAR GEHLOT,BJP,FEMALE,OBCW
1257,PALI,PALI,30,GEN,VINOD KUMAR,INC,MALE,GEN
1258,PALI,PALI,31,GENW,MEENA DEVI,BJP,FEMALE,GENW
1259,PALI,PALI,32,GEN,GHEVAR CHAND,BJP,MALE,GEN
1260,PALI,PALI,33,GEN,RAKESH BHATI,BJP,MALE,OBC
1261,PALI,PALI,34,OBC,DILIP KUMAR OAD,INC,MALE,OBC
1262,PALI,PALI,35,OBCW,KAMLA DEVI URF KAMLA BAI,INC,FEMALE,OBCW
1263,PALI,PALI,36,SC,MOHAN LAL,INC,MALE,SC
1264,PALI,PALI,37,OBCW,RAMI DEVI,INC,FEMALE,OBCW
1265,PALI,PALI,38,GENW,NIRMA DEVI,INC,FEMALE,OBCW
1266,PALI,PALI,39,OBCW,ANAND KANWAR,BJP,FEMALE,OBCW
1267,PALI,PALI,40,GEN,RAMESHWAR PARSAD,INC,MALE,GEN
1268,PALI,PALI,41,GEN,TILOK RAM,BJP,MALE,OBC
1269,PALI,PALI,42,SCW,VIJAY LAXMI,IND,FEMALE,SCW
1270,PALI,PALI,43,GENW,RADHA RAV,IND,FEMALE,OBCW
1271,PALI,PALI,44,SC,GANPAT LAL,BJP,MALE,SC
1272,PALI,PALI,45,GENW,KRISHNA KANWAR,IND,FEMALE,GENW
1273,PALI,SUMERPUR,1,SC,TARARAM,INC,MALE,SC
1274,PALI,SUMERPUR,2,SCW,PUSHPA,BJP,FEMALE,SCW
1275,PALI,SUMERPUR,3,GEN,PRAVEEN KUMAR,INC,MALE,GEN
1276,PALI,SUMERPUR,4,GEN,NARAYANLAL,IND,MALE,OBC
1277,PALI,SUMERPUR,5,GENW,RATAN KUNWAR,INC,FEMALE,GENW
1278,PALI,SUMERPUR,6,ST,CHOUTHI,INC,FEMALE,STW
1279,PALI,SUMERPUR,7,SCW,KANCHAN,INC,FEMALE,SCW
1280,PALI,SUMERPUR,8,GENW,MARUDHAR KANWAR,BJP,FEMALE,GENW
1281,PALI,SUMERPUR,9,GEN,ANWER KHAN,INC,MALE,GEN
1282,PALI,SUMERPUR,10,GENW,PARVATI SUTHAR,BJP,FEMALE,OBCW
1283,PALI,SUMERPUR,11,OBCW,SHARDA,INC,FEMALE,OBCW
1284,PALI,SUMERPUR,12,GENW,RATAN MEHATA,BJP,FEMALE,GENW
1285,PALI,SUMERPUR,13,GENW,ANSHIKANWAR,INC,FEMALE,GENW
1286,PALI,SUMERPUR,14,OBC,OUTARAM,BJP,MALE,OBC
1287,PALI,SUMERPUR,15,GENW,MADINA BAN00,INC,FEMALE,GENW
1288,PALI,SUMERPUR,16,SC,PREMCHAND,BJP,MALE,SC
1289,PALI,SUMERPUR,17,OBCW,KAMALADEVI,BJP,FEMALE,OBCW
1290,PALI,SUMERPUR,18,OBC,JAVANMAL,BJP,MALE,OBC
1291,PALI,SUMERPUR,19,GEN,HEERALAL,IND,MALE,OBC
1292,PALI,SUMERPUR,20,GENW,PARVATIDEVI,BJP,FEMALE,OBCW
1293,PALI,SUMERPUR,21,GEN,PHULARAM,BJP,MALE,OBC
1294,PALI,SUMERPUR,22,GEN,CHATURBHUJ SHARMA,IND,MALE,GEN
1295,PALI,SUMERPUR,23,OBC,GANESHMAL,BJP,MALE,OBC
1296,PALI,SUMERPUR,24,STW,HASTU,INC,FEMALE,STW
1297,PALI,SUMERPUR,25,GEN,NARASARAM,IND,MALE,OBC
1298,RAJSAMAND,AMET,1,SCW,ULLAS DEVI,BJP,FEMALE,SCW
1299,RAJSAMAND,AMET,2,SC,MOHAN LAL,IND,MALE,SC
1300,RAJSAMAND,AMET,3,SC,BHOLI RAM,BJP,MALE,SC
1301,RAJSAMAND,AMET,4,GENW,SMT. GITA DEVI,BJP,FEMALE,OBCW
1302,RAJSAMAND,AMET,5,GEN,BHIKAM CHAND,BJP,MALE,GEN
1303,RAJSAMAND,AMET,6,GENW,SMT. VIMALA DEVI TAILOR,BJP,FEMALE,GENW
1304,RAJSAMAND,AMET,7,GEN,PRAKASH CHAND,INC,MALE,GEN
1305,RAJSAMAND,AMET,8,OBC,RATAN SINGH,BJP,MALE,OBC
1306,RAJSAMAND,AMET,9,GEN,SOHAN LAL,BJP,MALE,OBC
1307,RAJSAMAND,AMET,10,GENW,REKHA,BJP,FEMALE,GENW
1308,RAJSAMAND,AMET,11,GENW,JARINA BAIGAM,BJP,FEMALE,GENW
1309,RAJSAMAND,AMET,12,GENW,SIMA,INC,FEMALE,GENW
1310,RAJSAMAND,AMET,13,OBC,PRADEEP SINGH,INC,MALE,OBC
1311,RAJSAMAND,AMET,14,GEN,GOPAL MALI,BJP,MALE,OBC
1312,RAJSAMAND,AMET,15,OBCW,NARBADA SUTHAR,BJP,FEMALE,OBCW
1313,RAJSAMAND,AMET,16,GEN,RAJENDRA SINGH,INC,MALE,GEN
1314,RAJSAMAND,AMET,17,GEN,DHARMESH,BJP,MALE,GEN
1315,RAJSAMAND,AMET,18,GENW,GITA DEVI BHATI,BJP,FEMALE,GENW
1316,RAJSAMAND,AMET,19,SCW,DAKHI BAI,INC,FEMALE,SCW
1317,RAJSAMAND,AMET,20,OBCW,SANTOSH DEVI,INC,FEMALE,OBCW
1318,RAJSAMAND,NATHDWARA,1,GEN,SURENDRA SINGH,INC,MALE,GEN
1319,RAJSAMAND,NATHDWARA,2,GEN,BHARAT KUMAR,BJP,MALE,GEN
1320,RAJSAMAND,NATHDWARA,3,OBC,VALLABH SINGH,INC,MALE,OBC
1321,RAJSAMAND,NATHDWARA,4,OBC,SHYAM LAL,INC,MALE,OBC
1322,RAJSAMAND,NATHDWARA,5,GENW,USHA DEVI,INC,FEMALE,GENW
1323,RAJSAMAND,NATHDWARA,6,GEN,HAMENT GURJAR,INC,MALE,GEN
1324,RAJSAMAND,NATHDWARA,7,GENW,PUSHPA,INC,FEMALE,GENW
1325,RAJSAMAND,NATHDWARA,8,STW,REKHA MEENA,INC,FEMALE,STW
1326,RAJSAMAND,NATHDWARA,9,GEN,BHUPENDRA,INC,MALE,GEN
1327,RAJSAMAND,NATHDWARA,10,GENW,RUKMANI DEVI,INC,FEMALE,GENW
1328,RAJSAMAND,NATHDWARA,11,SC,SHANTI LAL YADAV,INC,MALE,SC
1329,RAJSAMAND,NATHDWARA,12,GEN,PRESH SONI,BJP,MALE,GEN
1330,RAJSAMAND,NATHDWARA,13,OBCW,MANORAMA,INC,FEMALE,OBCW
1331,RAJSAMAND,NATHDWARA,14,GEN,LALIT PORWAL,INC,MALE,GEN
1332,RAJSAMAND,NATHDWARA,15,GEN,MANISH RATHI,INC,MALE,GEN
1333,RAJSAMAND,NATHDWARA,16,GENW,TARA KANARIA,BJP,FEMALE,GENW
1334,RAJSAMAND,NATHDWARA,17,OBCW,SEEMA SONI,INC,FEMALE,OBCW
1335,RAJSAMAND,NATHDWARA,18,GEN,DINESH CHANDRA GURJAR,INC,MALE,GEN
1336,RAJSAMAND,NATHDWARA,19,GEN,SHRANIK KUMAR JAIN,INC,MALE,GEN
1337,RAJSAMAND,NATHDWARA,20,GENW,KUSUM LATA KUMAWAT,INC,FEMALE,GENW
1338,RAJSAMAND,NATHDWARA,21,ST,MOHAN LAL MINA,INC,MALE,ST
1339,RAJSAMAND,NATHDWARA,22,GENW,RANJNA KUMAWAT,INC,FEMALE,GENW
1340,RAJSAMAND,NATHDWARA,23,GENW,PUSHPA ALIAS MEENA JAIN,INC,FEMALE,GENW
1341,RAJSAMAND,NATHDWARA,24,OBC,SHAMBU LAL MALI,INC,MALE,OBC
1342,RAJSAMAND,NATHDWARA,25,GENW,BHARTI VERMA,INC,FEMALE,GENW
1343,SIKAR,NEEM KA THANA,1,OBC,DAVARKA,INC,MALE,OBC
1344,SIKAR,NEEM KA THANA,2,GENW,SANTOSH DEVI,INC,FEMALE,GENW
1345,SIKAR,NEEM KA THANA,3,GENW,GOMTI DEVI,INC,FEMALE,GENW
1346,SIKAR,NEEM KA THANA,4,GEN,MAHESH,INC,MALE,GEN
1347,SIKAR,NEEM KA THANA,5,ST,GIRDHARI,INC,MALE,ST
1348,SIKAR,NEEM KA THANA,6,GEN,MAHENDAR S/O NETA RAM,INC,MALE,GEN
1349,SIKAR,NEEM KA THANA,7,SC,RAJENDRA KUMAR,INC,MALE,SC
1350,SIKAR,NEEM KA THANA,8,GEN,JAGDISH,INC,MALE,GEN
1351,SIKAR,NEEM KA THANA,9,OBCW,MAMTA,BJP,FEMALE,OBCW
1352,SIKAR,NEEM KA THANA,10,GEN,MAHENDRA SINGH,BJP,MALE,GEN
1353,SIKAR,NEEM KA THANA,11,SC,PRAHALAD RAM,INC,MALE,SC
1354,SIKAR,NEEM KA THANA,12,GENW,MANNI,INC,FEMALE,OBCW
1355,SIKAR,NEEM KA THANA,13,SCW,CHOTI DEVI,IND,FEMALE,SCW
1356,SIKAR,NEEM KA THANA,14,SCW,PRABHATI,INC,FEMALE,SCW
1357,SIKAR,NEEM KA THANA,15,GENW,ARCHANA DEVI,INC,FEMALE,OBCW
1358,SIKAR,NEEM KA THANA,16,GEN,LAV KUMAR,IND,MALE,GEN
1359,SIKAR,NEEM KA THANA,17,OBCW,GEETA,INC,FEMALE,OBCW
1360,SIKAR,NEEM KA THANA,18,GEN,KAMLA DEVI,IND,FEMALE,GENW
1361,SIKAR,NEEM KA THANA,19,OBC,MALI RAM,IND,MALE,OBC
1362,SIKAR,NEEM KA THANA,20,GENW,RAM KALA,IND,FEMALE,GENW
1363,SIKAR,NEEM KA THANA,21,OBC,OM PRAKASH KUMAWAT,IND,MALE,OBC
1364,SIKAR,NEEM KA THANA,22,GENW,KRISHNA DEVI,IND,FEMALE,OBCW
1365,SIKAR,NEEM KA THANA,23,GENW,SUNITA,IND,FEMALE,OBCW
1366,SIKAR,NEEM KA THANA,24,GEN,BANNA RAM,IND,MALE,ST
1367,SIKAR,NEEM KA THANA,25,GEN,PURAN MAL,IND,MALE,GEN
1368,SIKAR,SIKAR,1,OBC,MOHAMMED SHAKIR,INC,MALE,OBC
1369,SIKAR,SIKAR,2,GENW,RUKIYA,INC,FEMALE,GENW
1370,SIKAR,SIKAR,3,GENW,HAWWA,INC,FEMALE,GENW
1371,SIKAR,SIKAR,4,SC,RAMOTAR,BJP,MALE,SC
1372,SIKAR,SIKAR,5,SCW,PARWATI DEVI,INC,FEMALE,SCW
1373,SIKAR,SIKAR,6,GEN,MOHD. SADIQUE,INC,MALE,GEN
1374,SIKAR,SIKAR,7,SC,RAMESH CHAND,IND,MALE,SC
1375,SIKAR,SIKAR,8,GEN,RAJKUMAR,IND,MALE,GEN
1376,SIKAR,SIKAR,9,GEN,VINOD KUMAR SETHI,BJP,MALE,GEN
1377,SIKAR,SIKAR,10,GEN,MOHD. MUSTAQ,INC,MALE,GEN
1378,SIKAR,SIKAR,11,GENW,FARIDA,INC,FEMALE,GENW
1379,SIKAR,SIKAR,12,OBCW,SHAKEELA,INC,FEMALE,OBCW
1380,SIKAR,SIKAR,13,GENW,SHAKEELA,INC,FEMALE,GENW
1381,SIKAR,SIKAR,14,GEN,VIJAY KUMAR,INC,MALE,GEN
1382,SIKAR,SIKAR,15,GENW,KHURSHEEDA BANO,IND,FEMALE,GENW
1383,SIKAR,SIKAR,16,GEN,RAJ KUMAR SHARMA (MISHRA),IND,MALE,GEN
1384,SIKAR,SIKAR,17,OBC,JAGDISH KUMAWAT,BJP,MALE,OBC
1385,SIKAR,SIKAR,18,GENW,PARMESHWARI DEVI,BJP,FEMALE,OBCW
1386,SIKAR,SIKAR,19,OBC,MOHAMMED SALIM,IND,MALE,OBC
1387,SIKAR,SIKAR,20,GEN,MOHD. RAFIQ,INC,MALE,GEN
1388,SIKAR,SIKAR,21,GEN,MAHIPAL MEENA,INC,MALE,ST
1389,SIKAR,SIKAR,22,GEN,SAMPAT SINGH,BJP,MALE,OBC
1390,SIKAR,SIKAR,23,GENW,SUMAN DIXIT,BJP,FEMALE,GENW
1391,SIKAR,SIKAR,24,GENW,SUBEDAULAT,IND,FEMALE,GENW
1392,SIKAR,SIKAR,25,GEN,GOPAL SINGH,BJP,MALE,OBC
1393,SIKAR,SIKAR,26,GEN,BABULAL,BJP,MALE,GEN
1394,SIKAR,SIKAR,27,OBCW,SAMPAT,INC,FEMALE,OBCW
1395,SIKAR,SIKAR,28,GEN,PRAHLAD SAINI,BJP,MALE,OBC
1396,SIKAR,SIKAR,29,OBCW,SAVITRI DEVI,INC,FEMALE,OBCW
1397,SIKAR,SIKAR,30,OBC,FAROOQ,CPI(M),MALE,OBC
1398,SIKAR,SIKAR,31,GENW,TASLIM BANO,INC,FEMALE,OBCW
1399,SIKAR,SIKAR,32,GENW,SONIYA BANO,INC,FEMALE,GENW
1400,SIKAR,SIKAR,33,GENW,KIRAN,INC,FEMALE,GENW
1401,SIKAR,SIKAR,34,GEN,TULSI DEVI,BJP,FEMALE,GENW
1402,SIKAR,SIKAR,35,GEN,JEEVAN KHAN,INC,MALE,OBC
1403,SIKAR,SIKAR,36,GEN,SHIV KUMAR,BJP,MALE,GEN
1404,SIKAR,SIKAR,37,GEN,GIRDHARI LAL,BJP,MALE,OBC
1405,SIKAR,SIKAR,38,GENW,SUSHILA,BJP,FEMALE,OBCW
1406,SIKAR,SIKAR,39,GENW,SAROJ DEVI,INC,FEMALE,OBCW
1407,SIKAR,SIKAR,40,GENW,VIMAL,INC,FEMALE,OBCW
1408,SIKAR,SIKAR,41,GENW,LAXMI DEVI,INC,FEMALE,OBCW
1409,SIKAR,SIKAR,42,GENW,MAYA,INC,FEMALE,GENW
1410,SIKAR,SIKAR,43,SCW,SHARDA DEVI,IND,FEMALE,SCW
1411,SIKAR,SIKAR,44,OBCW,AABIDA BANO,INC,FEMALE,OBCW
1412,SIKAR,SIKAR,45,OBC,MOHD. IMRAN,INC,MALE,OBC
1413,SIROHI,MT ABU,1,GENW,RENU KABRA,INC,FEMALE,GENW
1414,SIROHI,MT ABU,2,SC,RUPESH,IND,MALE,SC
1415,SIROHI,MT ABU,3,GEN,VIKAS,INC,MALE,GEN
1416,SIROHI,MT ABU,4,OBCW,SAROJ CHOUDHARY,INC,FEMALE,OBCW
1417,SIROHI,MT ABU,5,ST,PRAVEEN ALIKA,INC,MALE,ST
1418,SIROHI,MT ABU,6,GEN,DEVI SINGH,INC,MALE,GEN
1419,SIROHI,MT ABU,7,STW,TULSI,INC,FEMALE,STW
1420,SIROHI,MT ABU,8,OBC,DILIP TANK,INC,MALE,OBC
1421,SIROHI,MT ABU,9,STW,LAXMI,INC,FEMALE,STW
1422,SIROHI,MT ABU,10,GENW,PUSHPA,BJP,FEMALE,GENW
1423,SIROHI,MT ABU,11,GENW,NEETU,INC,FEMALE,GENW
1424,SIROHI,MT ABU,12,GEN,BHANWAR SINGH,INC,MALE,GEN
1425,SIROHI,MT ABU,13,GEN,YUSUF KHAN,INC,MALE,GEN
1426,SIROHI,MT ABU,14,ST,HANSRAJ,INC,MALE,ST
1427,SIROHI,MT ABU,15,SCW,SARBATI DEVI,INC,FEMALE,SCW
1428,SIROHI,MT ABU,16,GENW,ANITA,BJP,FEMALE,GENW
1429,SIROHI,MT ABU,17,GENW,NEELAM,INC,FEMALE,OBCW
1430,SIROHI,MT ABU,18,SC,RANJEET,INC,MALE,SC
1431,SIROHI,MT ABU,19,SCW,NEELAM,INC,FEMALE,SCW
1432,SIROHI,MT ABU,20,GEN,NARAYAN SING,INC,MALE,GEN
1433,SIROHI,PINDWARA,1,GEN,RAMESH CHANDRA,IND,MALE,GEN
1434,SIROHI,PINDWARA,2,ST,TARA RAM,BJP,MALE,ST
1435,SIROHI,PINDWARA,3,GENW,GAIRY DEVI,BJP,FEMALE,GENW
1436,SIROHI,PINDWARA,4,OBC,GOPAL RAM,INC,MALE,OBC
1437,SIROHI,PINDWARA,5,GEN,DALPAT SINGH,BJP,MALE,GEN
1438,SIROHI,PINDWARA,6,GEN,RAMESH KUMAR,IND,MALE,GEN
1439,SIROHI,PINDWARA,7,OBCW,SAVITA DEVI,BJP,FEMALE,OBCW
1440,SIROHI,PINDWARA,8,GENW,DHANI DEVI,IND,FEMALE,GENW
1441,SIROHI,PINDWARA,9,GENW,REKHA DEVI,BJP,FEMALE,GENW
1442,SIROHI,PINDWARA,10,OBCW,DIPIKA KANSARA,BJP,FEMALE,OBCW
1443,SIROHI,PINDWARA,11,GEN,BHUPENDRA KUMAR,BJP,MALE,GEN
1444,SIROHI,PINDWARA,12,GEN,PARBAT SINGH,INC,MALE,GEN
1445,SIROHI,PINDWARA,13,OBC,CHAMPAT LAL,BJP,MALE,OBC
1446,SIROHI,PINDWARA,14,GEN,BHERA RAM,BJP,MALE,GEN
1447,SIROHI,PINDWARA,15,SCW,NEETA DEVI BHAND,INC,FEMALE,SCW
1448,SIROHI,PINDWARA,16,GENW,ZEBUN,INC,FEMALE,GENW
1449,SIROHI,PINDWARA,17,SC,HANSA RAM,BJP,MALE,SC
1450,SIROHI,PINDWARA,18,GENW,LEELA DEVI,INC,FEMALE,GENW
1451,SIROHI,PINDWARA,19,SCW,SUPATI DEVI,BJP,FEMALE,SCW
1452,SIROHI,PINDWARA,20,SC,CHAGAN LAL,INC,MALE,SC
1453,SIROHI,SHIVGANJ,1,GEN,ASHOK KUMAR,IND,MALE,OBC
1454,SIROHI,SHIVGANJ,2,GENW,RUPA DEVI,IND,FEMALE,OBCW
1455,SIROHI,SHIVGANJ,3,ST,KAPURA RAM,BJP,MALE,ST
1456,SIROHI,SHIVGANJ,4,GENW,SHANTI DEVI,IND,FEMALE,OBCW
1457,SIROHI,SHIVGANJ,5,GENW,BABITA,INC,FEMALE,GENW
1458,SIROHI,SHIVGANJ,6,GEN,TARA RAM,BJP,MALE,OBC
1459,SIROHI,SHIVGANJ,7,GEN,KISHORE KUMAR,BJP,MALE,OBC
1460,SIROHI,SHIVGANJ,8,GEN,JAGDISH KUMAR,IND,MALE,OBC
1461,SIROHI,SHIVGANJ,9,GEN,LAXMAN LAL,INC,MALE,OBC
1462,SIROHI,SHIVGANJ,10,OBCW,LILA DEVI,INC,FEMALE,OBCW
1463,SIROHI,SHIVGANJ,11,OBC,LAXMAN ARYA,INC,MALE,OBC
1464,SIROHI,SHIVGANJ,12,GENW,SEEMA,BJP,FEMALE,OBCW
1465,SIROHI,SHIVGANJ,13,OBCW,CHHATARU BAI,INC,FEMALE,OBCW
1466,SIROHI,SHIVGANJ,14,GEN,SOHAN LAL,BJP,MALE,OBC
1467,SIROHI,SHIVGANJ,15,SC,HEERA LAL,INC,MALE,SC
1468,SIROHI,SHIVGANJ,16,SCW,NIRMLA DEVI,INC,FEMALE,SCW
1469,SIROHI,SHIVGANJ,17,OBC,MOHD. IRFAN,IND,MALE,OBC
1470,SIROHI,SHIVGANJ,18,GENW,SANGEETA KUNWAR,IND,FEMALE,GENW
1471,SIROHI,SHIVGANJ,19,GENW,RASILA,INC,FEMALE,GENW
1472,SIROHI,SHIVGANJ,20,GEN,RAJENDRA KUMAR,IND,MALE,OBC
1473,SIROHI,SIROHI,1,OBCW,RANU PARIHAR,BJP,FEMALE,OBCW
1474,SIROHI,SIROHI,2,GENW,RAGINI,INC,FEMALE,GENW
1475,SIROHI,SIROHI,3,GEN,JITENDRA AIRAN,INC,MALE,GEN
1476,SIROHI,SIROHI,4,GEN,BHAGWATI VYAS,INC,FEMALE,GENW
1477,SIROHI,SIROHI,5,SCW,PINKI,INC,FEMALE,SCW
1478,SIROHI,SIROHI,6,SC,GOPI LAL,INC,MALE,SC
1479,SIROHI,SIROHI,7,ST,MAGAN LAL,BJP,MALE,ST
1480,SIROHI,SIROHI,8,SC,MOHAN LAL,INC,MALE,SC
1481,SIROHI,SIROHI,9,OBC,SURESH SANGARVANSHI MALI,BJP,MALE,OBC
1482,SIROHI,SIROHI,10,STW,PAVANI,BJP,FEMALE,STW
1483,SIROHI,SIROHI,11,GENW,AMIYA DEVI,BJP,FEMALE,OBCW
1484,SIROHI,SIROHI,12,OBC,PRAKASH,IND,MALE,OBC
1485,SIROHI,SIROHI,13,GENW,JAMNA,BJP,FEMALE,OBCW
1486,SIROHI,SIROHI,14,GENW,SHARMILA,BJP,FEMALE,GENW
1487,SIROHI,SIROHI,15,OBCW,SAJEEDA BANU,INC,FEMALE,OBCW
1488,SIROHI,SIROHI,16,GEN,MANOHARLAL KANSARA,IND,MALE,OBC
1489,SIROHI,SIROHI,17,GEN,DHAVAL,IND,MALE,GEN
1490,SIROHI,SIROHI,18,GEN,JITENDRA KUMAR SINGHI,INC,MALE,GEN
1491,SIROHI,SIROHI,19,OBC,JAGDISH,INC,MALE,OBC
1492,SIROHI,SIROHI,20,GEN,ISHWAR SINGH,INC,MALE,GEN
1493,SIROHI,SIROHI,21,SCW,GANGA,INC,FEMALE,SCW
1494,SIROHI,SIROHI,22,GEN,DHANPAT SINGH RATHOR,BJP,MALE,GEN
1495,SIROHI,SIROHI,23,GENW,DAMYANTI DABI,BJP,FEMALE,GENW
1496,SIROHI,SIROHI,24,GENW,PREETI CHAUHAN,BJP,FEMALE,GENW
1497,SIROHI,SIROHI,25,GENW,MANI,BJP,FEMALE,OBCW
1498,TONK,TONK,1,GENW,NIRMALA,BJP,FEMALE,OBCW
1499,TONK,TONK,2,GENW,BEENA,BJP,FEMALE,OBCW
1500,TONK,TONK,3,GENW,PARBHATI DEVI,INC,FEMALE,OBCW
1501,TONK,TONK,4,GEN,RAJESH,BJP,MALE,GEN
1502,TONK,TONK,5,GEN,RASHID KHAN,IND,MALE,GEN
1503,TONK,TONK,6,GENW,HEMLATA,BJP,FEMALE,GENW
1504,TONK,TONK,7,GEN,HIMMAT SINGH,IND,MALE,GEN
1505,TONK,TONK,8,GEN,DHARMENDRA SINGH,BJP,MALE,GEN
1506,TONK,TONK,9,GEN,LIYAKAT ALI,BJP,MALE,GEN
1507,TONK,TONK,10,GENW,ALIMUNNISA,IND,FEMALE,GENW
1508,TONK,TONK,11,GEN,HAKEEKAT HASAN,INC,MALE,GEN
1509,TONK,TONK,12,OBC,AZIZ,INC,MALE,OBC
1510,TONK,TONK,13,GEN,ABDUL MUJEEB,IND,MALE,GEN
1511,TONK,TONK,14,GEN,SAIDULAHUQ,INC,MALE,GEN
1512,TONK,TONK,15,GEN,RAJEEV KUMAR,BJP,MALE,GEN
1513,TONK,TONK,16,GEN,ABDUL ZAHEER,INC,MALE,OBC
1514,TONK,TONK,17,GENW,ZEBA KHAN,INC,FEMALE,GENW
1515,TONK,TONK,18,OBCW,RADHA DEVI,BJP,FEMALE,OBCW
1516,TONK,TONK,19,GEN,RAM DHAN,BJP,MALE,OBC
1517,TONK,TONK,20,GEN,ANIS AHMED,IND,MALE,OBC
1518,TONK,TONK,21,OBC,MOHD. YASIN,INC,MALE,OBC
1519,TONK,TONK,22,OBCW,SHANU,BJP,FEMALE,OBCW
1520,TONK,TONK,23,SCW,BASANTI,INC,FEMALE,SCW
1521,TONK,TONK,24,OBCW,NOOR BANOO,IND,FEMALE,OBCW
1522,TONK,TONK,25,GENW,WAHIDA RAHAMAN,INC,FEMALE,GENW
1523,TONK,TONK,26,SCW,MAYA MEHRA,INC,FEMALE,SCW
1524,TONK,TONK,27,GENW,SHAHAJAHAN,IND,FEMALE,GENW
1525,TONK,TONK,28,GENW,RAISA BEE,NCP,FEMALE,OBCW
1526,TONK,TONK,29,GENW,KIRAN,BJP,FEMALE,GENW
1527,TONK,TONK,30,SCW,INDRA / MADAN LAL,BJP,FEMALE,SCW
1528,TONK,TONK,31,GENW,SANTOSH DEVI,BJP,FEMALE,GENW
1529,TONK,TONK,32,OBCW,MAIMA DEVI,BJP,FEMALE,OBCW
1530,TONK,TONK,33,SC,KAJOD MAL,BJP,MALE,SC
1531,TONK,TONK,34,SC,GANPAT,BJP,MALE,SC
1532,TONK,TONK,35,GEN,SHABBIR AHMAD,INC,MALE,GEN
1533,TONK,TONK,36,OBC,MOHAMMAD TARIK,INC,MALE,OBC
1534,TONK,TONK,37,GEN,HARI BHAJAN,INC,MALE,GEN
1535,TONK,TONK,38,SC,KAILASH,BJP,MALE,SC
1536,TONK,TONK,39,OBC,NISAR AHAMAD,INC,MALE,OBC
1537,TONK,TONK,40,GENW,SUNITA DEVI,INC,FEMALE,GENW
1538,TONK,TONK,41,GENW,GEETA DEVI,INC,FEMALE,GENW
1539,TONK,TONK,42,OBC,RADHEY SHYAM,BJP,MALE,OBC
1540,TONK,TONK,43,SC,RAM LAL,INC,MALE,SC
1541,TONK,TONK,44,GEN,NASEEM AHMAD ADVOCATE,IND,MALE,GEN
1542,TONK,TONK,45,GENW,GEETA,BJP,FEMALE,GENW
1543,UDAIPUR,KANOD,1,GENW,KANTA KUNWAR SOLANKI,INC,FEMALE,GENW
