SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
5953,JHALAWAR,KHANPUR,T ARAJ,OBC (Woman),TEENA MAROTIYA,OBC (Woman)
5954,JHALAWAR,MANOHARTHANA,ANVALHEDA,General,RAMREKHA,OBC (Woman)
5955,JHALAWAR,MANOHARTHANA,BADBAD,General (Woman),URMILA,OBC (Woman)
5956,JHALAWAR,MANOHARTHANA,BANETH,General (Woman),PINKY KUMARI,OBC (Woman)
5957,JHALAWAR,MANOHARTHANA,BANSKHEDI MEVATIYAN,General (Woman),RAMKANYA BAI,OBC (Woman)
5958,JHALAWAR,MANOHARTHANA,BASKHEDA,General (Woman),INDRA BAI,OBC (Woman)
5959,JHALAWAR,MANOHARTHANA,CHANDIPUR,General,RADHA KISHAN,OBC
5960,JHALAWAR,MANOHARTHANA,CHANDPURA BHILAN,General (Woman),GAYATRI BAI,OBC (Woman)
5961,JHALAWAR,MANOHARTHANA,DANGIPURA,OBC,KISHAN SINGH,OBC
5962,JHALAWAR,MANOHARTHANA,GERBOLIYA,OBC (Woman),GOPI BAI,OBC (Woman)
5963,JHALAWAR,MANOHARTHANA,JAVAR,ST,RAMCHARAN,ST
5964,JHALAWAR,MANOHARTHANA,KAMKHEDA,ST,MURLIDHAR MEENA,ST
5965,JHALAWAR,MANOHARTHANA,KHA T AKHEDI,General (Woman),VASUNDHRA TANWAR,OBC (Woman)
5966,JHALAWAR,MANOHARTHANA,KHERKHEDA,ST,RAMKALYAN,ST
5967,JHALAWAR,MANOHARTHANA,KOLUKHEDI MALIYAN,General,BADRI LAL,OBC
5968,JHALAWAR,MANOHARTHANA,KOLUKHEDIKALA,OBC,MOR SINGH,OBC
5969,JHALAWAR,MANOHARTHANA,MANAPSAR,General,KARAN SINGH,ST
5970,JHALAWAR,MANOHARTHANA,MANOHERTHANA,OBC (Woman),NIKLESH KUMAR,OBC (Woman)
5971,JHALAWAR,MANOHARTHANA,PINDOLA,SC (Woman),VINITA BAI,SC (Woman)
5972,JHALAWAR,MANOHARTHANA,REVANSYA,ST (Woman),SORAM BAI,ST (Woman)
5973,JHALAWAR,MANOHARTHANA,SAMLIHA T,General (Woman),PANCHI BAI,OBC (Woman)
5974,JHALAWAR,MANOHARTHANA,SAMROL,SC,PURSHOTT AM,SC
5975,JHALAWAR,MANOHARTHANA,SERADI,OBC,KALULAL LODHA,OBC
5976,JHALAWAR,MANOHARTHANA,SHORTI,ST (Woman),RINKU BAI,ST (Woman)
5977,JHALAWAR,MANOHARTHANA,THIKDIYA,General,GHANSHYAM,OBC
5978,JHALAWAR,MANOHARTHANA,TODRI JAGNNATH,General (Woman),KANKU BAI,OBC (Woman)
5979,JHALAWAR,MANOHARTHANA,TODRI MEERA,General,RATAN LAL,OBC
5980,JHALAWAR,PIDAWA,BANORE,ST,SHYAM LAL,ST
5981,JHALAWAR,PIDAWA,BOLIA BUJURG,SC (Woman),BISNA BAI,SC (Woman)
5982,JHALAWAR,PIDAWA,CHCHHLA V,General,BHAGWAN SINGH,OBC
5983,JHALAWAR,PIDAWA,DABLA BHOJ,General (Woman),JASU KANWAR,OBC (Woman)
5984,JHALAWAR,PIDAWA,DANTA,General,NAHAR SINGH,OBC
5985,JHALAWAR,PIDAWA,DHABLA KHINCHI,General,BANE SINGH,General
5986,JHALAWAR,PIDAWA,DHRONIYA,General,DINESH CHAND,General
5987,JHALAWAR,PIDAWA,DIVALKHEDA,OBC,RAKESH KUMAR,OBC
5988,JHALAWAR,PIDAWA,DOL A,OBC,BHERU LAL,OBC
5989,JHALAWAR,PIDAWA,DUBLIYA,SC,HEMRAJ KHATEEK,SC
5990,JHALAWAR,PIDAWA,FATEHGARH,General (Woman),DALI BAI,OBC (Woman)
5991,JHALAWAR,PIDAWA,GADIYA,SC,MANGI LAL,SC
5992,JHALAWAR,PIDAWA,GELANI,ST,DINESH KUMAR,ST
5993,JHALAWAR,PIDAWA,GOVINDPURA,General (Woman),VILAM KANWAR,General (Woman)
5994,JHALAWAR,PIDAWA,HEMDA,General (Woman),VARSHA,General (Woman)
5995,JHALAWAR,PIDAWA,HERNAVDA GAJA,OBC (Woman),PARWATI BAI,OBC (Woman)
5996,JHALAWAR,PIDAWA,HIMMA TGARH,SC,SHYAM LAL,SC
5997,JHALAWAR,PIDAWA,KADODIYA,SC,SURESH KUMAR,SC
5998,JHALAWAR,PIDAWA,KALITLAI,OBC,PURI LAL,OBC
5999,JHALAWAR,PIDAWA,KANVADI,General (Woman),AVANTIKA,General (Woman)
6000,JHALAWAR,PIDAWA,KHARP AKALAN,General (Woman),SATESH BAI,General (Woman)
6001,JHALAWAR,PIDAWA,KHERANA,General,SATYANARAYAN,OBC
6002,JHALAWAR,PIDAWA,KOTDI,General (Woman),VISHNU,General (Woman)
6003,JHALAWAR,PIDAWA,MAGISPUR,General,UDIT NARAYAN SINGH,General
6004,JHALAWAR,PIDAWA,MATHANIYA,General (Woman),PAVITRA KUNWAR,General (Woman)
6005,JHALAWAR,PIDAWA,NOLAI,General,BHERU LAL,OBC
6006,JHALAWAR,PIDAWA,ODIYAKHEDI,SC (Woman),POOJA BAI,SC (Woman)
6007,JHALAWAR,PIDAWA,OSAV,General (Woman),MADHU BALA,OBC (Woman)
6008,JHALAWAR,PIDAWA,RAIPUR,General (Woman),HEMKANW AR,General (Woman)
6009,JHALAWAR,PIDAWA,RAMPURIYA,General,PREM SINGH,OBC
6010,JHALAWAR,PIDAWA,REMAYALDALPAT,General,MEHARBAN SINGH,General
6011,JHALAWAR,PIDAWA,SAIMLA,OBC,SHOBARAM GURJAR,OBC
6012,JHALAWAR,PIDAWA,SAIMLI KHAM,OBC,SURESH KUMAR,OBC
6013,JHALAWAR,PIDAWA,SALOTIYA,OBC (Woman),ANITA BAI,OBC (Woman)
6014,JHALAWAR,PIDAWA,SALRIYA,ST (Woman),GOURI MEENA,ST (Woman)
6015,JHALAWAR,PIDAWA,SAMDIYA,General (Woman),GAYATRI BAI,General (Woman)
6016,JHALAWAR,PIDAWA,SANGRIYA,General (Woman),JEEVAN KUNWAR,General (Woman)
6017,JHALAWAR,PIDAWA,SERKHEDI,General (Woman),SAPNA KUNWAR,OBC (Woman)
6018,JHALAWAR,PIDAWA,SHERPUR,SC (Woman),LALTA BAI,SC (Woman)
6019,JHALAWAR,PIDAWA,SIRPOI,General,FATEH SINGH,General
6020,JHALAWAR,PIDAWA,SOYALA,OBC (Woman),MANJU BAI,OBC (Woman)
6021,JHALAWAR,PIDAWA,SUDVAS,SC (Woman),BHAWNA BAGRI,SC (Woman)
6022,JHALAWAR,PIDAWA,SUNAIL,General,RAJESH,OBC
6023,JHALAWAR,PIDAWA,UNHAIL,OBC (Woman),SEEMA BAI DANGI,OBC (Woman)
6024,JHALAWAR,BHAVANI MANDI,AVAR,SC (Woman),SUSHEELA BAI,SC (Woman)
6025,JHALAWAR,BHAVANI MANDI,GURADIYA KALAN,General,GOVIND SINGH,OBC
6026,JHALAWAR,BHAVANI MANDI,KERAVAN,General,NEPAL SINGH,OBC
6027,JHALAWAR,BHAVANI MANDI,KHONKHRIYAKHURG,SC (Woman),RAJA BAI,SC (Woman)
6028,JHALAWAR,BHAVANI MANDI,PAGARIYA,General,DHEERAP SINGH,OBC
6029,JHALAWAR,BHAVANI MANDI,SIHPUR,General,DEVI LAL,General
6030,JHALAWAR,BHAVANI MANDI,SILEHGARH,General (Woman),USHA KUNWAR,General (Woman)
6031,JHALAWAR,BHAVANI MANDI,THIKRIYA,General (Woman),SEEMA KUNWAR,OBC (Woman)
6032,JHALAWAR,BHAVANI MANDI,AANKKHEDI,SC,BHERU LAL MEGHWAL,SC
6033,JHALAWAR,BHAVANI MANDI,ALAVA,General (Woman),GUDDI BAI,OBC (Woman)
6034,JHALAWAR,BHAVANI MANDI,AVLIKALA,OBC (Woman),HASEENA PATIDAR,OBC (Woman)
6035,JHALAWAR,BHAVANI MANDI,BHAISANI,OBC (Woman),KAVITA KUNWAR,OBC (Woman)
6036,JHALAWAR,BHAVANI MANDI,BHILWADA,ST,DWARKI LAL,ST
6037,JHALAWAR,BHAVANI MANDI,GANESHPURA,General (Woman),TEENA ROJHA,OBC (Woman)
6038,JHALAWAR,BHAVANI MANDI,GHATONDA,OBC (Woman),DHAPU BAI,OBC (Woman)
6039,JHALAWAR,BHAVANI MANDI,GUDA,General (Woman),DEWAS BAI,OBC (Woman)
6040,JHALAWAR,BHAVANI MANDI,GURADIYA MANA,General,UMRAO SINGH,OBC
6041,JHALAWAR,BHAVANI MANDI,GURDIYA JOGA,OBC,BHARAT SINGH,OBC
6042,JHALAWAR,BHAVANI MANDI,KUNDIKHEDA,OBC,INDRAPAL SINGH,OBC
6043,JHALAWAR,BHAVANI MANDI,MISHROLI,OBC,JAGMAL SINGH,OBC
6044,JHALAWAR,BHAVANI MANDI,MOGRA,General,NEMICHAND,General
6045,JHALAWAR,BHAVANI MANDI,NAHARGHA TT A,General,LAXMAN SINGH,OBC
6046,JHALAWAR,BHAVANI MANDI,NAYANKHEDA,SC,BAJRANG,SC
6047,JHALAWAR,BHAVANI MANDI,PIPLIYA,General (Woman),SUMITRA,General (Woman)
6048,JHALAWAR,BHAVANI MANDI,SARODH,SC (Woman),SUSHEELA BAI,SC (Woman)
6049,JHALAWAR,BHAVANI MANDI,SHRI CHHATRPURA,General (Woman),SULOCHNA,OBC (Woman)
6050,JHALAWAR,BHAVANI MANDI,SULIYA,SC,SURESH KUMAR,SC
6051,JHALAWAR,AKALERA,AMRITKHEDI,ST,SEEMA KUMARI,ST (Woman)
6052,JHALAWAR,AKALERA,ASALPUR,General (Woman),SUNIT A,OBC (Woman)
6053,JHALAWAR,AKALERA,BAREKHEDI GUJRAN,SC,SANJU BAI,SC (Woman)
6054,JHALAWAR,AKALERA,BASKHEDI LODHAN,General (Woman),RODI BAI,OBC (Woman)
6055,JHALAWAR,AKALERA,BERAGARH,SC,KANWAR LAL,SC
6056,JHALAWAR,AKALERA,BHALTA,SC (Woman),ANITA BAI,SC (Woman)
6057,JHALAWAR,AKALERA,BINDAKHEDA,General,MANOHAR SINGH,OBC
6058,JHALAWAR,AKALERA,BORBAND,General,KANHIRAM,OBC
6059,JHALAWAR,AKALERA,DEVLI,General (Woman),JYOTI KIRAD,OBC (Woman)
6060,JHALAWAR,AKALERA,GAHUKHEDI,General (Woman),MAMTA BAI,OBC (Woman)
6061,JHALAWAR,AKALERA,GHATOLI,General,MANGAL SINGH TANWAR,OBC
6062,JHALAWAR,AKALERA,GOP ALPURA,General (Woman),SHAITAN BAI,OBC (Woman)
6063,JHALAWAR,AKALERA,GULKHEDI,General,RAMESH CHAND,OBC
6064,JHALAWAR,AKALERA,KOHDIJHAR,General,BHANWAR LAL,OBC
6065,JHALAWAR,AKALERA,PACHOLA,ST,TEJRAJ,ST
6066,JHALAWAR,AKALERA,SERDA,General,SHIVDAYAL PARETA,OBC
6067,JHALAWAR,AKALERA,UMRIYA,General (Woman),REKHA BAI,OBC (Woman)
6068,JHALAWAR,AKALERA,AMETHA,ST,RAMESH CHAND,ST
6069,JHALAWAR,AKALERA,CHURALIYA,SC (Woman),ANITA BAI DHOBI,SC
6070,JHALAWAR,AKALERA,DEVI CHANCHAL,General (Woman),SAITAN BAI,General (Woman)
6071,JHALAWAR,AKALERA,DEVLIKALAN,ST,ANITA MEENA,ST
6072,JHALAWAR,AKALERA,KHARPA,ST (Woman),MAMTA BAI,ST
6073,JHALAWAR,AKALERA,LASUDIYA SHAH,General,BHOORI BAI,ST (Woman)
6074,JHALAWAR,AKALERA,LHAS,ST (Woman),KAMLESH MEENA,ST (Woman)
6075,JHALAWAR,AKALERA,METHUN,ST (Woman),SONU,ST
6076,JHALAWAR,AKALERA,MISHROLI,ST (Woman),NIRMLA BAI,ST (Woman)
6077,JHALAWAR,AKALERA,NAYAPURA,General,RAMBILASH MEENA,ST
6078,JHALAWAR,AKALERA,SERKHADINDYA,General,SUJAN SINGH,OBC
6079,JHALAWAR,AKALERA,THADOL,ST,PRAKASH MEENA,ST
6080,JHALAWAR,AKALERA,THNAVAD,OBC,GORDHAN,OBC
6081,JHALAWAR,AKALERA,TURKADIYA,ST (Woman),SANTOSH BAI,ST (Woman)
6082,JHUNJHUNU,ALSISAR,ALSISAR,General (Woman),SHABNUM BANNO,OBC (Woman)
6083,JHUNJHUNU,ALSISAR,BADET,General,DHARM PAL,OBC
6084,JHUNJHUNU,ALSISAR,BAJLA,General,MOOL CHAND,OBC
6085,JHUNJHUNU,ALSISAR,BHEEKHANSAR,General (Woman),SUNIT A,General (Woman)
6086,JHUNJHUNU,ALSISAR,BHUDA KA BAS,General (Woman),LALITA,OBC (Woman)
6087,JHUNJHUNU,ALSISAR,BIRMI,General (Woman),RAJNI,OBC (Woman)
6088,JHUNJHUNU,ALSISAR,CHUREL A,OBC (Woman),SARITA,OBC (Woman)
6089,JHUNJHUNU,ALSISAR,DABRI DHEERSINGH,General,SURENDER SINGH,General
6090,JHUNJHUNU,ALSISAR,DHANURI,General (Woman),SULTANA,OBC (Woman)
6091,JHUNJHUNU,ALSISAR,DHEELSAR,General (Woman),NIRMALA DEVI,OBC
6092,JHUNJHUNU,ALSISAR,DILOI,SC,ROHIT ASH,SC
6093,JHUNJHUNU,ALSISAR,GANGIYASAR,SC,GOPAL RAM,SC
6094,JHUNJHUNU,ALSISAR,GOKHRI,OBC (Woman),MONIKA CHOUDHARY,OBC (Woman)
6095,JHUNJHUNU,ALSISAR,HAMEERI KALAN,OBC,SAROJ,OBC (Woman)
6096,JHUNJHUNU,ALSISAR,HANSASAR,OBC (Woman),ARTI BENIWAL,OBC (Woman)
6097,JHUNJHUNU,ALSISAR,HARIPURA,OBC,DAYA JANGID,OBC (Woman)
6098,JHUNJHUNU,ALSISAR,JABASAR,General (Woman),FARJANA BANO,OBC (Woman)
6099,JHUNJHUNU,ALSISAR,JHATAWA KHURD,General (Woman),POONUM,General (Woman)
6100,JHUNJHUNU,ALSISAR,KAKREU KALAN,ST,AMMI LAL,ST
6101,JHUNJHUNU,ALSISAR,KALIYASAR,General,DAYA SINGH,OBC
6102,JHUNJHUNU,ALSISAR,KANT,General,SURESH KUMAR,OBC
6103,JHUNJHUNU,ALSISAR,KODESAR,General,SURESH BHAMU,OBC
6104,JHUNJHUNU,ALSISAR,KOLINDA,SC (Woman),SUDESH,SC (Woman)
6105,JHUNJHUNU,ALSISAR,LADUSAR,OBC (Woman),FARIYAZ BANU,OBC (Woman)
6106,JHUNJHUNU,ALSISAR,LOONA,General,MAHIP AL,OBC
6107,JHUNJHUNU,ALSISAR,MAHANSAR,SC (Woman),SAVITRI ROLAN,SC (Woman)
6108,JHUNJHUNU,ALSISAR,MALSISAR,General (Woman),BHISMILLAH,OBC (Woman)
6109,JHUNJHUNU,ALSISAR,NIRADHANU,General (Woman),MANISHA,OBC (Woman)
6110,JHUNJHUNU,ALSISAR,PATODA,General,MANOJ KUMAR,OBC
6111,JHUNJHUNU,ALSISAR,PILANI KHURD,OBC,SOHAN LAL,OBC
6112,JHUNJHUNU,ALSISAR,RAMPURA,General (Woman),RINKU KANWAR,General (Woman)
6113,JHUNJHUNU,ALSISAR,SONASAR,SC (Woman),SEEM AKUMARI,SC (Woman)
6114,JHUNJHUNU,ALSISAR,T AMKOR,SC,JAGDEESH PRASAD,SC
6115,JHUNJHUNU,ALSISAR,T ANEE,SC,PANA MEGHWAL,SC (Woman)
6116,JHUNJHUNU,BUHANA,BADBAR,OBC (Woman),MUKESH DEVI,OBC (Woman)
6117,JHUNJHUNU,BUHANA,BHAINSAWAT KHURD,General (Woman),SUNIT A,OBC (Woman)
6118,JHUNJHUNU,BUHANA,BHALOTH,SC (Woman),RENUBALA,SC (Woman)
6119,JHUNJHUNU,BUHANA,BHIRR,OBC (Woman),SUNITA MAAN,OBC (Woman)
6120,JHUNJHUNU,BUHANA,BUHANA,General (Woman),SAKUN DEVI,General (Woman)
6121,JHUNJHUNU,BUHANA,DHADHOT KALAN,General (Woman),USHA,OBC (Woman)
6122,JHUNJHUNU,BUHANA,DHANI BHALOTH,General,GOKHAN,General
6123,JHUNJHUNU,BUHANA,DHOOL W A,General,LAXMAN SINGH,General
6124,JHUNJHUNU,BUHANA,DOOMOLI KALAN,General,MEHARCHAND,OBC
6125,JHUNJHUNU,BUHANA,DOOMOLI KHURD,General,MAHAVEER PRASAD,OBC
6126,JHUNJHUNU,BUHANA,GADA KHERA,General (Woman),MANJU DEVI,OBC (Woman)
6127,JHUNJHUNU,BUHANA,GHARDANA KALAN,General (Woman),ANIT A,OBC (Woman)
6128,JHUNJHUNU,BUHANA,GHARDANA KHURD,General (Woman),SINGARI,OBC (Woman)
6129,JHUNJHUNU,BUHANA,GHASERA,General,ASHOK KUMAR,OBC
6130,JHUNJHUNU,BUHANA,GUJARW AS,General (Woman),SARITA DEVI,OBC (Woman)
6131,JHUNJHUNU,BUHANA,GUNTI,OBC (Woman),MAMTA,OBC (Woman)
6132,JHUNJHUNU,BUHANA,HEERWA,General,RAKESH KUMAR,SC
6133,JHUNJHUNU,BUHANA,JHANJHA,General,MAHIP AL,OBC
6134,JHUNJHUNU,BUHANA,JHARODA,General,RAMKUMAR SINGH,OBC
6135,JHUNJHUNU,BUHANA,KAJLA,General,BAIJURAM,OBC
6136,JHUNJHUNU,BUHANA,KALAKHARI,OBC,BAJRANGLAL,OBC
6137,JHUNJHUNU,BUHANA,KHANDW A,General (Woman),SUNIT A,OBC (Woman)
6138,JHUNJHUNU,BUHANA,KHANPUR,SC,JAGDISH,SC
6139,JHUNJHUNU,BUHANA,KUHARW AS,OBC,KAAMRAJ,OBC
6140,JHUNJHUNU,BUHANA,LAMBI AHEER,SC,HANUMAN PRASAD,SC
6141,JHUNJHUNU,BUHANA,MANKDO,General,SURENDRA KUMAR,OBC
6142,JHUNJHUNU,BUHANA,MOI SADDA,General,BHARAT SINGH,OBC
6143,JHUNJHUNU,BUHANA,MURADPUR,General (Woman),ANJANA,OBC (Woman)
6144,JHUNJHUNU,BUHANA,PACHERI KALAN,OBC (Woman),RITU RANI,OBC (Woman)
6145,JHUNJHUNU,BUHANA,PACHERI KHURD,OBC,JASWANT SINGH,OBC
6146,JHUNJHUNU,BUHANA,P ANTHROLI,SC (Woman),SUMITRA,SC (Woman)
6147,JHUNJHUNU,BUHANA,PUHANIYA,General,MALARAM,OBC
6148,JHUNJHUNU,BUHANA,RAIPUR AHEERAN,General (Woman),LALITA,OBC (Woman)
6149,JHUNJHUNU,BUHANA,SANTOR,SC,SARDARARAM,SC
6150,JHUNJHUNU,BUHANA,SANWLOD,OBC,SAGARMAL,OBC
6151,JHUNJHUNU,BUHANA,SHAHPURA,General (Woman),SAJANA DEVI,OBC (Woman)
6152,JHUNJHUNU,BUHANA,SHYAMPURA MANAN,SC,KRISHAN KUMAR,SC
6153,JHUNJHUNU,BUHANA,SINGHANA,SC (Woman),KALP ANA,SC (Woman)
6154,JHUNJHUNU,BUHANA,SOHLI,OBC,OMPRAKASH,OBC
6155,JHUNJHUNU,BUHANA,SULTANA AHEERAN,General,KRISHAN KUMAR,OBC
6156,JHUNJHUNU,BUHANA,THALI,General (Woman),RACHANA DEVI,OBC (Woman)
6157,JHUNJHUNU,BUHANA,UDAMANDI,General (Woman),RAJBALA,OBC (Woman)
6158,JHUNJHUNU,BUHANA,DHANA,SC (Woman),SAVITA,SC (Woman)
6159,JHUNJHUNU,CHIRAWA,ALIPUR,General (Woman),MANJU,OBC (Woman)
6160,JHUNJHUNU,CHIRAWA,ARDAWATA,General,SUNIL KUMAR,OBC
6161,JHUNJHUNU,CHIRAWA,BADANGARH,General (Woman),SHIVA KANWAR,General (Woman)
6162,JHUNJHUNU,CHIRAWA,BAJAWA,General (Woman),KAVITA,OBC (Woman)
6163,JHUNJHUNU,CHIRAWA,BAKHTAWARPURA,OBC (Woman),SARASW A TI,OBC (Woman)
6164,JHUNJHUNU,CHIRAWA,BHAMARW ASI,General,SUBHASH,OBC
6165,JHUNJHUNU,CHIRAWA,BHUKANA,General (Woman),SUBHIT A,OBC (Woman)
6166,JHUNJHUNU,CHIRAWA,BUDANIYA,OBC,SANTOSH DEVI,OBC (Woman)
6167,JHUNJHUNU,CHIRAWA,CHANANA,General,GURUDAYAL,OBC
6168,JHUNJHUNU,CHIRAWA,DHATARWALA,General,KAUSHLAYA,OBC (Woman)
6169,JHUNJHUNU,CHIRAWA,GIDANIYA,General (Woman),MEENA,OBC (Woman)
6170,JHUNJHUNU,CHIRAWA,GOWLA,General,MANIRAM,OBC
6171,JHUNJHUNU,CHIRAWA,KEHARPURA KALAN,OBC,PRADEEP KUMAR,OBC
6172,JHUNJHUNU,CHIRAWA,KHUDANA,General (Woman),SAROJ,OBC (Woman)
6173,JHUNJHUNU,CHIRAWA,KISHORPURA,General,RAMNIW AS,OBC
6174,JHUNJHUNU,CHIRAWA,KITHANA,SC (Woman),MAMTA,SC (Woman)
6175,JHUNJHUNU,CHIRAWA,LAMBA,General (Woman),PREM KANWAR,General (Woman)
6176,JHUNJHUNU,CHIRAWA,LAMBA GOTHRI,ST,RANVEER SINGH MEENA,ST
6177,JHUNJHUNU,CHIRAWA,MANDRELA,SC,RAJKUMAR,SC
6178,JHUNJHUNU,CHIRAWA,NARHAR,General,SUNITA SWAMI,OBC (Woman)
6179,JHUNJHUNU,CHIRAWA,NARI,OBC,NARENDRA SINGH,OBC
6180,JHUNJHUNU,CHIRAWA,NOONIYA GOTHARA,SC,RAMESH,SC
6181,JHUNJHUNU,CHIRAWA,OJTU,General,SHISHRAM DANGI,OBC
6182,JHUNJHUNU,CHIRAWA,SARI,SC (Woman),ARJOO TANDAN,SC
6183,JHUNJHUNU,CHIRAWA,SHYOPURA BAS GODARA,General,NITIRAJ,General
6184,JHUNJHUNU,CHIRAWA,SOLANA,SC,DEEP AK,SC
6185,JHUNJHUNU,CHIRAWA,SULTANA,OBC (Woman),REKHA SAINI,OBC (Woman)
6186,JHUNJHUNU,CHIRAWA,TIGIYAS,General (Woman),RESHMI,OBC (Woman)
6187,JHUNJHUNU,JHUNJHUNU,BHADUNDA KALAN,General (Woman),SAROJ DEVI,OBC (Woman)
6188,JHUNJHUNU,JHUNJHUNU,PUROHITON KI DHANI,General,JAIRAM SINGH,OBC
6189,JHUNJHUNU,JHUNJHUNU,ABUSAR,General,RANVEER SINGH,OBC
6190,JHUNJHUNU,JHUNJHUNU,AJARI KALAN,OBC (Woman),OMPATI,OBC (Woman)
6191,JHUNJHUNU,JHUNJHUNU,AJEETGARH,General,ASHOK SINGH,General
6192,JHUNJHUNU,JHUNJHUNU,BAKARA,General (Woman),BABITA,OBC (Woman)
6193,JHUNJHUNU,JHUNJHUNU,BAS NANAG,General (Woman),KAMLESH,OBC (Woman)
6194,JHUNJHUNU,JHUNJHUNU,BEEBASAR,OBC (Woman),ANITA W/O SUDHESH,OBC (Woman)
6195,JHUNJHUNU,JHUNJHUNU,BHADARW AS,General,SURESH KUMAR,OBC
6196,JHUNJHUNU,JHUNJHUNU,BHARODA KHURD,General (Woman),SEEMA,OBC (Woman)
6197,JHUNJHUNU,JHUNJHUNU,BHAROO,SC (Woman),SEEMA DEVI,SC (Woman)
6198,JHUNJHUNU,JHUNJHUNU,BHEEMSAR,General (Woman),NEERU,General (Woman)
6199,JHUNJHUNU,JHUNJHUNU,BHOJASAR,General (Woman),BABITA,OBC (Woman)
6200,JHUNJHUNU,JHUNJHUNU,BISHANPURA,General (Woman),MINAKSHI,OBC (Woman)
6201,JHUNJHUNU,JHUNJHUNU,BUDANA,SC,VIJENDRA KUMAR,SC
6202,JHUNJHUNU,JHUNJHUNU,CHURI CHATARPURA,General,GIRVAR SINGH,General
6203,JHUNJHUNU,JHUNJHUNU,DERWALA,General (Woman),REKHA DEVI,OBC (Woman)
6204,JHUNJHUNU,JHUNJHUNU,HANUMANPURA,OBC (Woman),KAMLESH KUMARI,OBC (Woman)
6205,JHUNJHUNU,JHUNJHUNU,INDALI,SC,PREM SINGH,SC
6206,JHUNJHUNU,JHUNJHUNU,ISLAMPUR,General,ASHA RAM,SC
6207,JHUNJHUNU,JHUNJHUNU,JAI PAHARI,SC,VIDYADHAR,SC
6208,JHUNJHUNU,JHUNJHUNU,KASIMPURA,General,MADAN LAL SAINI,OBC
6209,JHUNJHUNU,JHUNJHUNU,KHAJPUR NAYA,SC,RAJESH KUMAR,SC
6210,JHUNJHUNU,JHUNJHUNU,KUHAROO,OBC,KAMAL KISHOR,OBC
6211,JHUNJHUNU,JHUNJHUNU,KULOD KALAN,General,ARJUN SINGH,OBC
6212,JHUNJHUNU,JHUNJHUNU,LALPUR,OBC,GIRDHARI LAL SWAMI,OBC
6213,JHUNJHUNU,JHUNJHUNU,MAHRADASI,General,SAJJAN SINGH,OBC
6214,JHUNJHUNU,JHUNJHUNU,MAKHAR,SC (Woman),BANTESH DEVI,SC (Woman)
6215,JHUNJHUNU,JHUNJHUNU,NAYASAR,General,ROSHAN LAL,OBC
6216,JHUNJHUNU,JHUNJHUNU,NOOAN,SC (Woman),POONAM,SC (Woman)
6217,JHUNJHUNU,JHUNJHUNU,PATUSARI,OBC,AJAY KUMAR,OBC
6218,JHUNJHUNU,JHUNJHUNU,PRA T APPURA,General (Woman),ANAR DEVI,OBC (Woman)
6219,JHUNJHUNU,JHUNJHUNU,SEEGRA,ST,SHIVLAL,ST
6220,JHUNJHUNU,JHUNJHUNU,SHEKHSAR,General,HARIRAM,SC
6221,JHUNJHUNU,JHUNJHUNU,SIRIYASAR KALAN,OBC,RAMPYARI,OBC
6222,JHUNJHUNU,JHUNJHUNU,UDAWAS,SC (Woman),SUSHIL A,SC (Woman)
6223,JHUNJHUNU,JHUNJHUNU,W AHIDPURA,General (Woman),USHA DEVI,General (Woman)
6224,JHUNJHUNU,KHETRI,BABAI,General,FULA RAM,OBC
6225,JHUNJHUNU,KHETRI,BARAU,General (Woman),USHA KANWAR,General (Woman)
6226,JHUNJHUNU,KHETRI,BASAI,OBC,MONU CHHAWA,OBC (Woman)
6227,JHUNJHUNU,KHETRI,BEELWA,General,HARI RAM,OBC
6228,JHUNJHUNU,KHETRI,CHARAWAS,SC (Woman),SUNIT A,SC (Woman)
6229,JHUNJHUNU,KHETRI,DADA FATEHPURA,General (Woman),PINKI SILOLIYA,SC (Woman)
6230,JHUNJHUNU,KHETRI,DALELPURA,OBC,RAMA VT AR,OBC
6231,JHUNJHUNU,KHETRI,DOODHWA NANGLIYA,OBC,SATYAVEER SINGH,OBC
6232,JHUNJHUNU,KHETRI,GADRATA,General (Woman),SUNITA DEVI,OBC (Woman)
6233,JHUNJHUNU,KHETRI,GORIR,General,RAJVEER,OBC
6234,JHUNJHUNU,KHETRI,GOTHRA,OBC (Woman),MAMTA DEVI,OBC (Woman)
6235,JHUNJHUNU,KHETRI,HARDIYA,OBC (Woman),SUMAN,OBC (Woman)
6236,JHUNJHUNU,KHETRI,JASRAPUR,General,JA YPRAKASH,General
6237,JHUNJHUNU,KHETRI,KALOT A,ST,MANJU DEVI,ST (Woman)
6238,JHUNJHUNU,KHETRI,KANKARIYA,OBC (Woman),VIMALA,OBC (Woman)
6239,JHUNJHUNU,KHETRI,KHARKHARA,General,RAJESH DHEDHAD,OBC
6240,JHUNJHUNU,KHETRI,LOYAL,General,MANROOP,OBC
6241,JHUNJHUNU,KHETRI,MADHOGARH,General,SARDAR SINGH,OBC
6242,JHUNJHUNU,KHETRI,MANDRI,General,GADA RAM,OBC
6243,JHUNJHUNU,KHETRI,MANOTA (JATAN),General,NARENDRA SINGH SHEKHAWAT,General
