sr_no,district,municipal_board_council_corp,name,ward_no,elected_member_name,elected_member_educ
316,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,1,ANIL KUMAR KHANT,6th
317,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,2,MAN SINGH RATHOD,6th
318,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,3,DILIP KUMAR PARMAR,10th
319,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,4,ANWAR AHMED,GRADUATE
320,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,5,PRAFULL JAIN,GRADUATE
321,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,6,MAMTA RATHOD,10th
322,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,7,RUBINA BEE,10th
323,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,8,KISHOR KUMAR,12th
324,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,9,HANTOK CHARPOTA,10th
325,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,10,RAJESH TAILOR,12th
326,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,11,PINAL DARJI,10th
327,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,12,KHALID MOHAMMED,8th
328,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,13,JAVED SHAH,9th
329,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,14,PUNIT DAVE,9th
330,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,15,HIMANSHU MEHTA,POST GRADUATION
331,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,16,DILIP KUMAR KOTIA,12th
332,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,17,LALIT KUMAR KAMAL,POST GRADUATION
333,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,18,LALITA DINDOR,6th
334,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,19,REKHA DABGAR,8th
335,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,20,KAMLESH KUMAR MEENA,GRADUATE
336,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,21,GOVIND BHAGORA,GRADUATE
337,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,22,PRATIBHA PANDYA,LITERATE
338,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,23,NAINA KALAL,8th
339,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,24,NILESH SONI,12th
340,BANSW ARA,NAGAR PALIKA,PARTAPUR GARHI,25,GARISHMA DAMOR,GRADUATE
341,BARAN,BARAN,CHHABRA,1,NA VEEN KUMAR,GRADUATE
342,BARAN,BARAN,CHHABRA,2,ARADHANA,POST GRADUATION
343,BARAN,BARAN,CHHABRA,3,ROHIT ARORA,GRADUATE
344,BARAN,BARAN,CHHABRA,4,MUKESH PANCHAL,GRADUATE
345,BARAN,BARAN,CHHABRA,5,MONIKA SHARMA,8th
346,BARAN,BARAN,CHHABRA,6,SATYANARAYAN,10th
347,BARAN,BARAN,CHHABRA,7,CHARU,GRADUATE
348,BARAN,BARAN,CHHABRA,8,KAILASH CHAND JAIN,10th
349,BARAN,BARAN,CHHABRA,9,KAMAL SINGH,GRADUATE
350,BARAN,BARAN,CHHABRA,10,RAJESH,12th
351,BARAN,BARAN,CHHABRA,11,HANS KUNWAR,8th
352,BARAN,BARAN,CHHABRA,12,RAJNI,GRADUATE
353,BARAN,BARAN,CHHABRA,13,RAJ MOHAMMAD,12th
354,BARAN,BARAN,CHHABRA,14,KAPIL,12th
355,BARAN,BARAN,CHHABRA,15,SALMAN KHAN,PRIMARY
356,BARAN,BARAN,CHHABRA,16,MAMTA SONI,PRIMARY
357,BARAN,BARAN,CHHABRA,17,GOVIND KUMAR KOLI,8th
358,BARAN,BARAN,CHHABRA,18,NAVEEN UPADHYAY,10th
359,BARAN,BARAN,CHHABRA,19,HITESH SONI,12th
360,BARAN,BARAN,CHHABRA,20,VIPIN KUMAR,10th
361,BARAN,BARAN,CHHABRA,21,MAMTA,PRIMARY
362,BARAN,BARAN,CHHABRA,22,MOH. KHALID KHAN,GRADUATE
363,BARAN,BARAN,CHHABRA,23,ADIL HUSSAIN,GRADUATE
364,BARAN,BARAN,CHHABRA,24,BHAGWAN LAL,PRIMARY
365,BARAN,BARAN,CHHABRA,25,ABRAR AHMAD,10th
366,BARAN,BARAN,CHHABRA,26,SANJIDA,LITERATE
367,BARAN,BARAN,CHHABRA,27,JARINA BEGAM,PRIMARY
368,BARAN,BARAN,CHHABRA,28,NISHA,10th
369,BARAN,BARAN,CHHABRA,29,HASSAN KHAN,POST GRADUATION
370,BARAN,BARAN,CHHABRA,30,SHAKIR KHAN,POST GRADUATION
371,BARAN,BARAN,CHHABRA,31,BITHTHAL DAS GUPTA,10th
372,BARAN,BARAN,CHHABRA,32,CHAMELI BAI,PRIMARY
373,BARAN,BARAN,CHHABRA,33,MOH. UMAR KHAN,POST GRADUATION
374,BARAN,BARAN,CHHABRA,34,SALMA,PRIMARY
375,BARAN,BARAN,CHHABRA,35,MAN MOHAN,10th
376,BARAN,BARAN,MANGROL,1,KOUSAL KISHOR,POST GRADUATION
377,BARAN,BARAN,MANGROL,2,MAMTA BAI,8TH
378,BARAN,BARAN,MANGROL,3,ANKITA,LITERATE
379,BARAN,BARAN,MANGROL,4,SEEMA,LITERATE
380,BARAN,BARAN,MANGROL,5,HEMANT KUMAR,POST GRADUATION
381,BARAN,BARAN,MANGROL,6,ASHGAR ALI,10th
382,BARAN,BARAN,MANGROL,7,AKHTAR HUSSAIN,POST GRADUATION
383,BARAN,BARAN,MANGROL,8,MOHMMAD ASHFHAQ,8TH
384,BARAN,BARAN,MANGROL,9,ABDUL SALIM,LITERATE
385,BARAN,BARAN,MANGROL,10,MUKESH,8TH
386,BARAN,BARAN,MANGROL,11,NIRMLA BAI,8TH
387,BARAN,BARAN,MANGROL,12,EASAN ALI,LITERATE
388,BARAN,BARAN,MANGROL,13,MOHMMAD ASHFHAQ,LITERATE
389,BARAN,BARAN,MANGROL,14,KOUSAR PARVEEN,POST GRADUATION
390,BARAN,BARAN,MANGROL,15,NAJRANA PARVEEN,LITERATE
391,BARAN,BARAN,MANGROL,16,ASHGAR ALI,10th
392,BARAN,BARAN,MANGROL,17,JAVED,POST GRADUATION
393,BARAN,BARAN,MANGROL,18,MOHMMAD RIJWAN,POST GRADUATION
394,BARAN,BARAN,MANGROL,19,MOHMMAD IMRAN,10th
395,BARAN,BARAN,MANGROL,20,BHARAT CHORASIYA,GRADUATE
396,BARAN,BARAN,MANGROL,21,SHAHISTA BAGAM,LITERATE
397,BARAN,BARAN,MANGROL,22,PARMOOD KUMAR,10th
398,BARAN,BARAN,MANGROL,23,PRAHLAD SINGH,GRADUATE
399,BARAN,BARAN,MANGROL,24,OMPARKASH,GRADUATE
400,BARAN,BARAN,MANGROL,25,DHARMENDRA KUMAR,POST GRADUATION
401,BARAN,BARAN,MANGROL,26,LAXMI BAI,LITERATE
402,BARAN,BARAN,MANGROL,27,GAJANAND,8TH
403,BARAN,BARAN,MANGROL,28,MAHAVEER PARSAD,10th
404,BARAN,BARAN,MANGROL,29,SANTOSH BAI,LITERATE
405,BARAN,BARAN,MANGROL,30,JAIPARKASH,10th
406,BARAN,BARAN,MANGROL,31,SAGUFTA PARVEEN,LITERATE
407,BARAN,BARAN,MANGROL,32,PREM SINGH,GRADUATE
408,BARAN,BARAN,MANGROL,33,KOSHALYA BAI,LITERATE
409,BARAN,BARAN,MANGROL,34,CHANDA BAI,LITERATE
410,BARAN,BARAN,MANGROL,35,KAMAL SHANKAR,12th
411,BARMER,NAGAR PARISHAD,BARMER,1,SURTAN SINGH,POST GRADUATION
412,BARMER,NAGAR PARISHAD,BARMER,2,KHETPURI,12th
413,BARMER,NAGAR PARISHAD,BARMER,3,RAMI DEVI,LITERATE
414,BARMER,NAGAR PARISHAD,BARMER,4,LAXMAN,10th
415,BARMER,NAGAR PARISHAD,BARMER,5,SAMPATRAJ,LITERATE
416,BARMER,NAGAR PARISHAD,BARMER,6,KAILASH CHAND,10th
417,BARMER,NAGAR PARISHAD,BARMER,7,KAILASH,6th
418,BARMER,NAGAR PARISHAD,BARMER,8,DILIP,12th
419,BARMER,NAGAR PARISHAD,BARMER,9,DINESH KUMAR,LITERATE
420,BARMER,NAGAR PARISHAD,BARMER,10,HARISH,B.COM LLB
421,BARMER,NAGAR PARISHAD,BARMER,11,MANJU,LITERATE
422,BARMER,NAGAR PARISHAD,BARMER,12,MAHA VEER CHAND,POST GRADUATION
423,BARMER,NAGAR PARISHAD,BARMER,13,MEENA DEVI,LITERATE
424,BARMER,NAGAR PARISHAD,BARMER,14,SAROJ,LITERATE
425,BARMER,NAGAR PARISHAD,BARMER,15,DAMARAM,10th
426,BARMER,NAGAR PARISHAD,BARMER,16,USHA KUMARI,LITERATE
427,BARMER,NAGAR PARISHAD,BARMER,17,BHURI,LITERATE
428,BARMER,NAGAR PARISHAD,BARMER,18,MISHRIMAL,LITERATE
429,BARMER,NAGAR PARISHAD,BARMER,19,KESHI DEVI,LITERATE
430,BARMER,NAGAR PARISHAD,BARMER,20,DARIYA,BA B.ED
431,BARMER,NAGAR PARISHAD,BARMER,21,KISHANLAL,LITERATE
432,BARMER,NAGAR PARISHAD,BARMER,22,BHIMRAJ,8th
433,BARMER,NAGAR PARISHAD,BARMER,23,CHHAGANLAL,GRADUATE
434,BARMER,NAGAR PARISHAD,BARMER,24,BANKA RAM,B.A B.ED
435,BARMER,NAGAR PARISHAD,BARMER,25,PABSINGH,LITERATE
436,BARMER,NAGAR PARISHAD,BARMER,26,LAXMAN SIYAG,GRADUATE
437,BARMER,NAGAR PARISHAD,BARMER,27,SOHANLAL,12th
438,BARMER,NAGAR PARISHAD,BARMER,28,SUNIL SINGHVI,B.COM LLB
439,BARMER,NAGAR PARISHAD,BARMER,29,RAJU,LITERATE
440,BARMER,NAGAR PARISHAD,BARMER,30,MAGRAJ,LITERATE
441,BARMER,NAGAR PARISHAD,BARMER,31,PANKAJ,10th
442,BARMER,NAGAR PARISHAD,BARMER,32,YASODA,LITERATE
443,BARMER,NAGAR PARISHAD,BARMER,33,LAXMI KANWAR,12th
444,BARMER,NAGAR PARISHAD,BARMER,34,ANURADHA DHARU,POST GRADUATION
445,BARMER,NAGAR PARISHAD,BARMER,35,PRA THVIRAJ,POST GRADUATION
446,BARMER,NAGAR PARISHAD,BARMER,36,PRAKASH KANW AR,10th
447,BARMER,NAGAR PARISHAD,BARMER,37,GOVIND,GRADUATE
448,BARMER,NAGAR PARISHAD,BARMER,38,LEELA SONI,B.A B.ED
449,BARMER,NAGAR PARISHAD,BARMER,39,PREETAM DAS,10th
450,BARMER,NAGAR PARISHAD,BARMER,40,RAJEEV KUMAR,8th
451,BARMER,NAGAR PARISHAD,BARMER,41,NARENDRA KUMAR,12th
452,BARMER,NAGAR PARISHAD,BARMER,42,SIKENDRA,LITERATE
453,BARMER,NAGAR PARISHAD,BARMER,43,RUSTAM KHAN,LITERATE
454,BARMER,NAGAR PARISHAD,BARMER,44,NIMBSINGH,5th
455,BARMER,NAGAR PARISHAD,BARMER,45,SAROJ BHATI,GRADUATE
456,BARMER,NAGAR PARISHAD,BARMER,46,NAJU KANW AR,LITERATE
457,BARMER,NAGAR PARISHAD,BARMER,47,CHAIN SINGH,12th
458,BARMER,NAGAR PARISHAD,BARMER,48,KOMAL,10th
459,BARMER,NAGAR PARISHAD,BARMER,49,MANJU KUMARI,9th
460,BARMER,NAGAR PARISHAD,BARMER,50,THAKARA RAM,GRADUATE
461,BARMER,NAGAR PARISHAD,BARMER,51,PRAKASH,9th
462,BARMER,NAGAR PARISHAD,BARMER,52,KAMLA DEVI,5th
463,BARMER,NAGAR PARISHAD,BARMER,53,ASHOK KUMAR,POST GRADUATION
464,BARMER,NAGAR PARISHAD,BARMER,54,MANOJ,GRADUATE
465,BARMER,NAGAR PARISHAD,BARMER,55,DINU KHAN,LITERATE
466,BARMER,NAGAR PARISHAD,BALOTRA,1,NEMTA KUMARI,GRADUATE
467,BARMER,NAGAR PARISHAD,BALOTRA,2,PEERARAM,10th
468,BARMER,NAGAR PARISHAD,BALOTRA,3,NAGRAJ,LITERATE
469,BARMER,NAGAR PARISHAD,BALOTRA,4,PUSHPRAJ,10th
470,BARMER,NAGAR PARISHAD,BALOTRA,5,HANUMANPRASAD,10th
471,BARMER,NAGAR PARISHAD,BALOTRA,6,MAMATA,8th
472,BARMER,NAGAR PARISHAD,BALOTRA,7,HIRALAL,GRADUATE
473,BARMER,NAGAR PARISHAD,BALOTRA,8,SANGEETA DEVI,8th
474,BARMER,NAGAR PARISHAD,BALOTRA,9,RAMESHPURI,12th
475,BARMER,NAGAR PARISHAD,BALOTRA,10,SUNIL KUMAR,12th
476,BARMER,NAGAR PARISHAD,BALOTRA,11,KANTI LAL,GRADUATE
477,BARMER,NAGAR PARISHAD,BALOTRA,12,SUMITRA DEVI,9th
478,BARMER,NAGAR PARISHAD,BALOTRA,13,ROHIT KUMAR,POST GRADUATION
479,BARMER,NAGAR PARISHAD,BALOTRA,14,ASL AM,LITERATE
480,BARMER,NAGAR PARISHAD,BALOTRA,15,TARA,GRADUATE
481,BARMER,NAGAR PARISHAD,BALOTRA,16,KANTILAL,9th
482,BARMER,NAGAR PARISHAD,BALOTRA,17,SAMPATRAJ,LITERATE
483,BARMER,NAGAR PARISHAD,BALOTRA,18,RAZIA BANO,LITERATE
484,BARMER,NAGAR PARISHAD,BALOTRA,19,NARSINGRAM,12th
485,BARMER,NAGAR PARISHAD,BALOTRA,20,OM PRAKASH,12th
486,BARMER,NAGAR PARISHAD,BALOTRA,21,PRAMILA DEVI,12th
487,BARMER,NAGAR PARISHAD,BALOTRA,22,BABULAL,"BA, B.ED"
488,BARMER,NAGAR PARISHAD,BALOTRA,23,HANUMANARAM,12th
489,BARMER,NAGAR PARISHAD,BALOTRA,24,SANWAL RAM,LITERATE
490,BARMER,NAGAR PARISHAD,BALOTRA,25,GOVINDRAM,LITERATE
491,BARMER,NAGAR PARISHAD,BALOTRA,26,MEHBUB KHAN,12th
492,BARMER,NAGAR PARISHAD,BALOTRA,27,HEENA,10th
493,BARMER,NAGAR PARISHAD,BALOTRA,28,MO. RAFIK,LITERATE
494,BARMER,NAGAR PARISHAD,BALOTRA,29,POOJA,10th
495,BARMER,NAGAR PARISHAD,BALOTRA,30,SEEMA,LITERATE
496,BARMER,NAGAR PARISHAD,BALOTRA,31,SEEMA DEVI,5th
497,BARMER,NAGAR PARISHAD,BALOTRA,32,LALARAM,12th
498,BARMER,NAGAR PARISHAD,BALOTRA,33,MAHAVEER,10th
499,BARMER,NAGAR PARISHAD,BALOTRA,34,MAHESH KUMAR,GRADUATE
500,BARMER,NAGAR PARISHAD,BALOTRA,35,SUNITA,GRADUATE
501,BARMER,NAGAR PARISHAD,BALOTRA,36,SHANTI DEVI,LITERATE
502,BARMER,NAGAR PARISHAD,BALOTRA,37,HEMLATA,9th
503,BARMER,NAGAR PARISHAD,BALOTRA,38,SHOBHA,7th
504,BARMER,NAGAR PARISHAD,BALOTRA,39,GHEWARCHAND,LITERATE
505,BARMER,NAGAR PARISHAD,BALOTRA,40,VIKRAMSINGH,12th
506,BARMER,NAGAR PARISHAD,BALOTRA,41,DURGA DEVI,8th
507,BARMER,NAGAR PARISHAD,BALOTRA,42,BAGTU DEVI,LITERATE
508,BARMER,NAGAR PARISHAD,BALOTRA,43,PAWANI DEVI,12th
509,BARMER,NAGAR PARISHAD,BALOTRA,44,INDARA,5th
510,BARMER,NAGAR PARISHAD,BALOTRA,45,DAKHUDEVI,LITERATE
511,BHARATPUR,NAGAR NIGAM,BHARATPUR,1,VIJAY (VIJAY SINGH BHARTI),GRADUATE
512,BHARATPUR,NAGAR NIGAM,BHARATPUR,2,SIKANDAR,12th
513,BHARATPUR,NAGAR NIGAM,BHARATPUR,3,GIRISH KUMAR,GRADUATE
514,BHARATPUR,NAGAR NIGAM,BHARATPUR,4,YOGESH CHAUDHARY,POST GRADUATION
515,BHARATPUR,NAGAR NIGAM,BHARATPUR,5,SURJEET SINGH,12th
516,BHARATPUR,NAGAR NIGAM,BHARATPUR,6,VIRENDRA SINGH,12th
517,BHARATPUR,NAGAR NIGAM,BHARATPUR,7,MITHLESH,10th
518,BHARATPUR,NAGAR NIGAM,BHARATPUR,8,PRAKASH,8TH
519,BHARATPUR,NAGAR NIGAM,BHARATPUR,9,CHANDRAKALA,LITERATE
520,BHARATPUR,NAGAR NIGAM,BHARATPUR,10,VIMLESH,5TH
521,BHARATPUR,NAGAR NIGAM,BHARATPUR,11,SUDHA SHARMA,8TH
522,BHARATPUR,NAGAR NIGAM,BHARATPUR,12,BABITA DEVI,LITERATE
523,BHARATPUR,NAGAR NIGAM,BHARATPUR,13,RINKI,LITERATE
524,BHARATPUR,NAGAR NIGAM,BHARATPUR,14,MOTI,LITERATE
525,BHARATPUR,NAGAR NIGAM,BHARATPUR,15,ABHIJEET KUMAR,POST GRADUATION
526,BHARATPUR,NAGAR NIGAM,BHARATPUR,16,SARLA DEVI,12th
527,BHARATPUR,NAGAR NIGAM,BHARATPUR,17,VIMLESH,LITERATE
528,BHARATPUR,NAGAR NIGAM,BHARATPUR,18,MANOJ SINGH,GRADUATE
529,BHARATPUR,NAGAR NIGAM,BHARATPUR,19,VEERMATI,LITERATE
530,BHARATPUR,NAGAR NIGAM,BHARATPUR,20,SHIVANI,10th
531,BHARATPUR,NAGAR NIGAM,BHARATPUR,21,BHARAT SINGH (DHAU),LITERATE
532,BHARATPUR,NAGAR NIGAM,BHARATPUR,22,CHATAR SINGH,10th
533,BHARATPUR,NAGAR NIGAM,BHARATPUR,23,KAPIL FAUJDAR,12th
534,BHARATPUR,NAGAR NIGAM,BHARATPUR,24,SANJAY SHUKLA,POST GRADUATION
535,BHARATPUR,NAGAR NIGAM,BHARATPUR,25,BHAGWAN SINGH,POST GRADUATION
536,BHARATPUR,NAGAR NIGAM,BHARATPUR,26,RENU GOURAWAR,LITERATE
537,BHARATPUR,NAGAR NIGAM,BHARATPUR,27,SHAILESH PARASHAR,GRADUATE
538,BHARATPUR,NAGAR NIGAM,BHARATPUR,28,ANJANA LAVANIYA,POST GRADUATION
539,BHARATPUR,NAGAR NIGAM,BHARATPUR,29,RISHIRAJ SINGH,10th
540,BHARATPUR,NAGAR NIGAM,BHARATPUR,30,RAKESH,10th
541,BHARATPUR,NAGAR NIGAM,BHARATPUR,31,KISHOR SAINI,10th
542,BHARATPUR,NAGAR NIGAM,BHARATPUR,32,PANKAJ KUMAR,LITERATE
543,BHARATPUR,NAGAR NIGAM,BHARATPUR,33,MUKESH KUMAR,10th
544,BHARATPUR,NAGAR NIGAM,BHARATPUR,34,VISHNU,10th
545,BHARATPUR,NAGAR NIGAM,BHARATPUR,35,BHASKAR,GRADUATE
546,BHARATPUR,NAGAR NIGAM,BHARATPUR,36,DAU DAYAL,GRADUATE
547,BHARATPUR,NAGAR NIGAM,BHARATPUR,37,NARESH KUMAR,12th
548,BHARATPUR,NAGAR NIGAM,BHARATPUR,38,NARENDRA SINGH,GRADUATE
549,BHARATPUR,NAGAR NIGAM,BHARATPUR,39,KIRAN,LITERATE
550,BHARATPUR,NAGAR NIGAM,BHARATPUR,40,BHUPENDRA,10th
551,BHARATPUR,NAGAR NIGAM,BHARATPUR,41,PUSHPA,LITERATE
552,BHARATPUR,NAGAR NIGAM,BHARATPUR,42,SURENDRA KUMAR,GRADUATE
553,BHARATPUR,NAGAR NIGAM,BHARATPUR,43,DEEPAK MUDGAM,POST GRADUATION
554,BHARATPUR,NAGAR NIGAM,BHARATPUR,44,RUPENDRA SINGH,10th
555,BHARATPUR,NAGAR NIGAM,BHARATPUR,45,MANISHA CHAUHAN,10th
556,BHARATPUR,NAGAR NIGAM,BHARATPUR,46,SUMAN PREMPAL,10th
557,BHARATPUR,NAGAR NIGAM,BHARATPUR,47,SHYAM SUNDAR,12th
558,BHARATPUR,NAGAR NIGAM,BHARATPUR,48,RAMVEER SINGH,GRADUATE
559,BHARATPUR,NAGAR NIGAM,BHARATPUR,49,ASHA SINSINWAR,GRADUATE
560,BHARATPUR,NAGAR NIGAM,BHARATPUR,50,RAMESHW AR,10th
561,BHARATPUR,NAGAR NIGAM,BHARATPUR,51,HEMENDRA SINGH,GRADUATE
562,BHARATPUR,NAGAR NIGAM,BHARATPUR,52,RAJANI,POST GRADUATION
563,BHARATPUR,NAGAR NIGAM,BHARATPUR,53,DILKESH KUMARI,POST GRADUATION
564,BHARATPUR,NAGAR NIGAM,BHARATPUR,54,DEVENDRA SINGH,12th
565,BHARATPUR,NAGAR NIGAM,BHARATPUR,55,MOHAN SINGH,LITERATE
566,BHARATPUR,NAGAR NIGAM,BHARATPUR,56,NARENDRA SINGH,10th
567,BHARATPUR,NAGAR NIGAM,BHARATPUR,57,REKHA RANI,POST GRADUATION
568,BHARATPUR,NAGAR NIGAM,BHARATPUR,58,SATISH SINGH,POST GRADUATION
569,BHARATPUR,NAGAR NIGAM,BHARATPUR,59,RAJENDRA SINGH URF RAJU,9TH
570,BHARATPUR,NAGAR NIGAM,BHARATPUR,60,OMVEER,12th
571,BHARATPUR,NAGAR NIGAM,BHARATPUR,61,HARBHAN SINGH,GRADUATE
572,BHARATPUR,NAGAR NIGAM,BHARATPUR,62,ANURADHA SINGH,GRADUATE
573,BHARATPUR,NAGAR NIGAM,BHARATPUR,63,KALUARAM,POST GRADUATION
574,BHARATPUR,NAGAR NIGAM,BHARATPUR,64,PALLAVI SINGH,8TH
575,BHARATPUR,NAGAR NIGAM,BHARATPUR,65,PRATAP BHANU,GRADUATE
576,BHARATPUR,NAGARP ALIKA,RUPWAS,1,MITHUN,5TH
577,BHARATPUR,NAGARP ALIKA,RUPWAS,2,BABITA,LITERATE
578,BHARATPUR,NAGARP ALIKA,RUPWAS,3,CHANDRA SHEKHAR,GRADUATE
579,BHARATPUR,NAGARP ALIKA,RUPWAS,4,ANTIMA,POST GRADUATION
580,BHARATPUR,NAGARP ALIKA,RUPWAS,5,NEERAJ KUMAR,10th
581,BHARATPUR,NAGARP ALIKA,RUPWAS,6,HARIOM,LITERATE
582,BHARATPUR,NAGARP ALIKA,RUPWAS,7,YOGESH KUMAR,8TH
583,BHARATPUR,NAGARP ALIKA,RUPWAS,8,ASHA,10th
584,BHARATPUR,NAGARP ALIKA,RUPWAS,9,SARITA,LITERATE
585,BHARATPUR,NAGARP ALIKA,RUPWAS,10,JITENDRA GOYAL,LITERATE
586,BHARATPUR,NAGARP ALIKA,RUPWAS,11,PNAKAJ,GRADUATE
587,BHARATPUR,NAGARP ALIKA,RUPWAS,12,VIJAY LAKSHMI,GRADUATE
588,BHARATPUR,NAGARP ALIKA,RUPWAS,13,CHANDRA KATRA,GRADUATE
589,BHARATPUR,NAGARP ALIKA,RUPWAS,14,ABHISHEK KUMAR KATARA,GRADUATE
590,BHARATPUR,NAGARP ALIKA,RUPWAS,15,OMVATI,LITERATE
591,BHARATPUR,NAGARP ALIKA,RUPWAS,16,ARVIND,GRADUATE
592,BHARATPUR,NAGARP ALIKA,RUPWAS,17,GITA KUMARI,8TH
593,BHARATPUR,NAGARP ALIKA,RUPWAS,18,BHAGWAN SINGH,12th
594,BHARATPUR,NAGARP ALIKA,RUPWAS,19,ALOK RAWAT,12th
595,BHARATPUR,NAGARP ALIKA,RUPWAS,20,HEMLATA,GRADUATE
596,BHARATPUR,NAGARP ALIKA,RUPWAS,21,LATESH SHARMA,GRADUATE
597,BHARATPUR,NAGARP ALIKA,RUPWAS,22,RUPKALA,LITERATE
598,BHARATPUR,NAGARP ALIKA,RUPWAS,23,GANESH SINGH,8TH
599,BHARATPUR,NAGARP ALIKA,RUPWAS,24,ARCHANA,GRADUATE
600,BHARATPUR,NAGARP ALIKA,RUPWAS,25,LAKHAN SINGH,12th
601,BIKANER,NAGAR NIGAM BIKANER,BIKANER,1,SAROJ,LITERATE
602,BIKANER,NAGAR NIGAM BIKANER,BIKANER,2,SUDHA ACHARYA,POST GRADUATION
603,BIKANER,NAGAR NIGAM BIKANER,BIKANER,3,RAJESH,LITERATE
604,BIKANER,NAGAR NIGAM BIKANER,BIKANER,4,HARI OM,8TH
605,BIKANER,NAGAR NIGAM BIKANER,BIKANER,5,KUSUM,12th
606,BIKANER,NAGAR NIGAM BIKANER,BIKANER,6,NAND KISHORE,10th
607,BIKANER,NAGAR NIGAM BIKANER,BIKANER,7,BAJRANG LAL,8TH
608,BIKANER,NAGAR NIGAM BIKANER,BIKANER,8,JAAMAN LAL,10th
609,BIKANER,NAGAR NIGAM BIKANER,BIKANER,9,VINOD KUMAR,GRADUATE
610,BIKANER,NAGAR NIGAM BIKANER,BIKANER,10,SURENDRA SINGH,GRADUATE
611,BIKANER,NAGAR NIGAM BIKANER,BIKANER,11,VIKAS,GRADUATE
612,BIKANER,NAGAR NIGAM BIKANER,BIKANER,12,CHARU SHARMA,GRADUATE
613,BIKANER,NAGAR NIGAM BIKANER,BIKANER,13,PRAMOD SINGH,10th
614,BIKANER,NAGAR NIGAM BIKANER,BIKANER,14,SUSHILA KANWAR,POST GRADUATION
615,BIKANER,NAGAR NIGAM BIKANER,BIKANER,15,ABDUL WAHID,GRADUATE
616,BIKANER,NAGAR NIGAM BIKANER,BIKANER,16,JYOTI,LITERATE
617,BIKANER,NAGAR NIGAM BIKANER,BIKANER,17,CHETNA,POST GRADUATION
618,BIKANER,NAGAR NIGAM BIKANER,BIKANER,18,MUZAHID,LITERATE
619,BIKANER,NAGAR NIGAM BIKANER,BIKANER,19,MANAK LAL,10th
620,BIKANER,NAGAR NIGAM BIKANER,BIKANER,20,VIRENDRA KARAL,8TH
621,BIKANER,NAGAR NIGAM BIKANER,BIKANER,21,KAVITA,POST GRADUATION
622,BIKANER,NAGAR NIGAM BIKANER,BIKANER,22,PRATEEK SWAMI,GRADUATE
623,BIKANER,NAGAR NIGAM BIKANER,BIKANER,23,SHANTI,LITERATE
624,BIKANER,NAGAR NIGAM BIKANER,BIKANER,24,MUKESH PANWAR,12th
625,BIKANER,NAGAR NIGAM BIKANER,BIKANER,25,VASIM KHILJI,POST GRADUATION
626,BIKANER,NAGAR NIGAM BIKANER,BIKANER,26,RAMDAYAL PANCHARIYA,10th
627,BIKANER,NAGAR NIGAM BIKANER,BIKANER,27,SHIVCHAND PARIHAR,GRADUATE
628,BIKANER,NAGAR NIGAM BIKANER,BIKANER,28,MANJU DEVI SONI,10th
629,BIKANER,NAGAR NIGAM BIKANER,BIKANER,29,BHANWAR LAL,8TH
630,BIKANER,NAGAR NIGAM BIKANER,BIKANER,30,KHUSHBU PANWAR,12th
631,BIKANER,NAGAR NIGAM BIKANER,BIKANER,31,PUNIT KUMAR,12th
632,BIKANER,NAGAR NIGAM BIKANER,BIKANER,32,ANJANA KHATRI,POST GRADUATION
633,BIKANER,NAGAR NIGAM BIKANER,BIKANER,33,MANOJKUMAR,10th
634,BIKANER,NAGAR NIGAM BIKANER,BIKANER,34,SANJAY,POST GRADUATION
635,BIKANER,NAGAR NIGAM BIKANER,BIKANER,35,MANOJ,POST GRADUATION
636,BIKANER,NAGAR NIGAM BIKANER,BIKANER,36,KAMAL KANWAR,LITERATE
637,BIKANER,NAGAR NIGAM BIKANER,BIKANER,37,LAXMI KANWAR,10th
638,BIKANER,NAGAR NIGAM BIKANER,BIKANER,38,SUNIL KUMAR,GRADUATE
639,BIKANER,NAGAR NIGAM BIKANER,BIKANER,39,JITENDRA SINGH,GRADUATE
640,BIKANER,NAGAR NIGAM BIKANER,BIKANER,40,MANGI LAL,POST GRADUATION
