state,year,district,block,body,serial,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,listing_scope,script,source_path,source_page,source_pdf,source_url,source_capture
Assam,2020,Jorhat,,Jorhat,11,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,,Teok,12,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Titabor,Titabor,13,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Titabor,Mariani,14,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Golaghat,,Golaghat,15,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Golaghat,,Dergaon,16,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Golaghat,Dhansiri,Sarupathar,17,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Dibrugarh,,Naharkatia,18,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Tinsukia,,Makum,19,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Tinsukia,Sadiya,Chapakhowa,20,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Dhemaji,,Dhemaji,21,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Sonitpur,,Jamugurihat,22,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Sonitpur,,Dhekiajuli,23,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Biswanath,,Sootea,24,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Darrang,,Mangaldoi,25,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Darrang,,Sipajhar,26,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Lakhimpur,,Bihpuria,27,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Sivasagar,,Amguri,28,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Sivasagar,Nazira,Nazira,29,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Nagaon,,Nagaon,30,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Nagaon,,Kampur,31,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Hojai,,Lanka,32,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Hojai,,Doboka,33,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Cachar,,Silchar,34,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Cachar,,Sonai,35,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Hailakandi,,Lala,36,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Dhubri,,Gauripur,37,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Dhubri,,Golakganj,38,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Dhubri,Bilasipara,Chapar,39,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Karimganj,,Badarpur,40,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Karimganj,,Ramkrishna Nagar,41,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Kamrup (Rural),,Palashbari,42,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Nalbari,,Nalbari,43,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Barpeta,,Sarthebari,44,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Barpeta,,Sorbhog,45,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Barpeta,Bajali,Pathsala,46,ulb_head,Municipal Board chairperson,Woman,NONE,1,Woman,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,8,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
