ElectionType,ElectionDuration,District,PanchayatSamiti,SrNo,NameOfGramPanchyat,CategoryOfGramPanchyat,TotalNoOfContestingCandidate,ElectedUnoppose,TotalElectorateVotes,TotalPolledVotes,RejectedVotes,TotalValidVotes,PollPercent,WinnerCandidateName,ViewPledge,VoteSecureByWinner,RunnerupCandidateName,VoteSecureByRunnerup,TotalNoOfNOTACount,TenderedVotes
General Election,JAN 2021,JAIPUR,KISHANGARH RENWAL PANCHAYAT SAMITI,1,Mundali Ranjitpura,ST,4,NO,2739,2256,0,2256,82.37,LAL CHAND,https://sec.rajasthan.gov.in/Nominations/317_SARPANCH_EROKISHN1_2K22K20226P53P26PM.pdf,1290,SUSHILA DEVI,844,16,0
By Election,NOV 2022,BARMER,DHORIMANNA PANCHAYAT SAMITI,1,UDASAR,ST,1,YES,2038,0,0,0,0.0,MANA RAM,https://sec.rajasthan.gov.in/Nominations/42_SARPANCH_DEOBARM1_11K30K20221P05P27PM.pdf,0,nan,0,0,0
By Election,DEC 2021,UDAIPUR,NAYAGAON PANCHAYAT SAMITI,1,Balicha,ST,7,NO,3251,2451,0,2451,75.39,KALPESH KUMAR DAMOR,https://sec.rajasthan.gov.in/Nominations/,1096,MANSHA DEVI,595,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,1,Adinda,General (Woman),8,NO,4142,3247,0,3247,78.39,VARDI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P28P09AM.pdf,873,SUCHITRA CHOUHAN,853,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,2,Balathal,General (Woman),8,NO,2716,2287,0,2287,84.2,MEHASBIN,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P00P48AM.pdf,672,LEELA,452,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,3,Bathrda Kala,General,7,NO,3459,2694,0,2694,77.88,GANGA DEVI MEENA,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P44P36AM.pdf,1060,JEEVAN SINGH,562,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,4,Bathrda Khurd,General (Woman),6,NO,2566,2000,0,2000,77.94,INDRA KUNWAR,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P01P58AM.pdf,803,RANI SONI,546,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,5,Bhatewar,General,8,NO,3879,3271,0,3271,84.33,HEMANT KUMAR,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P36P10AM.pdf,1161,MUKESH,546,55,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,6,Daroli,General,11,NO,3517,2873,0,2873,81.69,RODI LAL DANGI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P26P45AM.pdf,884,RAMESH CHOUDHARI,441,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,7,Dhamaniya,OBC (Woman),7,NO,3132,2540,0,2540,81.1,SHANTA DEVI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P11P41AM.pdf,705,TULSI BAI,519,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,8,Dhava,OBC,6,NO,3302,2768,0,2768,83.83,MADAN LAL KEER,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P05P38AM.pdf,934,PUSHKAR DAANGI,858,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,9,Gotipa,ST,5,NO,2899,2245,0,2245,77.44,CHUNNI LAL,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P20P33AM.pdf,817,BHOLA BHIL,661,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,10,Gupdi,OBC (Woman),6,NO,3058,2684,0,2684,87.77,PUSHPA BAI TELI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P34P17AM.pdf,801,KASTURI,560,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,11,Karanpur,ST,5,NO,4053,3154,0,3154,77.82,MADAN LAL BHIL,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P03P32AM.pdf,1334,PRAKASH,339,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,12,Kharsan,SC (Woman),6,NO,3668,2787,0,2787,75.98,LAXMI BAI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P31P02AM.pdf,1122,SANGETA,828,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,13,Kikwas,General (Woman),5,NO,3841,2945,0,2945,76.67,MAGANI BAI JAAT,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P17P02AM.pdf,1396,KALA DEVI,769,36,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,14,Maal Ki Tus,ST,4,NO,3514,2860,0,2860,81.39,KAILASH CHANDRA,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P38P55AM.pdf,874,MANGI LLAL,698,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,15,Maharaj ki Khedi,OBC (Woman),15,NO,2623,2267,0,2267,86.43,TAMU BAI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P29P27AM.pdf,582,GANGA DANGI,457,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,16,Mazavada,OBC,3,NO,3116,2337,0,2337,75.0,NANU RAM GADRI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P24P58AM.pdf,1023,LAXMI LAL SUTHAR,945,78,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,17,Menar,SC,4,NO,4559,3282,0,3282,71.99,PRAMOD KUMAR,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P18P37AM.pdf,2299,ONKAR LAL MEGHWAL,388,75,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,18,Modi,General,6,NO,4295,3556,0,3556,82.79,KALU LAAL,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P19P12AM.pdf,1563,DEVI LAL,1280,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,19,Nadanvel,General (Woman),3,NO,2717,2336,0,2336,85.98,KUSUMLATA JOSHI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P46P20AM.pdf,1116,DURGA BAI,590,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,20,Navaniya,General,7,NO,3648,3042,0,3042,83.39,SATYNARAYAN VYAS,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P14P26AM.pdf,1187,NANU LAL JANWA,700,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,21,Rundeda,General,7,NO,4884,3631,0,3631,74.34,KALU LAL,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P07P54AM.pdf,1251,MANOHAR LAL,661,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,22,Taravat,General,8,NO,3016,2469,0,2469,81.86,BHEREU LAL GURJAR,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P09P52AM.pdf,915,KHEMRAJ DANGI,687,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,23,Tus Dangiyan,ST (Woman),3,NO,3497,2857,0,2857,81.7,KHUMANI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_2K18K202211P41P20AM.pdf,1583,SEEMA MEENA,1144,0,0
General Election,JAN-MAR 2020,UDAIPUR,VALLABHNAGAR PANCHAYAT SAMITI,24,Vallabhnagar,General (Woman),3,NO,8030,5917,0,5917,73.69,DURGA DEVI,https://sec.rajasthan.gov.in/Nominations/343_SARPANCH_DEOUDAI1_3K11K202210P09P54AM.pdf,3576,PUSHPA,1800,190,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,1,AAMOD,ST,3,NO,2358,2169,0,2169,91.98,DALI CHAND DARANGI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P25P51PM.pdf,1077,DINESH KUMAR,1022,0,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,2,AMALIYA,ST,4,NO,3243,2861,0,2861,88.22,ROSHAN LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P28P19PM.pdf,772,GEETA,722,56,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,3,AMBASA,ST,5,NO,3182,2412,0,2412,75.8,DILIP KHARADI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P23P39PM.pdf,897,URMILA,769,102,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,4,Ambavi,ST,4,NO,1552,1347,0,1347,86.79,DITA LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P48P27PM.pdf,682,KAMLA DEVI,331,0,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,5,AMIWARA,ST (Woman),7,NO,2824,2473,0,2473,87.57,LAXMI BAI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K22K20222P40P44PM.pdf,709,RADHA,584,85,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,6,ANJORLI KHAS,ST (Woman),4,NO,1758,1498,0,1498,85.21,RADHA DEVI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P56P30PM.pdf,682,SAVITA DEV GARASIYA,554,20,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,7,Bheshana,ST (Woman),9,NO,2088,1794,0,1794,85.92,NAKI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P44P52PM.pdf,418,BABU BAI,299,73,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,8,BICHHIWARA,ST,7,NO,3217,2775,0,2775,86.26,MOTI LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P20P44PM.pdf,1535,LALU RAM,729,47,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,9,BIROTHI,ST,2,NO,2461,2080,0,2080,84.52,NATHU LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P43P27PM.pdf,1021,RANJEET LAL,1002,57,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,10,Devdavas,ST,3,NO,1713,1453,0,1453,84.82,MOTI LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P40P39PM.pdf,751,LAXMAN LAL,651,19,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,11,DHARAVAN,ST,10,NO,1896,1703,0,1703,89.82,ARJUN LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P20P59PM.pdf,514,PRABHU LAL,388,0,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,12,DHEYA,ST,7,NO,2898,2437,0,2437,84.09,CHANDU LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P29P08PM.pdf,807,RAJENDRA KUMAR,735,40,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,13,Dmana,ST (Woman),3,NO,2188,1868,0,1868,85.37,SAMU DEVI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P38P29PM.pdf,1010,SUMITRA,540,72,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,14,GARANWAS,ST (Woman),7,NO,3296,2782,0,2782,84.41,LASUDI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P57P41PM.pdf,679,JASHODA,581,27,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,15,Gurad,ST (Woman),6,NO,1949,1688,0,1688,86.61,SUGNA GARASIYA,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P46P53PM.pdf,428,SEETA DEVI GARASIYA,387,93,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,16,JETAWARA,ST,11,NO,2639,2127,0,2127,80.6,SOHAN LAL BHEEL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P24P28PM.pdf,703,GUMAN SINGH GARASIYA,543,80,1
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,17,Kavel,ST,2,NO,2266,1787,0,1787,78.86,MOHAN,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P55P09PM.pdf,918,SURYA PRAKASH AHARI,815,54,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,18,Khardiya,ST,6,NO,2056,1727,0,1727,84.0,SUKH LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P52P00PM.pdf,479,ANIL,425,104,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,19,KHATI KAMDI,ST,3,NO,2259,2002,0,2002,88.62,DEVI LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P33P50PM.pdf,1027,NIRMA,787,31,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,20,KOLYARI,ST (Woman),2,NO,2182,1624,0,1624,74.43,LALITA,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_3K2K20221P02P35PM.pdf,1186,KANKU DEVI,354,84,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,21,MADALA,ST,2,NO,2587,2406,0,2406,93.0,KANAHIYA LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P32P23PM.pdf,1436,DHULA RAM,932,38,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,22,MADARI,ST (Woman),5,NO,2403,2008,0,2008,83.56,AMBAVI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P51P07PM.pdf,1027,SUMITRA DEVI,437,28,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,23,NEWAJ,ST (Woman),9,NO,1859,1564,0,1564,84.13,THAVARI BAI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P27P29PM.pdf,666,RADHA BAI GARASIYA,324,27,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,24,NICHALI SIGARI,ST,3,NO,2390,2090,0,2090,87.45,BABU LAL,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P41P45PM.pdf,982,RAMESH LAL BHUT,642,37,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,25,PANARWA,ST (Woman),7,NO,1869,1460,0,1460,78.12,VAKTU,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P53P50PM.pdf,388,HAJARI BAI,290,87,1
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,26,PHALASIA,ST (Woman),4,NO,3886,2952,0,2952,75.97,SUGNA,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P37P14PM.pdf,1209,VASATI,1140,83,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,27,PIPALBARA,ST (Woman),5,NO,2091,1719,0,1719,82.21,MANJU KUMARI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P52P48PM.pdf,783,REKHA,402,88,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,28,SADA,ST (Woman),5,NO,1844,1483,0,1483,80.42,MANGI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P26P20PM.pdf,687,KAVITA,354,25,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,29,Saradit,ST (Woman),4,NO,2762,2231,0,2231,80.77,HEMA DEVI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P49P29PM.pdf,1046,ALKU,655,50,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,30,SOM,ST (Woman),4,NO,3332,2876,0,2876,86.31,KAVITA,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P22P00PM.pdf,1350,GANGA,931,76,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,31,Upla Amda,ST,7,NO,1535,1398,0,1398,91.07,TULSI RAM,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P39P32PM.pdf,465,DITU BAI,419,16,0
General Election,JAN-MAR 2020,UDAIPUR,PHALASIYA PANCHAYAT SAMITI,32,Upli Sigri,ST (Woman),5,NO,1728,1502,0,1502,86.92,HOMI DEVI,https://sec.rajasthan.gov.in/Nominations/292_SARPANCH_DEOUDAI1_2K18K20222P30P32PM.pdf,470,SURTA DEVI,346,39,0
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,1,ANADARA,General (Woman),7,NO,6601,4969,0,4969,75.28,Gulab Kunwar,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K24K20221P48P15PM.pdf,1671,Rekha KUmari,1278,100,6
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,2,BANT,General (Woman),7,NO,3990,3307,0,3307,82.88,Sangeeta Devi,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K25K20221P55P12PM.pdf,1208,Kamala Devi,693,60,5
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,3,BHATANA,General,3,NO,4276,3263,0,3263,76.31,Bhavani Singh,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K24K20221P53P22PM.pdf,1602,Soubhagya Singh,1131,88,0
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,4,BHERUGARH,General,8,NO,2827,2474,0,2474,87.51,Madha Ram,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K25K20221P24P42PM.pdf,653,Bhura Ram,526,48,6
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,5,DABANI,General,6,NO,3345,2529,0,2529,75.61,Krishanpal Singh,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K25K20221P52P03PM.pdf,859,Pruthviraj Singh,807,37,0
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,6,DAK,General (Woman),6,NO,2527,2096,0,2096,82.94,RADHA DEVI,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K24K20221P53P52PM.pdf,645,DARAMI DEVI,568,0,1
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,7,DANTARI,SC (Woman),4,NO,3712,2166,0,2166,58.35,BABI BEN,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K24K20221P54P29PM.pdf,954,DHAPU DEVI,716,74,0
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,8,DATTANI,General,6,NO,5789,4839,0,4839,83.59,NITISH KUMAR,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K25K20222P01P32PM.pdf,1594,RANJEET KUMAR,1404,123,2
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,9,DHAN,ST,6,NO,3762,2710,0,2710,72.04,SHANKAR LAL,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K25K20221P43P36PM.pdf,988,KARAN KUMAR,740,63,1
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,10,DHAVALI,General (Woman),8,NO,4349,3628,0,3628,83.42,KIRAN KUNWAR,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K24K20221P55P01PM.pdf,1313,KAMI DEVI,1037,42,0
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,11,DOLPURA,General (Woman),2,NO,3206,2943,0,2943,91.8,SUSHILA,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K24K20221P55P34PM.pdf,2019,RESHMA DEVI,864,60,1
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,12,GULABGANJ,SC (Woman),4,NO,5460,3266,0,3266,59.82,NIRMA DEVI,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K25K20222P18P48PM.pdf,1247,PRAVEENA DEVI,1234,135,0
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,13,GUNDAWARA,General,8,NO,3787,3017,0,3017,79.67,VAGTA RAM,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K25K20222P08P27PM.pdf,643,SAMUNDRASINGH,548,29,0
General Election,JAN-MAR 2020,SIROHI,REODAR PANCHAYAT SAMITI,14,Harani Amarpura,ST (Woman),2,NO,3874,2524,0,2524,65.15,FENSI,https://sec.rajasthan.gov.in/Nominations/229_SARPANCH_EROREOD1_2K24K20221P56P03PM.pdf,1314,VARSHA DEVI,1104,106,0
