sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2010,dist_name_new_2010,samiti_name_new_2010,key_2010,dist,nuke
11,AJMER,ARAIN,DHASUK,GEN W,NIMMI DEVI,FEMALE,GEN,dhasuk,AJMER,ARAI,NA,AJMERARAIdhasuk,12,AJMER,ARAI,DHASUK,OBCW,Norti,F,OBCW,dhasuk,AJMER,ARAI,AJMERARAIdhasuk,0,
12,AJMER,ARAIN,FATEHGARH,GEN,VIMLESH,FEMALE,OBC,fatehgarh,AJMER,ARAI,NA,AJMERARAIfatehgarh,13,AJMER,ARAI,FATEHGARH,OBCW,Govind kanwar,F,OBCW,fatehgarh,AJMER,ARAI,AJMERARAIfatehgarh,0,
13,AJMER,ARAIN,GODHIYANA,GEN,RAJESH JAIN,MALE,GEN,gothiyana,AJMER,ARAI,NA,AJMERARAIgothiyana,14,AJMER,ARAI,GOTHIYANA,GEN,Hem Kanwar,F,GENW,gothiyana,AJMER,ARAI,AJMERARAIgothiyana,0,
14,AJMER,ARAIN,HARPURA,OBC W,AARAMI,FEMALE,OBC,harpura,AJMER,ARAI,NA,AJMERARAIharpura,15,AJMER,ARAI,HARPURA,SCW,manju,F,SCW,harpura,AJMER,ARAI,AJMERARAIharpura,0,
15,AJMER,ARAIN,HINGONIYA,GEN,DEVI LAL,MALE,OBC,hingoniya,AJMER,ARAI,NA,AJMERARAIhingoniya,16,AJMER,ARAI,HINGONIY A,GEN,Baby kanwar,F,GENW,hingoniya,AJMER,ARAI,AJMERARAIhingoniya,0,
16,AJMER,ARAIN,JHIROTA,SC,HARJI RAM,MALE,SC,jheerota,AJMER,ARAI,NA,AJMERARAIjheerota,17,AJMER,ARAI,JHEEROT A,GEN,Umrav jain,M,GEN,jheerota,AJMER,ARAI,AJMERARAIjheerota,0,
17,AJMER,ARAIN,KALANADA,GEN,RAM KISHAN,MALE,OBC,kalanada,AJMER,ARAI,NA,AJMERARAIkalanada,18,AJMER,ARAI,KALANADA,GEN,Laxman,M,OBC,kalanada,AJMER,ARAI,AJMERARAIkalanada,0,
18,AJMER,ARAIN,KASHIR,GEN W,PUSI DEVI,FEMALE,OBC,kaseer,AJMER,ARAI,NA,AJMERARAIkaseer,19,AJMER,ARAI,KASEER,SC,Devi Lal,M,SC,kaseer,AJMER,ARAI,AJMERARAIkaseer,0,
19,AJMER,ARAIN,KATSURA,GEN W,KOUSHALIYA DEVI,FEMALE,GEN,katsura,AJMER,ARAI,NA,AJMERARAIkatsura,20,AJMER,ARAI,KATSURA,GENW,Kannot,F,OBCW,katsura,AJMER,ARAI,AJMERARAIkatsura,0,
20,AJMER,ARAIN,KHIRIYAN,OBC,CHHAGAN LAL,MALE,OBC,kheeriya,AJMER,ARAI,NA,AJMERARAIkheeriya,21,AJMER,ARAI,KHEERIY A,GENW,Rekha Toshniwal,F,GENW,kheeriya,AJMER,ARAI,AJMERARAIkheeriya,0,
21,AJMER,ARAIN,LALLAI,GEN,HARJI,MALE,OBC,lallai,AJMER,ARAI,NA,AJMERARAIlallai,22,AJMER,ARAI,LALLAI,GEN,Shiv raj gurjar,M,OBC,lallai,AJMER,ARAI,AJMERARAIlallai,0,
23,AJMER,ARAIN,MANDAWARIYA,OBC,NATHU LAL,MALE,OBC,mandawariya,AJMER,ARAI,NA,AJMERARAImandawariya,23,AJMER,ARAI,MANDAWARIYA,GEN,Suresh,M,GEN,mandawariya,AJMER,ARAI,AJMERARAImandawariya,0,
24,AJMER,ARAIN,MANOHARPURA,GEN W,SAJJAN KANWAR,FEMALE,GEN,manoharpura,AJMER,ARAI,NA,AJMERARAImanoharpura,24,AJMER,ARAI,MANOHARPURA,SC,Rang Lal,M,SC,manoharpura,AJMER,ARAI,AJMERARAImanoharpura,0,
25,AJMER,ARAIN,RAMPALI,GEN W,BHURI,FEMALE,OBC,rampali,AJMER,ARAI,NA,AJMERARAIrampali,25,AJMER,ARAI,RAMP ALI,GEN,Subhash jain,M,GEN,rampali,AJMER,ARAI,AJMERARAIrampali,0,
26,AJMER,ARAIN,SADOLIYA,OBC W,PREM DEVI,FEMALE,OBC,sandoliya,AJMER,ARAI,NA,AJMERARAIsandoliya,26,AJMER,ARAI,SANDOLIY A,SCW,Lada Devi,F,SCW,sandoliya,AJMER,ARAI,AJMERARAIsandoliya,0,
27,AJMER,ARAIN,SANPLA,SC W,KAMLA,FEMALE,SC,sanpla,AJMER,ARAI,NA,AJMERARAIsanpla,27,AJMER,ARAI,SANPLA,GENW,Madhu Devi,F,GENW,sanpla,AJMER,ARAI,AJMERARAIsanpla,0,
28,AJMER,ARAIN,SIRONJ,SC,MOHAN,MALE,SC,sironj,AJMER,ARAI,NA,AJMERARAIsironj,28,AJMER,ARAI,SIRONJ,OBC,Hariram,M,OBC,sironj,AJMER,ARAI,AJMERARAIsironj,0,
29,AJMER,ARAIN,SUNPA,GEN W,CHANDRA KIRAN,FEMALE,GEN,soonpa,AJMER,ARAI,NA,AJMERARAIsoonpa,29,AJMER,ARAI,SOONP A,GENW,Chandra Kiran,F,GENW,soonpa,AJMER,ARAI,AJMERARAIsoonpa,0,
30,AJMER,ARAIN,SYAR,GEN,DEVKARAN,MALE,OBC,syar,AJMER,ARAI,NA,AJMERARAIsyar,30,AJMER,ARAI,SYAR,OBC,Gheesa Lal,M,OBC,syar,AJMER,ARAI,AJMERARAIsyar,0,
31,AJMER,BHINAI,BADGAON,GEN,VANSH PRADEEP SINGH,MALE,GEN,badgaon,AJMER,BHINAY,NA,AJMERBHINAYbadgaon,32,AJMER,BHINAY,BADGAON,SC,Bhim Raj Nayak,M,SC,badgaon,AJMER,BHINAY,AJMERBHINAYbadgaon,0,
32,AJMER,BHINAI,BADLI,OBC,GHISA LAL,MALE,OBC,badli,AJMER,BHINAY,NA,AJMERBHINAYbadli,31,AJMER,BHINAY,BADALI,GENW,Nima Kanwar,F,GENW,badali,AJMER,BHINAY,AJMERBHINAYbadali,1,
33,AJMER,BHINAI,BANDANWADA,GEN W,KAMLENDRA KANWAR,FEMALE,GEN,bandanwara,AJMER,BHINAY,NA,AJMERBHINAYbandanwara,33,AJMER,BHINAY,BANDANW ARA,GEN,Vikram Singh,M,GEN,bandanwara,AJMER,BHINAY,AJMERBHINAYbandanwara,0,
34,AJMER,BHINAI,BEROL,ST W,SITA DEVI,FEMALE,ST,barol,AJMER,BHINAY,NA,AJMERBHINAYbarol,34,AJMER,BHINAY,BAROL,SC,Gyanchand Bairwa,M,SC,barol,AJMER,BHINAY,AJMERBHINAYbarol,0,
35,AJMER,BHINAI,BHAGWANT PURA,SC W,RAMESHWARI DEVI,FEMALE,SC,bhagwantpura,AJMER,BHINAY,NA,AJMERBHINAYbhagwantpura,35,AJMER,BHINAY,BHAGW ANTPURA,GEN,Panchi Devi,F,OBCW,bhagwantpura,AJMER,BHINAY,AJMERBHINAYbhagwantpura,0,
36,AJMER,BHINAI,BHINAI,SC,TULSI RAM KHINCHI,MALE,SC,bhinay,AJMER,BHINAY,NA,AJMERBHINAYbhinay,36,AJMER,BHINAY,BHINAY,GEN,Vijay Dhabai,M,OBC,bhinay,AJMER,BHINAY,AJMERBHINAYbhinay,0,
37,AJMER,BHINAI,BUBKIYA,GEN,HARIPRASAD JAT,MALE,OBC,boobkiya,AJMER,BHINAY,NA,AJMERBHINAYboobkiya,37,AJMER,BHINAY,BOOBKIY A,SC,Rukama,F,SCW,boobkiya,AJMER,BHINAY,AJMERBHINAYboobkiya,0,
39,AJMER,BHINAI,CHHACHHUNDRA,GEN W,RAJI DEVI,FEMALE,OBC,chachundra,AJMER,BHINAY,NA,AJMERBHINAYchachundra,38,AJMER,BHINAY,CHACHUNDRA,OBC,Har Lal Gurjar,M,OBC,chachundra,AJMER,BHINAY,AJMERBHINAYchachundra,0,
38,AJMER,BHINAI,CHANPANERI,GEN,RAKESH SHARMA,MALE,GEN,chapaneri,AJMER,BHINAY,NA,AJMERBHINAYchapaneri,39,AJMER,BHINAY,CHAP ANERI,GEN,Jitendra Jain,M,GEN,chapaneri,AJMER,BHINAY,AJMERBHINAYchapaneri,0,
40,AJMER,BHINAI,DABRELA,GEN,BHADULAL GURJAR,MALE,OBC,dabrela,AJMER,BHINAY,NA,AJMERBHINAYdabrela,40,AJMER,BHINAY,DABRELA,SCW,Choti Devi,F,SCW,dabrela,AJMER,BHINAY,AJMERBHINAYdabrela,0,
41,AJMER,BHINAI,DEVLIYA KALAN,GEN,RAMSWAROOP MEWARA,MALE,OBC,devliyakalan,AJMER,BHINAY,NA,AJMERBHINAYdevliyakalan,41,AJMER,BHINAY,DEVLIYAKALAN,OBC,Ram Swaroop,M,OBC,devliyakalan,AJMER,BHINAY,AJMERBHINAYdevliyakalan,0,
42,AJMER,BHINAI,DHANTOL,OBC W,SANTOK,FEMALE,OBC,dhantol,AJMER,BHINAY,NA,AJMERBHINAYdhantol,42,AJMER,BHINAY,DHANTOL,SC,Raju Lal Bairwa,M,SC,dhantol,AJMER,BHINAY,AJMERBHINAYdhantol,0,
43,AJMER,BHINAI,EKALSINGA,SC,JAGDISH,MALE,SC,ekalsinha,AJMER,BHINAY,NA,AJMERBHINAYekalsinha,43,AJMER,BHINAY,EKALSINHA,GENW,Chand Kanwar,F,GENW,ekalsinha,AJMER,BHINAY,AJMERBHINAYekalsinha,0,
44,AJMER,BHINAI,GOYALA,GEN W,KAMLA,FEMALE,GEN,goyala,AJMER,BHINAY,NA,AJMERBHINAYgoyala,44,AJMER,BHINAY,GOYALA,GENW,Hemi Devi Gurjar,F,OBCW,goyala,AJMER,BHINAY,AJMERBHINAYgoyala,0,
45,AJMER,BHINAI,GUDHA KHURD,GEN,GOPAL SINGH,MALE,GEN,gudhakhurd,AJMER,BHINAY,NA,AJMERBHINAYgudhakhurd,45,AJMER,BHINAY,GUDHAKHURD,GEN,Udaram Gujar,M,OBC,gudhakhurd,AJMER,BHINAY,AJMERBHINAYgudhakhurd,0,
46,AJMER,BHINAI,JOTAYA,GEN W,HANSA KANWAR,FEMALE,GEN,jotaya,AJMER,BHINAY,NA,AJMERBHINAYjotaya,46,AJMER,BHINAY,JOTAYA,OBCW,Jamila Pinara,F,OBCW,jotaya,AJMER,BHINAY,AJMERBHINAYjotaya,0,
48,AJMER,BHINAI,KANAIKALA,GEN,RAJENDRA SINGH,MALE,GEN,kaneikalan,AJMER,BHINAY,NA,AJMERBHINAYkaneikalan,47,AJMER,BHINAY,KANEIKALAN,GEN,Shiv Raj Singh,M,GEN,kaneikalan,AJMER,BHINAY,AJMERBHINAYkaneikalan,0,
49,AJMER,BHINAI,KANRATI,GEN,GYARSILAL RAWAT,MALE,OBC,karanti,AJMER,BHINAY,NA,AJMERBHINAYkaranti,48,AJMER,BHINAY,KARANTI,OBC,Gyarsi Lal,M,OBC,karanti,AJMER,BHINAY,AJMERBHINAYkaranti,0,
50,AJMER,BHINAI,KEBNIYA,SC,HARCHAND RAIGAR,MALE,SC,kebaniya,AJMER,BHINAY,NA,AJMERBHINAYkebaniya,49,AJMER,BHINAY,KEBANIY A,OBC,Bhala Ram Gujar,M,OBC,kebaniya,AJMER,BHINAY,AJMERBHINAYkebaniya,0,
47,AJMER,BHINAI,KAIROT,OBC W,JETHI DEVI KIR,FEMALE,OBC,kerot,AJMER,BHINAY,NA,AJMERBHINAYkerot,50,AJMER,BHINAY,KEROT,GENW,Nina Kanwar,F,GENW,kerot,AJMER,BHINAY,AJMERBHINAYkerot,0,
51,AJMER,BHINAI,KUHARIYA,GEN W,RAMPYARI,FEMALE,GEN,kumhariya,AJMER,BHINAY,NA,AJMERBHINAYkumhariya,51,AJMER,BHINAY,KUMHARIY A,GENW,Lada Devi,F,GENW,kumhariya,AJMER,BHINAY,AJMERBHINAYkumhariya,0,
52,AJMER,BHINAI,LAMGARA,SC,BHAIRU LAL CHAMAR,MALE,SC,lamgara,AJMER,BHINAY,NA,AJMERBHINAYlamgara,52,AJMER,BHINAY,LAMGARA,OBCW,Geeta Devi Jat,F,OBCW,lamgara,AJMER,BHINAY,AJMERBHINAYlamgara,0,
53,AJMER,BHINAI,NAGOLA,SC W,SUNDARI DEVI,FEMALE,SC,nagola,AJMER,BHINAY,NA,AJMERBHINAYnagola,53,AJMER,BHINAY,NAGOLA,ST,Bhagu Bheel,M,ST,nagola,AJMER,BHINAY,AJMERBHINAYnagola,0,
54,AJMER,BHINAI,NANDSI,GEN,DILIP SINGH,MALE,GEN,nandsi,AJMER,BHINAY,NA,AJMERBHINAYnandsi,54,AJMER,BHINAY,NANDSI,GEN,Paravti Devi,F,GENW,nandsi,AJMER,BHINAY,AJMERBHINAYnandsi,0,
56,AJMER,BHINAI,PAUNGA,GEN,BHALA RAM GURJAR,MALE,OBC,padanga,AJMER,BHINAY,NA,AJMERBHINAYpadanga,55,AJMER,BHINAY,PADANGA,SCW,Dhani Devi,F,SCW,padanga,AJMER,BHINAY,AJMERBHINAYpadanga,0,
55,AJMER,BHINAI,PARLIYA,OBC,SHIVRAJ GUSANAI,MALE,OBC,padliya,AJMER,BHINAY,NA,AJMERBHINAYpadliya,56,AJMER,BHINAY,PADLIYA,STW,Chooti Devi,F,STW,padliya,AJMER,BHINAY,AJMERBHINAYpadliya,0,
57,AJMER,BHINAI,RAM MALIYA,GEN,GANESH CHOUDHARY,MALE,OBC,rammaliya,AJMER,BHINAY,NA,AJMERBHINAYrammaliya,57,AJMER,BHINAY,RAMMALIYA,GENW,Indra Devi Jat,F,OBCW,rammaliya,AJMER,BHINAY,AJMERBHINAYrammaliya,0,
58,AJMER,BHINAI,RATAKOT,GEN,SUBHASH UPADHYAY,MALE,GEN,ratakot,AJMER,BHINAY,NA,AJMERBHINAYratakot,58,AJMER,BHINAY,RATAKOT,GEN,Mohammed Rasid,M,GEN,ratakot,AJMER,BHINAY,AJMERBHINAYratakot,0,
59,AJMER,BHINAI,SARANA,OBC,MADAN LAL,MALE,OBC,sarana,AJMER,BHINAY,NA,AJMERBHINAYsarana,59,AJMER,BHINAY,SARANA,SCW,Radha Devi,F,SCW,sarana,AJMER,BHINAY,AJMERBHINAYsarana,0,
60,AJMER,BHINAI,SATOLAV,GEN W,RAMDHANI DEVI,FEMALE,OBC,satolav,AJMER,BHINAY,NA,AJMERBHINAYsatolav,60,AJMER,BHINAY,SATOLAV,GENW,Ramdhani Gujar,F,OBCW,satolav,AJMER,BHINAY,AJMERBHINAYsatolav,0,
61,AJMER,BHINAI,SHERGARH,OBC,LADU RAM,MALE,OBC,shergarh,AJMER,BHINAY,NA,AJMERBHINAYshergarh,61,AJMER,BHINAY,SHERGARH,GEN,Bhupendra Pratap Singh,M,GEN,shergarh,AJMER,BHINAY,AJMERBHINAYshergarh,0,
62,AJMER,BHINAI,SHOKLIYA,GEN W,KESAR BAI,FEMALE,OBC,shokaliya,AJMER,BHINAY,NA,AJMERBHINAYshokaliya,62,AJMER,BHINAY,SHOKALIY A,GEN,Gopal Singh Rathore,M,GEN,shokaliya,AJMER,BHINAY,AJMERBHINAYshokaliya,0,
63,AJMER,BHINAI,SINGAWAL,GEN,SEHDEV GURJAR,MALE,OBC,singawal,AJMER,BHINAY,NA,AJMERBHINAYsingawal,63,AJMER,BHINAY,SINGAWAL,OBCW,Nosar Devi,F,OBCW,singawal,AJMER,BHINAY,AJMERBHINAYsingawal,0,
64,AJMER,BHINAI,SOBADI,OBC,RAMESH CHANDRA DHABAI,MALE,OBC,sobari,AJMER,BHINAY,NA,AJMERBHINAYsobari,64,AJMER,BHINAY,SOBARI,GENW,Nihali Devi,F,OBCW,sobari,AJMER,BHINAY,AJMERBHINAYsobari,0,
65,AJMER,BHINAI,TANTOTI,SC,TIKAM BHAMBI,MALE,SC,tantoti,AJMER,BHINAY,NA,AJMERBHINAYtantoti,65,AJMER,BHINAY,TANTOTI,GENW,Pratap Kanwar,F,GENW,tantoti,AJMER,BHINAY,AJMERBHINAYtantoti,0,
66,AJMER,JAWAJA,AASAN,GEN,GANPAT SINGH,MALE,OBC,aasan,AJMER,JAWAJA,NA,AJMERJAWAJAaasan,66,AJMER,JAW AJA,AASAN,GEN,ganpat singh,M,OBC,aasan,AJMER,JAWAJA,AJMERJAWAJAaasan,0,
67,AJMER,JAWAJA,ATITMAND,GEN,PRATAP SINGH,MALE,OBC,ateetmand,AJMER,JAWAJA,NA,AJMERJAWAJAateetmand,67,AJMER,JAW AJA,ATEETMAND,GEN,pratap rawat,M,OBC,ateetmand,AJMER,JAWAJA,AJMERJAWAJAateetmand,0,
68,AJMER,JAWAJA,BADKOCHRA,OBC,KUPSINGH,MALE,OBC,badkhochra,AJMER,JAWAJA,NA,AJMERJAWAJAbadkhochra,69,AJMER,JAW AJA,BADKHOCHRA,GENW,keshi Rawa,F,OBCW,badkhochra,AJMER,JAWAJA,AJMERJAWAJAbadkhochra,0,
69,AJMER,JAWAJA,BALAD,GEN,BHIM SINGH,MALE,OBC,balad,AJMER,JAWAJA,NA,AJMERJAWAJAbalad,70,AJMER,JAW AJA,BALAD,GENW,Meni,F,OBCW,balad,AJMER,JAWAJA,AJMERJAWAJAbalad,0,
70,AJMER,JAWAJA,BAMANHEDA,GEN W,TARA DEVI,FEMALE,OBC,bamanheda,AJMER,JAWAJA,NA,AJMERJAWAJAbamanheda,71,AJMER,JAW AJA,BAMANHEDA,GENW,Tara Devi,F,OBCW,bamanheda,AJMER,JAWAJA,AJMERJAWAJAbamanheda,0,
71,AJMER,JAWAJA,BANJARI,GEN,SURENDRA SINGH,MALE,OBC,banjari,AJMER,JAWAJA,NA,AJMERJAWAJAbanjari,72,AJMER,JAW AJA,BANJARI,GEN,Ram singh,M,OBC,banjari,AJMER,JAWAJA,AJMERJAWAJAbanjari,0,
72,AJMER,JAWAJA,BARAKHAN,OBC,DOLI,FEMALE,OBC,barakhan,AJMER,JAWAJA,NA,AJMERJAWAJAbarakhan,73,AJMER,JAW AJA,BARAKHED,GENW,Doli Chouhan,F,OBCW,barakhed,AJMER,JAWAJA,AJMERJAWAJAbarakhed,2,1
73,AJMER,JAWAJA,BEAWAR KHAS,OBC,NARAYAN GURJAR,MALE,OBC,beawarkhas,AJMER,JAWAJA,NA,AJMERJAWAJAbeawarkhas,74,AJMER,JAW AJA,BEAW ARKHAS,GEN,Umrav,M,GEN,beawarkhas,AJMER,JAWAJA,AJMERJAWAJAbeawarkhas,0,
74,AJMER,JAWAJA,DELWARA,GEN,PAPPU,MALE,OBC,delwara,AJMER,JAWAJA,NA,AJMERJAWAJAdelwara,76,AJMER,JAW AJA,DEWATA,OBCW,pani devi,F,OBCW,dewata,AJMER,JAWAJA,AJMERJAWAJAdewata,2,1
74,AJMER,JAWAJA,DELWARA,GEN,PAPPU,MALE,OBC,delwara,AJMER,JAWAJA,NA,AJMERJAWAJAdelwara,75,AJMER,JAW AJA,DELWARA,GENW,Umra kathat,F,OBCW,delwara,AJMER,JAWAJA,AJMERJAWAJAdelwara,0,
75,AJMER,JAWAJA,DEVATA,GEN,SURENDRA SINGH,MALE,OBC,dewata,AJMER,JAWAJA,NA,AJMERJAWAJAdewata,75,AJMER,JAW AJA,DELWARA,GENW,Umra kathat,F,OBCW,delwara,AJMER,JAWAJA,AJMERJAWAJAdelwara,2,1
75,AJMER,JAWAJA,DEVATA,GEN,SURENDRA SINGH,MALE,OBC,dewata,AJMER,JAWAJA,NA,AJMERJAWAJAdewata,76,AJMER,JAW AJA,DEWATA,OBCW,pani devi,F,OBCW,dewata,AJMER,JAWAJA,AJMERJAWAJAdewata,0,
76,AJMER,JAWAJA,DURGAWAS,OBC,BAHADUR,MALE,OBC,durgawas,AJMER,JAWAJA,NA,AJMERJAWAJAdurgawas,77,AJMER,JAW AJA,DURGAWAS,GENW,sneh lata,F,OBCW,durgawas,AJMER,JAWAJA,AJMERJAWAJAdurgawas,0,
77,AJMER,JAWAJA,GOHANA,OBC W,MEERA,FEMALE,OBC,gohana,AJMER,JAWAJA,NA,AJMERJAWAJAgohana,78,AJMER,JAW AJA,GOHANA,GENW,meera devi,F,OBCW,gohana,AJMER,JAWAJA,AJMERJAWAJAgohana,0,
78,AJMER,JAWAJA,JALIYA FIRST,GEN W,SHABNAM,FEMALE,OBC,jaliya first,AJMER,JAWAJA,NA,AJMERJAWAJAjaliya first,79,AJMER,JAW AJA,JALIYA FIRST,OBCW,sartaj,F,OBCW,jaliya first,AJMER,JAWAJA,AJMERJAWAJAjaliya first,0,
79,AJMER,JAWAJA,JAWAJA,GEN W,MOHAN SINGH,FEMALE,OBC,jawaja,AJMER,JAWAJA,NA,AJMERJAWAJAjawaja,80,AJMER,JAW AJA,JAW AJA,SC,Vinod Kumar,M,SC,jawaja,AJMER,JAWAJA,AJMERJAWAJAjawaja,0,
80,AJMER,JAWAJA,KABRA,GEN,BHAIRUSINGH,MALE,OBC,kabra,AJMER,JAWAJA,NA,AJMERJAWAJAkabra,83,AJMER,JAW AJA,KOTRA,GEN,Ladu Singh,M,OBC,kotra,AJMER,JAWAJA,AJMERJAWAJAkotra,2,1
80,AJMER,JAWAJA,KABRA,GEN,BHAIRUSINGH,MALE,OBC,kabra,AJMER,JAWAJA,NA,AJMERJAWAJAkabra,81,AJMER,JAW AJA,KABRA,GENW,sohni devi,F,GENW,kabra,AJMER,JAWAJA,AJMERJAWAJAkabra,0,
81,AJMER,JAWAJA,KHEDAKALAN,GEN,PRATHVI PAL SINGH,MALE,OBC,khedakalan,AJMER,JAWAJA,NA,AJMERJAWAJAkhedakalan,68,AJMER,JAW AJA,BADAKHEDA @ KHERAKALAN,SCW,Asha Devi,F,SCW,khedakalan,AJMER,JAWAJA,AJMERJAWAJAkhedakalan,0,
82,AJMER,JAWAJA,KISHANPURA,GEN,HAJARI SINGH,MALE,OBC,kishanpura,AJMER,JAWAJA,NA,AJMERJAWAJAkishanpura,82,AJMER,JAW AJA,KISHANPURA,OBC,Badami Devi,F,OBCW,kishanpura,AJMER,JAWAJA,AJMERJAWAJAkishanpura,0,
83,AJMER,JAWAJA,KOTRA,OBC,LADU SINGH,MALE,OBC,kotra,AJMER,JAWAJA,NA,AJMERJAWAJAkotra,81,AJMER,JAW AJA,KABRA,GENW,sohni devi,F,GENW,kabra,AJMER,JAWAJA,AJMERJAWAJAkabra,2,1
83,AJMER,JAWAJA,KOTRA,OBC,LADU SINGH,MALE,OBC,kotra,AJMER,JAWAJA,NA,AJMERJAWAJAkotra,83,AJMER,JAW AJA,KOTRA,GEN,Ladu Singh,M,OBC,kotra,AJMER,JAWAJA,AJMERJAWAJAkotra,0,
84,AJMER,JAWAJA,LOTIYANA,GEN W,LAXMI DEVI,FEMALE,OBC,lotiyana,AJMER,JAWAJA,NA,AJMERJAWAJAlotiyana,84,AJMER,JAW AJA,LOTIYANA,GENW,Lila Chouhan,F,OBCW,lotiyana,AJMER,JAWAJA,AJMERJAWAJAlotiyana,0,
85,AJMER,JAWAJA,MALATA KI BAIR,GEN,GANPAT SINGH,MALE,OBC,malaton ki bair,AJMER,JAWAJA,NA,AJMERJAWAJAmalaton ki bair,85,AJMER,JAW AJA,MALATON KI BAIR,GEN,Ganpat Singh,M,OBC,malaton ki bair,AJMER,JAWAJA,AJMERJAWAJAmalaton ki bair,0,
86,AJMER,JAWAJA,MALPURA,GEN,MANGLA,MALE,OBC,malpura,AJMER,JAWAJA,NA,AJMERJAWAJAmalpura,86,AJMER,JAW AJA,MALPURA,GEN,Narendar Singh,M,OBC,malpura,AJMER,JAWAJA,AJMERJAWAJAmalpura,0,
87,AJMER,JAWAJA,NAIKALAN,SC,GOPAL LAL,MALE,SC,naikalan,AJMER,JAWAJA,NA,AJMERJAWAJAnaikalan,87,AJMER,JAW AJA,NAIKALAN,OBC,Mangal Singh,M,OBC,naikalan,AJMER,JAWAJA,AJMERJAWAJAnaikalan,0,
88,AJMER,JAWAJA,NARBADKHERA,SC,MADAN LAL,FEMALE,SC,narbadkhera,AJMER,JAWAJA,NA,AJMERJAWAJAnarbadkhera,88,AJMER,JAW AJA,NARBADKHERA,OBCW,Shravani,F,OBCW,narbadkhera,AJMER,JAWAJA,AJMERJAWAJAnarbadkhera,0,
89,AJMER,JAWAJA,NUNDRI MALDEVI,GEN,KANARAM GURJAR,MALE,OBC,nundri maldev,AJMER,JAWAJA,NA,AJMERJAWAJAnundri maldev,89,AJMER,JAW AJA,NUNDRI MALDEV,SC,Ram lal,M,SC,nundri maldev,AJMER,JAWAJA,AJMERJAWAJAnundri maldev,0,
