sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new
105,AJMER,KEKRI,BHEEMDAW AS,ST,SODAN MEENA,M,ST,bheemdawas,AJMER,KEKRI
106,AJMER,KEKRI,CHITIW AS,GEN,DURGA LAL,M,SC,chitiwas,AJMER,KEKRI
107,AJMER,KEKRI,DEVGAON,GEN,KARANGEET SINGH,M,GEN,devgaon,AJMER,KEKRI
108,AJMER,KEKRI,DHOONDHARI,GENW,BALI,F,OBCW,dhoondhari,AJMER,KEKRI
109,AJMER,KEKRI,GHATIYALI,SCW,ANOP,F,SCW,ghatiyali,AJMER,KEKRI
110,AJMER,KEKRI,GORDHA,SC,LAKMA,M,SC,gordha,AJMER,KEKRI
111,AJMER,KEKRI,GULGAON,GEN,SATYA PRESAN SINGH,M,GEN,gulgaon,AJMER,KEKRI
112,AJMER,KEKRI,JUNIY A,OBC,INDRA NARAYAN,M,OBC,juniya,AJMER,KEKRI
113,AJMER,KEKRI,KADERA,GENW,KASALIYA DEVI,F,GENW,kadera,AJMER,KEKRI
114,AJMER,KEKRI,KALERA KANWARJI,GENW,INDR KANWAR,F,GENW,kalera kanwarji,AJMER,KEKRI
115,AJMER,KEKRI,KALERA KRISHNA GOPAL,GEN,AMBIKA CHARAN,M,GEN,kalera krishna gopal,AJMER,KEKRI
116,AJMER,KEKRI,KANOJ,OBCW,HAGAMI,F,OBCW,kanoj,AJMER,KEKRI
117,AJMER,KEKRI,KHAWAS,GEN,DARMI CHAND,M,GEN,khawas,AJMER,KEKRI
118,AJMER,KEKRI,KUSHAYATA,STW,BALI,F,STW,kushayata,AJMER,KEKRI
119,AJMER,KEKRI,LASADIYA,OBC,BADRI,M,OBC,lasadiya,AJMER,KEKRI
120,AJMER,KEKRI,MEHROONKALAN,SC,KALU,M,SC,mehroonkalan,AJMER,KEKRI
121,AJMER,KEKRI,MEWDAKALAN,GENW,HEMLATA,F,GENW,mewdakalan,AJMER,KEKRI
122,AJMER,KEKRI,MOLKIYA,GENW,RAMPYARI,F,OBCW,molkiya,AJMER,KEKRI
123,AJMER,KEKRI,NAPAKHERA/ GIRWARPURA,OBCW,RENUKA DEVI,F,OBCW,napakhera/ girwarpura,AJMER,KEKRI
124,AJMER,KEKRI,P ARA,GEN,ASHARAM,M,OBC,para,AJMER,KEKRI
125,AJMER,KEKRI,PEEPLAJ,SCW,SANTOSH,F,SCW,peeplaj,AJMER,KEKRI
126,AJMER,KEKRI,PRANHEDA,GENW,INDRA,F,GENW,pranheda,AJMER,KEKRI
127,AJMER,KEKRI,SADARA,STW,SAYARI DEVI,F,STW,sadara,AJMER,KEKRI
128,AJMER,KEKRI,SALARI,GENW,SOHANI,F,OBCW,salari,AJMER,KEKRI
129,AJMER,KEKRI,SARSADI,ST,BHURALAL,M,ST,sarsadi,AJMER,KEKRI
130,AJMER,KEKRI,SAWAR,GEN,Pushpendra SINGH,M,GEN,sawar,AJMER,KEKRI
131,AJMER,KEKRI,TANKAWAS,SCW,SANJA DEVI,F,SCW,tankawas,AJMER,KEKRI
132,AJMER,KISHANGARH,AMARPURA,GENW,Gulab kanwar,F,GENW,amarpura,AJMER,KISHANGARH
133,AJMER,KISHANGARH,BANDARSINDRI,GEN,Raghunath,M,OBC,bandarsindri,AJMER,KISHANGARH
134,AJMER,KISHANGARH,BARNA,OBC,Govind singh,M,OBC,barna,AJMER,KISHANGARH
135,AJMER,KISHANGARH,BHADUN,GENW,Kiran kanwar,F,GENW,bhadun,AJMER,KISHANGARH
136,AJMER,KISHANGARH,BUHARU,OBC,radhu Khan,M,OBC,buharu,AJMER,KISHANGARH
137,AJMER,KISHANGARH,DEEDW ARA,SC,Hanuman,M,SC,deedwara,AJMER,KISHANGARH
138,AJMER,KISHANGARH,HARMADA,SCW,Naurati,F,SCW,harmada,AJMER,KISHANGARH
139,AJMER,KISHANGARH,JAJOTA,OBC,Moola,M,OBC,jajota,AJMER,KISHANGARH
140,AJMER,KISHANGARH,KADHA,SC,Ugma ram,M,SC,kadha,AJMER,KISHANGARH
141,AJMER,KISHANGARH,KARKERI,SCW,Chhagndi,F,SCW,karkeri,AJMER,KISHANGARH
142,AJMER,KISHANGARH,KHATOLI,GEN,Jasbeer Singh,M,GEN,khatoli,AJMER,KISHANGARH
143,AJMER,KISHANGARH,KOTDI,GENW,Santosh,F,OBCW,kotdi,AJMER,KISHANGARH
144,AJMER,KISHANGARH,KUCHEEL,GENW,radha,F,OBCW,kucheel,AJMER,KISHANGARH
145,AJMER,KISHANGARH,MALIYON KI BARI,GENW,Seeta Dewi,F,OBCW,maliyon ki bari,AJMER,KISHANGARH
146,AJMER,KISHANGARH,NALOO,GENW,Shaguni,F,OBCW,naloo,AJMER,KISHANGARH
147,AJMER,KISHANGARH,NOSAL,GEN,Ranjeet Singh,M,GEN,nosal,AJMER,KISHANGARH
148,AJMER,KISHANGARH,NWAN,GEN,Ramkaran,M,OBC,nwan,AJMER,KISHANGARH
149,AJMER,KISHANGARH,PANER,OBC,bHANWAR lAL,M,OBC,paner,AJMER,KISHANGARH
150,AJMER,KISHANGARH,PATAN,GEN,tEJ sINGH,M,GEN,patan,AJMER,KISHANGARH
151,AJMER,KISHANGARH,PEENGLOD,SC,Ganga Ram,M,SC,peenglod,AJMER,KISHANGARH
152,AJMER,KISHANGARH,RALAWATA,GENW,Manju Kanwar,F,GENW,ralawata,AJMER,KISHANGARH
153,AJMER,KISHANGARH,ROOPANGARH,GENW,Shobha,F,GENW,roopangarh,AJMER,KISHANGARH
154,AJMER,KISHANGARH,SALEMABAD,OBCW,Barjee,F,OBCW,salemabad,AJMER,KISHANGARH
155,AJMER,KISHANGARH,SARGAON,GEN,Govind Singh,M,GEN,sargaon,AJMER,KISHANGARH
156,AJMER,KISHANGARH,SILORA,GEN,Jitender Singh,M,GEN,silora,AJMER,KISHANGARH
157,AJMER,KISHANGARH,SINODIY A,OBCW,Mannudi Devi,F,OBCW,sinodiya,AJMER,KISHANGARH
158,AJMER,KISHANGARH,SURSURA,GENW,Yogita,F,GENW,sursura,AJMER,KISHANGARH
159,AJMER,KISHANGARH,THAL,GEN,Nanad lal,M,OBC,thal,AJMER,KISHANGARH
160,AJMER,KISHANGARH,TIKAWADA,OBCW,Meena Dewi,F,OBCW,tikawada,AJMER,KISHANGARH
161,AJMER,KISHANGARH,TILONIYA,SCW,KAmla Dewi,F,SCW,tiloniya,AJMER,KISHANGARH
162,AJMER,KISHANGARH,TYOD,GEN,virender Singh,M,GEN,tyod,AJMER,KISHANGARH
163,AJMER,MASUDA,ANDHERI DEVRI,GEN,Jagdish Singh,M,OBC,andheri devri,AJMER,MASUDA
164,AJMER,MASUDA,BADI,SCW,Ganga devi,F,SCW,badi,AJMER,MASUDA
165,AJMER,MASUDA,BARAL -II,GENW,rekha jain,F,GENW,baral -ii,AJMER,MASUDA
166,AJMER,MASUDA,BEGLIY ABAS,GENW,Meera rawat,F,OBCW,begliyabas,AJMER,MASUDA
167,AJMER,MASUDA,DAULATPURA - I,GEN,ramkaran,M,OBC,daulatpura - i,AJMER,MASUDA
168,AJMER,MASUDA,DAULATPURA - II,GEN,lala,M,OBC,daulatpura - ii,AJMER,MASUDA
169,AJMER,MASUDA,DEVMALI,GENW,Bhagi,F,OBCW,devmali,AJMER,MASUDA
170,AJMER,MASUDA,DEWAS,GEN,Bhanwar Singh,M,OBC,dewas,AJMER,MASUDA
171,AJMER,MASUDA,DHOLADANTA,GEN,Mangilal,M,OBC,dholadanta,AJMER,MASUDA
172,AJMER,MASUDA,HANUTIYA,GENW,Kunni,F,OBCW,hanutiya,AJMER,MASUDA
173,AJMER,MASUDA,HARRAJPURA,GEN,Ashraf kathat,M,OBC,harrajpura,AJMER,MASUDA
174,AJMER,MASUDA,JALIYA - II,SC,Panna lal,M,SC,jaliya - ii,AJMER,MASUDA
175,AJMER,MASUDA,JAMOLA,GEN,Narender Vikaram Singh,M,GEN,jamola,AJMER,MASUDA
176,AJMER,MASUDA,JEEW ANA,GENW,kanija,F,GENW,jeewana,AJMER,MASUDA
177,AJMER,MASUDA,JHAK,OBC,Mohan,M,OBC,jhak,AJMER,MASUDA
178,AJMER,MASUDA,KANAKHERA,GENW,Sarla,F,OBCW,kanakhera,AJMER,MASUDA
179,AJMER,MASUDA,KHARWA,GENW,manju jain,F,GENW,kharwa,AJMER,MASUDA
180,AJMER,MASUDA,KIRAP,GEN,Mool Kanwar,F,GENW,kirap,AJMER,MASUDA
181,AJMER,MASUDA,LODIYANA,OBCW,Gajju kanwar,F,OBCW,lodiyana,AJMER,MASUDA
182,AJMER,MASUDA,LOOLWA,GENW,Bhawari,F,OBCW,loolwa,AJMER,MASUDA
183,AJMER,MASUDA,MASUDA,OBC,Jagdish Jat,M,OBC,masuda,AJMER,MASUDA
184,AJMER,MASUDA,MAYLA,SC,Chhothu Lal,M,SC,mayla,AJMER,MASUDA
185,AJMER,MASUDA,MOYANA,OBCW,manju sain,F,OBCW,moyana,AJMER,MASUDA
186,AJMER,MASUDA,NANDW ADA,GEN,Kamla Kanwar,F,OBCW,nandwada,AJMER,MASUDA
187,AJMER,MASUDA,PEEPLAJ,OBCW,Kamla kanwar,F,OBCW,peeplaj,AJMER,MASUDA
188,AJMER,MASUDA,RAMGARH,ST,Bhawar lal Bhil,F,STW,ramgarh,AJMER,MASUDA
189,AJMER,MASUDA,SATAWADIYA,OBC,Mangilal,M,OBC,satawadiya,AJMER,MASUDA
190,AJMER,MASUDA,SATHANA,SCW,Bhawari Dewi,F,SCW,sathana,AJMER,MASUDA
191,AJMER,MASUDA,SHERGARH,OBC,Ramnath,M,OBC,shergarh,AJMER,MASUDA
192,AJMER,MASUDA,SHIKHRANI,GEN,Dinesh,M,GEN,shikhrani,AJMER,MASUDA
193,AJMER,MASUDA,SHYAMGARH,GENW,Pankaj kanwar,F,OBCW,shyamgarh,AJMER,MASUDA
194,AJMER,PEESANGAN,BAGHSURI,GEN,Devendra Singh Gurjar,M,OBC,baghsuri,AJMER,PEESANGAN
195,AJMER,PEESANGAN,BHAGW ANPURA,GEN,Rames Singh,M,OBC,bhagwanpura,AJMER,PEESANGAN
196,AJMER,PEESANGAN,BHANWTA,OBC,Ghasi Ram,M,OBC,bhanwta,AJMER,PEESANGAN
197,AJMER,PEESANGAN,BHATIYANI,GEN,Kailash Chand,M,GEN,bhatiyani,AJMER,PEESANGAN
198,AJMER,PEESANGAN,BHATSURI,GEN,Baldev Gurjar,M,GEN,bhatsuri,AJMER,PEESANGAN
199,AJMER,PEESANGAN,BHAW ANIKHERA,GENW,Nani Devi,F,OBCW,bhawanikhera,AJMER,PEESANGAN
200,AJMER,PEESANGAN,BIDKCHIYAWAS,OBCW,Santosh,F,OBCW,bidkchiyawas,AJMER,PEESANGAN
201,AJMER,PEESANGAN,BITHUR,GEN,Beera Khan,M,OBC,bithur,AJMER,PEESANGAN
202,AJMER,PEESANGAN,BUDHW ARA,GENW,lali,F,OBCW,budhwara,AJMER,PEESANGAN
203,AJMER,PEESANGAN,DANT ADA,GENW,Pushpa Devi Sharma,F,GENW,dantada,AJMER,PEESANGAN
204,AJMER,PEESANGAN,DERATHU,GEN,Sheitan,M,OBC,derathu,AJMER,PEESANGAN
205,AJMER,PEESANGAN,DEVNAGAR,GENW,Mitlesh Sharma,F,GENW,devnagar,AJMER,PEESANGAN
206,AJMER,PEESANGAN,DODIYANA,GENW,Baburi,F,OBCW,dodiyana,AJMER,PEESANGAN
207,AJMER,PEESANGAN,DUMARA,OBCW,Rukma,F,OBCW,dumara,AJMER,PEESANGAN
208,AJMER,PEESANGAN,GANAHERA,OBCW,Bidami,F,OBCW,ganahera,AJMER,PEESANGAN
209,AJMER,PEESANGAN,GOL A,OBCW,Manju,F,OBCW,gola,AJMER,PEESANGAN
210,AJMER,PEESANGAN,GOVINDGARH,SC,Chotmal,M,SC,govindgarh,AJMER,PEESANGAN
211,AJMER,PEESANGAN,HATUNDI,GENW,Sayeeda,F,OBCW,hatundi,AJMER,PEESANGAN
212,AJMER,PEESANGAN,JETHANA,GENW,Nirmala Chera,F,GENW,jethana,AJMER,PEESANGAN
213,AJMER,PEESANGAN,JHADW ASA,GEN,Devkaran Gurjar,M,OBC,jhadwasa,AJMER,PEESANGAN
214,AJMER,PEESANGAN,KADEIL,GENW,Sampat Kanwar,F,GENW,kadeil,AJMER,PEESANGAN
215,AJMER,PEESANGAN,KALESARA,GEN,Rajveer singh,M,OBC,kalesara,AJMER,PEESANGAN
216,AJMER,PEESANGAN,KARNOS,GEN,Moti Lal,M,OBC,karnos,AJMER,PEESANGAN
217,AJMER,PEESANGAN,KESARPURA,SCW,Kamla,F,SCW,kesarpura,AJMER,PEESANGAN
218,AJMER,PEESANGAN,KHORI,GEN,Pratap,M,OBC,khori,AJMER,PEESANGAN
219,AJMER,PEESANGAN,LAMANA,GENW,gomi,F,OBCW,lamana,AJMER,PEESANGAN
220,AJMER,PEESANGAN,LEEDI,SC,Mishri Lal,M,SC,leedi,AJMER,PEESANGAN
221,AJMER,PEESANGAN,MAKRERA,OBC,Shiv Raj,M,OBC,makrera,AJMER,PEESANGAN
222,AJMER,PEESANGAN,MANGLIYAWAS,OBC,Chagan Lal,M,OBC,mangliyawas,AJMER,PEESANGAN
223,AJMER,PEESANGAN,MIY ANPUR,GEN,Kamla,F,OBCW,miyanpur,AJMER,PEESANGAN
224,AJMER,PEESANGAN,NAGELAV,GENW,Khurshida Bano,F,GENW,nagelav,AJMER,PEESANGAN
225,AJMER,PEESANGAN,NAND,GENW,Kumkum Kanwar,F,GENW,nand,AJMER,PEESANGAN
226,AJMER,PEESANGAN,NANDLA,GENW,Kanchan,F,OBCW,nandla,AJMER,PEESANGAN
227,AJMER,PEESANGAN,NYARA,OBC,Shri Kishan,M,OBC,nyara,AJMER,PEESANGAN
228,AJMER,PEESANGAN,PAGARA,SCW,Shugani,F,SCW,pagara,AJMER,PEESANGAN
229,AJMER,PEESANGAN,PEESANGAN,SCW,Lajwanti,F,SCW,peesangan,AJMER,PEESANGAN
230,AJMER,PEESANGAN,PICHOLIY A,GENW,Kamla Choudhary,F,OBCW,picholiya,AJMER,PEESANGAN
231,AJMER,PEESANGAN,RAJGARH,GEN,Hari Nivas,M,GEN,rajgarh,AJMER,PEESANGAN
232,AJMER,PEESANGAN,RAJOSI,GEN,Mastan Khan,M,OBC,rajosi,AJMER,PEESANGAN
233,AJMER,PEESANGAN,RAMPURA DABLA,OBC,Chena Ram,M,OBC,rampura dabla,AJMER,PEESANGAN
234,AJMER,PEESANGAN,SARADHANA,GEN,Mukesh,M,SC,saradhana,AJMER,PEESANGAN
235,AJMER,PEESANGAN,TILORA,SC,Poona,M,SC,tilora,AJMER,PEESANGAN
236,AJMER,SRINAGAR,AJAYSAR,GEN,Bhanwar Singh,M,OBC,ajaysar,AJMER,SRINAGAR
237,AJMER,SRINAGAR,ARADKA,GENW,Rashisa Khatoon,F,GENW,aradka,AJMER,SRINAGAR
238,AJMER,SRINAGAR,BABA Y ACHA,GEN,Natwar Singh,M,GEN,babayacha,AJMER,SRINAGAR
239,AJMER,SRINAGAR,BADLYA,GEN,Mangal Singh,M,OBC,badlya,AJMER,SRINAGAR
240,AJMER,SRINAGAR,BEER,GENW,Nani,F,OBCW,beer,AJMER,SRINAGAR
241,AJMER,SRINAGAR,BHUDOL,GEN,Arjun Nath,M,OBC,bhudol,AJMER,SRINAGAR
242,AJMER,SRINAGAR,BUBANI,OBC,Gopal singh,M,OBC,bubani,AJMER,SRINAGAR
243,AJMER,SRINAGAR,CHACHIYAWAS,GENW,Laxmi,F,OBCW,chachiyawas,AJMER,SRINAGAR
244,AJMER,SRINAGAR,DANTA,OBCW,Indra,F,OBCW,danta,AJMER,SRINAGAR
245,AJMER,SRINAGAR,DHAL,GENW,Suwa,F,OBCW,dhal,AJMER,SRINAGAR
246,AJMER,SRINAGAR,DILWARA,GENW,Mangi,F,OBCW,dilwara,AJMER,SRINAGAR
247,AJMER,SRINAGAR,GAGW ANA,GEN,Aslam Khan,M,GEN,gagwana,AJMER,SRINAGAR
248,AJMER,SRINAGAR,GEGAL,GEN,Abdul Jalil,M,GEN,gegal,AJMER,SRINAGAR
