sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new
6101,JHUNJHUNU,ALSISAR,KALIYASAR,General,DAYA SINGH,,OBC,kaliyasar,JHUNJHUNU,ALSISAR
6102,JHUNJHUNU,ALSISAR,KANT,General,SURESH KUMAR,,OBC,kant,JHUNJHUNU,ALSISAR
6103,JHUNJHUNU,ALSISAR,KODESAR,General,SURESH BHAMU,,OBC,kodesar,JHUNJHUNU,ALSISAR
6104,JHUNJHUNU,ALSISAR,KOLINDA,SC (Woman),SUDESH,,SC (Woman),kolinda,JHUNJHUNU,ALSISAR
6105,JHUNJHUNU,ALSISAR,LADUSAR,OBC (Woman),FARIYAZ BANU,,OBC (Woman),ladusar,JHUNJHUNU,ALSISAR
6106,JHUNJHUNU,ALSISAR,LOONA,General,MAHIP AL,,OBC,loona,JHUNJHUNU,ALSISAR
6107,JHUNJHUNU,ALSISAR,MAHANSAR,SC (Woman),SAVITRI ROLAN,,SC (Woman),mahansar,JHUNJHUNU,ALSISAR
6108,JHUNJHUNU,ALSISAR,MALSISAR,General (Woman),BHISMILLAH,,OBC (Woman),malsisar,JHUNJHUNU,ALSISAR
6109,JHUNJHUNU,ALSISAR,NIRADHANU,General (Woman),MANISHA,,OBC (Woman),niradhanu,JHUNJHUNU,ALSISAR
6110,JHUNJHUNU,ALSISAR,PATODA,General,MANOJ KUMAR,,OBC,patoda,JHUNJHUNU,ALSISAR
6111,JHUNJHUNU,ALSISAR,PILANI KHURD,OBC,SOHAN LAL,,OBC,pilani khurd,JHUNJHUNU,ALSISAR
6112,JHUNJHUNU,ALSISAR,RAMPURA,General (Woman),RINKU KANWAR,,General (Woman),rampura,JHUNJHUNU,ALSISAR
6113,JHUNJHUNU,ALSISAR,SONASAR,SC (Woman),SEEM AKUMARI,,SC (Woman),sonasar,JHUNJHUNU,ALSISAR
6114,JHUNJHUNU,ALSISAR,T AMKOR,SC,JAGDEESH PRASAD,,SC,t amkor,JHUNJHUNU,ALSISAR
6115,JHUNJHUNU,ALSISAR,T ANEE,SC,PANA MEGHWAL,,SC (Woman),t anee,JHUNJHUNU,ALSISAR
4889,JAIPUR,AMER,ACHROL,OBC (Woman),BHAGWATI SAHAY MALI,,OBC (Woman),achrol,JAIPUR,AMBER
4890,JAIPUR,AMER,AKHAIPURA,ST (Woman),BASANTI DEVI MEENA,,ST (Woman),akhaipura,JAIPUR,AMBER
4891,JAIPUR,AMER,BAGW ADA,General (Woman),MANJU DEVI,,General (Woman),bagw ada,JAIPUR,AMBER
4892,JAIPUR,AMER,BILOCHI,OBC,MAMRAJ GURJAR,,OBC,bilochi,JAIPUR,AMBER
4893,JAIPUR,AMER,BILPUR,General (Woman),SUNITA KANWAR,,General (Woman),bilpur,JAIPUR,AMBER
4894,JAIPUR,AMER,CHANDW AJI,General (Woman),SAROJ MEENA,,ST (Woman),chandw aji,JAIPUR,AMBER
4895,JAIPUR,AMER,CHHAP ARDI,OBC (Woman),SAVITRI DEVI GURJAR,,OBC (Woman),chhap ardi,JAIPUR,AMBER
4896,JAIPUR,AMER,CHITANU KALAN,ST,BABULAL MEENA,,ST,chitanu kalan,JAIPUR,AMBER
4897,JAIPUR,AMER,DHAND,ST,BHAGWAN SAHAY MEENA,,ST,dhand,JAIPUR,AMBER
4898,JAIPUR,AMER,DOLATPURA KOTADA,General (Woman),VANITA RAJAWAT,,General (Woman),dolatpura kotada,JAIPUR,AMBER
4899,JAIPUR,AMER,KANT,SC,SANDEEP KUMAR BUNKAR,,SC,kant,JAIPUR,AMBER
4900,JAIPUR,AMER,KANW ARPURA,General,BASANT KUMAR SHARMA,,General,kanw arpura,JAIPUR,AMBER
4901,JAIPUR,AMER,KHORA MEENA,ST (Woman),SEEMA MEENA,,ST (Woman),khora meena,JAIPUR,AMBER
4902,JAIPUR,AMER,KUKAS,General,RAMGOPAL SHARMA,,General,kukas,JAIPUR,AMBER
4903,JAIPUR,AMER,LABANA,SC (Woman),SHAKUNATALA DEVI,,SC (Woman),labana,JAIPUR,AMBER
4904,JAIPUR,AMER,LAKHER,ST (Woman),DHOLI DEVI,,ST (Woman),lakher,JAIPUR,AMBER
4905,JAIPUR,AMER,MANPURA MACHEDI,General,NARENDRA SINGH SHEKHAWAT,,General,manpura machedi,JAIPUR,AMBER
4906,JAIPUR,AMER,NANGAL SUSAWATAN,General (Woman),CHANDANI KUMARI MEENA,,ST (Woman),nangal susawatan,JAIPUR,AMBER
4907,JAIPUR,AMER,RUNDAL,ST,LAXMI NARAYAN MEENA,,ST,rundal,JAIPUR,AMBER
4908,JAIPUR,AMER,SHYAMPURA,General,AMEEN KHA,,General,shyampura,JAIPUR,AMBER
4909,JAIPUR,AMER,SIROHI,General (Woman),LALITA,,General (Woman),sirohi,JAIPUR,AMBER
4910,JAIPUR,AMER,AKAIDA DUNGUR,SC,PURAN CHAND BUNKAR,,SC,akaida dungur,JAIPUR,AMBER
8184,RAJSAMAND,AMET,AAGARIYA,SC,KANHAIYA LAL BALAI,,SC,aagariya,RAJSAMAND,AMET
8185,RAJSAMAND,AMET,AAIDANA,ST,PYAR LAL BHIL,,ST,aaidana,RAJSAMAND,AMET
8186,RAJSAMAND,AMET,BIKAWAS,OBC (Woman),GEHRI BAI GURJAR,,OBC (Woman),bikawas,RAJSAMAND,AMET
8187,RAJSAMAND,AMET,DOOW ARA,General,RATAN SINGH,,OBC,doowara,RAJSAMAND,AMET
8188,RAJSAMAND,AMET,GALWA,SC (Woman),BHAWANA DHOLI,,SC (Woman),galwa,RAJSAMAND,AMET
8189,RAJSAMAND,AMET,GHOSUNDI,General (Woman),JYOTI RATHORE,,General (Woman),ghosundi,RAJSAMAND,AMET
8190,RAJSAMAND,AMET,GOW AL,General,GANPAT SINGH CHUNDAWAT,,General,gowal,RAJSAMAND,AMET
8191,RAJSAMAND,AMET,JAITPURA,OBC,HARI SINGH,,OBC,jaitpura,RAJSAMAND,AMET
8192,RAJSAMAND,AMET,JHOOR,General,SHIVCHARAN SINGH,,General,jhoor,RAJSAMAND,AMET
8193,RAJSAMAND,AMET,JILOLA,ST (Woman),NARAYANI BHIL,,ST (Woman),jilola,RAJSAMAND,AMET
8194,RAJSAMAND,AMET,KHAKHARMALA,General (Woman),SAROJ KANWAR,,General (Woman),khakharmala,RAJSAMAND,AMET
8195,RAJSAMAND,AMET,LEEKI,General,TEJ SINGH,,General,leeki,RAJSAMAND,AMET
8196,RAJSAMAND,AMET,LODHIYANA,General (Woman),PARAS KANWAR,,General (Woman),lodhiyana,RAJSAMAND,AMET
8197,RAJSAMAND,AMET,OLANAKHERA,OBC (Woman),SHARDA DEVI,,OBC (Woman),olanakhera,RAJSAMAND,AMET
8198,RAJSAMAND,AMET,PANOTIYA,OBC,BHARMAL,,OBC,panotiya,RAJSAMAND,AMET
8199,RAJSAMAND,AMET,RACHHETI,General (Woman),SUSHILA GURJAR,,OBC (Woman),rachheti,RAJSAMAND,AMET
8200,RAJSAMAND,AMET,SAKARADA,General (Woman),SHANTI KUMARI,,OBC,sakarada,RAJSAMAND,AMET
8201,RAJSAMAND,AMET,SARDARGARH,General (Woman),GAYTRI,,General (Woman),sardargarh,RAJSAMAND,AMET
8202,RAJSAMAND,AMET,SELAGURHA,SC,NAINARAM REGAR,,SC,selagurha,RAJSAMAND,AMET
8203,RAJSAMAND,AMET,SIY ANA,General,HAJARI LAL,,OBC,siyana,RAJSAMAND,AMET
785,BANSW ARA,ANADPURI,AMLIYA AMBADRA,ST,RAMRAJ BAIRWA,,ST,amliya ambadra,BANSWARA,ANANDPURI
786,BANSW ARA,ANADPURI,ANANDPURI,ST,SAMAYSINGH MEENA,,ST (Woman),anandpuri,BANSWARA,ANANDPURI
787,BANSW ARA,ANADPURI,BADLIYA,ST,URMILA MEENA,,ST,badliya,BANSWARA,ANANDPURI
788,BANSW ARA,ANADPURI,BERJDIYA,ST (Woman),SAJAN BAI MEENA,,ST (Woman),berjdiya,BANSWARA,ANANDPURI
789,BANSW ARA,ANADPURI,BHALER BHODER,ST (Woman),RENA GURJAR,,ST (Woman),bhaler bhoder,BANSWARA,ANANDPURI
790,BANSW ARA,ANADPURI,CHANDERVADA,ST (Woman),RAJANTI,,ST (Woman),chandervada,BANSWARA,ANANDPURI
791,BANSW ARA,ANADPURI,CHHAJA,ST (Woman),BABULAL GURJAR,,ST (Woman),chhaja,BANSWARA,ANANDPURI
792,BANSW ARA,ANADPURI,CHIKLI TEJA,ST (Woman),SHALANI,,ST (Woman),chikli teja,BANSWARA,ANANDPURI
793,BANSW ARA,ANADPURI,CHORDI,ST (Woman),LALI JOGI,,ST (Woman),chordi,BANSWARA,ANANDPURI
794,BANSW ARA,ANADPURI,DHOKAR,ST,RAJVATI DEVI,,ST,dhokar,BANSWARA,ANANDPURI
795,BANSW ARA,ANADPURI,KAJLIYA,ST (Woman),SAROJ MEENA,,ST (Woman),kajliya,BANSWARA,ANANDPURI
796,BANSW ARA,ANADPURI,KANELA,ST (Woman),DAYARAM,,ST (Woman),kanela,BANSWARA,ANANDPURI
797,BANSW ARA,ANADPURI,KARDA,ST,MOHINUDDIN,,ST,karda,BANSWARA,ANANDPURI
798,BANSW ARA,ANADPURI,MADKOLA MOGJI,ST,MAHENDRA KUMAR MEENA,,ST,madkola mogji,BANSWARA,ANANDPURI
799,BANSW ARA,ANADPURI,MAINA PADAR,ST (Woman),GHANI BAI GURJAR,,ST (Woman),maina padar,BANSWARA,ANANDPURI
800,BANSW ARA,ANADPURI,MUNDRI,ST,DULARI,,ST (Woman),mundri,BANSWARA,ANANDPURI
801,BANSW ARA,ANADPURI,NAHARPURA,ST,RAMLAL,,ST,naharpura,BANSWARA,ANANDPURI
802,BANSW ARA,ANADPURI,OMBELA,ST (Woman),KANKU DEVI,,ST (Woman),ombela,BANSWARA,ANANDPURI
803,BANSW ARA,ANADPURI,PAT NAVADHRA,ST,GAUTAMLAL,,ST,pat navadhra,BANSWARA,ANANDPURI
804,BANSW ARA,ANADPURI,PATIA GALIYA,ST (Woman),SHUSHIL A,,ST (Woman),patia galiya,BANSWARA,ANANDPURI
805,BANSW ARA,ANADPURI,PHALVA,ST (Woman),LEELA DEVI,,ST (Woman),phalva,BANSWARA,ANANDPURI
806,BANSW ARA,ANADPURI,RA T ANPURA,ST (Woman),KARM DEVI,,ST (Woman),ratanpura,BANSWARA,ANANDPURI
807,BANSW ARA,ANADPURI,SUNDRA V,ST,SHANTI DEVI,,ST (Woman),sundrav,BANSWARA,ANANDPURI
808,BANSW ARA,ANADPURI,TAMTIYA,ST,VINOD KUMAR DAMOR,,ST,tamtiya,BANSWARA,ANANDPURI
809,BANSW ARA,ANADPURI,UDAIPURA BADA,ST,RAMESH CHANDRA,,ST,udaipura bada,BANSWARA,ANANDPURI
810,BANSW ARA,ANADPURI,VARETH,ST,RAMANLAL,,ST,vareth,BANSWARA,ANANDPURI
811,BANSW ARA,ANADPURI,DHODHIYA,ST (Woman),MANI DEVI,,ST (Woman),dhodhiya,BANSWARA,ANANDPURI
812,BANSW ARA,ANADPURI,TEJPURA,ST,SMT. MANA,,ST (Woman),tejpura,BANSWARA,ANANDPURI
813,BANSW ARA,ANADPURI,JHER,ST,BALKRISHAN,,ST,jher,BANSWARA,ANANDPURI
1131,BARAN,ANT A,AMLSARA,General (Woman),SUNIT A,,OBC (Woman),amlsara,BARAN,ANTAH
1132,BARAN,ANT A,BADGAON,SC (Woman),VINIT A,,SC (Woman),badgaon,BARAN,ANTAH
1133,BARAN,ANT A,BADWA,General (Woman),MANJU BAI,,OBC (Woman),badwa,BARAN,ANTAH
1134,BARAN,ANT A,BALAKHERA,General (Woman),SONA NAGAR,,OBC (Woman),balakhera,BARAN,ANTAH
1135,BARAN,ANT A,BALDARA,SC,VINOD KUMAR,,SC,baldara,BARAN,ANTAH
1136,BARAN,ANT A,BAMORI KALAN,General (Woman),SEEMA NAGAR,,OBC (Woman),bamori kalan,BARAN,ANTAH
1137,BARAN,ANT A,BAMULIYA KALAN,SC,CHOTH MAL,,SC,bamuliya kalan,BARAN,ANTAH
1138,BARAN,ANT A,BAMULIYA MATAJI,SC,NEMI CHAND,,SC,bamuliya mataji,BARAN,ANTAH
1139,BARAN,ANT A,BHATWARA,General (Woman),SUSHILA BAI,,ST (Woman),bhatwara,BARAN,ANTAH
1140,BARAN,ANT A,BHOJA KHERI,OBC (Woman),SHAFINA,,OBC (Woman),bhoja kheri,BARAN,ANTAH
1141,BARAN,ANT A,BIJORA,SC (Woman),MAMTA KUMARI MEROTHA,,SC (Woman),bijora,BARAN,ANTAH
