sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new,dist_2010
1100,BARAN,ANTA,MAHALPUR,GEN,RAJENDRA SINGH,MALE,GEN,mahalpur,BARAN,ANTAH,
1101,BARAN,ANTA,MAHUWA,SC W,MANBHAR BAI,FEMALE,SC,mahua,BARAN,ANTAH,
1102,BARAN,ANTA,MALBAMORI,OBC,BHANWAR LAL GURJAR,MALE,OBC,malbmori,BARAN,ANTAH,
1103,BARAN,ANTA,MAU,SC,KASTOOR CHAND MEHAR,MALE,SC,mau,BARAN,ANTAH,
1104,BARAN,ANTA,MIRJAPUR,GEN W,AYODHYA BAI,FEMALE,OBC,mirjapura,BARAN,ANTAH,
1105,BARAN,ANTA,NIYANA,SC,PRABHULAL,MALE,SC,niyana,BARAN,ANTAH,
1106,BARAN,ANTA,PACHEL KALAN,ST W,HANSA BAI,FEMALE,ST,pachel kalan,BARAN,ANTAH,
1107,BARAN,ANTA,PALAYTHA,GEN,MAHENDRA GAUTAM,MALE,GEN,palaytha,BARAN,ANTAH,
1108,BARAN,ANTA,PALSAWA,OBC,BABU LAL,MALE,OBC,palsawa,BARAN,ANTAH,
1109,BARAN,ANTA,PATONDA,SC,SURESH MEGHWAL,MALE,SC,patonda,BARAN,ANTAH,
1110,BARAN,ANTA,RAITHAL,SC,DHARMRAJ MEHRA,MALE,SC,raithal,BARAN,ANTAH,
1111,BARAN,ANTA,SEESWALI,GEN,OMPRAKASH NAGAR,MALE,OBC,siswali,BARAN,ANTAH,
1112,BARAN,ANTA,SHAHPURA,ST,GHANSHYAM MEENA,MALE,ST,shahpura,BARAN,ANTAH,
1113,BARAN,ANTA,SORKHAND KALAN,ST,SHYAM MANOHAR,MALE,ST,sorakhand kalan,BARAN,ANTAH,
1114,BARAN,ANTA,SORSAN,GEN,MADHUSUDHAN SINGH,MALE,GEN,sorsan,BARAN,ANTAH,
1115,BARAN,ANTA,THEEKARIA,GEN W,SHRINGAR BAI,FEMALE,GEN,thikaria,BARAN,ANTAH,
1116,BARAN,ANTA,TISAYA,GEN W,KAMLA BAI MEENA,FEMALE,ST,tisaya,BARAN,ANTAH,
1117,BARAN,ANTA,UDPURIA,ST W,CHANDRAKANTA MEENA,FEMALE,ST,udaipuria,BARAN,ANTAH,
1118,BARAN,ATRU,ANTANA,GEN,ASHOK MEENA,MALE,ST,antana,BARAN,ATRU,
1119,BARAN,ATRU,ARDAND,ST W,TULSI BAI SAHARIYA,FEMALE,ST,ardand,BARAN,ATRU,
1120,BARAN,ATRU,ATON,GEN,LAXMICHAND NAGAR,MALE,OBC,aotan,BARAN,ATRU,
1121,BARAN,ATRU,ATRU,ST,OMPRAKASH SAHARIYA,MALE,ST,atru,BARAN,ATRU,
1122,BARAN,ATRU,BADOR,GEN,DHANRAJ NAGAR,MALE,OBC,badora,BARAN,ATRU,
1123,BARAN,ATRU,BAMORI,GEN,RAJENDRA NAGAR,MALE,OBC,bamori,BARAN,ATRU,
1124,BARAN,ATRU,BARLAN,SC,BABULAL CHAMAR,MALE,SC,barla,BARAN,ATRU,
1125,BARAN,ATRU,BHAINSARA,ST W,CHITRALEKHA MEENA,FEMALE,ST,bhainsda,BARAN,ATRU,
1126,BARAN,ATRU,CHARDANA,SC,KRISHAN MURARI DILAWAR,MALE,SC,chardana,BARAN,ATRU,
1127,BARAN,ATRU,DARA,GEN W,MANJULATA DEVI,FEMALE,GEN,dara,BARAN,ATRU,
1128,BARAN,ATRU,DEELOD HATHI,SC,BAJRANG LAL,MALE,SC,deelodhathi,BARAN,ATRU,
1129,BARAN,ATRU,DHOTI,SC,JAGDISH PRASAD,MALE,SC,dhoti,BARAN,ATRU,
1130,BARAN,ATRU,GORDHANPURA,ST,BABULAL MEENA,MALE,ST,gordhanpura,BARAN,ATRU,
1131,BARAN,ATRU,JEEROD,GEN,BANSHILAL,MALE,GEN,jeerod,BARAN,ATRU,
1132,BARAN,ATRU,KANOTIA,GEN W,MITHLESH MEENA,FEMALE,ST,kanotiya,BARAN,ATRU,
1133,BARAN,ATRU,KATAWAR,SC W,KANYA BAI,FEMALE,SC,katawar,BARAN,ATRU,
1134,BARAN,ATRU,KAWAI,OBC,CHUNNILAL SONI,MALE,OBC,kawai,BARAN,ATRU,
1135,BARAN,ATRU,KERWALIA,GEN W,BHAGWATI BAI,FEMALE,GEN,kerwaliya,BARAN,ATRU,
1136,BARAN,ATRU,KHARKHARA RAMLOTHAN,ST,NEMICHAND MEENA,MALE,ST,kharkhada ram lothan,BARAN,ATRU,
1137,BARAN,ATRU,KHELIGANJ,SC,KAILASH CHANDRA,MALE,SC,khedli ganj,BARAN,ATRU,
1138,BARAN,ATRU,KHURI,GEN,MAHENDRA SHARMA,MALE,GEN,khuri,BARAN,ATRU,
1139,BARAN,ATRU,KISHANPURA,GEN,NARENDRA SINGH,MALE,GEN,kishanpura,BARAN,ATRU,
1140,BARAN,ATRU,KUNDI,GEN,SUMAN BAI,FEMALE,GEN,kundi,BARAN,ATRU,
1141,BARAN,ATRU,KUNJER,SC W,KANCHAN BAI,FEMALE,SC,kujed,BARAN,ATRU,
1142,BARAN,ATRU,MERMACHAH,ST,MATHURA LAL MEENA,MALE,ST,mermachah,BARAN,ATRU,
1143,BARAN,ATRU,MOONDALA BISOTI,GEN W,AMRIBAI DHAKAR,FEMALE,OBC,mudla bisoti,BARAN,ATRU,
1144,BARAN,ATRU,MOTHPUR,GEN W,RUKMANI BAI,FEMALE,GEN,mothpur,BARAN,ATRU,
1145,BARAN,ATRU,MUSAI GUJRAN,GEN,BABULAL MEENA,MALE,ST,musai gujran,BARAN,ATRU,
1146,BARAN,ATRU,NANAWATA,OBC,PANNALAL GURJAR,MALE,OBC,nanawata,BARAN,ATRU,
1147,BARAN,ATRU,PATANA,GEN,ASHOK GUPTA,MALE,GEN,patna,BARAN,ATRU,
1148,BARAN,ATRU,REECHHANDA,SC W,RUKMANI BAI,FEMALE,SC,reechanda,BARAN,ATRU,
1149,BARAN,ATRU,SAHROD,GEN,GIRIRAJ DHAKAR,MALE,OBC,sahrod,BARAN,ATRU,
1150,BARAN,ATRU,SAKATPUR,GEN,BHUPENDRA SINGH,MALE,GEN,sakatpura,BARAN,ATRU,
1151,BARAN,ATRU,SHERGARH,OBC W,CHANDRAKALA DHAKAR,FEMALE,OBC,shergarh,BARAN,ATRU,
1152,BARAN,BARAN,BADAN,GEN,RAMPRASAD SUMAN,MALE,OBC,bada,BARAN,BARAN,
1153,BARAN,BARAN,BAINGANA,GEN,MODULAL NAGAR,MALE,OBC,baingna,BARAN,BARAN,
1154,BARAN,BARAN,BAMALA,GEN,PRAKASH CHAND NAGAR,MALE,OBC,bamala,BARAN,BARAN,
1155,BARAN,BARAN,BARANA,SC W,PUSHPA BAI MEGHWAL,FEMALE,SC,barana,BARAN,BARAN,
1156,BARAN,BARAN,BATAWADA,GEN,SATYENDRA SINGH,MALE,GEN,batwada,BARAN,BARAN,
1157,BARAN,BARAN,FATEHPUR,GEN,GOPALLAL JAT,MALE,OBC,fatehpur,BARAN,BARAN,
1158,BARAN,BARAN,IKLERA,GEN W,SUMAN JOSHI,FEMALE,GEN,eklera,BARAN,BARAN,
1159,BARAN,BARAN,KALMANDA,GEN,NIRANJAN SHARMA,MALE,GEN,kalmanda,BARAN,BARAN,
1160,BARAN,BARAN,KARNAHEDA,ST,GHANSHYAM MEENA,MALE,ST,karnaheda,BARAN,BARAN,
1161,BARAN,BARAN,KHAIRALI,ST W,JAGNNATHI BAI MEENA,FEMALE,ST,khairali,BARAN,BARAN,
1162,BARAN,BARAN,KOTRI SUNDA,GEN,JODHRAJ,MALE,OBC,kotdesuda,BARAN,BARAN,
1163,BARAN,BARAN,KOYALA,GEN,GHANSHYAM MEHTA,MALE,OBC,koyala,BARAN,BARAN,
1164,BARAN,BARAN,LISARIA,OBC,RAMGOPAL SUMAN,MALE,OBC,lisadiya,BARAN,BARAN,
1165,BARAN,BARAN,MANDOLA,GEN,MOHANLAL SUMAN,MALE,OBC,mandolia,BARAN,BARAN,
1166,BARAN,BARAN,MATHANA,SC,RAMLAL MEGHWAL,MALE,SC,mathana,BARAN,BARAN,
1167,BARAN,BARAN,MELKHERI,SC,BHAIRONLAL MEGHWAL,MALE,SC,melkheri,BARAN,BARAN,
1168,BARAN,BARAN,MIYARA,ST,SUKHVEER MEENA,MALE,ST,miyada,BARAN,BARAN,
1169,BARAN,BARAN,NAREDA,ST,PRAHALAD MEENA,MALE,ST,nareda,BARAN,BARAN,
1170,BARAN,BARAN,PATHERA,GEN W,GANGA BAI MALI,FEMALE,OBC,patheda,BARAN,BARAN,
1171,BARAN,BARAN,PHHONSARA,ST W,NATI BAI MEENA,FEMALE,ST,phhonsara,BARAN,BARAN,
1172,BARAN,BARAN,RATAWAD,GEN W,SAROJ BAI NAGAR,FEMALE,OBC,ratawad,BARAN,BARAN,
1173,BARAN,BARAN,SAMBALPUR,GEN W,DROPADI BAI MEENA,FEMALE,ST,sambalpur,BARAN,BARAN,
1174,BARAN,BARAN,SEEMALI,SC W,KANCHAN BAI,FEMALE,SC,seemli,BARAN,BARAN,
1175,BARAN,BARAN,SUNDLAK,SC,DWARKALAL NAYAK,MALE,SC,sundlak,BARAN,BARAN,
1176,BARAN,BARAN,THAMLI,GEN W,GAYTRI BAI MEENA,FEMALE,ST,thamali,BARAN,BARAN,
1177,BARAN,BARAN,TISAYA,SC,OMPRAKASH MAHAWAT,MALE,SC,tisaya,BARAN,BARAN,
1178,BARAN,BARAN,TULSAN,SC,GANGADHAR BAIRWA,MALE,SC,tulsa,BARAN,BARAN,
1179,BARAN,CHHABRA,BAPCHA,GEN,MAHENDRA SINGH,MALE,OBC,bapcha,BARAN,CHHABRA,
1180,BARAN,CHHABRA,BARAI,OBC W,KAMLA DHAKAR,FEMALE,OBC,barai,BARAN,CHHABRA,
1181,BARAN,CHHABRA,BHILWARA NEECHA,OBC,MEGHRAJ GURJAR,MALE,OBC,bheelwara neecha,BARAN,CHHABRA,
1182,BARAN,CHHABRA,BHOOLON,GEN,NANDKISHORE,MALE,GEN,bhulon,BARAN,CHHABRA,
1183,BARAN,CHHABRA,BHUWAKHERI,SC,KAMLESH KUMAR,MALE,ST,bhuakhedi,BARAN,CHHABRA,
1184,BARAN,CHHABRA,CHANCHORA,GEN,RAMKUMAR,MALE,OBC,chachoda,BARAN,CHHABRA,
1185,BARAN,CHHABRA,DEELOD,ST,JAGDISH MEENA,MALE,ST,dilod,BARAN,CHHABRA,
1186,BARAN,CHHABRA,GHATAKHERI,GEN,RAGHUNATH,MALE,OBC,ghatakheri,BARAN,CHHABRA,
1187,BARAN,CHHABRA,GODIAMEHAR,SC,PREMNARAYAN,MALE,SC,godiyamehar,BARAN,CHHABRA,
1188,BARAN,CHHABRA,GOOGOR,ST,KANHAIYA LAL MEENA,MALE,ST,gugor,BARAN,CHHABRA,
1189,BARAN,CHHABRA,HANYAHERI,ST W,ATHAR BAI,FEMALE,ST,hanahedi,BARAN,CHHABRA,
1190,BARAN,CHHABRA,JAIPALA,OBC,JANKILAL DHAKAR,MALE,OBC,jaipala,BARAN,CHHABRA,
1191,BARAN,CHHABRA,JHARKHERI,GEN W,KAMLA BAI,FEMALE,GEN,jharkheriu,BARAN,CHHABRA,
1192,BARAN,CHHABRA,KADIAHAT,GEN,MADANLAL,MALE,OBC,kadiyahat,BARAN,CHHABRA,
1193,BARAN,CHHABRA,KADIANOHAR,GEN,MAN SINGH,MALE,GEN,kadaiyanohar,BARAN,CHHABRA,
1194,BARAN,CHHABRA,KADIAVAN,GEN,RAMDAYAL,MALE,SC,kahaiyawan,BARAN,CHHABRA,
1195,BARAN,CHHABRA,KHOPAR,ST,RAMCHARAN,MALE,ST,khopar,BARAN,CHHABRA,
1196,BARAN,CHHABRA,KOTRAPAR,SC W,LACHHI BAI,FEMALE,SC,kotdapar,BARAN,CHHABRA,
1197,BARAN,CHHABRA,MOONDALA,GEN W,DILKHUSH NAGAR,FEMALE,OBC,mundala,BARAN,CHHABRA,
1198,BARAN,CHHABRA,MOONDKYA,ST,PREMCHANDRA MEENA,MALE,ST,mudkaya,BARAN,CHHABRA,
1199,BARAN,CHHABRA,NIPANIAN,GEN,MADAN LAL,MALE,ST,nipaniya,BARAN,CHHABRA,
1200,BARAN,CHHABRA,PACHPARA,GEN W,BHURI BAI,FEMALE,ST,pachpada,BARAN,CHHABRA,
1201,BARAN,CHHABRA,PALI,GEN,BALRAM,MALE,OBC,pali,BARAN,CHHABRA,
1202,BARAN,CHHABRA,PHALIA,SC W,RODHI BAI,FEMALE,SC,phalia,BARAN,CHHABRA,
1203,BARAN,CHHABRA,SEMALI,SC,KAILASH CHAND,MALE,SC,semli,BARAN,CHHABRA,
1204,BARAN,CHHABRA,TEETARKHERI,ST W,BHURI BAI MEENA,FEMALE,ST,teetarkhedi,BARAN,CHHABRA,
1205,BARAN,CHHABRA,TELANI,GEN W,MANGLI BAI,FEMALE,OBC,telni,BARAN,CHHABRA,
1206,BARAN,CHHIPABAROD,AJNAWAR,SC W,SANTOSH KUMARI,FEMALE,SC,ajanawar,BARAN,CHHIPABAROD,
1207,BARAN,CHHIPABAROD,AMALAWADA AALI,SC,RAJU,MALE,SC,amlawadaali,BARAN,CHHIPABAROD,
1208,BARAN,CHHIPABAROD,BAMORI GHATA,ST,TULSIRAM,MALE,ST,bamori ghata,BARAN,CHHIPABAROD,
1209,BARAN,CHHIPABAROD,BANJARI,GEN,BALRAM MEENA,MALE,ST,banjari,BARAN,CHHIPABAROD,
1210,BARAN,CHHIPABAROD,BHAOPURA,GEN W,TULSAN BAI,FEMALE,OBC,bhavpura,BARAN,CHHIPABAROD,
1211,BARAN,CHHIPABAROD,BILENDI,GEN W,SHAKUNTALA,FEMALE,GEN,bilendi,BARAN,CHHIPABAROD,
1212,BARAN,CHHIPABAROD,CHHIPABAROD,OBC,ARJUN SONI,MALE,OBC,chhepa barod,BARAN,CHHIPABAROD,
1213,BARAN,CHHIPABAROD,DEEGOD JAGEER,ST W,KANCHAN,FEMALE,ST,deegod khalsa,BARAN,CHHIPABAROD,
1214,BARAN,CHHIPABAROD,DEEGOD KHALSA,ST,CHHITARLAL MEENA,MALE,ST,deegod khalsa,BARAN,CHHIPABAROD,
1215,BARAN,CHHIPABAROD,DEORIJODH,GEN W,REKHA BAI,FEMALE,GEN,devri jod,BARAN,CHHIPABAROD,
1216,BARAN,CHHIPABAROD,DHOLAM,ST,RAMGOPAL,MALE,ST,dholam,BARAN,CHHIPABAROD,
1217,BARAN,CHHIPABAROD,GAGCHANA,OBC,RAMGOPAL,MALE,OBC,gagchana,BARAN,CHHIPABAROD,
1218,BARAN,CHHIPABAROD,GORDHANPURA,SC W,GOBRI BAI,FEMALE,SC,gordhanpura,BARAN,CHHIPABAROD,
1219,BARAN,CHHIPABAROD,HARNAWDA SHAHJI,GEN,OMPRAKASH,MALE,GEN,harnawada shahji,BARAN,CHHIPABAROD,
1220,BARAN,CHHIPABAROD,JHANJHANI,GEN,SURENDRA,MALE,GEN,jhanjhani,BARAN,CHHIPABAROD,
1221,BARAN,CHHIPABAROD,KACHANARIA KALAN,GEN W,GEETA BAI,FEMALE,OBC,kachanariya kalan,BARAN,CHHIPABAROD,
1222,BARAN,CHHIPABAROD,KALMODIA,GEN,BHAGCHAND,MALE,ST,kalmodiya,BARAN,CHHIPABAROD,
1223,BARAN,CHHIPABAROD,KALPA JAGEER,ST,MANGILAL MEENA,MALE,ST,kalpa jageer,BARAN,CHHIPABAROD,
1224,BARAN,CHHIPABAROD,KHERLA,GEN,JAYA SINGH,MALE,GEN,kherla,BARAN,CHHIPABAROD,
1225,BARAN,CHHIPABAROD,KUMBHAKHERI,GEN W,BHURI BAI,FEMALE,ST,kumbhakheri,BARAN,CHHIPABAROD,
1226,BARAN,CHHIPABAROD,MANPURA,GEN,KAJOD MEENA,MALE,ST,manpura,BARAN,CHHIPABAROD,
1227,BARAN,CHHIPABAROD,MOKHAMPURA,GEN,RAMKALYAN,MALE,OBC,mokhampura,BARAN,CHHIPABAROD,
1228,BARAN,CHHIPABAROD,PACHHAR,SC,RAMBHAROS,MALE,SC,pachhad,BARAN,CHHIPABAROD,
1229,BARAN,CHHIPABAROD,PEETHPUR,GEN,SHYORAM,MALE,OBC,peethpur,BARAN,CHHIPABAROD,
1230,BARAN,CHHIPABAROD,PHOOL BARODA,ST W,KANTI BAI,FEMALE,ST,phool baroda,BARAN,CHHIPABAROD,
1231,BARAN,CHHIPABAROD,RAIN,OBC W,RAJBAI,FEMALE,OBC,rai,BARAN,CHHIPABAROD,
1232,BARAN,CHHIPABAROD,SAHAJANPUR,SC,BABULAL,MALE,SC,sahajnpur,BARAN,CHHIPABAROD,
1233,BARAN,CHHIPABAROD,SARTHAL,GEN,ASHOK KUMAR GUPTA,MALE,GEN,sarthal,BARAN,CHHIPABAROD,
1234,BARAN,CHHIPABAROD,SETKOLU,OBC,BABULAL,MALE,OBC,setukolu,BARAN,CHHIPABAROD,
1235,BARAN,CHHIPABAROD,TANCHA,ST,BHAGWAN SINGH,MALE,ST,tancha,BARAN,CHHIPABAROD,
1236,BARAN,KISHANGANJ,ASHNAWAR,SC W,NATIBAI,FEMALE,SC,aasnawar,BARAN,KISHANGANJ,
1237,BARAN,KISHANGANJ,BADIPURA,ST,MOOLICHAND SAHARIA,MALE,ST,badipura,BARAN,KISHANGANJ,
1238,BARAN,KISHANGANJ,BAJRANG GARH,ST W,RUKMANIBAI SAHARIA,FEMALE,ST,bajarang garh,BARAN,KISHANGANJ,
1239,BARAN,KISHANGANJ,BAKANPURA,OBC,DAULATRAM,MALE,OBC,bakanpura,BARAN,KISHANGANJ,
1240,BARAN,KISHANGANJ,BARUNI,GEN,JAGTAR SINGH,MALE,GEN,baruni,BARAN,KISHANGANJ,
1241,BARAN,KISHANGANJ,BASTHOONI,GEN W,ROSHANBAI,FEMALE,OBC,bansthuni,BARAN,KISHANGANJ,
1242,BARAN,KISHANGANJ,BHANWARGARH,ST,BANSHILAL SAHARIA,MALE,ST,bhanwargarh,BARAN,KISHANGANJ,
1243,BARAN,KISHANGANJ,BILASGARH,GEN,BHAIRONLAL,MALE,OBC,bilasgarh,BARAN,KISHANGANJ,
1244,BARAN,KISHANGANJ,BRIJNAGAR,GEN,NARENDRA SINGH JAT,MALE,GEN,brajnagar,BARAN,KISHANGANJ,
1245,BARAN,KISHANGANJ,CHHATRAGANJ,GEN W,RAJANTI MEENA,FEMALE,ST,chatraganj,BARAN,KISHANGANJ,
1246,BARAN,KISHANGANJ,CHINOD,GEN,RAMPAL MEENA,MALE,ST,cheenod,BARAN,KISHANGANJ,
1247,BARAN,KISHANGANJ,DIGOD PAR,GEN,SURENDRA KUMAR,MALE,GEN,deegodpar,BARAN,KISHANGANJ,
1248,BARAN,KISHANGANJ,GARADA,GEN W,RAJENDRA,MALE,GEN,garada,BARAN,KISHANGANJ,
1249,BARAN,KISHANGANJ,GHATTI,ST,SOHANLAL,MALE,ST,ghatti,BARAN,KISHANGANJ,
1250,BARAN,KISHANGANJ,JALWADA,GEN,PANKAJ GUPTA,MALE,GEN,jalwara,BARAN,KISHANGANJ,
1251,BARAN,KISHANGANJ,KANKARDA,GEN W,SURAJ DEVI,FEMALE,OBC,kankdara,BARAN,KISHANGANJ,
1252,BARAN,KISHANGANJ,KARWARI KALAN,GEN,RADHEYSHYAM MEENA,MALE,ST,karwari kalan,BARAN,KISHANGANJ,
1253,BARAN,KISHANGANJ,KHANDELA,GEN W,NIRMALABAI,FEMALE,OBC,khandela,BARAN,KISHANGANJ,
1254,BARAN,KISHANGANJ,KHANKHARA @GANESHPURA,GEN,HAJARILAL SAHARIA,MALE,ST,ganeshpura,BARAN,KISHANGANJ,
1255,BARAN,KISHANGANJ,KHYAWADA,GEN W,BHAROSHI BAI MALI,FEMALE,OBC,khayavda,BARAN,KISHANGANJ,
1256,BARAN,KISHANGANJ,KISHANGANJ,ST,SURAJMAL SAHARIA,MALE,ST,kishangarj,BARAN,KISHANGANJ,
1257,BARAN,KISHANGANJ,NAHARGARH,ST,CHHITARLAL,MALE,ST,nahargarh,BARAN,KISHANGANJ,
1258,BARAN,KISHANGANJ,PARANIAN,ST,GANGABAI MEENA,FEMALE,ST,paraniya,BARAN,KISHANGANJ,
1259,BARAN,KISHANGANJ,PEEPALDA KALAN,ST W,GANGABAI MEENA,FEMALE,ST,pipalda kalan,BARAN,KISHANGANJ,
1260,BARAN,KISHANGANJ,RAMGARH,GEN,HEMRAJ,MALE,GEN,ramgarh,BARAN,KISHANGANJ,
1261,BARAN,KISHANGANJ,RAMPUR TODIA,SC,POONAMCHAND,MALE,SC,rampurai todiya,BARAN,KISHANGANJ,
1262,BARAN,KISHANGANJ,RANI BAROAD,ST,BUDDHIPRAKASH,MALE,ST,ranibadod,BARAN,KISHANGANJ,
1263,BARAN,KISHANGANJ,RELAWAN,SC,GHASILAL BAIRWA,MALE,SC,relawan,BARAN,KISHANGANJ,
1264,BARAN,KISHANGANJ,SAKRAWADA,SC,NANDLAL CHAMAR,MALE,SC,sakarawada,BARAN,KISHANGANJ,
1265,BARAN,KISHANGANJ,SEWANI,GEN,RAJEEV TYAGI,MALE,GEN,sewani,BARAN,KISHANGANJ,
1266,BARAN,KISHANGANJ,SIMLOD,ST W,INDRA BAI,FEMALE,ST,seemlod,BARAN,KISHANGANJ,
1267,BARAN,KISHANGANJ,SUWANSH,ST W,RADHA BAI,FEMALE,ST,sunwas,BARAN,KISHANGANJ,
1268,BARAN,SHAHABAD,AGAR,ST W,SHANTI BAI,FEMALE,ST,aagar,BARAN,SHAHBAD,
1269,BARAN,SHAHABAD,BAINTA,GEN W,RAJJOBAI,FEMALE,OBC,bainta,BARAN,SHAHBAD,
1270,BARAN,SHAHABAD,BALDA,ST W,SANTO,FEMALE,ST,balda,BARAN,SHAHBAD,
1271,BARAN,SHAHABAD,BAMANGANWA,GEN W,MERA BAI,FEMALE,OBC,bamangawa,BARAN,SHAHBAD,
1272,BARAN,SHAHABAD,BEELKHERA DAANG,GEN,INDRAPAL SINGH,MALE,GEN,beelkheda dang,BARAN,SHAHBAD,
1273,BARAN,SHAHABAD,BEELKHERA MAL,ST,KALYAN GOYARA,MALE,ST,beelkheda mal,BARAN,SHAHBAD,
1274,BARAN,SHAHABAD,BICHI,GEN,KALLURAM,MALE,OBC,beechi,BARAN,SHAHBAD,
1275,BARAN,SHAHABAD,DEVARI,ST,GULBI,MALE,ST,dewari,BARAN,SHAHBAD,
1276,BARAN,SHAHABAD,DIKAWANI,GEN W,KALIYA,FEMALE,OBC,digwani,BARAN,SHAHBAD,
1277,BARAN,SHAHABAD,GADRETA,ST,DABLOO,MALE,ST,gadreta,BARAN,SHAHBAD,
1278,BARAN,SHAHABAD,GANESHPURA,SC,LAXMAN SINGH,MALE,SC,ganeshpura,BARAN,SHAHBAD,
1279,BARAN,SHAHABAD,KASBATHANA,SC,VINOD KUMAR,MALE,SC,kasbathana,BARAN,SHAHBAD,
1280,BARAN,SHAHABAD,KASBHANONERA,GEN,PREMNARAYAN MEHTA,MALE,OBC,kasba nonera,BARAN,SHAHBAD,
1281,BARAN,SHAHABAD,KAUSHIYARA,SC W,NABBO (CHAMAR),FEMALE,SC,khushiyara,BARAN,SHAHBAD,
1282,BARAN,SHAHABAD,KELWARA,SC,RAMCHARAN RAJAK,MALE,SC,kelwara,BARAN,SHAHBAD,
1283,BARAN,SHAHABAD,KHANDA SAHROL,GEN W,NATHIYA,FEMALE,OBC,khanda sahrol,BARAN,SHAHBAD,
1284,BARAN,SHAHABAD,KHATAKA,GEN,SHIVCHARAN KIRAD,MALE,OBC,khataka,BARAN,SHAHBAD,
1285,BARAN,SHAHABAD,MAHODARA,ST,SHYAMLAL,MALE,ST,mahodra,BARAN,SHAHBAD,
1286,BARAN,SHAHABAD,MUNDIER,OBC,MATHURALAL,MALE,OBC,mudiyar,BARAN,SHAHBAD,
1287,BARAN,SHAHABAD,NATAI,GEN,RAKESH KUMAR NAGAR,MALE,OBC,natai,BARAN,SHAHBAD,
1288,BARAN,SHAHABAD,PEEPAL KHERI,GEN,BHAIRONLAL,MALE,OBC,pipalkheri,BARAN,SHAHBAD,
1289,BARAN,SHAHABAD,RAJPUR,GEN W,RAJKUMARI,FEMALE,GEN,rajpur,BARAN,SHAHBAD,
1290,BARAN,SHAHABAD,SAMRANIA,ST,RAMKISHAN,MALE,ST,samraniya,BARAN,SHAHBAD,
1291,BARAN,SHAHABAD,SANDOKARA,GEN,BHARAT SINGH,MALE,GEN,sandokra,BARAN,SHAHBAD,
1292,BARAN,SHAHABAD,SANWARA,ST W,RAJKUMARI,FEMALE,ST,sanwara,BARAN,SHAHBAD,
1293,BARAN,SHAHABAD,SHAHABAD,ST,PANTI,FEMALE,ST,sahabad,BARAN,SHAHBAD,
1294,BARAN,SHAHABAD,SUBHADHARA,GEN,JAGDISH,MALE,OBC,subhadhara,BARAN,SHAHBAD,
1295,BARMER,BAITU,AKDARA,GEN W,PANI DEVI,FEMALE,OBC,akdara,BARMER,BAYTOO,
1296,BARMER,BAITU,BAITU BHIMJI,GEN,BHIKHI DEVI CHOUDHARI,FEMALE,OBC,baitu bhimji,BARMER,BAYTOO,
1297,BARMER,BAITU,BAITU BHOPJI,SC,RAKHU DEVI,FEMALE,SC,baitu bhopji,BARMER,BAYTOO,
1298,BARMER,BAITU,BAITU CHIMANJI,GEN,MALARAM CHOUDHARY,MALE,OBC,baitu chimanji,BARMER,BAYTOO,
1299,BARMER,BAITU,BAITU PANJI,GEN W,JIYO DEVI,FEMALE,OBC,baitu panji,BARMER,BAYTOO,
1300,BARMER,BAITU,BANDRA,SC W,MARUO,FEMALE,SC,bandra,BARMER,BAYTOO,
1301,BARMER,BAITU,BATADU,GEN,URMILA DEVI CHOUDHARY,FEMALE,OBC,batadu,BARMER,BAYTOO,
1302,BARMER,BAITU,BHADKHA,GEN,NATHARAM KUMHAR,MALE,OBC,bhadkha,BARMER,BAYTOO,
1303,BARMER,BAITU,BHIMDA,OBC W,KASUBI DEVI,FEMALE,OBC,bhimda,BARMER,BAYTOO,
1304,BARMER,BAITU,BHURTIYA,GEN W,PAMPO DEVI,FEMALE,OBC,bhurtiya,BARMER,BAYTOO,
1305,BARMER,BAITU,CHHITAR KA PAR,GEN,JOGARAM,MALE,OBC,chhitar ka par,BARMER,BAYTOO,
1306,BARMER,BAITU,CHIBI,GEN W,ROOPA DEVI,FEMALE,OBC,chibi,BARMER,BAYTOO,
1307,BARMER,BAITU,CHIDIYA,GEN,KARNARAM JAT,MALE,OBC,chidiya,BARMER,BAYTOO,
1308,BARMER,BAITU,CHOUKHLA,GEN,MEERA DEVI,FEMALE,OBC,chokhala,BARMER,BAYTOO,
1309,BARMER,BAITU,DUNDHA,GEN,MANGILAL MALI,MALE,OBC,dundha,BARMER,BAYTOO,
1310,BARMER,BAITU,GIDA,GEN,HANIF KHAN,MALE,GEN,gida,BARMER,BAYTOO,
1311,BARMER,BAITU,HEERA KI DHANI,SC,JAGARAM,MALE,SC,heera ki dhani,BARMER,BAYTOO,
1312,BARMER,BAITU,JAJWA,GEN W,FENSI KANWAR,FEMALE,GEN,jajwa,BARMER,BAYTOO,
1313,BARMER,BAITU,JAKHDA,GEN W,KHAMA DEVI,FEMALE,GEN,jakhda,BARMER,BAYTOO,
1314,BARMER,BAITU,JHAK,GEN,BHERARAM CHOUDHARY,MALE,OBC,jhak,BARMER,BAYTOO,
1315,BARMER,BAITU,KANOD,GEN W,GAVRI DEVI,FEMALE,OBC,kanod,BARMER,BAYTOO,
