state,year,district,district_declared,block_no,block,gp_no,halqa,gp_identity_from_page_text,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,woman_reserved,listing_scope,pop_sc,pop_st,pop_oc,pop_total,reservation_raw,script,source_path,source_page,source_pdf,source_url,source_capture
Jammu & Kashmir,2016,Doda,,,1. Assar,5,Chaka- A-2,,III,Satra,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,372,372,Open,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,5,Chaka- A-2,,IV,Thatha,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,312,312,Open,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,5,Chaka- A-2,,V,Budni,gp_ward,ward,Woman,NONE,1,all_seats,0,0,338,338,Women,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,5,Chaka- A-2,,VI,Chalai,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,361,361,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,I,Topneel,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,341,341,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,II,Barsi-A,gp_ward,ward,Woman,NONE,1,all_seats,0,0,392,392,Women,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,III,Barsi-B,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,311,311,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,IV,Chucheta r-A,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,356,356,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,V,Chucheta r-B,gp_ward,ward,Woman,NONE,1,all_seats,0,0,329,329,Women,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,VI,Bhulla Shakerya l,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,369,369,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,VII,Dagnal,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,33,518,551,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,6,Chaka- B,,VIII,Goota,gp_ward,ward,Woman,NONE,1,all_seats,0,0,592,592,Women,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,7,Chill,,I,Chill Bal,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,142,142,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,7,Chill,,II,Kulthan,gp_ward,ward,Woman,NONE,1,all_seats,0,0,148,148,Women,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,7,Chill,,III,Grandha n,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,152,152,Open,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,7,Chill,,IV,Saroo,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,156,156,Open,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,7,Chill,,V,Kashi,gp_ward,ward,Woman,NONE,1,all_seats,0,0,142,142,Women,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,7,Chill,,VI,Tund,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,160,160,Open,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,8,Chirota- A,,I,Chirota,gp_ward,ward,ST Woman,ST,1,all_seats,4,240,120,364,ST Women,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,8,Chirota- A,,II,Marhi,gp_ward,ward,ST Woman,ST,1,all_seats,0,326,10,336,ST Women,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,8,Chirota- A,,III,Thandap ani,gp_ward,ward,ST Other than Woman,ST,0,all_seats,190,250,36,476,ST,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,8,Chirota- A,,IV,Jattar,gp_ward,ward,SC Other than Woman,SC,0,all_seats,215,0,111,326,SC,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,8,Chirota- A,,V,Kathoth,gp_ward,ward,Woman,NONE,1,all_seats,123,0,135,258,Women,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,8,Chirota- A,,VI,Sanga,gp_ward,ward,ST Other than Woman,ST,0,all_seats,35,215,126,376,ST,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,9,Chirota- B,,I,Nakwas,gp_ward,ward,ST Other than Woman,ST,0,all_seats,10,240,0,250,ST,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,9,Chirota- B,,II,Khadyas,gp_ward,ward,SC Woman,SC,1,all_seats,165,19,159,343,SC Women,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,9,Chirota- B,,III,Patta,gp_ward,ward,ST Other than Woman,ST,0,all_seats,22,243,0,265,ST,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,9,Chirota- B,,IV,Hirni,gp_ward,ward,ST Other than Woman,ST,0,all_seats,5,247,0,252,ST,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,9,Chirota- B,,V,Dragdi,gp_ward,ward,Woman,NONE,1,all_seats,24,71,141,236,Women,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,9,Chirota- B,,VI,Halyan,gp_ward,ward,ST Other than Woman,ST,0,all_seats,23,268,131,422,ST,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,I,Kuthyara,gp_ward,ward,Other than Woman,NONE,0,all_seats,26,0,329,355,Open,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,II,Kudgran,gp_ward,ward,Woman,NONE,1,all_seats,54,0,250,304,Women,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,III,Charmal,gp_ward,ward,Other than Woman,NONE,0,all_seats,48,0,303,351,Open,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,IV,Phirna,gp_ward,ward,SC Other than Woman,SC,0,all_seats,226,0,109,335,SC,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,V,Nilote,gp_ward,ward,SC Woman,SC,1,all_seats,250,0,41,291,SC Women,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,VI,Jathi-A,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,235,235,Open,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,VII,Jathi-B,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,291,291,Open,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,10,Kuthyara,,VIII,Marsoo,gp_ward,ward,Woman,NONE,1,all_seats,85,0,214,299,Women,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,I,Kurmail- A,gp_ward,ward,Other than Woman,NONE,0,all_seats,75,50,230,355,Open,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,II,Kurmail- B,gp_ward,ward,Woman,NONE,1,all_seats,110,0,120,230,Women,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,III,Ansi,gp_ward,ward,Other than Woman,NONE,0,all_seats,130,200,270,600,Open,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,IV,Ramgarh- A,gp_ward,ward,SC Other than Woman,SC,0,all_seats,250,0,0,250,SC,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,V,Ramgarh- B,gp_ward,ward,SC Woman,SC,1,all_seats,150,0,0,150,SC Women,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,VI,Ramarh- C,gp_ward,ward,SC Other than Woman,SC,0,all_seats,200,100,30,330,SC,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,VII,Trungal,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,135,135,Open,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,11,Ramgarh Kurmail,,VIII,Wanipur a,gp_ward,ward,Woman,NONE,1,all_seats,50,0,149,199,Women,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,12,Ranka,,I,Gurangal (Mehmo odabad),gp_ward,ward,Other than Woman,NONE,0,all_seats,114,0,170,284,Open,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,12,Ranka,,II,Dramroo,gp_ward,ward,SC Woman,SC,1,all_seats,238,0,103,341,SC Women,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,12,Ranka,,III,Khasal,gp_ward,ward,Other than Woman,NONE,0,all_seats,64,0,170,234,Open,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,12,Ranka,,IV,Kanser,gp_ward,ward,Other than Woman,NONE,0,all_seats,37,0,282,319,Open,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,12,Ranka,,V,Baryas,gp_ward,ward,Woman,NONE,1,all_seats,31,0,149,180,Women,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,12,Ranka,,VI,Thaer,gp_ward,ward,SC Other than Woman,SC,0,all_seats,121,0,64,185,SC,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,13,Shamthi,,I,Shamthi,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,282,282,Open,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,13,Shamthi,,II,Bashal,gp_ward,ward,Woman,NONE,1,all_seats,0,0,339,339,Women,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,13,Shamthi,,III,Dhand,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,401,401,Open,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,13,Shamthi,,IV,Shankhp al,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,562,562,Open,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,13,Shamthi,,V,Bagad,gp_ward,ward,Woman,NONE,1,all_seats,0,0,455,455,Women,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,13,Shamthi,,VI,Alsi,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,357,357,Open,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,1,Bheja,,I,Upper Bheja,gp_ward,ward,SC Other than Woman,SC,0,all_seats,110,0,90,200,SC,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,1,Bheja,,II,Masjid Mohalla,gp_ward,ward,SC Woman,SC,1,all_seats,140,0,55,195,SC Women,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,1,Bheja,,III,Kandli,gp_ward,ward,SC Other than Woman,SC,0,all_seats,105,0,45,150,SC,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,1,Bheja,,IV,Lower Bheja,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,40,150,190,Open,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,1,Bheja,,V,Bheja,gp_ward,ward,SC Woman,SC,1,all_seats,130,0,60,190,SC Women,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,1,Bheja,,VI,Bamlakhi,gp_ward,ward,Other than Woman,NONE,0,all_seats,60,0,140,200,Open,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,2,Butla,,I,Butla-A,gp_ward,ward,Other than Woman,NONE,0,all_seats,30,70,200,300,Open,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,2,Butla,,II,Butla-B,gp_ward,ward,ST Woman,ST,1,all_seats,0,350,6,356,ST Women,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,2,Butla,,III,Bharai-A,gp_ward,ward,ST Other than Woman,ST,0,all_seats,0,108,0,108,ST,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,2,Butla,,IV,Bharai-B,gp_ward,ward,ST Other than Woman,ST,0,all_seats,0,330,0,330,ST,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,2,Butla,,V,Hadle-A,gp_ward,ward,ST Woman,ST,1,all_seats,0,279,0,279,ST Women,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,2,Butla,,VI,Hadle-B,gp_ward,ward,ST Other than Woman,ST,0,all_seats,0,210,0,210,ST,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,3,Chakka,,I,Chakka- A,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,250,250,Open,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,3,Chakka,,II,Chakka- B,gp_ward,ward,Woman,NONE,1,all_seats,0,0,268,268,Women,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,3,Chakka,,III,Chakka- C,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,310,310,Open,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,3,Chakka,,IV,Chakka- D,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,168,168,Open,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,3,Chakka,,V,Chakka- E,gp_ward,ward,SC Woman,SC,1,all_seats,294,7,61,362,SC Women,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,3,Chakka,,VI,Chakka-F,gp_ward,ward,SC Other than Woman,SC,0,all_seats,140,105,45,290,SC,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,4,Chanchor a,,I,Lanchan,gp_ward,ward,SC Other than Woman,SC,0,all_seats,415,0,7,422,SC,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,4,Chanchor a,,II,Chinchor a-A,gp_ward,ward,Woman,NONE,1,all_seats,30,0,250,280,Women,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,4,Chanchor a,,III,Chinchor a-B,gp_ward,ward,Other than Woman,NONE,0,all_seats,30,0,205,235,Open,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,4,Chanchor a,,IV,chinchor a-C,gp_ward,ward,Other than Woman,NONE,0,all_seats,40,0,265,305,Open,latin,data/jk/2016/Annex A Doda.pdf,10,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,4,Chanchor a,,V,Chhani- A,gp_ward,ward,SC Woman,SC,1,all_seats,175,15,25,215,SC Women,latin,data/jk/2016/Annex A Doda.pdf,10,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,4,Chanchor a,,VI,Chhani-B,gp_ward,ward,Other than Woman,NONE,0,all_seats,65,0,165,230,Open,latin,data/jk/2016/Annex A Doda.pdf,10,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,5,Chinote,,I,Chinote- A,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,90,210,300,Open,latin,data/jk/2016/Annex A Doda.pdf,10,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,2. Bhaderw ah,5,Chinote,,II,Chinote- B,gp_ward,ward,Woman,NONE,1,all_seats,40,65,165,270,Women,latin,data/jk/2016/Annex A Doda.pdf,10,Annex A Doda.pdf,,
