year,ward_no,candidate,symbol,gender,votes,won,incumbent,source_path
1997,18,Patel Chandulal Maganlal,Jeep,M,78,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Panirwala Musa Ajiz Fakir,Charkha,M,1759,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Pande Chotelal Badrilal,Television,M,170,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Brid Shantaram Sakharam,Hand,M,3517,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Rathod Narendra Ramji,Bicycle,M,388,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Rathod Manoj Nanji,Ears of Corn & Sickle,M,298,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Rane Umesh Balkrishna,Two Swords & Shield,M,977,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Hule Vijay Sonu,Plough,M,351,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,19,Naik Rajesh Rohidas,Hand,M,2960,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,19,Patel Yogesh Amrutlal,Telephone,M,1274,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,19,Parsekar Pradeep Sambhaji,Ladder,M,263,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,19,Pankar Anant Bhiku,Lotus,M,5829,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,19,Prajapati Jayantibhai Mangaldas,Coconut Tree Bearing Fruits,M,667,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,19,B. Neelprabha,Ears of Corn & Sickle,F,155,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,19,Sonawane Sudhakar Pitambar,Star,M,80,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Kurale Sunil Dnynu,Clock,M,192,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Kureshi Goig Akhtar Abdul Satar,Ladder,M,41,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Khan Assar Faiyaj,Car,M,10,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Mehta Noshir Rushi,Hand,M,10220,W,1,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Mehta Hiralal Nanjiji,Lotus,M,1669,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Shekh Abdul Wahid Abdul Khalif,Bat,M,7,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Shekh Abdul Wahid,Charkha,M,177,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Shekh Asif Abdulla,Candles,M,14,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Sayyad Arif Akbar,Bicycle,M,3466,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,20,Sidhiki Saniyar Liyakat Ali R.,Aeroplene,M,7,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Kothari Sureshmal Jethmal,Conch,M,401,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Khan Irfan Makbulhasan,Ladder,M,20,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Khan Khalid Masud,Bicycle,M,4536,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Jariwala Abdul Salam,Chair,M,33,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Jadhav Yashwant Shankar,Chakra (Wheel),M,128,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Diwar Manohar Tukaram,Rising Sun,M,379,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Nijami Idris,Jeep,M,11,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Patkar Ramakant Govind,Ears of Corn & Sickle,M,758,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Pande Brahmchari Nareshdatta,Kite,M,4581,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Puralkar Shantaram Dhondu,Hand,M,579,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Lakeshri Rajendra Shankar,Two Swords & A Shield,M,1027,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Sayyad Raja Jafar,Star,M,50,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Surve Kiran Raghunath,Bow & Arrow,M,4604,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,21,Shekh Mohmmed Arif Mohmmed Ismail,Coconut Tree Bearing Fruit,M,9,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Ibaji Jakir Suleman,Telephone,M,17,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Khan Ali Husen Rahat Husen,Chakra (Wheel),M,1646,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Khan Rijban Ahmed,Hand,M,1720,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Khan Shakil Mohmmed Toufik Khan,Railway Engine,M,7,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Khan Sikandar A. Latif,Rising Sun,M,212,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Nijami Shaheda Khan Idris,Jeep,F,352,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Pai Sunil Narshinh,Bow & Arrow,M,2887,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Shekh Abdul Samad,Ship,M,4,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Shekh Aslam Mohmmed Husen,Star,M,1576,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Shekh Nasir Jamal,Bicycle,M,7192,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Shekh Moinuddin Said Ahmed,Aeroplene,M,11,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,22,Sidhiki Dilhasan,Ladder,M,871,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Ansari Hafij Salauddin,Star,M,41,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Kazi Nazimuddin A. Hamid,Chakra (Wheel),M,5245,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Kotkar Ravindra Yaman,Hand,M,2173,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Kamble Anand Shrawan,Rising Sun,M,1083,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Jadhav Yashwant Kamlakar,Bow & Arrow,M,6545,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Tikuz Sirij Reymand,Umbrella,M,1158,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Bhadrige Kailash Laxman,Spade & Stoker,M,46,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Mhatre Bharat Madhukar,Two Swords & A Shield,M,840,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,23,Shivalkar Suresh Govind,Bat,M,449,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,24,Koli Laxmi Nagppa,Hand Pump,F,579,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,24,Golatkar Shubhangi Sudhakarq,Chakra (Wheel),F,865,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,24,Chindarkar Prabha Prakash,Hand,F,7372,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,24,Patkar Ulka Ashok,Bow & Arrow,F,7623,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Kazi Yunus Kadar,Telephone,M,190,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Dalal Arif Fakaruddin,Chakra (Wheel),M,1071,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Devkar Maruti Savlaram,Hand,M,4257,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Navle Subhash Pandurang,Ladder,M,340,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Bagve Mahendra Pandurang,Two Swords & A Shield,M,3292,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Rajjak Mahant Prasad Zapsu,Star,M,115,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Shekh Mohmmed Hashim,Apple,M,449,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Sawant Ram Shridhar,Bow & Arrow,M,4433,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Sonawane Popat Kisan,Rising Sun,M,1212,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,25,Solanki Jitendra Raychandra,Bicycle,M,506,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,26,Ansari Mohmmed Sajid Abdul Aziz,Umbrella,M,635,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,26,Ansari Mohmmed Iqbal Shamsuddin,Chakra (Wheel),M,4946,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,26,Ansari Riyajuddin Nijamuddin,Bat,M,21,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,26,Ansari Shakir Mo. Shabir,Bicycle,M,5219,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,26,Kamil Jamil Abdul Raheman,Hand,M,3102,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,26,Kureshi Akbar Abdul,Lotus,M,230,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Ansari Akhtari Mohmmed Ismail,Candles,F,23,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Ansari Anisa Yunus,Two Swords & A Shield,F,2086,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Ansari Nasrin Gulam Rasul,"Hammer, Sickle & Star",F,1269,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Agavankar Shubhankaroti Jeevan,Boy & Girl,F,693,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Kadam Shewanta Rajaram,Star,F,50,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Kondvilkar Pradnya Dhondu,Kite,F,1470,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Khan Afrin Faiyaz Ahmed,Chakra (Wheel),F,3248,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Khan Farida Inamulla,Black Board,F,13,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Khan Faimida Mo. Anvar,Bicycle,F,1253,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Khan Rajiya Hamid,Two Leaves,F,32,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Khan Sajida Jamil,Umbrella,F,132,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Pawar Jaywanta Shankar,Aeroplane,F,88,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Raut Surekha Kashinath,Bow & Arrow,F,3275,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Dr. Shekh Aliya Abdul Kadir,Apple,F,33,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Shekh Najma Rahimuddin,Ladder,F,265,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,27,Sayyad Amina Mohmmed,Hand,F,1401,L,0,data/maharashtra/mumbai/BMC 1997.xls
