wardyear_num,rd_bad_patch_potholes,ws_burst_water_main_lines,bld_change_user_res_comm,strm_cleaning_of_open_swd,drain_cleaning_of_septic_tank,strm_cleaning_water_entrance,strm_cleaning_removal_of_silt,swm_clean_rep_block_channels,swm_collection_pt_not_attend,misc_complaints_miscellenous,ws_contaminated_water_supply,rd_digging_of_roads,drain_drainage_choke_blockage,gdn_fallen_tree_on_road,strm_flooding_during_monsoon,pst_fogging,swm_gbg_lorry_not_report_cove,swm_gbg_not_lifted_gully,swm_gbg_not_lifted_mun_market,swm_gbg_not_lifted_from_road,encr_hawkers,bld_heavy_leakage_from_ceiling,heal_birth_deat_cert_issue,ws_leaks_in_water_lines_meter,gdn_lifting_of_tree_cutting,mun_maint_municipal_property,mun_major_repairs_to_mun_prop,mun_minor_repairs_to_mun_prop,pst_mosquito_nuisance,encr_municipal_colony_slum,encr_municipal_land_foot_swd,encr_municipal_plot,swm_no_attend_public_toilets,swm_non_attend_nuis_detect,ws_non_receipt_water_bills,pst_nuisance_cockroaches,encr_nuisance_due_to_vagrants,pst_nuisance_due_to_white_ants,drain_odour_from_drains,shp_online_renewal_application,shp_open_beyond_permis_hours,bld_other_buildings,misc_others,drain_others_drn,encr_others_ecnr,est_others_estate,lic_others_lic,heal_others_moh,mun_others_rnt,swm_others_swm,ws_others_was,col_others_colony_officer_col,ws_overflow_overhead_tank,drain_overflowing_drn_manhole,bld_perm_temp_monsoon_shed,gdn_perm_for_tree_cutting,encr_private_land_bldg_fact,swm_dustbins,strm_provid_manhole_cover_swd,rd_providing_rd_name_plate,drain_raising_of_manhole,pst_rat_nuisance,rd_reinstatement_of_trenches,rd_relaying_and_repairs_roads,swm_removal_of_dead_animals,swm_removal_of_debris,ws_removal_of_water_meters,strm_repair_damaged_open_swd,rd_repairs_of_road_footpath,drain_repairs_to_pipe_sewers,drain_replacement_manhole,rd_resurfacing_of_road,shp_running_without_license,ws_shortage_of_water_supply,rd_signals,swm_silt_lifted_from_road,rd_speed_breakers,rd_street_lighting,swm_sweeping_of_roads,lic_trade_without_license,gdn_trimming_of_branches,bld_unauth_alteration_bldg,lic_unauth_banners_advt_road,bld_unauth_constr_development,col_unauth_constr_in_slum,est_unauth_constr_reserve_plot,col_unauth_ext_constr,fac_unauth_factory_workshop,lic_unauth_storage_explosives,ws_unauth_tapping_water_conn,pst_unauth_uncov_water_storage,ws_unauth_use_waterchange_user,heal_unauth_food_sell,lic_unauth_stalls_road_foot,lic_unauth_workshop_or_garage,swm_unhygienic_cond_toilets,ws_use_of_booster_pump,castequota_scst,gender_election,genderquota,members,hdi,term,adminward,year,source_path
2015-GS,91.6,85,16,14,22,210,,,55.2,,36.8,,453.1,,52.5,50.466667,14,27.272727,,32.9375,167,47,50.5,46.913043,60.25,29,16.5,18,46.913043,,75.15,33.333333,4.5,37.833333,20.5,,,43,5,,,118.75,6.3333333,10.5,14,,,36.6,12.9,63.909091,8,161.5,14,187.16667,61.5,34,21.5,38.5,,,,31.769231,20.5,,3,42.833333,12,,11.428571,,7.5,124.6,44.666667,149,,59.75,42,,36.875,39.444444,207.83333,55.733333,33.666667,185,74.333333,,,62,69.75,75.615385,,32.5,38,66.294118,,,,0.4444444,0,0.7777778,9,0.66,2012,GS,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-HE,130.36364,21.6,,175.33333,123,73,7,23,172.8,,83.083333,,1090.4167,,177.5,115.64286,53.571429,117.22222,,89.384615,192.88235,21.5,27.25,34.869565,105.75,79.25,,,83.913043,,501.22222,48.666667,9.5,69.727273,23.75,47,,,92,39,49,87.285714,,,7,,5,88.666667,,134.125,17.666667,,,389.71429,38,,32,82.6,,,,74.777778,,,9,56.785714,19,35,,,,98.666667,15,34.238095,5,119.75,80.5,93,37.2,63,88.666667,56.5,38.93617,1120.8889,196.33333,,,53.5,,60.5,,16.5,25.25,114.93333,,,15,0.3636364,0,0.5454546,11,0.47,2012,HE,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-HW,61.25,76.666667,10,42.8,46.666667,74.5,74,11,74.230769,23.166667,98.363636,,330.2,102.33333,108.5,93.529412,82.571429,71.6,,117.8,151.66667,49.2,50,65.8,311.81818,23.25,23.5,59.5,143,,101.93548,40,83,91.818182,39,37.5,,34.5,18,,30,95.166667,,,42.666667,,,33,24.5,80,,,,117.69231,37,39.666667,,45.5,,51,,81.142857,50.5,,,87.2,,44,14.1,34,18.142857,34.555556,71.8,110.2381,40,126.83333,29.6,88.5,69.875,96,115.88889,171.5,94.8,1337,63,,,36,,80.5,,68,87,146.25,,,,0.4,0,0.6666667,6,0.68,2012,HW,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-KE,249.83333,76.8,33.333333,57.5,98.071429,64,26.4,,87.571429,19.375,56.214286,,753.90909,86,19.5,95,24.555556,74.888889,,41.263158,119.45,29.833333,51,67.480769,44.333333,57.5,94.5,2,56.454545,,593.28571,54.5,45.5,86.076923,18.125,,,15,60.333333,,,76.5,17,,20.2,85,,87,,42.583333,11,63,,533.14286,11,69,22.272727,64.444444,,48.5,,47.916667,45.5,,14,61.5,17.666667,28,,,14,228.28571,86.142857,140.88889,30.333333,20.333333,93.166667,70,41,52.4,104,96.55,27.053571,157.71523,26.363636,,16,68,17,117.71429,,40.75,71.4,96.545455,3,,,0.2,0,0.7333333,15,0.67,2012,KE,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-KW,463.83333,60,126.33333,83.5,49.5,23,61,,33,13.384615,121,,763.90909,,34,298.83333,25.75,83.285714,,80.857143,865.28571,75.5,28,65.714286,32.6,44,46,27,418.14286,,1058.8333,38.5,10,88.9,,,,17.5,67.4,87,,168,8,,,,12,111.4,,73.166667,,70,,387,30,59.5,,128.6,,89,,72.714286,96,,,136.71429,,69.333333,,,,226.33333,79.75,196.33333,56,42.2,140.6,64.5,90.4,100,35.6,207.83333,59.571429,1957.2857,287.33333,,,75.75,107.5,176,,61,103.83333,310.375,,,,0.25,0,0.3846154,13,0.66,2012,KW,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-L,181.88889,114.125,8,30.666667,152.88889,16,94.166667,34,168.125,19.545455,115.55556,,1354.1111,150.28571,309.5,200.125,64.125,99.714286,,140.72222,93.1875,69.142857,,778.75,71.714286,14,17,15,137.33333,12.2,374.88889,60.5,21.5,43.111111,106,,,26,25.5,85,68,54.25,22.8,,20.384615,56,20.341463,144.25,22,42.491228,,14,,1245.3333,59.5,902.77778,,124.07692,,4,,99.222222,41,,18.142857,92.964286,30,70,,,,122,125.16667,509.77778,14.5,149.77778,54.714286,371.625,56,48.583333,857.33333,196.33333,48.980769,9765.5,114.44444,,27,74.142857,46.333333,504.88889,,62.5,205.44444,176.8125,14.666667,,,0.2,0,0.6666667,15,0.29,2012,L,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-ME,42,75.5,,33.75,51.818182,38,17.666667,12,39.333333,12.564444,30.5,,58.805556,,49,162.85714,39.5,37.625,2,18.470588,49,88,9,413.33333,29,2,,,138.41667,,184.88889,49.75,14,39.25,,45,,89,33.6,8,7,432,5.9787234,18.666667,25.75,11.994778,17,41.310481,13.809617,28.510843,25,43.75,,82.695652,,43,,38,,16,,66.666667,,,1,47.777778,100,20.333333,8,,20,55,35.5,1666,29,20.4,129.6,65.166667,30.5,,22.2,72.333333,80,969.2,27,12,,,,150.66667,,100,26.5,60.4,,,,0.4615385,0,0.3846154,13,0.05,2012,ME,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-MW,55.941176,14.5,25.666667,25.25,47.192308,25.333333,22.9,,135.33333,23.136364,118.14286,,41.714286,36.5,12,79,30.25,54.428571,,32.272727,162.33333,78.5,26,36.018182,47.666667,8.6666667,6,19.6,54.928571,,62.807692,14.666667,43.333333,43,30.714286,,,29.333333,81.6,13,,135.46417,10.91,5.25,21.160377,611.66667,18.4,26.924259,7.129666,152.33333,2.4254902,1151.4444,3,63.324324,26,32,27.25,79.4,,,,48.571429,,,68,42.875,6.5,16,7.9375,8.375,6.5,57.333333,47.25,84.72973,,12,31.818182,41,67.333333,54.5,44.2,103.4,39.294118,179.88889,144.5,,,41.666667,24,47,,33.5,37.333333,60.25,,,1,0.1666667,0,0.75,8,0.33,2012,MW,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-N,105.13636,98.125,44.333333,120.83333,41.142857,79,45.333333,10,85.125,20,50,,425.14286,57.333333,66.6,82.153846,14.333333,88.6,,114.91667,631.22222,69,,593.66667,189.44444,9.5,40.5,33.5,100.86667,,387.25,77.4,90,93.888889,6,,,6,70.5,,,219.55556,,16,,54,,331.5,19,80.777778,,77.5,,364.84615,83,46.333333,,133,,27.333333,,88.545455,47,,12.5,69.285714,37.5,46,10.235294,10.5,11.571429,152.25,69.25,148.375,54,168.1,76.333333,74.333333,24.545455,103.33333,135.57143,94.777778,33.849315,1310.5556,135,,,95.8,61.5,163.875,,8,178.14286,176.26316,,,,0.1818182,0,0.5,12,0.52,2012,N,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-PN,450.11111,51,68.5,118.83333,101.4,145.33333,110.5,,81.25,21.545455,154.75,,254.48148,74.333333,95,120.96667,31,73.555556,,96.736842,108.25352,148,80.5,131.84615,241.875,73,62.25,34.5,116.02941,,388.81818,147,52.5,57.909091,42.6,21,,39,94.333333,5,72.5,85.461538,16.6,16.666667,10.75,,10,73.307692,23.5,167.44444,,13,,366.05882,72.333333,41.333333,22.8,51.3,,,,115.05556,63.2,,28.8,90.461538,,54.666667,,32,7,294,52.666667,255.92308,,151.71429,157.71429,133.14286,34.25,34.916667,221.42857,233.90909,79.105263,418.97015,85.75,,,128,82,240.66667,,62.333333,100.71429,83.833333,,,,0.1333333,0,0.3125,16,0.47,2012,PN,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-PS,222.8,34,37.5,125.2,103,47.5,79.666667,13,63.428571,27.142857,83.857143,,360.47059,150,139,136.76923,38.125,60.125,,75.928571,127.36957,50.166667,57,106.09091,177.14286,40,106,,93.333333,41,311,75.5,25.5,46.571429,76,,,65,41,,47.666667,99.785714,35,12,4.5,,15,179.9,36.5,67.692308,31,55.5,,301.8125,,66.714286,37,30.714286,,30,,150.875,76.666667,,52,59.625,15,56,,,27.166667,253.75,24.666667,315.55556,62,81.75,107,72.333333,42.625,55.375,126.16667,184,88.484848,154.84091,79.333333,,,44.75,53,156.42857,,,193.28571,91.428571,,,,0.5,0,0.625,8,0.59,2012,PS,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-RC,281,20.8,55.5,95,45.5,72,205,,104.16667,2.3333333,122.91667,,1028.3333,108,127,143,31.6,101.375,,187.875,534.1,33,97.666667,45.354839,203.44444,67,33,86,198.09091,,571,73.8,18,130.4,39,,,,59,,74.666667,159.125,,,,,,61,,93.375,33,,22.5,303.77778,61,51.333333,,81,,43,,93.375,102.66667,,143,102.625,,62.5,,,,108,41.333333,295.94444,62,103.5,77.25,129.85714,61,70,294.85714,288.625,75,1428.3333,,,,74.5,76,77.777778,,93.5,56.6,228.2,,,,0,0,0.6,10,0.84,2012,RC,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-RN,108,28,55,30.666667,55.8,,22,12,46.5,,43.125,,439.33333,,62,83,,34.25,5,35,152.71429,54.6,,81.444444,50.6,63,,23.5,156,,203.77778,,14,143.55556,47.5,,,,77,,,113.11111,,,37,39,,71,,43.8,,,,121.77778,,143,,26.909091,,,,64.333333,,,,41.555556,,,,,,65.714286,35.25,174.44444,53.5,49.25,51.5,81.666667,10.5,78.25,76.166667,91.111111,57.272727,769.77778,103.4,,,37,56,85.25,,47.666667,52.666667,79.266667,,,,0.1428571,0,0.5714286,7,0.69,2012,RN,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-RS,286.81818,30.363636,85.25,217.25,80.2,39.75,48.5,,65.285714,,54.538462,,588.46154,69.5,141,188.33333,52.166667,85.777778,,130.88889,165.1875,55.666667,41,149.8125,107.71429,67,72,33.5,67.552632,,340.33333,63,83,107.44444,57,8,,,33.75,,,176,,,14.4,,,61,,143.77778,,,,429.88889,95,91.428571,,65.333333,,43.5,,89.571429,38.666667,,,144,,44,,,2,211.22222,,298.22222,41.5,126.28571,115.5,74.375,182.5,64.25,142,226.77778,107.94444,1898.8889,,,,43.333333,,88.166667,,19.5,70.166667,185.25,,,,0.5454546,0,0.4545455,11,0.54,2012,RS,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-S,164.42857,60.45,55,104.25,71,54.5,100,,248.83333,,30.583333,,273.29412,77,82.5,59.086957,55.5,125.14286,,159.22222,243.375,29,61.666667,66.344828,203,65.5,49.333333,54,62.116667,,191.15385,59.333333,28.5,322.55556,14.818182,38,,25.5,104.57143,,23,58.25,,21,21.8,,3,84.428571,35.666667,383.44444,13.857143,75.333333,9.5,378.08333,,76.5,,127.75,,22,,73.636364,46,,,199.44444,,24,28.25,,40.833333,190.55556,52.75,49.971429,90.333333,109.25,68.375,88.875,62,106,165.42857,100,39.724138,858.5,169.5,,,96.75,,129.33333,,56.333333,97.714286,197.83333,,,,0.4615385,0,0.2307692,13,0.51,2012,S,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-T,211.44444,47,48,,8,60.333333,15,,27.625,9.5,104.71429,,200,,73,79.428571,6,39.666667,,65,48.518519,47,,103.625,209.66667,147,,50,97.625,,419.33333,,51,57.7,65.666667,10,,,41,37,,76.5,27,,16.5,,,50.5,,103.66667,9.8571429,43,11,148.625,37,31.333333,,70.2,,,,76.142857,,,,48.5,53.5,,,,,113.14286,38.4,164.63636,9,38,79.5,104.14286,48.4,17.5,52.857143,138.83333,33.35,663.28571,47,,,,,83,,19.5,75.666667,64.6,,,,0.6,0,0.5,6,0.76,2012,T,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-A,17.782609,4,16,18.333333,9.5,13.5,,24,12.315789,,10.888889,23,12.438202,,,11.52,,8.9375,18,11.647059,11.780488,2,22.5,6.1818182,14,,,23.5,11.410714,,20.806452,,,12.8,11,2,18.625,4,23.25,24.333333,51,16,,,5.5,,,40,,,,,14.25,14.526316,,,,6.5,17.666667,6,,13.111111,13,,,12.6,11,,,14.125,14.777778,16.777778,17,6.3846154,6,8.6,12,16,15.5,16.142857,19,9.8,15,10.333333,,3,,40,,12.894737,4.6666667,6.2777778,23.4,18.2,11.5,14,17.444444,0.5,0,0.5,4,0.58,2012,A,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-B,7.8571429,,,53,4.8571429,32,,9.25,2.9545455,,6.9642857,27.6,5.2760736,,,16.5625,3.3333333,3.0163934,4,4.4285714,13.273256,,5,7.4285714,3.1111111,,,,12.413043,,29.888889,,4,3.4090909,,,52.5,,8.2,11.333333,,14,,,,,,10,,,,,3,5.1,,18,40,2.5,7.4,,,16.444444,,24.666667,4,2.826087,,,,6.4545455,10.4,54.928571,14.666667,3.4814815,,2.8571429,28,,3,17.730769,62.333333,42.833333,11,36.981132,31,22,,30,5.3333333,5.0769231,3,12.666667,28.875,17.538462,16,,5.3333333,0.3333333,0,0.3333333,3,0.71,2012,B,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-C,20.65,10,,24,15.4,17.25,9.5,,5.5,,6.5142857,38.583333,16.009615,10.5,19,18.551724,7.5,6.5045872,5,4.3928571,34.5,8,29,10.4,5,32.5,39,16,22.614035,,32.75,31,4.6666667,5.6071429,,,33.142857,,14.923077,,18,,,1,37,,9,,,4,,,4.3333333,20.112676,,18.875,,9.75,21.333333,43,,22.315789,16,22,3,5.8529412,,24.5,,22.888889,18.125,30.846154,18.75,9.4909091,3,3.7368421,,32.8,5.8823529,12,41.166667,,26.428571,,,,,,33,12.4,15.25,10.8,26.333333,34.809524,,,5.6666667,0.3333333,0,0.5,4,0.89,2012,C,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-D,19.356863,14.25,40,14.708333,13.166667,13.129032,5,12.333333,16,,16.826923,17.533333,18.523901,12.789474,13,13.77,27,13.76087,,15.36,16.47644,24.428571,19.25,15.1875,16.933333,16.571429,24.692308,22.9,12.211382,,17.776699,25.428571,16.666667,19.066667,15,,28.76,17,20.5,,,24.5875,,13.5,36,,,41.833333,,12.888889,,,19.590909,19.5,22.666667,23.333333,9.3333333,14.5,14.285714,,20,16.114286,28.833333,18.5,13,20.807692,,25,,11.7,18.133333,17.770833,,13.346939,39.5,14,34.166667,23.166667,14.714286,52.75,13.606557,20.904348,10.090909,15.871921,86,,,81,29,16.764706,19,20.777778,39.090909,28.608696,,,16.166667,0,0,0.2857143,7,0.96,2012,D,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-E,13.669492,7.9,29,8,22,,,8.4,15.288889,,10.195402,12.117647,10.005988,18.2,2,5.4811321,11.090909,10.865385,4,11.711111,12.902857,24.5,20.545455,9.6875,14.571429,17,15,31.5,6.1509434,,17.03125,34.6,5,14.564103,6,3,28.342105,6.25,15.166667,7,28,19.833333,,,10.666667,,21.25,,,43.5,,,7.2,9.8795181,43.5,13.714286,32.2,15.375,12,8,,5.4,10,8.6666667,17,15.686869,,15.5,,16.375,15.75,14.052632,20.666667,10.533333,12,18.753425,19.642857,,10.757576,12.1,12.967213,30.047619,5.03125,27.919075,,,,14.111111,,10.176471,,6.25,31.90625,15.782609,11,14.684211,7,0.25,0,0.375,8,0.54,2012,E,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-FN,5.2512821,6.25,11,11,14,6.7777778,16,,5.8148148,,10.117647,12.433526,11.793651,13.714286,10.5,6.2875,13,13,17.4,12.55,13.377358,14.555556,12.866667,10.047619,6.8571429,11,4.5,12.2,5.9527027,18.75,15.69697,14.777778,5,9.3571429,8.5,6.5,11.947368,5.6666667,15,5.8333333,16.333333,14.333333,,,21.2,,,,,37.5,,,7.8636364,8.6833333,10.857143,11.947368,15.5,4,12,18,,8.974359,8.5714286,20.5,4.6666667,14.26,,10.5,,9.1666667,9.2727273,12.142857,14.5,8.9166667,16.5,8.375,11.941176,2,8.4615385,16.4,11.589286,12,7.8139535,14.475096,27.285714,,10,11.333333,,8.8076923,8.8,11.538462,19.955556,15.708333,,7.3333333,10,0.3333333,0,0.6,10,0.41,2012,FN,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-FS,12.482014,44,53,,10,17,,3,10.368421,,14.875,26.56,9.1743119,29.666667,,36.344828,8.25,7.375,1,11.307692,20.316667,32.2,58.25,26.933333,10.166667,30,41,27.25,28.392857,,30.777778,50,12.5,10.1,,,28.806452,14.666667,15.6,,13,80.5,,,9,,,,,,,,27.5,10.62069,33,26.6,60,8.8181818,9.1428571,,,22.727273,27,41,4,14.233333,,,,13.5,10.6,24.4,10.333333,26.434783,35.2,7.6666667,31.666667,38.333333,7.6666667,8,37.181818,35.466667,17.925926,48.814815,,,,45.75,,20.772727,72,16.333333,42,34.708333,34,11.5,18,0.4285714,0,0.5714286,7,0.67,2012,FS,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-GN,19.283333,6,34,4,13.6,12,27,25.166667,10,,9.5531915,15.333333,7.0458716,,26,8.5844156,,23.727273,,19.625,7.5629291,19.5,9,9.8,17.8,24,,12,8.2105263,16.25,22.944444,2,17,22.111111,6.25,,23.148148,,9.875,15.5,16.333333,31,,10,17,,5.7,,,14.3,,,6.7058824,10.559322,10,53,22.361111,20,17.5,15,6,8.0652174,,41.333333,,21.5625,6,,,13.555556,10,15,18.25,8.3269231,,21.8,19.333333,20,19.916667,44.875,19.923077,24.722222,14.826923,22.600917,24.88,52,21,42.666667,26,7.4710744,7.8,9.7647059,16.452381,37.346154,,,7.75,0.6,0,0.2727273,11,0.49,2012,GN,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-GS,12.481481,23,16,28,19.4,7,32,14.5,12.958333,,15.333333,26.555556,12.382609,28,35,12.690909,10.8,11.388889,,10.75,11.224719,6.6923077,,17.5,11.066667,36.666667,11,31.857143,11.155844,27.333333,20.861111,25.181818,14,14.04,42,9,22.979167,13.5,20.5,14.5,30,8.3571429,,,7.6666667,,,,,15.333333,,,37.4,13.522388,21,28,9.8888889,19.75,22.833333,36,,10.65,,,,13.275862,4,,,23.666667,21.666667,20.692308,22,18.95,28,11.125,21.7,25.333333,10.857143,23.333333,23.133333,9.4166667,14.773333,10.267857,33,22.5,,11,13.333333,27,35,22.25,31.5,20.027778,,10,,0.4444444,0,0.7777778,9,0.66,2012,GS,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-HE,26.333333,,,27,14.5,72.5,36,2.6666667,19.685714,,25.666667,49.666667,6.3893805,,59,7.254902,11.25,11.633333,26,13.5,22.964912,,9.6666667,26.909091,16.7,,71,,7.3188406,,39.4,,8.6,14.5,24,9,46.5,,5,32,39.5,32,,,,,,,,,,,35,29.55,59,27,50.833333,7.7857143,,,,11.391304,,,,16.357143,,,,26.5,38.5,51.666667,31.75,45.307692,,12.75,26.5,37,11.125,37.444444,,28.642857,14.969697,32.978723,50,,,32.5,,31.5,6.75,30,23.666667,51.571429,,,,0.3636364,0,0.5454546,11,0.47,2012,HE,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-HW,17.389706,18.428571,50.75,,9,1,23,,15.478261,,22.931034,27.5625,5.59601,26,,17.892857,8.5,9.6909091,38,9,11.423077,38,30.25,18.52,15.058824,,14,6,19.515625,,25.552632,32.333333,,7.6666667,16.333333,31,16.266667,19.5,20.142857,22.5,19,,,,,,,,,,,,30.4,19.396552,,6.5,42.846154,12.25,18.75,47,,22.941176,21,24.166667,,10.361111,22,10.25,,25.2,26.5,32.090909,34.444444,16.618182,,18.333333,33.428571,13.333333,7.5714286,62,23.75,42.736842,21.1,42.868421,89.75,18,,49,,25.5,11,15.666667,27.153846,25.333333,,1,17.5,0.4,0,0.6666667,6,0.68,2012,HW,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-KE,27.335714,17.454545,18,27.333333,23.609756,31.166667,23.571429,23,25,,31.642857,25.377049,12.463462,24.833333,18.315789,18.116564,19,22.805556,35.5,20.814815,13.397541,,7.5714286,21.376344,21.1,28,29.75,29,17.172043,,28.449664,24.136364,18.6,19.0625,19.615385,6,28.854839,23.866667,30.583333,30,17,16,,3,9,,27,13,,6.3333333,,,33,25.408602,40.333333,35.631579,50.071429,18.964286,27.327273,36.5,18,15.131579,16.5,20.555556,7,21.561404,22,22.5,,22.846154,27.553191,27.791667,24.705882,22.632258,26.666667,16.666667,26.521739,26.171429,30.733333,22.5,24.895833,49.9,9.9831224,42.8,,,,18.6,17.75,21.078431,21.4,28.857143,24.777778,19.082192,13.916667,23.333333,17.6,0.2,0,0.7333333,15,0.67,2012,KE,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-KW,32.809735,43.666667,32.5,35.285714,29.952381,22.5,28.947368,,26.571429,,41.842105,34.052632,5.1500525,13,35.25,20.264901,18,29.4,24,44.472222,17.114007,51.6,19.363636,38.5,29.892857,25.5,30,30.210526,20.957346,,32.367089,36.357143,45,33.952381,26.833333,29,33.461538,13.666667,20.7,9.6,15,15.333333,,,14,,5,,,,,,43,30.206897,19,,31.724138,40.24,34.04,49,34,18.53125,40.5,,26,27.857143,64.666667,36.6,,34.333333,25,39.5,12.941176,31.172727,42,21.935484,34.7,32.85,29.166667,22.041667,19.8,44.535714,12.22314,42.632035,4,,,27.071429,16.333333,43.206897,21,37.666667,22.65625,21.392857,9,3,54.5,0.25,0,0.3846154,13,0.66,2012,KW,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-L,7.4694836,,34.5,,5.8571429,,5,35,24.892857,,4.25,7.3333333,12.067797,22.5,24,29.863636,28.166667,26.035088,9,21.6875,31.941176,28.823529,23,7.5,20.571429,8.5,5,,30.838235,,5.7692308,,28.666667,21.916667,,43,11,24.857143,29.5,30,33,42.5,,,,,,,,9,,,6,8.9655172,12.5,19,34.829787,28.2,3,10,,32.473684,,,15,22.956522,,,,14.75,6,6.75,30.666667,4.75,,20.333333,,8,19.84375,10,16.25,35.769231,27.257426,32.733333,27,19.25,69,23.333333,,6.6666667,,8,15,14.333333,,27.666667,,0.2,0,0.6666667,15,0.29,2012,L,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-ME,8.6201117,,15,17.5,14.892857,10,16.222222,36,24.416667,,54,17.538462,11.527397,,8.1666667,11.942857,32,29.866667,10,31.454545,55.055556,,24,47.6,31,9,10.6,17,13.079646,38.5,10.838235,19.380952,41.75,26.416667,,10.5,10.877551,12.5,11,,5,31,,10,,,,,,60,,,,11.878049,17,11.818182,42.692308,40.25,11.222222,11.5,16,11.35,6,13.333333,62,33.846154,,13.857143,,15.214286,13,18.181818,23,39.333333,11,27,13.714286,10.375,33.833333,57.777778,12,39.8,42,29.730263,46.814815,14.25,59,62.666667,41,49,24,,30,25.066667,,41.666667,,0.4615385,0,0.3846154,13,0.05,2012,ME,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-MW,41.811881,14.625,,14,39.266667,45,37.25,32.25,15.777778,,11.157895,28.444444,33.091667,,28,9.7333333,23.625,17.857143,,40.111111,23.813559,102,25,8.8055556,17.846154,13.666667,57,8.5,12.493827,,31.545455,46.75,32.5,34.6875,,,32.891892,11.5,31.4,4,,39,,,,,,,,,,,11,28.670886,,49,38.714286,17,34.764706,32,,10,23,33,16,34,17.5,26,,21.4,30.8125,21.090909,22,12.5,,24,34.142857,35.681818,23.25,29.75,44.375,42,5.9795918,42.733333,,55.5,,29,,17.533333,24.5,10,30,31.454545,,14,6.75,0.1666667,0,0.75,8,0.33,2012,MW,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2016-N,13.56,13.69697,,30.555556,28.7,31,26.230769,3,6.3939394,,25.125,12.153846,22.844961,,25.636364,8.6373626,6.4090909,6.8055556,,8.6923077,12.140741,,9.4285714,14.994413,11.393939,,,23,9.8294118,18.5,20.02439,24.583333,6,7.6551724,31.25,8.3333333,31.513514,16.428571,27,6,,15,,2,12.2,,,11,,8,,3,15.75,21.128205,,31.8,31,6.7222222,26.133333,33,5,5.8235294,,12.416667,6,8.7391304,,10.333333,,41.25,19.461538,23.285714,30.5,19.075,11.8,6.375,32.666667,31.727273,6.4347826,23.259259,33.583333,22.25,10.80198,32.454545,4.6969697,,3,18.5,53.5,17.038462,7.3333333,14.333333,15.2,23.303571,18.5,11.5,3,0.1818182,0,0.5,12,0.52,2012,N,2016,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
