state,body,ward_no,survey_year,councillor,councillor_woman,councillor_party,councillor_age,councillor_education,councillor_professional_education,councillor_pan_card,councillor_criminal_cases,council,councillor_spell_id,woman_reserved,reservation_raw,total_funds,funds_prop,gbm_attended,total_gbms,ward_attendance,total_ward_meetings,other_meetings,total_other_meetings,total_questions,slum,samplesize,adminward,rating_roads,rating_traffic,rating_gardens,rating_transport,rating_rations,rating_hospitals,rating_schools,rating_power,rating_water,rating_flooding,rating_pollution,rating_crime,rating_law_order,rating_sanitation,rating_recall_party,rating_recall_name,rating_accessibility,rating_satisfaction,rating_corruption,rating_quality_of_life,rating_footpaths,questions_corporation,questions_crimecorrupt,questions_culture,questions_distribution,questions_education,questions_health,questions_housing,questions_humanres,questions_license,questions_otherinfrastructure,questions_pollution,questions_recreationcommunity,questions_renaming,questions_tax,questions_transport,questions_watertoilets,questions_other,rating_flags,source_path
Maharashtra,Brihanmumbai Municipal Corporation,123,2015,Ashwini Bharat Mate,1,SS,46,HSC,,Yes,0,2012,83,0,,5548000,0.92466664,75,79,13,16,61,63,14,0.7,,N,46.735,39.466,34.691,53.698,52.658,71.519,75.212,84.117,84.178,38.796,44.766,60.029,68.068,56.888,27.7,61.4,71.26667,58.4525,78.2075,57.585,,0.14285715,0,0.071428575,0,0,0.071428575,0.21428572,0.071428575,0,0,0.2857143,0.071428575,0,0,0.071428575,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,123,2016,Ashwini Bharat Mate,1,SS,47,HSC,,Yes,0,2012,83,0,,6345367.5,0.52878064,66,74,12,16,45,48,14,0.7,,N,60.1,49.9,46.4,72,62,70.7,69.9,73.6,77.8,56.9,59.2,65.1,68.5,60.7,46,56,69.666664,78.32,59.575,65.1525,,0,0,0,0,0,0,0.21428572,0,0.071428575,0,0.071428575,0,0.071428575,0,0.35714287,0.21428572,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,123,2018,Snehal Sunil More,1,IND,42,HSC,,Yes,0,2017,84,1,W,4855751.5,0.8092919,87,102,18,19,46,51,4,0.7,,N,63.141,47.722,64.07,62.151,,63.809,63.377,61.646,61.427,52.987,43.478,51.864,69.078,42.499,0,87.2,71.71333,50.4325,79.3,91.9725,56.068,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,satisfaction_inverted,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,124,2011,Shobha Harish Ashar,1,BJP,,,,,,2007,85,1,W,,,49,51,17,17,10,14,5,0.7,133,N,61.982,64.188,67.534,68.736,,69.795,70.313,66.061,66.424,63.805,63.922,65.066,64.416,68.061,,,,,57.1575,,,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0.2,0,0,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,124,2013,Pravin Velji Chheda,0,INC,48,SSC,,Yes,1,2012,86,0,,4608569,0.76809484,61,70,14,19,75,93,21,0.7,,N,52.399,55.802,28.77,73.172,59.164,68.472,75.544,78.225,78.505,52.273,50.946,62.61,69.224,55.786,80.9,86.1,78.19666,72.2625,87.7275,62.4725,,0.0952381,0,0,0.1904762,0.04761905,0,0,0,0,0.0952381,0.0952381,0.04761905,0.33333334,0.04761905,0.04761905,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,124,2014,Pravin Velji Chheda,0,INC,49,SSC,,Yes,1,2012,86,0,,1.0624E7,0.88533336,47,65,15,18,104,124,17,0.7,,N,54.402,51.129,55.862,53.686,53.071,78.493,80.414,79.478,72.458,53.39,52.243,42.083,53.636,50.296,35.7,57,63.226665,67.1625,61.7275,73.2575,,0,0,0.05882353,0,0,0,0.4117647,0.05882353,0,0,0.11764706,0,0.11764706,0.11764706,0,0.11764706,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,124,2015,Pravin Velji Chheda,0,INC,50,SSC,,Yes,1,2012,86,0,,3226000,0.5376667,54,79,13,16,101,181,20,0.7,,N,68.807,62.492,31.769,83.173,56.464,73.735,76.581,88.616,91.227,57.575,59.116,63.703,72.921,75.183,61.3,67.1,66.23,75.18,87.0325,77.195,,0.15,0.05,0,0,0.05,0.05,0.1,0.15,0.1,0,0.1,0,0.15,0,0.05,0,0.05,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,124,2016,Pravin Velji Chheda,0,INC,51,SSC,,Yes,1,2012,86,0,,7829299,0.65244156,64,74,9,16,115,154,23,0.7,,N,65.504,60.308,27.848,64.076,53.362,65.316,73.064,74.698,69.588,48.872,56.732,66.218,69.391,67.34,88.8,95.9,67.69,71.0125,92.425,78.8275,,0.2173913,0.04347826,0,0,0.04347826,0.13043478,0.13043478,0,0,0,0.04347826,0,0.2173913,0,0.13043478,0,0.04347826,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,124,2018,Jyoti Harun Khan,1,NCP,57,Technical Diploma,,Yes,0,2017,87,1,W,4973583,0.8289305,93,102,18,19,32,37,4,0.7,,N,82.683,78.485,85.27,74.927,,68.974,86.616,86.413,86.882,76.806,69.41,68.671,76.911,86.316,75,93.9,84.10333,55.2125,92.9475,80.35,84.925,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0.25,0,satisfaction_inverted,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,125,2011,Suresh Shantaram Golatkar,0,INC,,,,,,2007,88,0,,,,21,51,9,17,0,0,9,0.7,116,N,63.901,62.44,67.287,63.767,,69.092,63.354,68.878,64.997,62.676,61.8,63.476,63.462,63.095,,,,,61.525,,,0,0,0,0,0,0,0.7777778,0,0,0,0,0,0.11111111,0,0,0.11111111,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
