year,ward_no,serial,candidate,party,party_local,votes,electorate,valid_votes,source_path
2012,4,2,Bhoir Yashwant Sonu,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,171,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,3,Jadhav Dhanaji Vishwasray,Samajvadi Party,Samajvadi Party,456,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,4,Kamble Sachit Manoher,BSP,Bahujan Samaj Party,162,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,5,Aashish Aatmaram Mishra,IND,Apaksh,58,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,6,Patekar Udesh Shantaram,SS,shivsena,8747,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,7,Arjunsingh Ravat,IND,Apaksh,283,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,8,Mamta Sharma,NCP,nationalist congress party,5238,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,9,Sachin Rajanikant Shirvadkar,MNS,Maharashtra Navnirman Sena,8428,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,10,Singh Bharti Jaysingh,IND,Apaksh,80,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,11,Shivkumar Ramdhani Yadav,IND,Apaksh,146,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,1,Aare Deepak Dattatray,IND,Apaksh,56,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,2,Darekar Prakash Yashwant,MNS,Maharashtra Navnirman Sena,10526,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,3,Tulashidas Shivram Gavade ( ),IND,Apaksh,30,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,4,Ghadi Sanjay Parshuram,IND,Apaksh,107,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,5,Sanjay Shanker Ghadi,SS,shivsena,9404,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,6,Ad. Sandesh Kondvilkar,INC,Indian National Congress,2872,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,7,,Sardar Vallabhbhai Patel Party,Sardar Vallabhbhai Patel Party,43,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,8,Nitin Gunaji Shirke,BSP,Bahujan Samaj Party,97,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,5,9,Dr. Narendrakumar,IND,Apaksh,628,44315,23763,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,6,1,Desai Hansaben Gunvantray,SS,shivsena,13142,44249,20786,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,6,2,Manisha Rajan Joshi,MNS,Maharashtra Navnirman Sena,5119,44249,20786,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,6,3,Sharma Rajeshree Vinod,INC,Indian National Congress,2525,44249,20786,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,7,1,Shital Amol Churi,MNS,Maharashtra Navnirman Sena,4540,50648,22853,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,7,2,Disilya Jenet Egneshiyas,NCP,nationalist congress party,4395,50648,22853,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,7,3,Pandit Rajani Sagar,IND,Apaksh,489,50648,22853,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,7,4,Dr. Shubha Umesh Raut,SS,shivsena,13207,50648,22853,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,7,5,Rehana Salim Sayyad,black panther,black panther,222,50648,22853,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,1,Manohar Vishnu Bhatuse,IND,Apaksh,185,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,2,Rosi Disoza,IND,Apaksh,553,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,3,Gopinath Baburav Gothankar,IND,Apaksh,21,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,4,Jadhav Bhalchandra Tanu,BSP,Bahujan Samaj Party,111,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,5,Shivaji Tukaram Kamble,IND,Apaksh,41,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,6,Atul Mahurkar,IND,Apaksh,108,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,7,Sanjay (Raju) Anant Palande,MNS,Maharashtra Navnirman Sena,4679,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,8,Rajesh Nagesh Parab,IND,Apaksh,58,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,9,Kantibhai Laljibhai Rathod,IND,Apaksh,100,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,10,Sanjay Pandurang Sakpal,IND,Apaksh,502,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,11,Shivanand (Shiva) Shetty,INC,Indian National Congress,8100,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,12,Sadanand Namdev Surve,SS,shivsena,6011,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,8,13,Suresh Poshnna Tike,IND,Apaksh,252,39817,20721,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,9,1,Vaishali Arun Belekar,IND,Apaksh,266,46957,20285,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,9,2,Chaudhary Manisha,BJP,bjp,9863,46957,20285,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,9,3,Anjali Amit Naik,IND,Apaksh,120,46957,20285,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,9,4,Kumud Patil,INC,Indian National Congress,4272,46957,20285,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,9,5,Sangita Shivramvar,MNS,Maharashtra Navnirman Sena,5547,46957,20285,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,9,6,Yadav Geeta Gokul,BSP,Bahujan Samaj Party,217,46957,20285,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,10,1,Chafekar Megha Vivek,MNS,Maharashtra Navnirman Sena,5480,42617,22698,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,10,2,Khursang Ridhi Bhaskar,NCP,nationalist congress party,11921,42617,22698,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,10,3,Patel Jayashree Ashok,BSP,Bahujan Samaj Party,352,42617,22698,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,10,4,Sawant Manisha Shailendra,IND,Apaksh,271,42617,22698,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,10,5,Saha Jayashree Kalpesh,IND,Apaksh,142,42617,22698,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,10,6,Vichare Sonali Santosh,SS,shivsena,4532,42617,22698,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,11,1,Bhosale Rashmi Ramesh,SS,shivsena,5924,38404,21375,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,11,2,Chongale Shilpa Shirish,MNS,Maharashtra Navnirman Sena,7292,38404,21375,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,11,3,Masal Shalan Murlidhar,rashtriya samaj paksh,rashtriya samaj paksh,127,38404,21375,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,11,4,Jyoti Shivaji Savardekar,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,162,38404,21375,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,11,5,Shetye Shweta Mahendra,IND,Apaksh,706,38404,21375,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,11,6,Geeta Sanjay Singhan,NCP,nationalist congress party,7164,38404,21375,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,1,Kamble Manisha Harish,MNS,Maharashtra Navnirman Sena,1976,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,2,Farmida (Bhavna) Hasan Khan,IND,Apaksh,710,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,3,Nahire Pushpa Subhash,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,1009,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,4,Parekh Narmada Dashrath,IND,Apaksh,73,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,5,Aasavari Patil,BJP,bjp,5718,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,6,Patil Dipika Vinay,INC,Indian National Congress,5009,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,7,Nayana Shah,IND,Apaksh,4104,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,8,Shahnaj Akhtar Shaikh,IND,Apaksh,65,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,12,9,Aasha Tiwari,Samajvadi Party,Samajvadi Party,269,41084,18933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,1,Bhosale Sidhant Bhasker,INC,Indian National Congress,4650,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,2,Sadashiv Mahadev Bodake,IND,Apaksh,126,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,3,Chetan Chandrakant Kadam,MNS,Maharashtra Navnirman Sena,8522,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,4,Subhash Parshuram Khanvilkar,IND,Apaksh,94,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,5,Bhima Loida,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,255,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,6,More Nandkumar Ramchandra,SS,shivsena,7015,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,7,Vishnu Tukaram More,republican party of india (Democretic),republican party of india (Democretic),82,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,8,Patel Arjun Dashrath,BSP,Bahujan Samaj Party,104,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,9,Patil Satish Ramchandra,IND,Apaksh,202,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,10,Prahalad Muralidhar Saronde,IND,Apaksh,62,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,11,Devendra Singh Thakur (Babu),maharashtra parivartan sena,maharashtra parivartan sena,256,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,13,12,Vagal Sachin Dattakumar,IND,Apaksh,322,46071,21690,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,14,1,Doshi Beena Paresh,BJP,bjp,11717,51318,20152,data/maharashtra/mumbai/2012_scanned_data.xlsx
