year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,61,razia MohdRashid Qureshi,NCP,Nationalist Congress Party,70,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,61,ASHA SHIVAJI KAMBLE,Bahujan Mukti Party,Bahujan Mukti Party,38,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,61,CHERANBAI HOUSAJI BHALERAO,Republican Party of India (A),Republican Party of India (A),28,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,61,NOTA,,,218,,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,Changez Jamal Multani,IND,Independent,10659,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,Raju Shripad Pednekar,SS,Shivsena,4569,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,FIROZAHMED MEHNDIHASAN SHAH,INC,Indian National Congress,2857,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,FOWAJ BASHIR MEMON,SP,Samajwadi Party,2653,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,VITTHAL TIPPANNA BANDHERI,BJP,Bhartiya Janata Party,1746,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,rajesh maruti patil,NCP,Nationalist Congress Party,170,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,VISHAL RAMCHANDRA HARYAN,MNS,Maharashtra Navnirman Sena,169,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,62,NOTA,,,139,,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,RANJANA UJWAL PATIL,BJP,Bhartiya Janata Party,4864,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,VARSHA VISHNU KORGAONKAR,SS,Shivsena,4198,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,SABIHA ARIF KHAN,AIMIM,All India Majlis e Ittehadul Muslimeen,4095,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,PRATIBHA BIPINKUMAR SINGH,INC,Indian National Congress,3394,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,MEENA SUNDER VASWANI,MNS,Maharashtra Navnirman Sena,408,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,ASHIYANA LAEEKAHMED PENWALA,SP,Samajwadi Party,330,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,JYOTI GAUTAM SAHAJRAO,BSP,Bahujan Samaj Party,195,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,LAXMI BABU DHANGAR,IND,Independent,134,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,SHABHAM IBRAHIM PATHAN,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,54,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,FARHA AFTAB KHAN,INC,Indian National Congress,31,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,63,NOTA,,,237,,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,SHAHEDA HAROONRASHID KHAN,SS,Shivsena,7589,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,Sangita Vijay Patil,SP,Samajwadi Party,4410,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,GEETANJALI RAJU KAREKAR,INC,Indian National Congress,3920,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,AKRITI RAJIV PRASAD,BJP,Bhartiya Janata Party,3836,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,HUDA ADAM SHAIKH KHAN,AIMIM,All India Majlis e Ittehadul Muslimeen,2112,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,Sneha Sudhir Tawde,MNS,Maharashtra Navnirman Sena,1161,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,SHIVANI SANTOSH PARAB,Sambhaji Brigade,Sambhaji Brigade,308,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,SHARDA LAXMAN KAMBLE,NCP,Nationalist Congress Party,113,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,MEENA GOVIND RANE,IND,Independent,82,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,64,NOTA,,,368,,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,ALPA ASHOK JADHAV,INC,Indian National Congress,7820,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,MAYA SANTOSHSING RAJPUT,BJP,Bhartiya Janata Party,6515,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,NUTAN PRASAD AYARE,SS,Shivsena,5833,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,ALMAS FAZAL QURESHI,AIMIM,All India Majlis e Ittehadul Muslimeen,1178,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,Avantika Vilas Raut,MNS,Maharashtra Navnirman Sena,589,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,Bidul Kadar Agwaan,Communist Party Of India (Marxist),Communist Party Of India (Marxist),406,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,MANJULA DHARMA LANJEKAR,IND,Independent,132,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,SUFIYA FARID SHAIKH,IND,Independent,86,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,65,NOTA,,,376,,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,MEHER MOHSIN HYDER,INC,Indian National Congress,11228,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,FIRDOUS ARIF SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,7418,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,SHILA JASWANTLAL SHAH,BJP,Bhartiya Janata Party,4719,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,YOGEETA YELLAPPA KUSHALKAR,SS,Shivsena,3702,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,Karuna Hari Valodra,IND,Independent,497,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,Noorbanu Md Yusuf Shaikh,Communist Party Of India (Marxist),Communist Party Of India (Marxist),369,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,SANJANA SANJOG PAWAR,MNS,Maharashtra Navnirman Sena,339,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,KAUSAR ABUBAKAR SHAIKH,Janata Dal Secular,Janata Dal Secular,66,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,DURGAVATI SHANTARAM SAHANI,IND,Independent,47,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,66,NOTA,,,278,,data/maharashtra/mumbai/mumbai_2017.csv
2017,67,SUDHA SHAMBHUNATH SINGH,BJP,Bhartiya Janata Party,10719,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,67,PRACHI PRASAD PARAB,SS,Shivsena,7587,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,67,VANITA KAILASH MARUCHA,INC,Indian National Congress,4243,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,67,RADHIKA ARMUGAM UDAIYAR,MNS,Maharashtra Navnirman Sena,968,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,67,NOTA,,,588,,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,ROHAN SHASHINDRA RATHOD,BJP,Bhartiya Janata Party,8200,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,DEVENDRA SHRIDHAR AMBERKAR,SS,Shivsena,6226,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,InderpalSingh ManorathSingh Sabharwal,INC,Indian National Congress,2157,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,Abhijeet Vijay Mehta,IND,Independent,2147,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,SACHIN BHAGWAN TALEKAR,MNS,Maharashtra Navnirman Sena,784,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,Sunil Dilip Shejwal,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,255,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,MAHIN MOHIDDIN SHAIKH,IND,Independent,179,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,ujjay ramesh jadhav,IND,Independent,112,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,MADHUSUDAN BAPU SADADEKAR,NCP,Nationalist Congress Party,85,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,mehboob badshah shaikh,BSP,Bahujan Samaj Party,62,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,Robin Lubert Tauro,united congress party,united congress party,61,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,pradeep Atmaram kashid,Sambhaji Brigade,Sambhaji Brigade,30,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,Mahesh Chandappa Jathan,IND,Independent,29,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,68,NOTA,,,376,,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,RENU KISHORILAL BHASIN,BJP,Bhartiya Janata Party,8266,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,Bhavna Sikander Jain,INC,Indian National Congress,4561,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,ANJALI DEEPAK PALKAR,SS,Shivsena,3833,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,Nayana Senthilkumar Pallar,MNS,Maharashtra Navnirman Sena,1092,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,Neha Kumarrampravesh Sharma,IND,Independent,432,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,MARY DOMNIC CREADO,IND,Independent,183,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,Bhanumati Shankar Dravid,IND,Independent,83,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,FARZANA AJAMAT SHAIKH,IND,Independent,28,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,PRIYANKA GANESH DEVENDRA,IND,Independent,28,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,69,NOTA,,,212,,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,SUNITA RAJESH MEHTA,BJP,Bhartiya Janata Party,13034,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,VEENA VIRENDRA TAUK,SS,Shivsena,3760,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,BINITA MEHUL VORA,INC,Indian National Congress,3478,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,RASHMI RAVINDRA YELANGE,MNS,Maharashtra Navnirman Sena,2076,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,SMITA LLOYD PEREYRA,NCP,Nationalist Congress Party,158,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,HETAL HARSHID DOSHI,IND,Independent,94,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,SANDHYA SURYAKANT SAWANT,united congress party,united congress party,88,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,MEENU BABULNATH YADAV,IND,Independent,62,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,BALAMANI BALRAM POTNAGARI,IND,Independent,34,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,70,NOTA,,,367,,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,Aneesh Naval Makwaaney,BJP,Bhartiya Janata Party,7277,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,JITENDRA GUNWANT JANAWALE,SS,Shivsena,6743,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,Jayanti Jivabhai Siroya,INC,Indian National Congress,2609,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,LIBERALIS ALEX FERNANDES,IND,Independent,718,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,SHRIKANT VASANT YADAV,IND,Independent,635,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,MUKESH RAMCHANDRA RAJPUT,BSP,Bahujan Samaj Party,411,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,LAWRENCEROY LEO CASTELINO,Republican Party of India (A),Republican Party of India (A),399,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,ALAMGIR AJHUSSAIN SHAIKH,IND,Independent,367,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,SUBHASH BALKRISHNA GHADGE,IND,Independent,243,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,SAVIO SIMON COUTINHO,IND,Independent,179,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,anthony agnel fernandes,IND,Independent,176,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,RAJESHKUMAR KESHAV KASHYAP,IND,Independent,145,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,Aditi Shailesh Salvi,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,139,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,NARAYAN BHASKAR VALANJU,IND,Independent,122,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,KISHOR MAHADEV DHURE,IND,Independent,100,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,71,NOTA,,,186,,data/maharashtra/mumbai/mumbai_2017.csv
2017,72,PANKAJ SHOBHNATH YADAV,BJP,Bhartiya Janata Party,12709,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,72,ANIL DASHRATH MANE,SS,Shivsena,11321,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,72,SHILPA SANTOSH SALVI,INC,Indian National Congress,3574,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,72,Manoj Ramesh Sakhat,IND,Independent,525,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,72,SHRADDHA DILIP JADHAV,NCP,Nationalist Congress Party,381,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,72,NOTA,,,603,,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,PRAVIN GAJANAN SHINDE,SS,Shivsena,13084,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,Bhalchandra Gangaram Ambure,BJP,Bhartiya Janata Party,5579,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,Nitin Raviandra Sawant,INC,Indian National Congress,3209,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,Pramod Vishnu Mhaskar,MNS,Maharashtra Navnirman Sena,1936,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,SANJAY ANANT MAHALE,NCP,Nationalist Congress Party,207,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,RAHUL NIVRUTTI KHARAT,BSP,Bahujan Samaj Party,52,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,AAKASH HARIKESH KORI,IND,Independent,46,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,73,NOTA,,,470,,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,UJWALA SHRIKRUSHNA MODAK,BJP,Bhartiya Janata Party,9713,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,RACHANA RAVINDRA SAWANT,SS,Shivsena,9255,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,Pushpa Milind Bhole,INC,Indian National Congress,2422,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,Sandhya Parasharam More,MNS,Maharashtra Navnirman Sena,2385,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,KASHIBAI CHHABBU UGHADE,BSP,Bahujan Samaj Party,547,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,KALPANA RAMCHANDRA NAIK,NCP,Nationalist Congress Party,167,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,RATNAMALA RAMESH JAGDALE,IND,Independent,74,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,swati suhas bane,IND,Independent,64,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,74,NOTA,,,404,,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,Priyanka Pramod Sawant,SS,Shivsena,10801,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,Nirmala Dilip Mane,BJP,Bhartiya Janata Party,4790,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,Anjana Bhaskar Dudwadkar,INC,Indian National Congress,3876,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,NAINA SACHIN KHAIRNAR,NCP,Nationalist Congress Party,2347,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,YASHASHRI PRAMOD PATIL,MNS,Maharashtra Navnirman Sena,616,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,SUREKHA PANDURANG CHAVAN,IND,Independent,104,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,SANTOSHI PRAKASH KHANDAGALE,Republican Party of India (A),Republican Party of India (A),95,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,ANJALI ANKUSH MHASKAR,IND,Independent,82,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,75,NOTA,,,436,,data/maharashtra/mumbai/mumbai_2017.csv
2017,76,KESHARBEN MURJI PATEL,BJP,Bhartiya Janata Party,12064,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,76,Nitin Bandopant Salagre,INC,Indian National Congress,3717,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,76,SATYAWAN RAMCHANDRA MANCHEKAR,SS,Shivsena,3286,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,76,DEVJI TUKARAM BANE,MNS,Maharashtra Navnirman Sena,814,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,76,MINAKSHI VIJAY CHALKE,NCP,Nationalist Congress Party,145,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,76,NOTA,,,354,,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,Anant Bhiku Nar,SS,Shivsena,12854,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,Prashant Ghanshyam Kulkarni,BJP,Bhartiya Janata Party,3353,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,DNYANESHWAR SAHADEV SAWANT,IND,Independent,3102,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,SANJAY BHASKAR BANE,MNS,Maharashtra Navnirman Sena,1663,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,Gajanan Balkrishna Lad,INC,Indian National Congress,1650,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,Nitin Jairam Kubal,IND,Independent,708,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,MAYUR MANOHAR MORYE,IND,Independent,697,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,SHRIDHAR YESHWANT KHADYE,IND,Independent,505,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,DATTADAS SHANKAR SHIRSAT,IND,Independent,393,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,Pramod Bapu Dalvi,IND,Independent,217,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,NARAYAN GANPAT SAWANT,IND,Independent,131,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,MANGESH DAGADU KASARE,BSP,Bahujan Samaj Party,123,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,77,NOTA,,,417,,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,______ ____________ ____,NCP,Nationalist Congress Party,4012,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,NEHA KHURSHEEDALAM SHAIKH,SS,Shivsena,2934,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,Farida Farhan Ansari,SP,Samajwadi Party,2788,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,Jamila iqbal Shah,INC,Indian National Congress,2737,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,AFROZBEGUM AFZALALI MEER,AIMIM,All India Majlis e Ittehadul Muslimeen,2456,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,FATIMA RAFIQAHMED SHAH,IND,Independent,1775,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,SAYALI SANJAY MHATRE,IND,Independent,1704,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,HEENA MEHBOOB SHAH,BJP,Bhartiya Janata Party,845,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,78,NOTA,,,314,,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,SADANAND WAMAN PARAB,SS,Shivsena,9659,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,Santosh Gangaram Medhekar,BJP,Bhartiya Janata Party,5002,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,Ajay Shivpujan Tiwari,IND,Independent,4157,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,purushottam baburao jalgaonkar,INC,Indian National Congress,2046,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,MONICA KAJMER FERNANDES,MNS,Maharashtra Navnirman Sena,1675,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,RAJESH BUDDHU YADAV,SP,Samajwadi Party,493,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,SANDEEP DATTARAM PAWAR,IND,Independent,162,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,79,NOTA,,,323,,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,Sunil Lalanprasad Yadav,BJP,Bhartiya Janata Party,12342,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,MANOHAR GANGARAM PANCHAL,SS,Shivsena,10335,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,MUKESH CHANDRANATH SHARMA,INC,Indian National Congress,1810,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,VISHAL VISHWANATH HALDANKAR,MNS,Maharashtra Navnirman Sena,1201,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,Manish Dayabhai Patel,BSP,Bahujan Samaj Party,723,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,AJAY JAYANTILAL SOLANKI,IND,Independent,354,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,___ ________ ____,NCP,Nationalist Congress Party,163,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,PANDURANG ABA PARAB,Janata Dal Secular,Janata Dal Secular,88,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,RAJENDRA SHANTARAM TAWDE,IND,Independent,66,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,Dinesh Ranapratap Singh,IND,Independent,41,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,Prabhakar Tarapada Sadhu,IND,Independent,28,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,80,NOTA,,,533,,data/maharashtra/mumbai/mumbai_2017.csv
2017,81,MURJI KANJI PATEL,BJP,Bhartiya Janata Party,10867,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,81,SANDEEP RAJU NAIK,SS,Shivsena,7393,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,81,Jyoti Madhukar Birje,INC,Indian National Congress,2740,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,81,SANTOSH PANDURANG GIRI,MNS,Maharashtra Navnirman Sena,728,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,81,SEEMA HEMANT BANSOD,NCP,Nationalist Congress Party,206,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,81,SAGAR RAMPRASAD POTUL,IND,Independent,59,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,81,NOTA,,,362,,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Jagdish Kutty Amin,INC,Indian National Congress,5663,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Santosh Vasant Kelkar,BJP,Bhartiya Janata Party,5615,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Subhash Kanta Sawant,SS,Shivsena,3724,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,RAJMANI GOMATIPRASAD SHUKLA,NCP,Nationalist Congress Party,1317,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Bhimrao Shivram Gamre,IND,Independent,1227,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,HARBANSSINGH BALDEVSINGH BANWAIT,IND,Independent,373,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Sanjay Vasant Dhaware,MNS,Maharashtra Navnirman Sena,369,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Rahulhamid Manjurali Talukdar,Communist Party Of India (Marxist),Communist Party Of India (Marxist),185,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,RAMNIWAS SHYAMDAS GUPTA,Bahujan Mukti Party,Bahujan Mukti Party,179,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,ARULRAJ MICHEAL NADAR,IND,Independent,138,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Naresh Shankarlal Saini,IND,Independent,137,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,OMPRAKASH RAMPRASAD VISHWAKARMA,IND,Independent,60,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,anilkumar sureshnath mishraa,IND,Independent,58,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,Prakash Yashwant Gamare,Peoples Republican Party,Peoples Republican Party,52,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,JAGDEEP SHRIRAM ARORA,IND,Independent,35,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,82,NOTA,,,185,,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,Winnifred Baptist Dsouza,INC,Indian National Congress,7558,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,NIDHI NARESH SAWANT,SS,Shivsena,6953,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,Poornima Ramesh Mane,BJP,Bhartiya Janata Party,5548,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,SONALI SHASHIKANT SATPUTE,MNS,Maharashtra Navnirman Sena,1554,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,ASHWINI ARVIND ADHIKARI,Akhil Bharatiya Sena,Akhil Bharatiya Sena,246,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,Sujata Dhananjay Athavale,NCP,Nationalist Congress Party,221,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,SANJEEVANI ANKUSH REWALE,Aghadi/Front,Aghadi/Front,122,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,shivani sunil hate,IND,Independent,107,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,VASANTI JAGANNATH SURVE,IND,Independent,85,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,SHEETAL MANGESH SAWANT,IND,Independent,68,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,83,NOTA,,,377,,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,Abhijit Ganpat Samant,BJP,Bhartiya Janata Party,13501,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,Veena Chaitanya Bhagwat,SS,Shivsena,8871,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,SANDEEP SITARAM DALVI,MNS,Maharashtra Navnirman Sena,7375,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,Pyarelal Govind Teli,INC,Indian National Congress,2031,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,Raj Mahadev Choughule,IND,Independent,292,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,Arvind Ramfer Verma,IND,Independent,102,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,RAGHUNATH VISHNU SHIDHORE,IND,Independent,71,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,84,NOTA,,,448,,data/maharashtra/mumbai/mumbai_2017.csv
2017,85,JYOTI PARAG ALAVANI,BJP,Bhartiya Janata Party,15629,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,85,CHANDRAKANT SITARAM PAWAR,SS,Shivsena,5786,2,data/maharashtra/mumbai/mumbai_2017.csv
