year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,12,AMOL ARUN NAIK,IND,Independent,2356,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,SHIVANI JATIN PAWAR,MNS,Maharashtra Navnirman Sena,1064,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,HEMANT BHAILAL PANDEY,INC,Indian National Congress,788,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,AJAY YASHWANT DESAI,NCP,Nationalist Congress Party,745,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,PRAMOD PRALHAD SHINDE,IND,Independent,226,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,PRADEEP BHANUDAS FULWARE,Aghadi/Front,Aghadi/Front,147,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,Vinay Tukaram Dalvi,IND,Independent,135,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,HARGOVIND DURGASINGH RAWAT,IND,Independent,108,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,MACHHINDRA SHIVAJI KAMBLE,bahujan republican sociolist party,bahujan republican sociolist party,97,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,NOTA,,,381,,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,Vidyarthi Balister Singh,BJP,Bhartiya Janata Party,13113,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,RAJESH NANDKUMAR KADAM,SS,Shivsena,5907,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,VINAY GHANSHYAM PATIL,INC,Indian National Congress,3632,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,tajuddin badiuddin inamdar,NCP,Nationalist Congress Party,808,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,VINOD JIVA SOLANKI,MNS,Maharashtra Navnirman Sena,579,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,MAYUR VASANT PATIL,IND,Independent,224,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,ABDULWAFA HABIB KHAN,SP,Samajwadi Party,132,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,Dinesh Ramashankar Pandey,IND,Independent,114,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,Raju Santosh Dhumadiya,Sardar Vallbhbhai Patel Party,Sardar Vallbhbhai Patel Party,102,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,LILAVATI SHRINIWAS SONAVANE,IND,Independent,81,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,RAJESH RAMKISAN MALLAH,BSP,Bahujan Samaj Party,52,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,SATISH RAMCHANDRA PATIL,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,42,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,NASIMUDDIN BADIUDDIN INAMDAR,IND,Independent,16,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,13,NOTA,,,488,,data/maharashtra/mumbai/mumbai_2017.csv
2017,14,Asawari Anil Patil,BJP,Bhartiya Janata Party,8321,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,14,BHARTI CHETAN KADAM,SS,Shivsena,7180,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,14,NISHA SANDEEP GUJAR,MNS,Maharashtra Navnirman Sena,2224,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,14,RASHMI YASHWANT MESTRY,INC,Indian National Congress,1844,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,14,SHUBHANGI SANTOSH NIKAM,NCP,Nationalist Congress Party,650,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,14,DAIVATA LAXMAN JADHAV,Sambhaji Brigade,Sambhaji Brigade,87,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,14,NOTA,,,525,,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,PRAVIN RIKHAVCHAND SHAH,BJP,Bhartiya Janata Party,22860,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,PARESHBHAI BABUBHAI DHANAK,SS,Shivsena,3304,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,MEHUL AJIT GOSALIA,INC,Indian National Congress,2711,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,MAHESH VINOD BHOIR,MNS,Maharashtra Navnirman Sena,939,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,NARAYAN RAMKEDAR MISHRA,BSP,Bahujan Samaj Party,217,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,ABHIJIT VIJAY MAHADIK,IND,Independent,212,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,BALAGANAPATHI THOMAS NAYAGAM,IND,Independent,65,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,15,NOTA,,,869,,data/maharashtra/mumbai/mumbai_2017.csv
2017,16,Anjali Arun Khedkar,BJP,Bhartiya Janata Party,9465,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,16,PRITI SANDESH DANDEKAR,SS,Shivsena,7554,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,16,VIJAYALAXMI NARAYAN SHETTY,INC,Indian National Congress,6676,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,16,Manisha Navnath Bacche,NCP,Nationalist Congress Party,1852,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,16,RESHMA SHANKAR NIVALE,MNS,Maharashtra Navnirman Sena,1724,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,16,POONAM NITESH IJAGAJ,BSP,Bahujan Samaj Party,632,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,16,NOTA,,,515,,data/maharashtra/mumbai/mumbai_2017.csv
2017,17,BINA PARESH DOSHI,BJP,Bhartiya Janata Party,14414,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,17,SHILPA SAURABH SANGORE,SS,Shivsena,4822,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,17,PRAGATI PRATAPSINH RANE,INC,Indian National Congress,4310,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,17,KHUSHBOO MAHENDRA VED,MNS,Maharashtra Navnirman Sena,700,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,17,MEERA SADANAND KAMAT,IND,Independent,336,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,17,NOTA,,,531,,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,Sandhya Vipul Doshi,SS,Shivsena,9815,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,SUMESH GOPAL AMBARE,BJP,Bhartiya Janata Party,8044,2,data/maharashtra/mumbai/mumbai_2017.csv
