state,year,district,body,ward_no,ward_name,tier,woman_reserved,reservation_raw,caste_reservation_known,winner,party,party_local,votes,votes_polled,reservation_source_path,source_path
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,12,Dattapada,ulb_ward,0,,0,Vinay G Patil,INC,CONG,6435,15388,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,13,Rajendra Nagar - Khatau Estate,ulb_ward,1,W,0,Aparna A Narvekar,SS,SENA,6919,17216,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,14,Borivali TPS 3 - Korakendra,ulb_ward,0,,0,Pravin R Shah,BJP,BJP,10659,17973,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,15,Eksar - Yogi Nagar,ulb_ward,0,,0,Mohan R Mithbavkar,BJP,BJP,8445,19798,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,16,Chikuwad i- Kanti Park,ulb_ward,1,W,0,Bharati J Keni,BJP,BJP,7497,14731,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,17,Charkop ( North) - M.H.B. Colony ( New ),ulb_ward,0,,0,Sandhya V Doshi (Sakre),NCP,NCP,6185,22368,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,18,Charkop ( South) - Kandiwali ( West),ulb_ward,0,,0,Shubhada Subhash Gudekar,SS,SENA,10174,19872,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,19,Charkop Industrial Estate,ulb_ward,0,,0,Kamlesh Yadav,INC,CONG,3486,14905,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,20,Mahavir Nagar - Dahanukar Wadi,ulb_ward,0,,0,Shailaja Vijay Girke,BJP,BJP,7733,16815,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,21,Naravane Sanscrutik center - Arya Chanakya Nagar,ulb_ward,0,,0,Rajul Niranjan Vyas,INC,CONG,3855,16971,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,22,Poinsur Village (West) - Kandiwali (East),ulb_ward,0,,0,Shivkumar Basukinath Zha,IND,IND,3118,12432,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,23,Poinsur (East) - Rajaram Nagar - Ashok Nagar,ulb_ward,0,,0,Ashok Vasudev Sawant,SS,SENA,9705,-,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,24,Samata Nagar - Dattani Park- Mahindra & Mahindra Co.,ulb_ward,1,W,0,Kshitija Umesh Pujare,SS,SENA,4997,16381,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,25,Damupada,ulb_ward,0,,0,Ramesh Singh Thakur,INC,CONG,6547,19560,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,26,Vadarpada Colony - Gautam Nagar,ulb_ward,1,W,0,Ajanta Rajpati Yadav,INC,CONG,6933,17558,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,27,Devaji Bhimji Colony - Paras Nagar,ulb_ward,0,,0,Yogrsh Amrutlal Sagar,BJP,BJP,9421,14250,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,28,Irani wad i- Kandiwali (West),ulb_ward,0,,0,Geea Ashish Yadav,INC,CONG,6134,18383,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,29,"Manori, Marve - Erangel- Akse - Daravali Village - Madh Island",ulb_ward,1,W,0,Renuka Pandurang Dive,SS,SENA,6416,16527,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,30,Valnai Village - Kharodi Village - Malavani Colony,ulb_ward,1,W,0,Survarna Prakash Madyalkar,INC,CONG,5798,17548,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,31,Adarsh Dugdhalaya - Evershin Nagar,ulb_ward,1,W,0,Jaya Satnam Singh Tiwana,INC,CONG,7349,13879,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,32,Bhadaran Nagar - Mamalatdar Wadi,ulb_ward,0,,0,Baldevsingh Gunvantsingh Manko,INC,CONG,5984,16649,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,33,Pushpa Park,ulb_ward,0,,0,Ramanarayan Amathram Barot,BJP,BJP,6326,16306,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,34,Tanaji Nagar,ulb_ward,1,W,0,Vanita Manohar Ghag,MNS,MNS,7535,19693,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,35,Appa Pada,ulb_ward,0,,0,Bhomsingh Hirsingh Rathod,INC,CONG,6537,15135,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,36,Malad Hill reservoir,ulb_ward,1,W,0,Vidya Ajit Chavan,NCP,NCP,4808,17674,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,37,Muncipal Colony Malad (East),ulb_ward,0,,0,Sadashiv Dadu Patil,SS,SENA,7330,19901,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,38,Dhanji Wadi - Narsobawadi- Kokanipada,ulb_ward,0,,0,Ajit Balkrishna Raorane,NCP,NCP,4297,19323,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,39,Pimparipada - Pathanwadi,ulb_ward,0,,0,Ganpat Balkrishna Varise,SS,SENA,5067,16056,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,40,Raheja Complex - Dhindoshi,ulb_ward,0,,0,Gyanmurti Ramchandra Sharma,BJP,BJP,4662,14767,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,41,Makrani Pada,ulb_ward,1,W,0,Dikshit Jayesh Shah,INC,CONG,6983,16749,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,42,Liberty Garden - Nadiyadwalla Colony,ulb_ward,1,W,0,Supriya Vijay Pawar,MNS,MNS,6860,18047,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,43,New Collector's colony,ulb_ward,0,,0,Aslam Ramjan Ali Shaikh,INC,CONG,4397,13287,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,44,New Collector's colony - M.H.B. Colony,ulb_ward,1,W,0,Sarika Austin Gracious,NCP,NCP,5698,12285,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,45,Sunder  Nagar - Piramal Nagar,ulb_ward,0,,0,Vidya J Thakur,BJP,BJP,7597,15781,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,46,Dhindoshi- Pandurangwadi,ulb_ward,0,,0,Shantaram S Bhosle,SS,SENA,8186,19887,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,47,Aarey Colony ( East ),ulb_ward,0,,0,Sunil W Prabhu,SS,SENA,9372,21003,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,48,Nirlon- Krushi Vidyapeeth - Jaiprakash Nagar,ulb_ward,1,W,0,Sumangal S Koltharkar,SS,SENA,8984,16635,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,49,Unnat Nagar - Motilal Nagar No. 2 & 3,ulb_ward,0,,0,Sameer K Desai,INC,CONG,11689,22851,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,50,Shastri Nagar - Bangur Nagar,ulb_ward,0,,0,Ramchandra R Pillai,INC,CONG,5827,18978,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,51,Motilal Nagar No.1- B.E.S.T. Bus Depot,ulb_ward,0,,0,Dilip Y Shinde,SS,SENA,7066,17550,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,52,Siddharth Nagar - Jawahar Nagar,ulb_ward,0,,0,Dilip G Patel,BJP,BJP,8492,20463,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,53,Oshivara- Bandivali ( East ),ulb_ward,1,W,0,Barjina abbas Sayyed,SP,SP,5550,12919,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,54,Tarapore Garden - Adarsh Nagar,ulb_ward,1,W,0,Rajul Suresh Patil,SS,SENA,7853,14655,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,55,Swami Samrat Nagar,ulb_ward,0,,0,Yashodhar Padmakar Phanse,SS,SENA,4586,10686,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,56,Versova ( North ),ulb_ward,1,W,0,Chhaya Chandrakant Bhanji,SS,SENA,5343,11950,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,57,Amboli Hill,ulb_ward,0,,0,Raju Shripad Pednekar,SS,SENA,6364,16866,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,58,Shahaji Raje Sports Complex - Malcom Baug,ulb_ward,0,,0,Vishnu Vasudeo Korgaonkar,SS,SENA,6838,22127,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,59,Seven Banglows - Versova ( South ),ulb_ward,0,,0,Devendra Shridhar Ambedkar,INC,CONG,6257,14055,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,60,Manish Nagar - Bhavan's College,ulb_ward,1,W,0,Jyotsna Abhay Dighe,INC,CONG,6016,12606,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,61,Gilbert Hill - Andheri Market,ulb_ward,1,W,0,Khatija Ismail Makwana,INC,CONG,7534,21954,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,62,Lallubhai Park - Shri Ram Zarokha,ulb_ward,1,W,0,Bharati Balkrishna Dhongade,INC,CONG,4081,11762,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,63,Bhakati Vedanta Mandir - Cooper Hospital,ulb_ward,0,,0,Adolf Victor D'souza,IND,IND,4582,18585,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,64,S.N.D.T. University Campus - Juhu Airport,ulb_ward,0,,0,Aziz Abdulkarim Barudgar,INC,CONG,6385,17281,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,65,Vile Parle West - Mithibai College,ulb_ward,0,,0,Jayanti Jeevabhai Sayyed,INC,CONG,5940,15871,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,66,Bandrekar Wadi - Ismail College- Natwar Nagar,ulb_ward,1,W,0,Ujwala Shrikrishna Modak,BJP,BJP,5951,16938,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,67,Jogeshwari Caves - Majaswadi,ulb_ward,0,,0,Suresh Madhukar Gangan,SS,SENA,10269,24200,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,68,Shivneri Vasahat - Meghwadi,ulb_ward,0,,0,Ravindra Dattaran Waikar,SS,SENA,10758,22030,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,69,Shankarwadi- Sher - E - Punjab Colony,ulb_ward,0,,0,Shailesh Dattaram Parab,SS,SENA,7612,18478,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,70,Squatter's Colony - Toalni College,ulb_ward,1,W,0,Sabirabi Hasan Shaikh,INC,CONG,5992,19262,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,71,Gundavali Gaothan (West),ulb_ward,0,,0,Rupali Ramesh Pawaskar,INC,CONG,5787,18841,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,72,Gundavli (East)- E.S.I.S. Hospital,ulb_ward,0,,0,Ramesh Kondiram Latke,SS,SENA,8171,18216,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,73,Vyaravli - M.I.D.C.,ulb_ward,0,,0,Clive George Dias,INC,CONG,5642,18163,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,74,Vijaynagar - Bhavani Nagar,ulb_ward,0,,0,Roshan Bhaskar Dudwadkar,INC,CONG,6721,17781,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,75,Sahar Airport-Maroshi Village,ulb_ward,0,,0,Kamlesh Kedarnath Rai,INC,CONG,5281,17566,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,76,Chakala- Sahar Air Port,ulb_ward,0,,0,Subhash Kanta Sawant,SS,SENA,8856,18736,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,77,Sahar Village- Baman Wada,ulb_ward,0,,0,Nitin Bandopant Salagre,INC,CONG,4976,18784,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,78,M.V. College - Vijay Nagar-Coal Dongari,ulb_ward,0,,0,Manohar Gangaram Panchal,SS,SENA,7544,18671,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,79,Tejpal Scheme - Paranjape Scheme - Vile Parle ( East ),ulb_ward,0,,0,Shashikant Govind Patkar,SS,SENA,11346,21161,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,80,Vile Parle (East) - Telephone Exchange,ulb_ward,0,,0,Chandrakant Sitram Pawar,BJP,BJP,7851,19139,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,81,Prabhat Colony- Anand Nagar,ulb_ward,0,,0,Dharmesh K Vyas,INC,CONG,5570,17021,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,82,Vivekanand Nagar,ulb_ward,0,,0,Baliram B Ghag,SS,SENA,7008,21687,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,83,University Campus- Dharamsi Colony,ulb_ward,0,,0,Sanjay G Potnis,SS,SENA,4870,18484,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,84,Kalina Village- Santacruz Cantonmnt,ulb_ward,1,W,0,Alice J Terattil,INC,CONG,5022,15056,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,85,Bharat Nagar (East),ulb_ward,0,,0,Lalji Ramkishore Yadav,SP,SP,4672,14727,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,86,T.P.S. 3- Santacruz- Ashok Nagar,ulb_ward,0,,0,hwanath Pandurang Mahadesh,SS,SENA,5330,16345,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,87,Dowri Nagar- - Khar Rifle Range,ulb_ward,0,,0,Krishna D Parkar,BJP,BJP,4202,17001,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,88,Teacher's Colony - Jawahar Nagar,ulb_ward,1,W,0,Sujata S Mhaskar,SS,SENA,6495,20479,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,89,Govt. Colony - Bharat Nagar (West),ulb_ward,0,,0,Prakash V Sawant,SS,SENA,7224,17385,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
