year,ward_no,candidate,symbol,gender,votes,won,incumbent,source_path
2002,3,Lee Shuphen Chen Phu,Road Roller,F,42,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Shekhar Vinod Sitambalam,Hand,M,4318,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Salvi Vilas Shivdas,Aeroplane,M,11,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Surve Prakash Ravji,Lotus,M,3347,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,4,Kapadiya Saroj Kumudchandra,Bow and Arrow,F,3778,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,4,Gurav Minal Sanjay,Clock,F,1325,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,4,Dhulla Vijay Kantilal,Hand,F,4543,W,1,data/maharashtra/mumbai/BMC 2002.xls
2002,4,Ramaiyya Ratna Dinesh,Book,F,314,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,4,Hivalie Sushma Dayanand,Aeroplane,F,737,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Khule Chintaman Jagannath,Bow and Arrow,M,2790,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Nikam Dhyanraj Yashvant,Hand,M,4439,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Pengoda Anjannyya Ramanna,Clock,M,192,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Pawar Balvantrav Sonappa,Coconut,M,3604,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Mallepogo Hiralal Yaranna,Bus,M,8,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Rathod Jyoti Dinesh,Kite,F,185,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Lakdavala Imranali Noormohammad,Flaming Torch,M,19,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Shaikh Mohamma Ikabal Mohammad Ahmed,Ladder,M,58,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,5,Hiraji Iquabal Khalim,Bicycle,M,1248,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,6,Ansari Vakarunnisa Zahid Husain,Bicycle,F,4678,W,,data/maharashtra/mumbai/BMC 2002.xls
2002,6,Nanjiyani Rafiya Masum Hussain,Hand,F,2174,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,6,Vaishnav Manju Rajchoddas,Lotus,F,2560,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,6,Shaikh Zinat Aziz Ahmed,Ladder,F,224,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,6,Sayyad Amin Mohammed,Clock,F,1556,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,7,Ansari Amin Khatun,Ladder,F,219,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,7,Ansari Altaph Hussain,Clock,M,2198,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,7,Ansari Mohammed Ikhalak,Bicycle,M,3910,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,7,Shaikh Shaphik Ahmed Japhar,Hand,M,2236,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,7,Sapkal Atmaram Lakshman,Bow and Arrow,M,131,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,8,Gohil Narendra Devji,Lotus,M,4271,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,8,Solanki Ahmed Dawood,Bat,M,1321,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,8,Patel Ibrahim Allarakha,Bicycle,M,1716,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,8,Shaikh Yusuph Mohammed Yakub,Hand,M,4862,W,,data/maharashtra/mumbai/BMC 2002.xls
2002,8,Amre Manoj Shankar,Clock,M,1447,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,9,Khedakar Ashok Dhyaneshwar,Clock,M,1122,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,9,Rajput Pushpasen Prabhudas,Hand,M,6737,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,9,Naik Deelip Pandarinath,Bow and Arrow,M,6340,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Agarval Amit Radheshyam,Lady Purse,M,114,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Gala Damji Jivaraj,Hand,M,2058,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Jain Yugraj Bherumal,Bus,M,2239,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Nagi Harjindarsingh Gyansingh,Kite,M,236,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Patole Vilas Shrikrushna,Aeroplane,M,126,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Vichare Sharad Shankar,Clock,M,3757,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Shah Sharad Chandualal,Lotus,M,5476,W,,data/maharashtra/mumbai/BMC 2002.xls
2002,10,Singhvi Shikharchand Hanumantraj,Bat,M,8,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,11,Talat Pharuki Shuhela,Bicycle,F,2794,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,11,Mandhre Mangal Deelip,Clock,F,1807,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,11,Mithaivala Sarah Hasan Alli,Hand,F,5102,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,11,Shettye Hema Sudhakar,Bow and Arrow,F,5928,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,12,Chachad Darshan Surendra,Hand,F,3314,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,12,Juvatakar Minal Pravin,Bow and Arrow,F,8018,W,,data/maharashtra/mumbai/BMC 2002.xls
2002,12,Devrukhkar Jasmina Vaman,Clock,F,1640,L,,data/maharashtra/mumbai/BMC 2002.xls
2002,13,Thakur Suresh Baburav,Elephant,M,90,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,13,Tendulkar Rajiv Madhusudan,Bus,M,195,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,13,Bagalkar Surendra Ramkrushna,Bow and Arrow,M,6401,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,13,Modi Sudhir Anantray,Television,M,131,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,13,Mohite Mangesh Janardhan,Clock,M,709,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,13,Sharma Vishal Harish,Hand,M,3604,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,14,Kokate Kishor Hanumant,Lock and Key,M,438,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,14,Mandrekar Pramod Mahadev,Hand,M,4819,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,14,Shirke Sanjay Ramchandra,Bungalow,M,970,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,14,Saini Mohanlal Narayan,Coconut,M,434,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,14,Hadkar Ashok Ganpat,Bow and Arrow,M,4464,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,15,Jain Shantilal Bhavarlal,Lotus,M,3676,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,15,Mayekar Subhash,Clock,M,2612,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,15,Sheth Gunvant Hiralal,Hand,M,4830,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,16,Kanade Bhaskar Yashwant,Bungalow,M,43,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,16,Jadhav Kisan Baburav,Hand,M,5949,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,16,Pasalkar Sachin Manikrav,Clock,M,1238,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,16,Bane Arvind Jagannath,Lotus,M,6981,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,16,Sonavane Shankar Gangaram,Coconut,M,49,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,17,Kadam Jagdish Dagdu,Car,M,103,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,17,Kamble Jayashri Sopan,Lock and Key,F,160,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,17,Chauhan Pravin Mansur,Bicycle,M,345,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,17,Pote Harishchandra Mahadev,Bow and Arrow,M,4707,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,17,Maru Hansa Dinesh,Hand,F,5199,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,17,Vinjuda Dhudibai Hamir,Elephant,F,141,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,17,Sonavane Vilas Manji,Aeroplane,M,3204,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,18,Khedakar Rahul Prakash,Hand,M,4488,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,18,Naik Ramesh Shriram,Bow and Arrow,M,4728,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,18,Narkar Shantaram Vishnu,Clock,M,1775,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,18,Pardeshi Prakash Mangal,Flaming Torch,M,144,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Kamble Prashant Atmaram,Television,M,216,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Parmar Arvind Baldev,Lotus,M,5054,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Parekh Pravin Kantilal,Bungalow,M,75,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Brid Shantaram Sakharam,Hand,M,3307,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Mphapasekar Sachin Suryakant,Railway Engine,M,492,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Las Sadanand Shamrav,Clock,M,1536,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Shukla Panna Deelip,Bus,F,640,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Sheth Narpatchand Harkhachand,Aeroplane,M,640,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,19,Harale Shankar Rajaram,Batsman,M,276,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,20,Gite Prabha Tukaram,Lotus,F,1686,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,20,Jaam Fatima Harun,Clock,F,331,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,20,Mehata Anahita Rusi,Hand,F,8370,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,20,Kadar Sadira Sayyad,Bicycle,F,105,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,20,Salunkhe Lalita,Axe,F,21,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,21,Kranti Hiralal,Hand,M,2506,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,21,Kale Suresh Gajanan,Bow and Arrow,M,4689,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,21,Khan Javed Ahmed Baphatikhan,Bicycle,M,3629,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,21,Ghuge Ravikiram  Bhausaheb,Bungalow,M,473,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,21,Dasar Nandvijay Pannapa,Clock,M,707,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Kazhi Nazimuddin Abdul Hamid,Hand,M,3787,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Khan Gulam Rasul Mazid,Aeroplane,M,40,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Khan Shahid Abdul Hamid,Clock,M,933,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Jadhav Yashwant Kamlakar,Bow and Arrow,M,4033,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Bag Salim Mohammed,Carrom Board,M,17,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Makhrani Jaffarali Rajabaali,Road Roller,M,27,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Momin Abdul Kayyum Sultan,Chair,M,26,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Shaikh Abusayyad Ajami,Bicycle,M,5811,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Shaikh Amir Ahmed Vazir Ahmed,Book,M,22,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,22,Shaikh Mohammed Shamim,Ladeer,M,276,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,23,Ahir Rajesh Mohan,Aeroplane,M,819,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,23,Nanvala Bashir Ahmed Abdul Majid,Hand,M,2269,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,23,Patil Trushant Keshav,Bead Necklace,M,40,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,23,Patil Suryakant Bhagvan,Clock,M,7997,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,23,Rane Krushna Narayan,Bow and Arrow,M,4729,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,24,Chindarkar Pradna Prakash,Clock,F,4628,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,24,Nakhva Yashoda Arvind,Hand,F,1426,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,24,Patkar Ulka Ashok,Bangles,F,2345,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,24,Bhajanvali Aruna Maruti,Lock and Key,F,60,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,24,Mayekar Kamini Vithal,Bow and Arrow,F,5044,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,24,Shaikh Yasmin Hamidullah,Bicycle,F,1252,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,25,Kureshi Salim Mohammad Aaub,Bus,M,921,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,25,Gaonkar Baban Sakharam,Bow and Arrow,M,3346,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,25,Ghorpade Vijay Anant,Aeroplane,M,1530,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,25,Bansode Mangesh Gangadhar,Clock,M,2669,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,25,Yadav Janardan Vasant,Hand,M,3589,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Ansari Kaisar Salim,Coconut,M,14,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Ansari Mohamed Aayub Mohammed Yakub,Bicycle,M,6751,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Kureshi Usman Gani,Clock,M,3378,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Khan Aasiph Ali,Ink & Pot & Pen,M,62,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Khan Sohl Munavar,Lotus,M,258,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Shaikh Abdul Aziz,Bungalow,M,158,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Shaikh Abdul Hamid Bakridi,Ladder,M,215,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Shaikh Mohammad Sajid Mohammad Sajjad,Kisan Driving Tractor,M,1820,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,26,Sayyad Shaliumar Rehman Abdul Shakur,Hand,M,1834,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Ansari Kamruddin Abdul Sattar,Bus,M,19,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Ansari Parvin Rais Ahmed,Hammer Sickle and Star,F,409,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Ansari mohammed Yuni Mohammad Yaya,Chair,M,17,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Kazi Abdul Rajjak Baki,Bicycle,M,4060,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Gujral Kulvindar Singh Harbansingh,Book,M,631,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Tahir Shaikh Shamshuddin,Kite,M,58,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Pawar Prabhakar Vishram,Hand,M,2637,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Pednekar Kuldip Sadanand,Clock,M,3121,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Raut Surekha Kashinath,Bow and Arrow,F,3195,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Shaikh Jabbar Haji Mohammed Sardar,Bat,M,2,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Shaikh Fatimabi Mohammed Khalik,Car,F,10,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Shaikh Mohammed Yahsan Anjum,Ladder,M,268,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Shaikh Siddik Iman,Kisan Driving Tractor,M,996,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Sayyad Parvaj Ali Japhar,Road Roller,M,195,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,27,Hussain Ashphak Taphjjul,Aeroplane,M,1533,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,28,Ansari Mohammed Ayub Kamaluddin,Bicycle,M,319,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,28,Ghate Sunil Sadashiv,Aeroplane,M,11437,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,28,Pingle Sahadev Kosiram,Bow and Arrow,M,2520,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,28,Pednekar Surekha Charudatt,Clock,F,775,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,28,Lokhande Rohidas Madhukar,Hand,M,1875,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,28,Hakim Sajid Anvar Jamattulla,Kisan Driving Tractor,M,247,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,29,Mayekar Bharati Sudam,Clock,F,3615,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,29,More Anjali Ajit,Bow and Arrow,F,7173,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,29,Zhore Dishanka Dinesh,Hand,F,1328,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,30,Gavalkar Yashvant Pandurang,Hand,M,1770,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,30,Gavkar Tulshidas Raghoji,Clock,M,3046,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,30,Meher Sudha Suresh,Bow and Arrow,F,9523,W,1,data/maharashtra/mumbai/BMC 2002.xls
2002,30,Supekar Vijay Chandrakant,Ears of Corn and Sickle,M,307,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,31,Gayakawad Sanjiv Sampat,Clock,M,2189,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,31,Jadhav Pradip Manohar,Bow and Arrow,M,9662,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,31,Narkar Sahadev Sitaram,Hand,M,2813,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,31,Shette Hitendra Manohar,State,M,142,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,32,Kanavje Trupti Vishnu,Clock,F,6360,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,32,Jagtap Jyoti Prakash,Railway Engine,F,152,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,32,Paralkar Samiksha Suresh,Bow and Arrow,F,8956,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,32,Misal Aasha Vaman,Rising Sun,F,437,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,32,Shelar Sulbha Tukaram,Ears of Corn and Sickel,F,174,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,33,Khale Manisha Madan,Railway Engine,F,122,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,33,Ghagre Urmila Narayan,Ears of Corn and Sickle,F,2700,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,33,Dhamapurkar Sumitra Chandrakant,Clock,F,3187,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,33,Dhruv Smital Mayank,Hand,F,1456,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,33,Parab Surekha Dinkar,State,F,128,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,33,Rahate Lata Mangesh,Bow and Arrow,F,9331,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Avhad Kashinath Arjun,Elephant,M,311,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Khan Julphikar Mustak Ahmed,Bicycle,M,786,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Khan Mustak Ahmed Yusuf,Bus,M,17,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Chalke Prakash Shankar,Bow and Arrow,M,4425,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Jadhav Vikas Yashvant,Bridge,M,57,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Pati Shivbachan Shambhu,Car,M,104,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Bhardwaj Hariram Patvar,Bat,M,11,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Murai Rambachan Sitaram,Hand,M,3627,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Babale Satpal Vinayak,Axe,M,244,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Vaidya Sanjay Ashok,State,M,34,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Shukla Avdhnarayan Krushnkumar,Clock,M,1330,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Satardekar Sanjay Ramchandra,Black Board,M,329,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Sapate Vasant Shankar,Ears of Corn and Sickle,M,315,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Singh Balbir Bhanupratap,Kite,M,453,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,34,Sandbhor Gajanan Baburav,Aeroplane,M,648,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Ansari Salim Mohammed,Television,M,172,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Aali Mohammed Husain Mubarak Aali,Ink Pot & Pen,M,21,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Aaga Shabira Abdulgni,Hand Pump,F,192,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Kamble Anil Dagdu,Book,M,65,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Khan Firoz Halim,Axe,M,16,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Khan Mohammed Idaliyas Mohammed Hasan,Car,M,48,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Khan Razahusain Mohammed Ismail,Bicycle,M,4466,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Gamre Deepak Mahadev,Lock and Key,M,538,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Gangavane Yashwant Dattaram,Bungalow,M,66,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Ghatge Satish Srirank,Bus,M,728,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Rajeshirke Dattaram Savalaram,Kisan Driving tractor,M,824,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Shirke Ramesh Changuji,Elephant,M,286,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Shaikh Abdulsalam Mehebub,Bow and Arrow,M,3830,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Shaikh Aftab Husain Abdul Jabbar,Balloon,M,77,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Shaikh Mohammed Rafi Husain,Sewing Machine,M,32,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Savant Ajit Pandurang,Hand,M,3411,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Sayyad Kayyum Saba,Ladder,M,60,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Saudagar Mohammed Aarif Abdulla,Bat,M,133,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,35,Hate Mangesh Vasant,Kite,M,64,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,36,Kharote Surekha Nandkishor,Clock,F,3157,L,0,data/maharashtra/mumbai/BMC 2002.xls
