source_pdf,tier,reservation_raw,caste_reservation_local,caste_reservation,woman_reserved,count,min_match_score
block_member_choryasi_tps_2020.pdf,block_member,_ બિન અનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,| સા.શૈ.પછાતવર્ગ સ્ત્રી - 1,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,| સામાન્ય સ્ત્રી .,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ,અનુસૂચિત આદિજાતિ,ST,0,2,1.0
block_member_choryasi_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ સ્રી *,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,0.95
block_member_choryasi_tps_2020.pdf,block_member,બિન અનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,બિન અનામત સામાન્ય .,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,બિનઅનામતસામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,સા.શૈપછાતવર્ગ,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_chotila_tps_2020.pdf,block_member,' અનુસૂચિત જાતિસ્ત્રી,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_chotila_tps_2020.pdf,block_member,'સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_chotila_tps_2020.pdf,block_member,અનુસૃચિત આદિજાતિ *,અનુસૂચિત આદિજાતિ,ST,0,1,0.9333
block_member_chotila_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,7,1.0
block_member_chotila_tps_2020.pdf,block_member,સા-શૈ.પછાતવર્ગસ્ત્રી _,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_chotila_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_chotila_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,3,1.0
block_member_chotila_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી ર,સામાન્ય સ્ત્રી,NONE,1,1,0.963
block_member_chotila_tps_2020.pdf,block_member,સામાન્યસ્ત્રી *_,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_chotila_tps_2020.pdf,block_member,સામાન્યસ્ત્રી _,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_daskroi_tps_2020.pdf,block_member,_ સા.શૈ.પછાતર્ગ *,સા.શૈ.પછાતવર્ગ,BC,0,1,0.9565
block_member_daskroi_tps_2020.pdf,block_member,_સા.શૈ.પછાતર્ગ સ્ત્રી,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,0.9714
block_member_daskroi_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ,અનુસૂચિત આદિજાતિ,ST,0,1,1.0
block_member_daskroi_tps_2020.pdf,block_member,અનુસૂચિત જાતિ,અનુસૂચિત જાતિ,SC,0,1,1.0
