state,year,district,body,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,caste_reservation_local,woman_reserved,reservation_raw,winner,winner_basis,party,party_local,votes,valid_votes,electorate,total_candidates_stated,listing_scope,script,result_source_path,source_path,source_page,source_pdf,source_url,source_capture
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,20,,ulb_ward,corporator,Other than Woman,NONE,,0,G,DEEPAK PARSHURAM TAWDE,published,BJP,Bhartiya Janata Party,6856,,,15,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,21,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,Shailaja Vijay Girkar,published,BJP,Bhartiya Janata Party,15344,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,22,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,Priyanka Prafull More,published,BJP,Bhartiya Janata Party,14570,,,6,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,23,,ulb_ward,corporator,Other than Woman,NONE,,0,G,SHIVKUMAR BASUKINATH JHA,published,BJP,Bhartiya Janata Party,7197,,,21,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,24,,ulb_ward,corporator,Woman,NONE,,1,W,Sunita Ramnagina Yadav,published,BJP,Bhartiya Janata Party,10144,,,11,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,25,,ulb_ward,corporator,Woman,NONE,,1,W,madhuri yogesh bhoir,published,SS,Shivsena,7185,,,8,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,26,,ulb_ward,corporator,SC Woman,SC,,1,SC-W,PREETAM GAUTAM PANDAGLE,published,BJP,Bhartiya Janata Party,3948,,,11,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,27,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,SUREKHA MANOJKUMAR PATIL,published,BJP,Bhartiya Janata Party,7347,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,28,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,RAJPATI BARGUN YADAV,published,INC,Indian National Congress,8241,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,29,,ulb_ward,corporator,Other than Woman,NONE,,0,G,Sagar Ramesh Singh,published,BJP,Bhartiya Janata Party,8043,,,14,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,30,,ulb_ward,corporator,Woman,NONE,,1,W,LEENA RAJESH DEHERKAR,published,BJP,Bhartiya Janata Party,18333,,,6,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,31,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,KAMLESH SHOBHNATH YADAV,published,BJP,Bhartiya Janata Party,7826,,,8,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,32,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,STEFFIE MORRIS KINNY,published,INC,Indian National Congress,6775,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,33,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,VIRENDRA TUKARAM CHOUDHARY,published,INC,Indian National Congress,5232,,,8,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,34,,ulb_ward,corporator,Woman,NONE,,1,W,QUMARJAHAN MOHAMMEDMOEEN SIDDIQUI,published,INC,Indian National Congress,10500,,,10,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,35,,ulb_ward,corporator,Woman,NONE,,1,W,SEJAL PRASHANT DESAI,published,BJP,Bhartiya Janata Party,13751,,,8,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,36,,ulb_ward,corporator,Woman,NONE,,1,W,Daksha Jagdish Patel,published,BJP,Bhartiya Janata Party,11692,,,7,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,37,,ulb_ward,corporator,Woman,NONE,,1,W,Pratibha Hemant Shinde,published,BJP,Bhartiya Janata Party,7815,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,38,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,Atmaram Laxman Chache,published,SS,Shivsena,6416,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,39,,ulb_ward,corporator,Woman,NONE,,1,W,VINAYA VISHNU SAWANT,published,SS,Shivsena,5663,,,13,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,40,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,suhas chandrakant wadkar,published,SS,Shivsena,8946,,,10,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,41,,ulb_ward,corporator,Other than Woman,NONE,,0,G,TULSHIRAM DHONDIBA SHINDE,published,IND,Independent,6217,,,19,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,42,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,DHANSHREE VAIBHAVB BHARADKAR,published,NCP,Nationalist Congress Party,5897,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,43,,ulb_ward,corporator,Other than Woman,NONE,,0,G,VINOD UDAYNARAYAN MISHRA,published,BJP,Bhartiya Janata Party,5620,,,13,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,44,,ulb_ward,corporator,Woman,NONE,,1,W,Sangeeta Gyanmurti Sharma,published,BJP,Bhartiya Janata Party,9955,,,10,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,45,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,RAMNARAYAN AMTHARAM BAROT,published,BJP,Bhartiya Janata Party,16407,,,6,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,46,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,YOGITA SUNIL KOLI,published,BJP,Bhartiya Janata Party,16868,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,47,,ulb_ward,corporator,Woman,NONE,,1,W,Jaya SatnamSingh Tiwana,published,BJP,Bhartiya Janata Party,9301,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,48,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,SALMA SALIM ALMELKAR,published,INC,Indian National Congress,6655,,,10,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,49,,ulb_ward,corporator,Woman,NONE,,1,W,Sangeeta Sanjay Sutar,published,SS,Shivsena,7359,,,16,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,50,,ulb_ward,corporator,Other than Woman,NONE,,0,G,DEEPAK JAIPRAKASH THAKUR,published,BJP,Bhartiya Janata Party,10645,,,12,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,51,,ulb_ward,corporator,Other than Woman,NONE,,0,G,SWAPNIL MOHAN TEMBWALKAR,published,SS,Shivsena,7802,,,14,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,52,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,PRITI MANOJ SATAM,published,BJP,Bhartiya Janata Party,6696,,,7,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,53,,ulb_ward,corporator,SC Woman,SC,,1,SC-W,REKHA DADASAHEB RAMVANSHI,published,SS,Shivsena,6088,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,54,,ulb_ward,corporator,Woman,NONE,,1,W,SADHANA SADASHIV MANE,published,SS,Shivsena,8363,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,55,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,HARSH BHARGAV PATEL,published,BJP,Bhartiya Janata Party,14256,,,6,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,56,,ulb_ward,corporator,Woman,NONE,,1,W,Rajul Sameer Desai,published,BJP,Bhartiya Janata Party,10219,,,16,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,57,,ulb_ward,corporator,Woman,NONE,,1,W,SRIKALA RAMCHANDRAN PILLAI,published,BJP,Bhartiya Janata Party,10444,,,11,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,58,,ulb_ward,corporator,Other than Woman,NONE,,0,G,SANDEEP DILIP PATEL,published,BJP,Bhartiya Janata Party,7153,,,20,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,59,,ulb_ward,corporator,ST Woman,ST,,1,ST-W,PRATIMA SHAILESH KHOPADE,published,SS,Shivsena,7690,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,60,,ulb_ward,corporator,Other than Woman,NONE,,0,G,YOGIRAJ NARAYANRAO DABHADKAR,published,BJP,Bhartiya Janata Party,6908,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,61,,ulb_ward,corporator,Woman,NONE,,1,W,RAJUL SURESH PATEL,published,SS,Shivsena,10043,,,12,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,62,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,Changez Jamal Multani,published,IND,Independent,10659,,,8,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,63,,ulb_ward,corporator,Woman,NONE,,1,W,RANJANA UJWAL PATIL,published,BJP,Bhartiya Janata Party,4864,,,11,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,64,,ulb_ward,corporator,Woman,NONE,,1,W,SHAHEDA HAROONRASHID KHAN,published,SS,Shivsena,7589,,,10,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,65,,ulb_ward,corporator,BC Woman,BC,OBC,1,OBC-W,ALPA ASHOK JADHAV,published,INC,Indian National Congress,7820,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
