Candidate,Party Name ,Ward Number,Constituency Name,Votes Polled,Election Outcome,Reservation Status,Real Assets,Real Liabilities,Asset Error,My Neta Criminal Cases,Ward Number,Direction,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,EDUCATION,Number of  Voters,Votes Polled ,percentage polled,percent of Votes Polled,percent  of Total Votes,
Ved Prakash,IND,4,Bakhtawar Pur,122,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.34,
Joginder Singh,IND,4,Bakhtawar Pur,84,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.23,
Bijender Kumar,IND,4,Bakhtawar Pur,69,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.19,
Pawan Kumar,IND,4,Bakhtawar Pur,65,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.18,
Pardeep Sharma,IND,4,Bakhtawar Pur,57,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.16,
Ram Kishan Bansiwal,BJP,5,Bhalswa Jahangir Pur,6140,Winner,,,,,,,,,,,,,,,,,,,,,,38519,19462,50.53,31.55,15.94,
Sudhir Kumar,INC,5,Bhalswa Jahangir Pur,6132,Lost,,,,,,,,,,,,,,,,,,,,,,,,,31.51,15.92,
Sunahari,NCP,5,Bhalswa Jahangir Pur,2756,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.16,7.15,
Mahesh Kumar Gautam,BSP,5,Bhalswa Jahangir Pur,2528,Lost,,,,,,,,,,,,,,,,,,,,,,,,,12.99,6.56,
Giri Lal,INLD,5,Bhalswa Jahangir Pur,1510,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.76,3.92,
Mool Chand,LJP,5,Bhalswa Jahangir Pur,243,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0.63,
Bal Ram,IND,5,Bhalswa Jahangir Pur,153,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.4,
Gulab Singh,LJP,6,Mukund Pur,5252,Winner,,,,,,,,,,,,,,,,,,,,,,47986,22071,45.99,23.8,10.94,
Shri Niwas,BSP,6,Mukund Pur,4221,Lost,,,,,,,,,,,,,,,,,,,,,,,,,19.12,8.8,
Anil Kumar,INC,6,Mukund Pur,4152,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.81,8.65,
Gulab,IND,6,Mukund Pur,2274,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.3,4.74,
Dharam Veer,BJP,6,Mukund Pur,1890,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.56,3.94,
Varun Kumar,NCP,6,Mukund Pur,1688,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.65,3.52,
Susheel,INLD,6,Mukund Pur,773,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.61,
Vinod Kumar,IND,6,Mukund Pur,685,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.43,
Sanjeev,IND,6,Mukund Pur,278,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.58,
Suman Jha,IND,6,Mukund Pur,265,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.55,
Sunita,IND,6,Mukund Pur,146,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.3,
Nafe Singh,IND,6,Mukund Pur,145,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.3,
Jitender singh,RJD,6,Mukund Pur,91,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.19,
Rama Shankar,IND,6,Mukund Pur,62,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.13,
Lal Chand,IND,6,Mukund Pur,60,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.13,
Manoj Kumar  Pathak,IND,6,Mukund Pur,57,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.12,
Dilawar Singh,IND,6,Mukund Pur,32,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.07,
Bimla,INLD,7,Burari,6019,Winner,,,,,,,,,,,,,,,,,,,,,,38335,18545,48.38,32.46,15.7,
Rekha Sinha,BJP,7,Burari,5745,Lost,,,,,,,,,,,,,,,,,,,,,,,,,39.98,14.99,
Devinderi,INC,7,Burari,3593,Lost,,,,,,,,,,,,,,,,,,,,,,,,,19.37,9.37,
Kamla,BSP,7,Burari,1852,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.99,4.83,
Ruchi,NCP,7,Burari,907,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.89,2.37,
Yashoda,IND,7,Burari,300,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.62,0.78,
Raisa,IND,7,Burari,129,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.34,
Gaurav Khari,BJP,8,Jharoda,6764,Winner,,,,,,,,,,,,,,,,,,,,,,46137,19788,42.89,34.18,14.66,
Adesh Bhardwaj,INC,8,Jharoda,4341,Lost,,,,,,,,,,,,,,,,,,,,,,,,,21.94,9.41,
Kanwal Singh,LJP,8,Jharoda,1177,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.95,2.55,
Nafe Singh,IND,8,Jharoda,1082,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.47,2.35,
Surendra Badola,INLD,8,Jharoda,1052,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.32,2.28,
Paras Ram,IND,8,Jharoda,1035,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.23,2.24,
Jitender Kumar,NCP,8,Jharoda,789,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.99,1.71,
Yogender Singh,IND,8,Jharoda,683,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.45,1.48,
Mahfooz Ali,BSP,8,Jharoda,516,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.61,1.12,
Pradip Kumar,IND,8,Jharoda,498,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.52,1.08,
Pavel,JD(U),8,Jharoda,407,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.06,0.88,
Shyam Babu Shah,IND,8,Jharoda,308,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.56,0.67,
Rajinder Singh,IND,8,Jharoda,288,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.46,0.62,
Vinod Kumar,IND,8,Jharoda,242,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.22,0.52,
Surender Rohila,IND,8,Jharoda,172,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.37,
Shyam Singh,IND,8,Jharoda,131,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.28,
Hanuman Parshad,SS,8,Jharoda,109,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.24,
Shesh Ram Sharma,IND,8,Jharoda,65,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.14,
Ragini Sharma,IND,8,Jharoda,64,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.14,
Bhagat Singh,IND,8,Jharoda,36,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.08,
Ram Avadh Uppadhya,IND,8,Jharoda,29,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.06,
Shayam Lal,BJP,9,Malka Ganj,7720,Winner,,,,,,,,,,,,,,,,,,,,,,46987,20727,44.11,37.25,16.43,Harnidh-Unsure
Thakur Dass,INC,9,Malka Ganj,7718,Lost,,,,,,,,,,,,,,,,,,,,,,,,,37.24,16.43,
Sh Babu Lal,BSP,9,Malka Ganj,2983,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.39,6.35,
Sh. Jagan nath,IND,9,Malka Ganj,637,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.07,1.36,
Sh. Jai Kishan,INLD,9,Malka Ganj,337,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.63,0.72,
Sh. Manoj,NCP,9,Malka Ganj,273,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.58,
Sh. Ranjit Singh,IND,9,Malka Ganj,271,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.31,0.58,
Sh. Devender Kumar,IND,9,Malka Ganj,213,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.45,
Sh. Sita Ram Morya,IND,9,Malka Ganj,184,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.39,
Sh. Sarvan Kumar,IND,9,Malka Ganj,166,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.35,
Sh. Lila Ram Bharti,IND,9,Malka Ganj,133,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.28,
Sh Ajay,IND,9,Malka Ganj,55,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.12,
Sh. Kailash  Chand,IND,9,Malka Ganj,37,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.08,
Surender Singh,BJP,10,Timarpur (G),8270,Winner,,,,,,,,,,,,,,,,,,,,,,42178,14791,35.07,55.91,19.61,
Kaptan Singh,INC,10,Timarpur (G),4496,Lost,,,,,,,,,,,,,,,,,,,,,,,,,30.4,10.66,
Sh Gul Fam Ahmed,BSP,10,Timarpur (G),1187,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.03,2.81,
Madan Lal Gupta,IND,10,Timarpur (G),443,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3,1.05,
Sh. Akbar Imam,LJP,10,Timarpur (G),157,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.37,
Sh. Vishan Chandra,IND,10,Timarpur (G),146,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.35,
Sh Ram Bachan,IND,10,Timarpur (G),50,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.12,
Sh. Nafe Singh,IND,10,Timarpur (G),24,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.06,
Varun Kumar Biswas,IND,10,Timarpur (G),18,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.04,
Rajni,BJP,11,Mukherjee Nagar (W),7485,Winner,Women,,,,,,,,,,,,,,,,,,,,,38324,15408,40.2,48.58,19.53,
Kansihka,INC,11,Mukherjee Nagar (W),3966,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,25.74,10.35,
Ms. Mamta,IND,11,Mukherjee Nagar (W),1981,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,12.86,5.17,
Kusum,INLD,11,Mukherjee Nagar (W),637,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,4.13,1.66,
Satwant Kaur,IND,11,Mukherjee Nagar (W),517,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.36,1.35,
Smt. Lovely Ratra,IND,11,Mukherjee Nagar (W),222,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.58,
Chanchal Bedi,IND,11,Mukherjee Nagar (W),180,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.47,
Ms. Babita,IND,11,Mukherjee Nagar (W),125,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.33,
Smt. Renu Bala,IND,11,Mukherjee Nagar (W),111,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.29,
Ms. Prem Kumari,IND,11,Mukherjee Nagar (W),99,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.26,
Anita,IND,11,Mukherjee Nagar (W),85,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.22,
Surjit Singh,BJP,12,G.T.B. Nagar (G),6868,Winner,,,,,,,,,,,,,,,,,,,,,,34158,14748,43.18,46.57,20.11,Harnidh
Prem Nath,INC,12,G.T.B. Nagar (G),3350,Lost,,,,,,,,,,,,,,,,,,,,,,,,,22.71,9.81,
Pradeep Singh,SS,12,G.T.B. Nagar (G),1347,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.13,3.94,
Mahesh Kumar,IND,12,G.T.B. Nagar (G),614,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.16,1.8,
Kartar Singh,LJP,12,G.T.B. Nagar (G),600,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.07,1.76,
Jagdish,BSP,12,G.T.B. Nagar (G),524,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.55,1.53,
Vipin Vohra,IND,12,G.T.B. Nagar (G),373,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.53,1.09,
Chander Malhotra,INLD,12,G.T.B. Nagar (G),368,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.08,
Pradip Kumar Jha,IND,12,G.T.B. Nagar (G),222,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.51,0.65,
Love Malik,RJD,12,G.T.B. Nagar (G),114,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.33,
Rajni,IND,12,G.T.B. Nagar (G),113,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.33,
Ashok Kumar,IND,12,G.T.B. Nagar (G),104,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.3,
Jageshwar,IND,12,G.T.B. Nagar (G),103,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,
Prabhu Dayal Aggarwal,IND,12,G.T.B. Nagar (G),27,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.08,
Raja Iqbal Singh,IND,12,G.T.B. Nagar (G),21,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.06,
Mukesh  Kumar,INC,13,Dhir Pur (G),6378,Winner,,,,,,,,,,,,,,,,,,,,,,38115,15241,39.99,41.85,16.73,
Ajay,BJP,13,Dhir Pur (G),4896,Lost,,,,,,,,,,,,,,,,,,,,,,,,,32.12,12.85,
Ajay Tyagi,NCP,13,Dhir Pur (G),1193,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.83,3.13,
Arjun Kumar,IND,13,Dhir Pur (G),679,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.46,1.78,
Satish Sharma,BSP,13,Dhir Pur (G),676,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.44,1.77,
Sunita Chaudhary,IND,13,Dhir Pur (G),508,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.33,1.33,
Devender Aggarwal,INLD,13,Dhir Pur (G),394,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.59,1.03,
Sanjeev Kumar,IND,13,Dhir Pur (G),308,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.02,0.81,
Harbans Lal,SS,13,Dhir Pur (G),182,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.48,
Ashok Kumar Gupta,IND,13,Dhir Pur (G),27,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.07,
Neelam,BJP,14,Adarsh Nagar (W),9773,Winner,Women,,,,,,,,,,,,,,,,,,,,,40720,16202,39.79,60.32,24,
Doly Swami,INC,14,Adarsh Nagar (W),4779,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,29.5,11.74,
Esha,BSP,14,Adarsh Nagar (W),1093,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.75,2.68,
Shimla Devi,IND,14,Adarsh Nagar (W),340,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.83,
Kusum,IND,14,Adarsh Nagar (W),217,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.53,
Ashwani Ahuja,BJP,15,Sarai Pipal Thala (G),3062,Winner,,,,,,,,,,,,,,,,,,,,,,34321,10617,30.93,28.84,8.92,
Parmesh,BSP,15,Sarai Pipal Thala (G),2907,Lost,,,,,,,,,,,,,,,,,,,,,,,,,27.38,8.47,
Surender kumar,INC,15,Sarai Pipal Thala (G),1896,Lost,,,,,,,,,,,,,,,,,,,,,,,,,17.86,5.52,
Dharmender,SS,15,Sarai Pipal Thala (G),1552,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.62,4.52,
Deepak  Kumar,NCP,15,Sarai Pipal Thala (G),541,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.1,1.58,
Surender Pal Singh,IND,15,Sarai Pipal Thala (G),310,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.92,0.9,
Gagan Deep,LJP,15,Sarai Pipal Thala (G),175,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.65,0.51,
Ramdev,INLD,15,Sarai Pipal Thala (G),134,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.39,
Yashwani Mann,IND,15,Sarai Pipal Thala (G),20,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.06,
Ansar Ahmed,IND,15,Sarai Pipal Thala (G),20,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.06,
Vinod Kumar,BJP,16,Jahangir Puri I (SC),6713,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,34321,15430,44.96,43.51,19.56,
Parma Bhai Solanki,INC,16,Jahangir Puri I (SC),5752,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,37.28,16.76,
Soma Bhai,BSP,16,Jahangir Puri I (SC),2690,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,17.43,7.84,
Punam,NCP,16,Jahangir Puri I (SC),275,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.78,0.8,
Devender Yadav,INC,17,Samaypur Badli (G),8471,Winner,,,,,,,,,,,,,,,,,,,,,,43346,16480,38.02,51.4,19.54,
Tej Pal,BJP,17,Samaypur Badli (G),5648,Lost,,,,,,,,,,,,,,,,,,,,,,,,,34.27,13.03,
Meena Kumari,BSP,17,Samaypur Badli (G),1781,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.81,4.11,
Rajeev Kumar,IND,17,Samaypur Badli (G),445,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.03,
Ram Gopal,NCP,17,Samaypur Badli (G),135,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.31,
Anguri Devi,IND,18,Libas Pur (W),9784,Winner,Women,,,,,,,,,,,,,,,,,,,,,36575,16477,45.05,59.38,26.75,
Smt. Anuradha,INC,18,Libas Pur (W),4053,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,24.6,11.08,
Smt. Kamlesh,BJP,18,Libas Pur (W),2640,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,16.02,7.22,
Surendar Singh Khurb,BJP,19,Bhalswa (G),6249,Winner,,,,,,,,,,,,,,,,,,,,,,40519,19288,47.6,32.4,15.42,
Ashwani Kumar,BSP,19,Bhalswa (G),4026,Lost,,,,,,,,,,,,,,,,,,,,,,,,,20.87,9.94,
Md. Naushad,INC,19,Bhalswa (G),2562,Lost,,,,,,,,,,,,,,,,,,,,,,,,,13.28,6.32,
Shashi Bala,NCP,19,Bhalswa (G),2340,Lost,,,,,,,,,,,,,,,,,,,,,,,,,12.13,5.78,
Sahabuddin,SP,19,Bhalswa (G),1363,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.07,3.36,
Bijender Yadav,RJD,19,Bhalswa (G),1106,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.73,2.73,
Anil Kumar,JD(U),19,Bhalswa (G),635,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.29,1.57,
Sohan Kant,SS,19,Bhalswa (G),297,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.73,
Mahesh Sahu,IND,19,Bhalswa (G),179,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.44,
Mohd. Ashiq,IND,19,Bhalswa (G),170,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.42,
Jaswant Chauhan,IND,19,Bhalswa (G),153,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.38,
Sh. Amrit Lal,IND,19,Bhalswa (G),131,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.32,
Sushil,IND,19,Bhalswa (G),77,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.19,
Ramesh Mohan Chauhan,BJP,20,Jahangir Puri II (G),6058,Winner,,,,,,,,,,,,,,,,,,,,,,36278,17923,49.4,33.8,16.7,
Sh. Farid Shah,BSP,20,Jahangir Puri II (G),3947,Lost,,,,,,,,,,,,,,,,,,,,,,,,,22.02,10.88,
Vinod Kumar,INC,20,Jahangir Puri II (G),3321,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.53,9.15,
Sh. Ashok Kumar,NCP,20,Jahangir Puri II (G),2896,Lost,,,,,,,,,,,,,,,,,,,,,,,,,16.16,7.98,
Sanjay Kumar,INLD,20,Jahangir Puri II (G),877,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.89,2.42,
Mohd. Isha Azad,IND,20,Jahangir Puri II (G),567,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.16,1.56,
Lovely,LJP,20,Jahangir Puri II (G),132,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.36,
