Candidate,Constituency Name,Ward Number,Party,Valid Votes Polled,Election Outcome,Total Valid Votes,Total Voters,Direction,Reservation Status,Real Assets,Real Liabilities,Asset Error,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,Votes Polled(Old Data),EDUCATION
Sunita Gupta,NARELA,1-N,INDIAN NATIONAL CONGRESS,5113,Lost,,,N,Women,13218978,0,,,,,,,,,,,,,,,,Graduate
Renu Devi,NARELA,1-N,BAHUJAN SAMAJ PARTY,2617,Lost,,,N,Women,126659033,4800000,,,,,,,,,,,,,,,,Post Graduate
Pushap Lata,NARELA,1-N,INDEPENDENT,463,Lost,,,N,Women,19381077,6000000,,,,,,,,,,,,,,,,Illiterate
Renu,NARELA,1-N,INDEPENDENT,238,Lost,,,N,Women,1726298,0,,,,,,,,,,,,,,,,12th Pass
NOTA,NARELA,1-N,,211,,,,N,Women,,,,,,,,,,,,,,,,,,
Shamim,NARELA,1-N,JANATA DAL (UNITED),174,Lost,,,N,Women,4100000,0,,,,,,,,,,,,,,,,Illiterate
Jyoti,NARELA,1-N,INDEPENDENT,106,Lost,,,N,Women,3867563,116166,,,,,,,,,,,,,,,,Post Graduate
SUNITA,NARELA,1-N,SHIV SENA,65,,,,N,Women,,,,,,,,,,,,,,,,,,
Jyoti,MADIPUR,1-S,INDEPENDENT,507,Lost,,,S,SCW,57458,20000,,,,,,,,,,,,,,,,8th Pass
Rakesh Kumar,AJMERI GATE,86-N,AAM AADMI PARTY,8379,Winner,23888,40296,N,General,632081,7647,Error -Fixed,48,married,2,0,yes,yes,yes,yes,3,0,425862,social Worker,Professional -Anganwadi,8379,Graduate
Lajwanti,MADIPUR,1-S,SHIV SENA,235,Lost,,,S,SCW,239000,0,,,,,,,,,,,,,,,,10th Pass
Babita,MADIPUR,1-S,"ALL INDIA FORWARD
BLOC",225,Lost,,,S,SCW,536038,350000,,,,,,,,,,,,,,,,5th Pass
Radha,MADIPUR,1-S,"NATIONALIST CONGRESS
PARTY",1973,Lost,,,S,SCW,1730528,561875,,,,,,,,,,,,,,,,8th Pass
Kanta Rani,MADIPUR,1-S,INDEPENDENT,106,Lost,,,S,SCW,2035505,0,,,,,,,,,,,,,,,,Graduate
Sunita Kumar,MADIPUR,1-S,INDIAN NATIONAL CONGRESS,3252,Lost,,,S,SCW,2465920,150000,,,,,,,,,,,,,,,,Graduate
Parwati,MADIPUR,1-S,BAHUJAN SAMAJ PARTY,3845,Lost,,,S,SCW,8141100,0,,,,,,,,,,,,,,,,10th Pass
Jai Shree,MADIPUR,1-S,AAM AADMI PARTY,5720,Lost,,,S,SCW,10285631,1600000,,,,,,,,,,,,,,,5720,Graduate
Shantosh,MADIPUR,1-S,INDEPENDENT,723,Lost,,,S,SCW,14392276,430000,,,,,,,,,,,,,,,,5th Pass
NOTA,MADIPUR,1-S,,228,,,,S,SCW,,,,,,,,,,,,,,,,,,
Md. Zaffar Khan,VINOD NAGAR,10-E,INDEPENDENT,158,Lost,,,E,General,110599,0,,,,,,,,,,,,,,,,12th Pass
Nisha Mann,ALIPUR,3-N,BHARATIYA JANATA PARTY,10861,Winner,33828,60943,N,Women,210755636,57658269,Correct,46,married,1,0,yes,yes,yes,yes,0,0,194738253,housewife,farmer,10861,10th Pass
"INDERJEET
KUMAR JHA",VINOD NAGAR,10-E,INDEPENDENT,298,Lost,,,E,General,2390679,600000,,,,,,,,,,,,,,,,Post Graduate
Ilyas Ahmad,VINOD NAGAR,10-E,INDEPENDENT,173,Lost,,,E,General,5159943,0,,,,,,,,,,,,,,,,8th Pass
Vijay Kumar Jha,VINOD NAGAR,10-E,JANATA DAL (UNITED),187,Lost,,,E,General,5284505,539905,,,,,,,,,,,,,,,,10th Pass
Sabir Ali,VINOD NAGAR,10-E,BAHUJAN SAMAJ PARTY,1965,Lost,,,E,General,5358238,415068,,,,,,,,,,,,,,,,5th Pass
Kuldeep Bhandari,VINOD NAGAR,10-E,INDIAN NATIONAL CONGRESS,7286,Lost,,,E,General,21665735,801792,,,,,,,,,,,,,,,,12th Pass
Rahul Singh,VINOD NAGAR,10-E,"NATIONALIST CONGRESS
PARTY",9084,Lost,,,E,General,95110095,3256518,,,,,,,,,,,,,,,9084,8th Pass
NOTA,VINOD NAGAR,10-E,,515,,,,E,General,,,,,,,,,,,,,,,,,,
Ravinder Bhardwaj,AMAN VIHAR,41-N,AAM AADMI PARTY,9887,Winner,28082,50263,N,General,2167094,0,Correct,27,married,1,0,yes,yes,yes,yes,0,0,431352,business,teacher,9887,12th Pass
Rekha Devi,SANT NAGAR,10-N,"COMMUNIST PARTY OF INDIA
(MARXIST)",100,Lost,,,N,Women,537888,0,,,,,,,,,,,,,,,,Illiterate
Sudha,SANT NAGAR,10-N,INDEPENDENT,78,Lost,,,N,Women,727600,0,,,,,,,,,,,,,,,,12th Pass
Pooja,SANT NAGAR,10-N,BAHUJAN SAMAJ PARTY,2528,Lost,,,N,Women,757000,0,,,,,,,,,,,,,,,,8th Pass
Anjali Devi,SANT NAGAR,10-N,JANATA DAL (UNITED),464,Lost,,,N,Women,828796,0,,,,,,,,,,,,,,,,8th Pass
Vimla ,SANT NAGAR,10-N,RASHTRIYA LOK DAL,135,Lost,,,N,Women,872700,0,,,,,,,,,,,,,,,,8th Pass
Sarita Devi,SANT NAGAR,10-N,INDEPENDENT,191,Lost,,,N,Women,1189545,0,,,,,,,,,,,,,,,,Graduate
Lalita,SANT NAGAR,10-N,INDEPENDENT,110,Lost,,,N,Women,1448000,0,,,,,,,,,,,,,,,,8th Pass
Vibha Singh,SANT NAGAR,10-N,INDEPENDENT,1527,Lost,,,N,Women,1664515,0,,,,,,,,,,,,,,,,10th Pass
Reetu,SANT NAGAR,10-N,SAMAJWADI PARTY,280,Lost,,,N,Women,1819421,520712,,,,,,,,,,,,,,,,10th Pass
Poonam,SANT NAGAR,10-N,SHIV SENA,169,Lost,,,N,Women,2078592,0,,,,,,,,,,,,,,,,Not Given
Poonam Jha,SANT NAGAR,10-N,AAM AADMI PARTY,8714,Lost,,,N,Women,2372455,395500,,,,,,,,,,,,,,,8714,8th Pass
Abha Jha,SANT NAGAR,10-N,INDEPENDENT,189,Lost,,,N,Women,3922962,0,,,,,,,,,,,,,,,,Graduate
Kusum Devi,SANT NAGAR,10-N,INDIAN NATIONAL CONGRESS,4816,Lost,,,N,Women,6741000,0,,,,,,,,,,,,,,,,8th Pass
Reeta Singh,SANT NAGAR,10-N,"LOK JAN SHAKTI
PARTY",596,Lost,,,N,Women,9136828,150000,,,,,,,,,,,,,,,,5th Pass
Shanti Devi,SANT NAGAR,10-N,INDEPENDENT,454,Lost,,,N,Women,11544974,353412,,,,,,,,,,,,,,,,5th Pass
Anita,SANT NAGAR,10-N,INDEPENDENT,386,Lost,,,N,Women,20866783,4319740,,,,,,,,,,,,,,,,12th Pass
Priya Jha,SANT NAGAR,10-N,INDEPENDENT,44,Lost,,,N,Women,,0,,,,,,,,,,,,,,,,12th Pass
NOTA,SANT NAGAR,10-N,,144,,,,N,Women,,,,,,,,,,,,,,,,,,
PrernaSingh,ANAND PARBAT,82-N,INDIAN NATIONAL CONGRESS,9318,Winner,23550,40002,N,SCW,3616984,0,Correct,32,married,1,0,yes,yes,yes,yes,0,0,540085,business,business,9318,Post Graduate
Shevol,HARI NAGAR-A,10-S,INDEPENDENT,146,Lost,,,S,Women,2952000,0,,,,,,,,,,,,,,,,Graduate
Amarpreet Kaur,HARI NAGAR-A,10-S,AAM AADMI PARTY,8182,Lost,,,S,Women,3598966,0,,,,,,,,,,,,,,,,12th Pass
Kumari Santosh Verma,HARI NAGAR-A,10-S,INDEPENDENT,114,Lost,,,S,Women,5059984,0,,,,,,,,,,,,,,,,Graduate
Ajit Kaur,HARI NAGAR-A,10-S,INDEPENDENT,293,Lost,,,S,Women,19533351,1659718,,,,,,,,,,,,,,,,Graduate
Uma Naidu,HARI NAGAR-A,10-S,INDIAN NATIONAL CONGRESS,11123,Lost,,,S,Women,29660000,7045000,,,,,,,,,,,,,,,11123,Post Graduate
NOTA,HARI NAGAR-A,10-S,,311,,,,S,Women,,,,,,,,,,,,,,,,,,
Gunjan Gupta,ANAND VIHAR,18-E,BHARATIYA JANATA PARTY,12963,Winner,23057,40855,E,Women,49564987,7781742,Correct,38,married,1,0,yes,yes,yes,yes,0,0,44423426,business,business,12963,Graduate
Mohd. Chum Nam,MOTI NAGAR,100-N,INDEPENDENT,96,Lost,,,N,General,300517,0,,,,,,,,,,,,,,,,8th Pass
Santosh Kumar,MOTI NAGAR,100-N,JANATA DAL (UNITED),167,Lost,,,N,General,341800,200000,,,,,,,,,,,,,,,,8th Pass
Ram Niwas Makan,MOTI NAGAR,100-N,SHIV SENA,167,Lost,,,N,General,831168,50000,,,,,,,,,,,,,,,,10th Pass
Shobhit Bindal,MOTI NAGAR,100-N,INDEPENDENT,54,Lost,,,N,General,862000,0,,,,,,,,,,,,,,,,10th Pass
Ajay Sinha,MOTI NAGAR,100-N,INDEPENDENT,44,Lost,,,N,General,1127773,489000,,,,,,,,,,,,,,,,10th Pass
Rajinder Singh,MOTI NAGAR,100-N,INDIAN NATIONAL LOK DAL,2228,Lost,,,N,General,1188131,250000,,,,,,,,,,,,,,,,10th Pass
Parita Gupta,MOTI NAGAR,100-N,BAHUJAN SAMAJ PARTY,300,Lost,,,N,General,2443928,0,,,,,,,,,,,,,,,,Graduate
Kishan Lal Narang,MOTI NAGAR,100-N,INDIAN NATIONAL CONGRESS,4330,Lost,,,N,General,28809781,162000,,,,,,,,,,,,,,,,8th Pass
Kuldeep Singh Channa,MOTI NAGAR,100-N,AAM AADMI PARTY,8836,Lost,,,N,General,37767974,832401,,,,,,,,,,,,,,,8836,10th Pass
Munish Dhingra,MOTI NAGAR,100-N,INDEPENDENT,564,Lost,,,N,General,71880958,2088500,,,,,,,,,,,,,,,,Post Graduate
NOTA,MOTI NAGAR,100-N,,206,,,,N,General,,,,,,,,,,,,,,,,,,
Mohammad Ali Akhtar Talib,ZAKIR NAGAR,100-S,INDEPENDENT,47,Lost,,,S,General,19361,0,,,,,,,,,,,,,,,,8th Pass
Dilip Mandal.,ZAKIR NAGAR,100-S,INDEPENDENT,182,Lost,,,S,General,25000,0,,,,,,,,,,,,,,,,5th Pass
Shahe Alam,ZAKIR NAGAR,100-S,"ALL INDIA MAJLIS­E­ ITTEHADUL
MUSLIMEEN",293,Lost,,,S,General,87412,0,,,,,,,,,,,,,,,,10th Pass
Mohd. Usama,ZAKIR NAGAR,100-S,INDEPENDENT,27,Lost,,,S,General,100800,0,,,,,,,,,,,,,,,,Post Graduate
Rekha,ANARKALI,22-E,BHARATIYA JANATA PARTY,13233,Winner,27574,49791,E,Women,20538001,439552,Error -Fixed,40,married,3,0,yes,yes,yes,yes,0,0,17336688,business,contractor,13233,8th Pass
Mehmood Ahmad,ZAKIR NAGAR,100-S,AAM AADMI PARTY,9690,Lost,,,S,General,296500,0,,,,,,,,,,,,,,,9690,Post Graduate
Nuzhat Firdaus,ZAKIR NAGAR,100-S,INDEPENDENT,20,Lost,,,S,General,314000,0,,,,,,,,,,,,,,,,Graduate
Saeed Khan,ZAKIR NAGAR,100-S,INDEPENDENT,22,Lost,,,S,General,1608395,0,,,,,,,,,,,,,,,,5th Pass
Kausar Imam Siddiqui,ZAKIR NAGAR,100-S,RASHTRIYA JANTA DAL,1787,Lost,,,S,General,1947448,0,,,,,,,,,,,,,,,,Others
Mohd Irfan Ansari,ZAKIR NAGAR,100-S,INDEPENDENT,25,Lost,,,S,General,4495279,0,,,,,,,,,,,,,,,,5th Pass
Sarfaraz,ZAKIR NAGAR,100-S,SAMAJWADI PARTY,452,Lost,,,S,General,5452700,0,,,,,,,,,,,,,,,,10th Pass
Rafiuzzama,ZAKIR NAGAR,100-S,BHARATIYA JANATA PARTY,1959,Lost,,,S,General,5539924,83000,,,,,,,,,,,,,,,,10th Pass
NOTA,ZAKIR NAGAR,100-S,,71,,,,S,General,,,,,,,,,,,,,,,,,,
Shanti,RAMESH NAGAR,101-N,BAHUJAN SAMAJ PARTY,724,Lost,,,N,Women,5000,0,,,,,,,,,,,,,,,,Others
ABISHEK DUTT,ANDREWS GANJ,59-S,INDIAN NATIONAL CONGRESS,12340,Winner,23400,44663,S,General,155422338,0,Correct,37,married,1,0,yes,yes,yes,yes,0,0,32598455,consultant,consultant,12340,Post Graduate
Rashmi Singh,RAMESH NAGAR,101-N,INDEPENDENT,92,Lost,,,N,Women,1176566,0,,,,,,,,,,,,,,,,Graduate
Bindia,RAMESH NAGAR,101-N,AAM AADMI PARTY,6215,Lost,,,N,Women,1413859,0,,,,,,,,,,,,,,,,8th Pass
Sabina Grover,RAMESH NAGAR,101-N,INDEPENDENT,58,Lost,,,N,Women,10100000,0,,,,,,,,,,,,,,,,12th Pass
Mahenigar,RAMESH NAGAR,101-N,INDEPENDENT,2752,Lost,,,N,Women,39991861,8102533,,,,,,,,,,,,,,,,Post Graduate
Anita Arora,RAMESH NAGAR,101-N,INDEPENDENT,52,Lost,,,N,Women,68470186,48438969,,,,,,,,,,,,,,,,Post Graduate
Dimpal Chopra,RAMESH NAGAR,101-N,INDIAN NATIONAL CONGRESS,4182,Lost,,,N,Women,162456000,9829000,,,,,,,,,,,,,,,6215,10th Pass
NOTA,RAMESH NAGAR,101-N,,214,,,,N,Women,,,,,,,,,,,,,,,,,,
Reena Maheshwari,ASHOK NAGAR,36-E,BHARATIYA JANATA PARTY,12618,Winner,29757,49881,E,Women,7199000,200000,Correct,45,married,2,0,yes,yes,yes,yes,0,0,2018000,business,business,12618,12th Pass
Rajiya Bano,SARITA VIHAR,101-S,JANATA DAL (UNITED),133,Lost,,,S,Women,608000,470000,,,,,,,,,,,,,,,,Graduate
Shahnaz Qambar,SARITA VIHAR,101-S,"NATIONALIST
CONGRESS PARTY",88,Lost,,,S,Women,3326627,1600000,,,,,,,,,,,,,,,,Post Graduate
Sunita Singh,SARITA VIHAR,101-S,BHARATIYA JANATA PARTY,6674,Lost,,,S,Women,4736784,0,,,,,,,,,,,,,,,,12th Pass
Juhi Khan,SARITA VIHAR,101-S,AAM AADMI PARTY,8518,Lost,,,S,Women,21080635,723726,,,,,,,,,,,,,,,8518,Graduate
NOTA,SARITA VIHAR,101-S,,175,,,,S,Women,,,,,,,,,,,,,,,,,,
Hari Nat,RAJINDER NAGAR,102-N,"RASHTRIYA
JANTA DAL",156,Lost,,,N,General,11892,0,,,,,,,,,,,,,,,,5th Pass
"YOGESH KUMAR
VERMA",ASHOK VIHAR,75-N,BHARATIYA JANATA PARTY,10450,Winner,21323,39926,N,General,44282629,4716943,Correct,48,married,2,0,yes,yes,yes,yes,0,0,12783783,advocate,housewife,10450,Graduate Professional
Rajat Singh,RAJINDER NAGAR,102-N,INDEPENDENT,556,Lost,,,N,General,1611081,0,,,,,,,,,,,,,,,,12th Pass
Dalip Bhatt,RAJINDER NAGAR,102-N,INDEPENDENT,3988,Lost,,,N,General,1850830,0,,,,,,,,,,,,,,,,5th Pass
Kishan Bharti,RAJINDER NAGAR,102-N,BAHUJAN SAMAJ PARTY,203,Lost,,,N,General,3325000,0,,,,,,,,,,,,,,,,12th Pass
Anil Kumar Kukreja,RAJINDER NAGAR,102-N,INDIAN NATIONAL CONGRESS,4352,Lost,,,N,General,25692871,6450098,,,,,,,,,,,,,,,,12th Pass
Rajni,RAJINDER NAGAR,102-N,INDEPENDENT,80,Lost,,,N,General,26540231,0,,,,,,,,,,,,,,,,12th Pass
CHARNJIT SINGH,RAJINDER NAGAR,102-N,AAM AADMI PARTY,7609,Lost,,,N,General,28600159,249982,,,,,,,,,,,,,,,7609,12th Pass
NOTA,RAJINDER NAGAR,102-N,,252,,,,N,General,,,,,,,,,,,,,,,,,,
Mohd. Ilyas,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,58,Lost,,,S,General,8000,0,,,,,,,,,,,,,,,,5th Pass
Nuzammil Khan,ABUL FAZAL ENCLAVE,102-S,RASHTRIYA LOK DAL,139,Lost,,,S,General,15500,0,,,,,,,,,,,,,,,,Post Graduate
Firoz Ahmed,ABUL FAZAL ENCLAVE,102-S,"COMMUNIST PARTY OF
INDIA",92,Lost,,,S,General,54350,0,,,,,,,,,,,,,,,,Post Graduate
Gufran Ali Khan,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,18,Lost,,,S,General,84300,0,,,,,,,,,,,,,,,,12th Pass
Tahir Ali,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,65,Lost,,,S,General,117678,0,,,,,,,,,,,,,,,,Others
Quisar Hussain,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,14,Lost,,,S,General,143000,33871,,,,,,,,,,,,,,,,12th Pass
Manzoor Alam,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,8,Lost,,,S,General,165134,0,,,,,,,,,,,,,,,,Illiterate
Mohd. Nizamuddin.,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,111,Lost,,,S,General,309047,0,,,,,,,,,,,,,,,,Post Graduate
Ved Pal,AYA NAGAR,73-S,INDIAN NATIONAL CONGRESS,7838,Winner,24380,42133,S,General,15823542,0,Correct,38,married,2,0,yes,yes,yes,no,1,0,2103092,social worker,teacher,7838,Graduate
Mohd. Shafiq,ABUL FAZAL ENCLAVE,102-S,"COMMUNIST PARTY OF INDIA
(MARXIST)",76,Lost,,,S,General,873077,32480,,,,,,,,,,,,,,,,Literate
Amiruddin,ABUL FAZAL ENCLAVE,102-S,BAHUJAN SAMAJ PARTY,170,Lost,,,S,General,956000,300000,,,,,,,,,,,,,,,,8th Pass
Aasim Khan,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,15,Lost,,,S,General,976865,0,,,,,,,,,,,,,,,,Post Graduate
Noor Nawaz Khan,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,460,Lost,,,S,General,2979832,0,,,,,,,,,,,,,,,,Post Graduate
Gulfam,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,870,Lost,,,S,General,3400000,0,,,,,,,,,,,,,,,,8th Pass
Monis Ahmed,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,693,Lost,,,S,General,3425248,0,,,,,,,,,,,,,,,,12th Pass
Nasrin,ABUL FAZAL ENCLAVE,102-S,INDEPENDENT,12,Lost,,,S,General,3723741,0,,,,,,,,,,,,,,,,10th Pass
Mohd. Sarwar Iqbal,ABUL FAZAL ENCLAVE,102-S,JANATA DAL (UNITED),558,Lost,,,S,General,3810964,0,,,,,,,,,,,,,,,,Post Graduate
Mohd. Arif,ABUL FAZAL ENCLAVE,102-S,"ALL INDIA MAJLIS­E­ ITTEHADUL
MUSLIMEEN",2349,Lost,,,S,General,4899854,0,,,,,,,,,,,,,,,,8th Pass
Shekh Imran Alam.,ABUL FAZAL ENCLAVE,102-S,NATIONALIST CONGRESS PARTY,144,Lost,,,S,General,10042643,3405615,,,,,,,,,,,,,,,,Post Graduate
Parvez alam Khan,ABUL FAZAL ENCLAVE,102-S,INDIAN NATIONAL CONGRESS,6127,Lost,,,S,General,26532836,113841,,,,,,,,,,,,,,,6127,Others
Mohd. Babu Qureshi,ABUL FAZAL ENCLAVE,102-S,SAMAJWADI PARTY,3741,Lost,,,S,General,31703248,0,,,,,,,,,,,,,,,,8th Pass
SHAFIQUR RAHMAN.,ABUL FAZAL ENCLAVE,102-S,RASHTRIYA JANTA DAL,234,Lost,,,S,General,66780000,10000000,,,,,,,,,,,,,,,,Graduate
NOTA,ABUL FAZAL ENCLAVE,102-S,,69,,,,S,General,,,,,,,,,,,,,,,,,,
Prem Lata,INDER PURI,103-N,INDIAN NATIONAL CONGRESS,5846,Lost,,,N,Women,20000,0,,,,,,,,,,,,,,,,5th Pass
Preeti Tiwari,INDER PURI,103-N,INDEPENDENT,88,Lost,,,N,Women,144250,0,,,,,,,,,,,,,,,,Post Graduate
Kusum Tomar,BABARPUR,50-E,BHARATIYA JANATA PARTY,12347,Winner,26110,45033,E,Women,13807330,0,Correct,47,married,2,0,yes,yes,yes,no,0,0,2601028,Professional,professional,12347,Graduate
Chinta Mani,INDER PURI,103-N,INDEPENDENT,376,Lost,,,N,Women,4053093,0,,,,,,,,,,,,,,,,Others
Brij Lata,INDER PURI,103-N,BAHUJAN SAMAJ PARTY,648,Lost,,,N,Women,6325000,0,,,,,,,,,,,,,,,,8th Pass
Santosh Sharma,INDER PURI,103-N,INDEPENDENT,660,Lost,,,N,Women,8989365,160666,,,,,,,,,,,,,,,,8th Pass
Jyoti Kumari,INDER PURI,103-N,AAM AADMI PARTY,7387,Lost,,,N,Women,19940266,3500000,,,,,,,,,,,,,,,7387,Graduate
Laxmi Sharma,INDER PURI,103-N,INDEPENDENT,870,Lost,,,N,Women,76064207,0,,,,,,,,,,,,,,,,Post Graduate
NOTA,INDER PURI,103-N,,266,,,,N,Women,,,,,,,,,,,,,,,,,,
Lalita,MADANPUR KHADAR EAST,103-S,RASHTRIYA LOK DAL,98,Lost,,,S,SCW,57793,0,,,,,,,,,,,,,,,,Graduate Professional
Anita Verma,MADANPUR KHADAR EAST,103-S,INDEPENDENT,422,Lost,,,S,SCW,90611,0,,,,,,,,,,,,,,,,Graduate
KAVITA,MADANPUR KHADAR EAST,103-S,AAM AADMI PARTY,6398,Lost,,,S,SCW,197782,0,,,,,,,,,,,,,,,6398,
Tarvan Kumar,BADARPUR,95-S,INDIAN NATIONAL CONGRESS,10552,Winner,26476,53858,S,SC,4797547,0,Correct,38,married,3,0,yes,yes,yes,yes,0,0,2218677,professional,housewife,10552,8th Pass
Rekha Kumari,MADANPUR KHADAR EAST,103-S,INDEPENDENT,66,Lost,,,S,SCW,558625,0,,,,,,,,,,,,,,,,12th Pass
Kiran,MADANPUR KHADAR EAST,103-S,INDIAN NATIONAL CONGRESS,1778,Lost,,,S,SCW,3592515,233728,,,,,,,,,,,,,,,,5th Pass
Munni Devi,MADANPUR KHADAR EAST,103-S,BAHUJAN SAMAJ PARTY,1851,Lost,,,S,SCW,5228732,0,,,,,,,,,,,,,,,,Literate
NOTA,MADANPUR KHADAR EAST,103-S,,107,,,,S,SCW,,,,,,,,,,,,,,,,,,
Raj Kumar,NARAINA,104-N,INDEPENDENT,986,Lost,,,N,General,79000,0,,,,,,,,,,,,,,,,12th Pass
Bhagwan Das,NARAINA,104-N,BAHUJAN SAMAJ PARTY,524,Lost,,,N,General,275738,0,,,,,,,,,,,,,,,,12th Pass
Suneet Chauhan,BAKHTAWARPUR,2-N,BHARATIYA JANATA PARTY,10325,Winner,25939,37007,N,General,2191153,0,Correct,40,married,2,0,yes,yes,yes,yes,0,0,552892,business,business,10325,12th Pass
Mohd. Areef,NARAINA,104-N,JANATA DAL (UNITED),355,Lost,,,N,General,779338,0,,,,,,,,,,,,,,,,Illiterate
Avdesh Kumar,NARAINA,104-N,INDIAN NATIONAL CONGRESS,7621,Lost,,,N,General,1241391,154164,,,,,,,,,,,,,,,7621,12th Pass
Satish Parocha,NARAINA,104-N,INDEPENDENT,227,Lost,,,N,General,2361600,0,,,,,,,,,,,,,,,,10th Pass
Malti Verma,NARAINA,104-N,INDEPENDENT,44,Lost,,,N,General,4131586,0,,,,,,,,,,,,,,,,Others
Manju Devi,NARAINA,104-N,INDEPENDENT,140,Lost,,,N,General,7822444,1800000,,,,,,,,,,,,,,,,Graduate
Amit Kumar Tanwar,NARAINA,104-N,AAM AADMI PARTY,6331,Lost,,,N,General,9175501,200000,,,,,,,,,,,,,,,,Graduate
NOTA,NARAINA,104-N,,180,,,,N,General,,,,,,,,,,,,,,,,,,
Sangeeta Bhadana,MADANPUR KHADAR WEST,104-S,INDEPENDENT,61,Lost,,,S,Women,187000,0,,,,,,,,,,,,,,,,Graduate Professional
Sunita Gauba,BALJIT NAGAR,97-N,BHARATIYA JANATA PARTY,7883,Winner,21828,39705,N,Women,13930422,1523459,Correct,46,married,1,0,yes,yes,yes,yes,0,0,6439481,business,business,7883,Graduate
Nirmala Gupta,MADANPUR KHADAR WEST,104-S,JANATA DAL (UNITED),139,Lost,,,S,Women,3041754,0,,,,,,,,,,,,,,,,10th Pass
Rakhi,MADANPUR KHADAR WEST,104-S,"NATIONALIST CONGRESS
PARTY",591,Lost,,,S,Women,4726853,525000,,,,,,,,,,,,,,,,12th Pass
Rekha Chauhan,MADANPUR KHADAR WEST,104-S,BAHUJAN SAMAJ PARTY,4160,Lost,,,S,Women,29831809,3017443,,,,,,,,,,,,,,,,8th Pass
Sudesh,MADANPUR KHADAR WEST,104-S,INDIAN NATIONAL CONGRESS,4410,Lost,,,S,Women,42595522,4393719,,,,,,,,,,,,,,,4410,Graduate
Dharamwati,MADANPUR KHADAR WEST,104-S,"RASHTRIYA
JANTA DAL",750,Lost,,,S,Women,76920673,6597000,,,,,,,,,,,,,,,,8th Pass
Jyoti,MADANPUR KHADAR WEST,104-S,AAM AADMI PARTY,3539,Lost,,,S,Women,106801839,933000,,,,,,,,,,,,,,,,12th Pass
NOTA,MADANPUR KHADAR WEST,104-S,,111,,,,S,Women,,,,,,,,,,,,,,,,,,
Shalu,MAYUR VIHAR PHASE-II,11-E,INDEPENDENT,26,Lost,,,E,Women,449000,0,,,,,,,,,,,,,,,,Post Graduate
Mohd Sadiq,BALLIMARAN,90-N,AAM AADMI PARTY,14350,Winner,27300,43857,N,General,2542999,0,Correct,37,married,1,0,yes,yes,yes,no,0,0,2225450,business,housewife,14350,12th Pass
