wardyear_num	rd_bad_patch_potholes	ws_burst_water_main_lines	bld_change_user_res_comm	strm_cleaning_of_open_swd	drain_cleaning_of_septic_tank	strm_cleaning_water_entrance	strm_cleaning_removal_of_silt	swm_clean_rep_block_channels	swm_collection_pt_not_attend	misc_complaints_miscellenous	ws_contaminated_water_supply	rd_digging_of_roads	drain_drainage_choke_blockage	gdn_fallen_tree_on_road	strm_flooding_during_monsoon	pst_fogging	swm_gbg_lorry_not_report_cove	swm_gbg_not_lifted_gully	swm_gbg_not_lifted_mun_market	swm_gbg_not_lifted_from_road	encr_hawkers	bld_heavy_leakage_from_ceiling	heal_birth_deat_cert_issue	ws_leaks_in_water_lines_meter	gdn_lifting_of_tree_cutting	mun_maint_municipal_property	mun_major_repairs_to_mun_prop	mun_minor_repairs_to_mun_prop	pst_mosquito_nuisance	encr_municipal_colony_slum	encr_municipal_land_foot_swd	encr_municipal_plot	swm_no_attend_public_toilets	swm_non_attend_nuis_detect	ws_non_receipt_water_bills	pst_nuisance_cockroaches	encr_nuisance_due_to_vagrants	pst_nuisance_due_to_white_ants	drain_odour_from_drains	shp_online_renewal_application	shp_open_beyond_permis_hours	bld_other_buildings	misc_others	drain_others_drn	encr_others_ecnr	est_others_estate	lic_others_lic	heal_others_moh	mun_others_rnt	swm_others_swm	ws_others_was	col_others_colony_officer_col	ws_overflow_overhead_tank	drain_overflowing_drn_manhole	bld_perm_temp_monsoon_shed	gdn_perm_for_tree_cutting	encr_private_land_bldg_fact	swm_dustbins	strm_provid_manhole_cover_swd	rd_providing_rd_name_plate	drain_raising_of_manhole	pst_rat_nuisance	rd_reinstatement_of_trenches	rd_relaying_and_repairs_roads	swm_removal_of_dead_animals	swm_removal_of_debris	ws_removal_of_water_meters	strm_repair_damaged_open_swd	rd_repairs_of_road_footpath	drain_repairs_to_pipe_sewers	drain_replacement_manhole	rd_resurfacing_of_road	shp_running_without_license	ws_shortage_of_water_supply	rd_signals	swm_silt_lifted_from_road	rd_speed_breakers	rd_street_lighting	swm_sweeping_of_roads	lic_trade_without_license	gdn_trimming_of_branches	bld_unauth_alteration_bldg	lic_unauth_banners_advt_road	bld_unauth_constr_development	col_unauth_constr_in_slum	est_unauth_constr_reserve_plot	col_unauth_ext_constr	fac_unauth_factory_workshop	lic_unauth_storage_explosives	ws_unauth_tapping_water_conn	pst_unauth_uncov_water_storage	ws_unauth_use_waterchange_user	heal_unauth_food_sell	lic_unauth_stalls_road_foot	lic_unauth_workshop_or_garage	swm_unhygienic_cond_toilets	ws_use_of_booster_pump	castequota_scst	gender_election	genderquota	members	hdi	term	adminward	year
"2014-KW"	12.875	71.0	20.5	29.5	16.0				17.5	23.381818	41.222222		26.722222		19.0	32.333333	33.666667	33.666667		31.111111		30.0	24.0	41.416667	33.4375	13.0			29.666667		38.714286		48.0	29.75	30.0				19.0		15.333333	15.6	23.0	41.0				15.0			46.933333		24.5	26.333333			18.25					24.0					40.0		5.0	38.0	35.666667		10.333333	43.532258							11.0	16.354839	8.0	13.772727				7.0		46.08		38.0		9.5			87.0	0.25	0.3846154	0.3846154	13	0.66	2012	"KW"	2014
"2014-L"	26.428571	15.083333	36.0		34.0	26.0	32.666667	20.0	30.933333	27.533333	16.7		31.763158	34.666667	42.0	23.982759	27.0	27.95122		26.553191	29.025424	34.333333		24.061538	25.0	37.0	27.0	27.0	30.022222	43.666667	31.916667	38.0	29.333333	24.166667	16.875			57.2	23.0		25.0	31.608094	27.608696	31.0	30.576	24.0	32.657718	32.004608	31.724138	26.444898	24.371257	21.961538	20.4	32.35	42.0	28.206897	34.352941	25.038462				32.466667			28.5	25.485714	26.333333	20.0	24.133333	23.5	31.15		27.833333	20.089552	24.0	23.0	36.5	29.333333	28.6875	32.25	31.942857	27.775	29.875	30.742791	19.2		11.8	51.0	41.333333	22.686275		19.0	32.142857	29.4	35.5		17.0	0.2	0.6666667	0.6666667	15	0.29	2012	"L"	2014
"2014-ME"	12.181818	27.571429		16.111111	13.6	14.8		17.0	9.2	22.901626	24.8		14.020548	12.0	7.8	21.5	10.785714	12.1		16.411765	27.0		24.5	30.75	8.6666667	10.0	28.0	12.666667	20.916667		13.806452	16.25	16.666667	18.466667	29.823529	20.0			14.4		31.0	17.166667	12.197479	18.0	24.666667	17.731272	14.625	29.061716	16.461147	13.040541	27.055404	25.72973		14.552632		11.0		18.04		16.0	19.0	20.916667	21.0			17.192308	34.0	22.5	14.178571	21.4	15.961538		7.5	28.34434	6.6071429	8.2307692	15.875	9.4782609	15.125		13.375		22.0	23.5		11.0				26.75		33.0	21.5					0.4615385	0.3846154	0.3846154	13	0.05	2012	"ME"	2014
"2014-MW"	19.765957	2.5		4.75	13.84375		19.666667	23.0	23.571429	25.902273	3.6097561		15.280488	13.0	16.5	18.8	27.5	27.428571	31.0	24.530612	19.8	40.666667	14.285714	3.2407407	25.285714	4.5		8.0	15.948052		18.368421		23.0	27.25	4.1724138	16.5		19.4	12.333333		85.0	27.125	26.418367	15.692308	22.255639	44.085427	25.687151	21.748857	21.233579	31.816594	3.4074296	21.432432	3.6666667	14.511111		8.4		24.888889			12.0	15.4			41.0	26.428571	3.25		19.0	12.8	16.3		28.0	3.4393939	22.0	25.263158	7.5555556	18.625	23.333333	29.0	27.6		17.4		20.666667				11.0	3.1923077		6.3333333	19.230769				2.0	0.1666667	0.75	0.75	8	0.33	2012	"MW"	2014
"2014-N"	27.705882	59.0		16.4	20.5	29.0		11.0	12.176471	26.833333	43.0		25.391304		54.0	10.88	9.2105263	12.642857		10.928571	11.114286				20.428571	31.0		5.0	15.776316		16.0	20.0	26.6	11.5		10.0					14.0		18.0	6.0	11.352941	4.0	16.2		3.0	14.470588				9.4285714				17.043478				16.0			13.0	15.565217			11.75	18.0	6.0		13.5			14.583333		15.0	11.181818	18.4			21.75						29.0					21.857143	8.0			0.1818182	0.5	0.5	12	0.52	2012	"N"	2014
"2014-PN"	15.939394	10.25	20.166667	11.826087	15.263158	14.115385	14.833333	30.6	16.588235	11.0	12.802469		14.259259	16.8	9.6	13.037736	13.2	23.0		17.385417	10.910377	6.0	19.0	14.0	17.807692	12.0	15.5	25.0	12.069767	34.0	17.958333	19.8	16.555556	15.685714	10.636364	6.0		12.5	16.6			19.727273	20.272727	10.473684	9.3333333		30.166667	25.75	20.805556	21.289474	13.115385	13.0	10.230769	14.652632	9.25	9.0	21.333333	25.0		11.0		16.388889				23.6		6.75	18.8125	14.714286	20.571429		8.3333333	13.947826	15.142857	21.555556	14.6	19.076923	25.35	18.375	16.916667	18.928571	6.9027778	21.327824	33.0			17.2	24.0	15.723404		21.5	45.75	20.05			17.25	0.1333333	0.3125	0.3125	16	0.47	2012	"PN"	2014
"2014-PS"	30.030303	32.75	3.0	19.8	29.545455	16.75	18.4	21.5	15.076923	25.672414	28.230769		25.649351	31.833333	30.5	14.576923	16.214286	12.526316	11.8	12.880952	13.307692	27.333333	42.25	26.5	19.0	2.0			19.183673		22.8125	57.0	3.0	25.555556		25.0		15.0				12.7	20.75	31.75	17.888889	47.0	9.7272727	30.545455	24.903226	29.1	19.625	20.0	54.0	23.267857		11.333333	18.076923	13.666667		13.0		18.9			19.777778	21.5			30.4	51.0	24.8125		30.666667	19.454545	26.8	22.625	29.75	25.5	21.304348	10.444444	24.666667	13.32	8.3560606	20.721612	21.833333	31.0	21.5	14.357143		38.555556			30.75	6.5555556	29.666667			0.5	0.625	0.625	8	0.59	2012	"PS"	2014
"2014-RC"	13.428571	16.666667		21.9	33.0	20.0			18.454545	31.363636	47.333333		19.71875	45.052632	4.0	23.291667	14.785714	16.074074	16.5	12.5	26.017857		27.0	16.419355	21.540541				23.724638		6.4285714	5.0	24.0	22.272727	12.666667			26.333333		44.0		20.666667	43.0	10.0	22.285714		31.0	21.5		21.947368	18.0		23.0	7.0			16.0	21.541667				21.0				22.0	8.0		5.6666667	34.0	11.0		28.0	22.54902		11.454545	12.0		13.5	63.5	3.0	19.125	22.625	14.508772				32.5		28.0			26.0	26.25				0.0	0.6666667	0.6666667	9	0.84	2012	"RC"	2014
"2014-RN"			38.0		17.0			6.4	15.272727	35.909091	10.0		13.5			33.727273	11.8	11.375		16.190476	26.068966	56.0	11.6	27.6	18.357143				26.052632		20.333333		15.666667	11.142857	14.5			10.0			36.0	28.8	20.0	14.0	21.0			19.076923	21.333333	21.666667	12.0			18.0			27.8	8.5				41.0			12.5	9.4166667			15.0		7.0		36.333333	19.25		19.2			16.0			28.769231	17.0	35.122449				29.0					17.5					0.1428571	0.5714286	0.5714286	7	0.69	2012	"RN"	2014
"2014-RS"	14.304054	11.0	25.75	14.375	22.5	16.3	53.428571			23.294118	19.0		20.146789	21.0	18.4	17.785714		13.5		12.5	14.266667	11.0	19.6	24.411765		20.75	13.0	2.5	20.254545		28.375	12.0						25.25	16.25			17.666667	30.0	16.0	10.833333			14.0	27.194444				7.0	22.837209	20.25	32.440678	17.444444	6.0				24.833333	35.0			11.0		45.0	28.434783	25.714286	35.086957			19.444444	17.111111		24.0	24.294118	15.0	9.0	31.632258	36.5	16.777778	26.52549				13.5		12.0			15.0	22.545455				0.5454546	0.4545455	0.4545455	11	0.54	2012	"RS"	2014
"2014-S"	18.72973	37.666667		10.0	22.333333	5.0	17.75	34.333333	18.461538	51.826087	87.0		23.52459	9.0		20.326923	16.7	23.0	21.333333	18.895833	15.906977			32.676923	19.5	20.0		15.333333	19.614286	22.0	22.272727			33.2	53.928571			18.6					15.333333	31.090909	26.285714		18.0	46.0	19.8	18.857143	29.272727		17.4	21.806452				28.277778		6.0		19.333333			37.5	31.384615	37.0		17.0	4.0	16.875		24.0	33.096774		26.181818	15.0	24.5	24.2	19.0	14.0		11.615385	30.047619	24.5		16.0			27.5		34.0	35.0	13.5			28.0	0.4615385	0.2307692	0.2307692	13	0.51	2012	"S"	2014
"2014-T"	44.0	11.8		18.0	28.0	25.0		26.0	21.0	20.777778	8.2307692		24.090909			11.117647	23.0	17.375	14.0	19.071429	18.805556		29.0	15.547945	22.666667			19.0	8.8518519	38.5	40.384615		30.5	19.0	10.25				19.666667		14.666667	34.0	14.666667	22.0	9.0		14.5	19.571429	16.5	17.6	15.076923		16.636364	18.666667			20.714286	18.090909		30.0		8.25			12.0	23.75		36.0	28.0	24.0	45.0		16.333333	9.1025641	34.0	14.333333	42.0	29.5	31.0	15.625	21.0	52.4	22.111111	38.576923	21.5					15.875		22.4	26.5	30.952381	12.0		23.0	0.6	0.5	0.5	6	0.76	2012	"T"	2014
"2015-A"	110.11111	13.0	14.0		112.5	70.0	84.0		75.666667		49.166667		388.77778	18.0	76.0	93.833333	4.0	58.636364		52.727273	165.38095	46.428571	129.75	4.5	35.5				130.5		623.33333	17.5	2.0	30.875		84.0			101.2	7.0		214.2			10.0			92.4	3.0	75.333333	10.5		2.0	231.77778	18.5			17.0		39.0		46.5	9.0			29.142857		47.0	5.0		6.0	110.625	36.5	71.277778	40.0	72.8	146.0	34.166667	52.5	33.333333	71.666667	102.55556	43.666667	239.16667				31.166667		24.75			42.833333	35.222222				0.5	0.0	0.5	4	0.58	2012	"A"	2015
"2015-B"	72.666667	15.0		76.5	21.0	51.5			46.8	13.0	73.333333		332.73684		71.0	39.8	86.0	87.923077		44.272727	272.2	88.5	10.0	18.111111	79.0	62.0	9.0		125.14286		369.4			82.6					57.0			82.5					7.0	48.333333	19.25	87.4				391.63636	38.0					7.0	24.0	86.25	25.0			87.111111		5.0				117.0	21.5	95.214286		58.333333	11.0	88.2	44.6	27.5	47.0	113.625	25.166667	711.44444				9.0	49.0	50.4		43.0	62.0	145.0				0.3333333	0.0	0.3333333	3	0.71	2012	"B"	2015
"2015-C"	81.5	10.5	38.0		21.0	26.0			116.66667	11.0	30.538462		234.91667		75.5	79.25	86.0	233.21429		101.9	432.66667	79.6	14.5	10.555556	99.25	50.0		36.0	62.875		194.33333	69.0		43.777778					51.0	43.0		50.5						186.5		462.36364	5.25			141.64286	283.33333			72.0		23.5		49.666667			29.0	84.833333	29.0					88.714286	24.25	58.125	53.0	89.777778	95.5	81.333333	60.75	74.0	54.8	276.28571	108.625	719.28571	50.6			43.0	51.8	111.44444		43.0	63.333333	200.875			3.0	0.3333333	0.0	0.5	4	0.89	2012	"C"	2015
"2015-D"	177.9	24.5		55.0	59.0	36.666667	110.5		90.4	18.727273	120.0625		346.33333	377.28571	221.0	71.115385	41.8	326.0		296.22222	190.94118	79.444444	22.0	69.521739	271.14286	57.5	42.0	92.875	96.680851		236.06667	22.333333	9.25	131.0		35.0			48.25		64.0	713.07692	26.5	2.0	15.181818	57.0	19.0	195.6	26.333333	175.13725	24.0	62.5	7.6666667	254.96667	58.0	9.0	10.0	26.6				106.33333	38.0		31.0	279.11111	77.0		20.666667			342.77778	58.833333	101.0		98.857143	112.5	43.666667	44.857143	40.857143	178.47368	235.23077	57.931034	260.95238	26.5			51.0	20.666667	37.0		62.0	141.2	162.38462				0.0	0.0	0.2857143	7	0.96	2012	"D"	2015
"2015-E"	56.846154	45.0	51.0	81.0	153.5	109.0	6.0		88.6		75.823529		1454.0	70.0	346.0	169.23077	21.2	212.33333		142.55556	345.44444	92.2	14.2	71.235294	92.333333	42.0	69.333333	20.333333	117.51429		403.11111	367.5		70.166667	18.0			23.5	117.0		33.0	211.375				78.0		105.11111		92.4	31.0			493.33333	61.0	69.375		34.666667		49.0		83.384615	15.0			112.77778		48.0				121.0	53.428571	118.0	35.5	38.6	55.428571	59.0	51.0	110.5	263.85714	281.88889	117.47059	1150.9	84.25			61.0		82.111111		23.333333	59.888889	195.125				0.25	0.0	0.375	8	0.54	2012	"E"	2015
"2015-FN"	76.181818	38.0	39.666667	32.666667	37.8	35.25			160.75	16.0	82.444444		539.66667	55.2	61.5	77.5625	85.0	80.285714		179.0	1702.8889	135.0	53.0	40.733333	313.25	33.5	57.0	12.0	81.0		473.45455	42.333333	24.666667	115.25	21.0	38.0			29.25			151.83333		26.0		39.0	14.0	150.25	36.0	156.25		69.0	2.0	443.9	63.5	113.25		90.8		2.0		107.90909	38.5			157.11111	87.0	16.5	24.0		29.0	86.375	47.833333	105.35714	63.0	107.85714	34.0	98.4	59.833333	32.75	287.55556	132.14286	92.0	628.7	44.333333			40.0	9.0	71.666667		121.25	161.66667	65.5				0.3333333	0.0	0.6	10	0.41	2012	"FN"	2015
"2015-FS"	80.125	20.0	48.0		132.0			2.0	111.6	17.125	73.888889		255.56522		41.0	69.733333	33.0	53.857143		54.25	233.85714	76.333333	62.0	38.470588	107.2	58.0	25.0	32.0	41.6		133.72222	49.0	4.0	81.6	93.0			15.0	47.25		18.0	62.1	7.0	22.666667	12.0			100.77778	17.333333	62.4	12.0	7.5		217.44444		62.0	12.0	9.0909091				73.555556			4.0	41.3125	9.0		20.909091	16.0	9.0	63.666667	52.2	79.454545		26.0	35.0	67.0	34.5	29.5	145.0	73.636364	39.190476	183.95833	69.75			50.0		118.33333		46.0	141.16667	42.0			35.0	0.4285714	0.0	0.5714286	7	0.67	2012	"FS"	2015
"2015-GN"	58.928571	20.0	26.0	53.333333	55.0	58.0	15.0		74.833333	22.272727	53.823529		146.01852	54.0		45.916667	45.4	66.111111		55.083333	270.0	104.16667	32.0	45.75	300.44444		11.25	67.0	56.422222		71.783784	34.666667	14.75	98.130435	61.0				45.0	7.0	26.5	105.0		9.3333333	17.5		6.0	107.63636	10.5	576.35294	9.8333333	51.0	5.0	75.270833	47.5	67.0	24.166667	75.75		21.0		79.222222				94.761905		9.5	17.866667	13.75	7.4545455	190.5	75.0	62.782609	20.0	61.333333	30.75	37.666667	42.583333	26.666667	148.92308	100.11765	71.243243	296.57534	28.875	42.0	14.0	44.666667		61.609756		49.0	102.0	34.6875				0.6	0.0	0.2727273	11	0.49	2012	"GN"	2015
"2015-GS"	91.6	85.0	16.0	14.0	22.0	210.0			55.2		36.8		453.1		52.5	50.466667	14.0	27.272727		32.9375	167.0	47.0	50.5	46.913043	60.25	29.0	16.5	18.0	46.913043		75.15	33.333333	4.5	37.833333	20.5			43.0	5.0			118.75	6.3333333	10.5	14.0			36.6	12.9	63.909091	8.0	161.5	14.0	187.16667	61.5	34.0	21.5	38.5				31.769231	20.5		3.0	42.833333	12.0		11.428571		7.5	124.6	44.666667	149.0		59.75	42.0		36.875	39.444444	207.83333	55.733333	33.666667	185.0	74.333333			62.0	69.75	75.615385		32.5	38.0	66.294118				0.4444444	0.0	0.7777778	9	0.66	2012	"GS"	2015
"2015-HE"	130.36364	21.6		175.33333	123.0	73.0	7.0	23.0	172.8		83.083333		1090.4167		177.5	115.64286	53.571429	117.22222		89.384615	192.88235	21.5	27.25	34.869565	105.75	79.25			83.913043		501.22222	48.666667	9.5	69.727273	23.75	47.0			92.0	39.0	49.0	87.285714			7.0		5.0	88.666667		134.125	17.666667			389.71429	38.0		32.0	82.6				74.777778			9.0	56.785714	19.0	35.0				98.666667	15.0	34.238095	5.0	119.75	80.5	93.0	37.2	63.0	88.666667	56.5	38.93617	1120.8889	196.33333			53.5		60.5		16.5	25.25	114.93333			15.0	0.3636364	0.0	0.5454546	11	0.47	2012	"HE"	2015
"2015-HW"	61.25	76.666667	10.0	42.8	46.666667	74.5	74.0	11.0	74.230769	23.166667	98.363636		330.2	102.33333	108.5	93.529412	82.571429	71.6		117.8	151.66667	49.2	50.0	65.8	311.81818	23.25	23.5	59.5	143.0		101.93548	40.0	83.0	91.818182	39.0	37.5		34.5	18.0		30.0	95.166667			42.666667			33.0	24.5	80.0				117.69231	37.0	39.666667		45.5		51.0		81.142857	50.5			87.2		44.0	14.1	34.0	18.142857	34.555556	71.8	110.2381	40.0	126.83333	29.6	88.5	69.875	96.0	115.88889	171.5	94.8	1337.0	63.0			36.0		80.5		68.0	87.0	146.25				0.4	0.0	0.6666667	6	0.68	2012	"HW"	2015
"2015-KE"	249.83333	76.8	33.333333	57.5	98.071429	64.0	26.4		87.571429	19.375	56.214286		753.90909	86.0	19.5	95.0	24.555556	74.888889		41.263158	119.45	29.833333	51.0	67.480769	44.333333	57.5	94.5	2.0	56.454545		593.28571	54.5	45.5	86.076923	18.125			15.0	60.333333			76.5	17.0		20.2	85.0		87.0		42.583333	11.0	63.0		533.14286	11.0	69.0	22.272727	64.444444		48.5		47.916667	45.5		14.0	61.5	17.666667	28.0			14.0	228.28571	86.142857	140.88889	30.333333	20.333333	93.166667	70.0	41.0	52.4	104.0	96.55	27.053571	157.71523	26.363636		16.0	68.0	17.0	117.71429		40.75	71.4	96.545455	3.0			0.2	0.0	0.7333333	15	0.67	2012	"KE"	2015
"2015-KW"	463.83333	60.0	126.33333	83.5	49.5	23.0	61.0		33.0	13.384615	121.0		763.90909		34.0	298.83333	25.75	83.285714		80.857143	865.28571	75.5	28.0	65.714286	32.6	44.0	46.0	27.0	418.14286		1058.8333	38.5	10.0	88.9				17.5	67.4	87.0		168.0	8.0				12.0	111.4		73.166667		70.0		387.0	30.0	59.5		128.6		89.0		72.714286	96.0			136.71429		69.333333				226.33333	79.75	196.33333	56.0	42.2	140.6	64.5	90.4	100.0	35.6	207.83333	59.571429	1957.2857	287.33333			75.75	107.5	176.0		61.0	103.83333	310.375				0.25	0.0	0.3846154	13	0.66	2012	"KW"	2015
"2015-L"	181.88889	114.125	8.0	30.666667	152.88889	16.0	94.166667	34.0	168.125	19.545455	115.55556		1354.1111	150.28571	309.5	200.125	64.125	99.714286		140.72222	93.1875	69.142857		778.75	71.714286	14.0	17.0	15.0	137.33333	12.2	374.88889	60.5	21.5	43.111111	106.0			26.0	25.5	85.0	68.0	54.25	22.8		20.384615	56.0	20.341463	144.25	22.0	42.491228		14.0		1245.3333	59.5	902.77778		124.07692		4.0		99.222222	41.0		18.142857	92.964286	30.0	70.0				122.0	125.16667	509.77778	14.5	149.77778	54.714286	371.625	56.0	48.583333	857.33333	196.33333	48.980769	9765.5	114.44444		27.0	74.142857	46.333333	504.88889		62.5	205.44444	176.8125	14.666667			0.2	0.0	0.6666667	15	0.29	2012	"L"	2015
"2015-ME"	42.0	75.5		33.75	51.818182	38.0	17.666667	12.0	39.333333	12.564444	30.5		58.805556		49.0	162.85714	39.5	37.625	2.0	18.470588	49.0	88.0	9.0	413.33333	29.0	2.0			138.41667		184.88889	49.75	14.0	39.25		45.0		89.0	33.6	8.0	7.0	432.0	5.9787234	18.666667	25.75	11.994778	17.0	41.310481	13.809617	28.510843	25.0	43.75		82.695652		43.0		38.0		16.0		66.666667			1.0	47.777778	100.0	20.333333	8.0		20.0	55.0	35.5	1666.0	29.0	20.4	129.6	65.166667	30.5		22.2	72.333333	80.0	969.2	27.0	12.0				150.66667		100.0	26.5	60.4				0.4615385	0.0	0.3846154	13	0.05	2012	"ME"	2015
"2015-MW"	55.941176	14.5	25.666667	25.25	47.192308	25.333333	22.9		135.33333	23.136364	118.14286		41.714286	36.5	12.0	79.0	30.25	54.428571		32.272727	162.33333	78.5	26.0	36.018182	47.666667	8.6666667	6.0	19.6	54.928571		62.807692	14.666667	43.333333	43.0	30.714286			29.333333	81.6	13.0		135.46417	10.91	5.25	21.160377	611.66667	18.4	26.924259	7.129666	152.33333	2.4254902	1151.4444	3.0	63.324324	26.0	32.0	27.25	79.4				48.571429			68.0	42.875	6.5	16.0	7.9375	8.375	6.5	57.333333	47.25	84.72973		12.0	31.818182	41.0	67.333333	54.5	44.2	103.4	39.294118	179.88889	144.5			41.666667	24.0	47.0		33.5	37.333333	60.25			1.0	0.1666667	0.0	0.75	8	0.33	2012	"MW"	2015
"2015-N"	105.13636	98.125	44.333333	120.83333	41.142857	79.0	45.333333	10.0	85.125	20.0	50.0		425.14286	57.333333	66.6	82.153846	14.333333	88.6		114.91667	631.22222	69.0		593.66667	189.44444	9.5	40.5	33.5	100.86667		387.25	77.4	90.0	93.888889	6.0			6.0	70.5			219.55556		16.0		54.0		331.5	19.0	80.777778		77.5		364.84615	83.0	46.333333		133.0		27.333333		88.545455	47.0		12.5	69.285714	37.5	46.0	10.235294	10.5	11.571429	152.25	69.25	148.375	54.0	168.1	76.333333	74.333333	24.545455	103.33333	135.57143	94.777778	33.849315	1310.5556	135.0			95.8	61.5	163.875		8.0	178.14286	176.26316				0.1818182	0.0	0.5	12	0.52	2012	"N"	2015
"2015-PN"	450.11111	51.0	68.5	118.83333	101.4	145.33333	110.5		81.25	21.545455	154.75		254.48148	74.333333	95.0	120.96667	31.0	73.555556		96.736842	108.25352	148.0	80.5	131.84615	241.875	73.0	62.25	34.5	116.02941		388.81818	147.0	52.5	57.909091	42.6	21.0		39.0	94.333333	5.0	72.5	85.461538	16.6	16.666667	10.75		10.0	73.307692	23.5	167.44444		13.0		366.05882	72.333333	41.333333	22.8	51.3				115.05556	63.2		28.8	90.461538		54.666667		32.0	7.0	294.0	52.666667	255.92308		151.71429	157.71429	133.14286	34.25	34.916667	221.42857	233.90909	79.105263	418.97015	85.75			128.0	82.0	240.66667		62.333333	100.71429	83.833333				0.1333333	0.0	0.3125	16	0.47	2012	"PN"	2015
"2015-PS"	222.8	34.0	37.5	125.2	103.0	47.5	79.666667	13.0	63.428571	27.142857	83.857143		360.47059	150.0	139.0	136.76923	38.125	60.125		75.928571	127.36957	50.166667	57.0	106.09091	177.14286	40.0	106.0		93.333333	41.0	311.0	75.5	25.5	46.571429	76.0			65.0	41.0		47.666667	99.785714	35.0	12.0	4.5		15.0	179.9	36.5	67.692308	31.0	55.5		301.8125		66.714286	37.0	30.714286		30.0		150.875	76.666667		52.0	59.625	15.0	56.0			27.166667	253.75	24.666667	315.55556	62.0	81.75	107.0	72.333333	42.625	55.375	126.16667	184.0	88.484848	154.84091	79.333333			44.75	53.0	156.42857			193.28571	91.428571				0.5	0.0	0.625	8	0.59	2012	"PS"	2015
"2015-RC"	281.0	20.8	55.5	95.0	45.5	72.0	205.0		104.16667	2.3333333	122.91667		1028.3333	108.0	127.0	143.0	31.6	101.375		187.875	534.1	33.0	97.666667	45.354839	203.44444	67.0	33.0	86.0	198.09091		571.0	73.8	18.0	130.4	39.0				59.0		74.666667	159.125						61.0		93.375	33.0		22.5	303.77778	61.0	51.333333		81.0		43.0		93.375	102.66667		143.0	102.625		62.5				108.0	41.333333	295.94444	62.0	103.5	77.25	129.85714	61.0	70.0	294.85714	288.625	75.0	1428.3333				74.5	76.0	77.777778		93.5	56.6	228.2				0.0	0.0	0.6	10	0.84	2012	"RC"	2015
"2015-RN"	108.0	28.0	55.0	30.666667	55.8		22.0	12.0	46.5		43.125		439.33333		62.0	83.0		34.25	5.0	35.0	152.71429	54.6		81.444444	50.6	63.0		23.5	156.0		203.77778		14.0	143.55556	47.5				77.0			113.11111			37.0	39.0		71.0		43.8				121.77778		143.0		26.909091				64.333333				41.555556						65.714286	35.25	174.44444	53.5	49.25	51.5	81.666667	10.5	78.25	76.166667	91.111111	57.272727	769.77778	103.4			37.0	56.0	85.25		47.666667	52.666667	79.266667				0.1428571	0.0	0.5714286	7	0.69	2012	"RN"	2015
"2015-RS"	286.81818	30.363636	85.25	217.25	80.2	39.75	48.5		65.285714		54.538462		588.46154	69.5	141.0	188.33333	52.166667	85.777778		130.88889	165.1875	55.666667	41.0	149.8125	107.71429	67.0	72.0	33.5	67.552632		340.33333	63.0	83.0	107.44444	57.0	8.0			33.75			176.0			14.4			61.0		143.77778				429.88889	95.0	91.428571		65.333333		43.5		89.571429	38.666667			144.0		44.0			2.0	211.22222		298.22222	41.5	126.28571	115.5	74.375	182.5	64.25	142.0	226.77778	107.94444	1898.8889				43.333333		88.166667		19.5	70.166667	185.25				0.5454546	0.0	0.4545455	11	0.54	2012	"RS"	2015
"2015-S"	164.42857	60.45	55.0	104.25	71.0	54.5	100.0		248.83333		30.583333		273.29412	77.0	82.5	59.086957	55.5	125.14286		159.22222	243.375	29.0	61.666667	66.344828	203.0	65.5	49.333333	54.0	62.116667		191.15385	59.333333	28.5	322.55556	14.818182	38.0		25.5	104.57143		23.0	58.25		21.0	21.8		3.0	84.428571	35.666667	383.44444	13.857143	75.333333	9.5	378.08333		76.5		127.75		22.0		73.636364	46.0			199.44444		24.0	28.25		40.833333	190.55556	52.75	49.971429	90.333333	109.25	68.375	88.875	62.0	106.0	165.42857	100.0	39.724138	858.5	169.5			96.75		129.33333		56.333333	97.714286	197.83333				0.4615385	0.0	0.2307692	13	0.51	2012	"S"	2015
"2015-T"	211.44444	47.0	48.0		8.0	60.333333	15.0		27.625	9.5	104.71429		200.0		73.0	79.428571	6.0	39.666667		65.0	48.518519	47.0		103.625	209.66667	147.0		50.0	97.625		419.33333		51.0	57.7	65.666667	10.0			41.0	37.0		76.5	27.0		16.5			50.5		103.66667	9.8571429	43.0	11.0	148.625	37.0	31.333333		70.2				76.142857				48.5	53.5					113.14286	38.4	164.63636	9.0	38.0	79.5	104.14286	48.4	17.5	52.857143	138.83333	33.35	663.28571	47.0					83.0		19.5	75.666667	64.6				0.6	0.0	0.5	6	0.76	2012	"T"	2015
"2016-A"	17.782609	4.0	16.0	18.333333	9.5	13.5		24.0	12.315789		10.888889	23.0	12.438202			11.52		8.9375	18.0	11.647059	11.780488	2.0	22.5	6.1818182	14.0			23.5	11.410714		20.806452			12.8	11.0	2.0	18.625	4.0	23.25	24.333333	51.0	16.0			5.5			40.0					14.25	14.526316				6.5	17.666667	6.0		13.111111	13.0			12.6	11.0			14.125	14.777778	16.777778	17.0	6.3846154	6.0	8.6	12.0	16.0	15.5	16.142857	19.0	9.8	15.0	10.333333		3.0		40.0		12.894737	4.6666667	6.2777778	23.4	18.2	11.5	14.0	17.444444	0.5	0.0	0.5	4	0.58	2012	"A"	2016
