ward	reservation_status	party	sex	name	age	education_level	professional_education	pan_card	no_of_criminal_cases	new_fir	total_funds	score	gbm_attended	total_gbms	ward_attendance	total_ward_meetings	other_meetings	total_other_meetings	year	chargesheet	dob	votes	data_discrepancy	runner_up_party	margin	conditionofroads	trafficjamscongestionofroads	availabilityofpublicgardensopenp	availabilityofpublictransportfac	availabilityoffoodthroughrations	hospitalsandothermedicalfaciliti	appropriateschoolsandcolleges	powersupply	watersupply	waterloggingduringrainyseason	pollutionproblems	instancesofcrime	lawordersituation	cleanlinesssanitationfacilities	recallforpartynametowhichthecorp	recallfornameofthecorporator	accesibilityofthecorporator	satisfactionwiththecorporator	curruption	improvmentinlifestyle	samplesize	availabilityoffootpathsandpedest	animalhusbandry	buildings	mmrda	mhada	colonyofficer	disastermanagement	drainage	estate	footpaths	garden	license	firebrigaderelated	mcgmrelated	municipalpropertycolonies	negligenceindutyofmcgmofficialss	compensationrehabilitation	govermentmunicipalplotmarketrela	humanresourcesrelated	infrastructureequipmentsgovernme	infrastructuredevelopementunderd	issueofbirthdeathcertificates	miscellaneousissuesrelated	mmrdarelated	nuisanceduetostraydogsmonkeysetc	unauthorizedslaughterofanimals	pestcontrol	pollution	roads	shopandestablishment	solidwastemanagementswm	stormwaterdrainageswd	toilet	v83	schemespoliciesincivicissues	foodrationingschemes	schemespoliciesincommunitywelfar	anganwadibalwadicrecherelated	cemeteriescrematoriumrelated	communitydevelopmentrelated	communitytemple	constructionandmaintaininggymnas	constructionofcommunityhall	constructionimprovementofcommuni	playgroundmeterialequipmentrelat	playgroundrelated	providingandfixingprotectiveandc	providingandfixingshahabadladi	recreationalgroundrelated	repairandconstructionoflibraryst	slumdevelopementrelated	slumrehabilitationauthoritysrare	sportscomplexsportsrelated	washingplaces	seniorcitizensdisabledpersonsrel	crime	educationother	municipalschool	schemespoliciesineducation	electricity	energyother	forest	healthinfrastructureequipmentsfa	healthother	schemespoliciesonhealthmortality	sensitivediseases	industries	irrigation	legalsystem	mining	otherissuesrelated	schemespoliciesinotherissuesrela	revenueother	directtax	octroi	taxevasions	taxexemption	taxrelated	scamscorruption	schemespolicies	socialculturalconcernsother	namingrenamingofroadschowksmonum	roadtransport	tansportother	term	newid	adminward	slum	woman	reservation_facebook	genderquota	caste_quota	castenum	lowcaste	criminal	attend_corp	attend_ward	total_attend	funds_prop	attend_univ	pancard	Importanceofquestionsaskedby	QuestionsaskedcomparedtoCiti	q_corporation	q_crimecorrupt	q_culture	q_distribution	q_education	q_health	q_housing	q_humanres	q_license	q_otherinfrastructure	q_pollution	q_recreationcommunity	q_renaming	q_tax	q_transport	q_watertoilets	q_other	total_questions	party_grouped	partynum	sena	rich	richgender	poor	poorgender	slum_gender
2	"W"	"SS"	"Female"	"Sheetal Mukesh Mhatre"	42	"B.A."	"Public Relation and Journalism"	"Yes"	0		5975323.0		68	74	14	18	41	51	2016							72.812	75.363	76.635	83.909	78.075	81.999	83.279	84.098	78.177	67.55	65.913	70.006	75.007	75.372	45.5	50.9	62.123333	76.165	71.0675	65.91			0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	2	0	0	0	1	0	0	0	2	2	2	0	1	0	1		0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	3	4	0	0	0	4	5	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2012.0	335.0	"R/N"	0.47	1.0	"OBC-W"	1.0	"OBC"	2	1.0	0.0	0.9189189	0.7777778	0.924812	0.49794358	1.0	1.0	10.775510204081632	1.7616119975834248	0.040816326	0.0	0.0	0.0	0.1632653	0.3469388	0.06122449	0.040816326	0.0	0.0	0.10204082	0.06122449	0.040816326	0.0	0.040816326	0.020408163	0.08163265	49.0	"SS"	5	1.0	1.0	1.0	0.0	0.0	0.47
2	"G"	"BJP"	"Male"	"Jagdish Karunashankar Oza"	51	"HSC"		"Yes"	0		4856220.5		97	102	36	36	29	37	2018		24592	"10719"		"SS"	"2795"	64.896	66.798	67.652	77.548		75.275	73.172	75.426	71.272	64.044	74.934	70.362	73.268	81.21	88.8	99.2	71.46667	29.43	98.36	90.155		71.025	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2017.0	336.0	"R/N"	0.47	0.0		0.0	"G"	1	0.0	0.0	0.95098037	1.0	0.9700599	0.8093701	0.0	1.0	7.356	3.1179775280898876	0.14285715	0.0	0.0	0.0	0.0	0.0	0.42857143	0.0	0.0	0.0	0.0	0.2857143	0.14285715	0.0	0.0	0.0	0.0	7.0	"BJP"	1	0.0	1.0	0.0			0.0
3		"INC"	"Male"	"Rajendra Prasad Chaube"									44	51	19	19	59	75	2011			"7107"		"SS"	"2767"	72.881	59.817	69.573	72.437		72.684	72.471	76.971	68.606	54.362	55.571	52.632	66.685	62.817					67.8225		133		0	4	0	0	0	0	0	0	0	0	1	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	1	1	0	2007.0	451.0	"R/N"	0.47	0.0		0.0			1.0		0.8627451	1.0	0.9457364				11.225806451612904	6.042471042471043	0.12903225	0.09677419	0.0	0.12903225	0.06451613	0.06451613	0.22580644	0.0	0.032258064	0.0	0.032258064	0.0	0.032258064	0.032258064	0.09677419	0.06451613	0.0	31.0	"INC"	2	0.0	1.0	0.0	0.0	0.0	0.0
3	"W"	"INC"	"Female"	"Sheetal Ashok Mhatre (Kulkarni)"	35	"B.Arch."		"Yes"	0	2	5424631.5		43	70	12	19	63	87	2013	1		"7576"		"SS"	"1418"	69.485	65.308	62.499	77.7	66.758	67.771	66.425	78.427	73.72	61.153	57.941	58.832	60.615	62.511	30.4	42.1	62.01	75.755	62.905	71.67			0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	2012.0	452.0	"R/N"	0.47	1.0	"W"	1.0	"G"	1	0.0	0.0	0.6142857	0.6315789	0.7763158	0.90410525	1.0	1.0	14.875	1.912374185908822	0.125	0.125	0.0625	0.25	0.0	0.0625	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0625	16.0	"INC"	2	0.0	1.0	1.0	0.0	0.0	0.47
3	"W"	"INC"	"Female"	"Sheetal Ashok Mhatre (Kulkarni)"	36	"B.Arch."		"Yes"	0	2	1.0908E7		46	65	9	17	83	124	2014							48.049	47.386	33.349	52.018	46.543	49.066	54.596	54.639	46.683	45.237	46.593	43.316	47.187	43.698	12.8	26.6	47.066666	44.3975	69.5925	59.2475			0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0		1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012.0	452.0	"R/N"	0.47	1.0	"W"	1.0	"G"	1	0.0	0.0	0.7076923	0.5294118	0.8363636	0.909	1.0	1.0	15.8	3.486441615938019	0.2	0.0	0.0	0.1	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.2	0.0	0.0	10.0	"INC"	2	0.0	1.0	1.0	0.0	0.0	0.47
3	"W"	"INC"	"Female"	"Sheetal Ashok Mhatre (Kulkarni)"	37	"B.Arch."		"Yes"	0	2	4439000.0		38	79	9	19	86	166	2015							64.183	52.763	43.751	76.063	44.68	62.327	76.71	78.984	73.465	55.877	57.737	44.778	52.915	55.699	62.9	74.1	62.286667	76.3775	86.5875	72.1075			0	2	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2012.0	452.0	"R/N"	0.47	1.0	"W"	1.0	"G"	1	0.0	0.0	0.48101267	0.47368422	0.72282606	0.73983335	1.0	1.0	12.0	4.1806853582554515	0.083333336	0.0	0.16666667	0.0	0.0	0.0	0.41666666	0.0	0.083333336	0.0	0.0	0.083333336	0.0	0.083333336	0.0	0.083333336	0.0	12.0	"INC"	2	0.0	1.0	1.0	0.0	0.0	0.47
3	"W"	"INC"	"Female"	"Sheetal Ashok Mhatre (Kulkarni)"	38	"B.Arch."		"Yes"	0	2	4671345.5		46	74	3	18	65	140	2016	1						78.598	76.872	75.715	79.259	76.683	78.267	78.267	77.474	78.666	77.99	75.673	75.397	76.806	75.208	2.0	40.0	64.66	75.165	80.6125	70.0075			0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2012.0	452.0	"R/N"	0.47	1.0	"W"	1.0	"G"	1	0.0	0.0	0.6216216	0.16666667	0.72611463	0.3892788	1.0	1.0	9.0	4.284749686505257	0.083333336	0.16666667	0.0	0.0	0.0	0.0	0.33333334	0.16666667	0.0	0.0	0.083333336	0.0	0.0	0.083333336	0.083333336	0.0	0.0	12.0	"INC"	2	0.0	1.0	1.0	0.0	0.0	0.47
3	"G"	"SS"	"Male"	"Balkrishna Jaysingh Brid"	55	"SSC"		"Yes"	1	1	5232269.0		90	102	32	36	10	15	2018	1	23234	"5193"		"Congress"	"228"	61.852	66.009	69.415	74.952		79.622	81.793	82.76	84.04	78.569	76.928	81.013	79.825	78.626	79.2	92.7	54.27667	54.33	76.2275	75.5125		63.452	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017.0	453.0	"R/N"	0.47	0.0		0.0	"G"	1	0.0	1.0	0.88235295	0.8888889	0.8918919	0.87204486	0.0	1.0	10.734545454545454	2.2134831460674156	0.0	0.0	0.0	0.0	0.0	0.0	0.18181819	0.09090909	0.0	0.0	0.09090909	0.0	0.0	0.0	0.36363637	0.27272728	0.0	11.0	"SS"	5	1.0	1.0	0.0			0.0
4	"W"	"SS"	"Female"	"Bhavana Bhalchandra Bhagat "									47	51	18	19	12	13	2011			"7114"		"MNS"	"2106"	70.391	69.453	67.228	66.504		71.661	66.11	69.43	66.865	62.033	62.762	62.622	63.573	64.897					53.1425		119		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2007.0	484.0	"R/N"	0.47	1.0		1.0	"G"	1	0.0		0.92156863	0.94736844	0.9390244				11.6	3.9980694980694977	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.0	5.0	"SS"	5	1.0	1.0	1.0	0.0	0.0	0.47
4		"SS"	"Male"	"Udesh Shantaram Patekar"	45	"S.Y.B.Com."		"Yes"	1	1	5044965.0		69	70	17	19	21	25	2013	1		"8747"		"MNS"	"319"	71.59	67.891	66.508	71.041	69.513	67.344	69.412	72.356	71.607	61.858	60.352	59.248	66.839	67.52	34.1	40.1	64.816666	71.6175	73.8825	72.27			0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2012.0	485.0	"R/N"	0.47	0.0	"G"	0.0	"G"	1	0.0	1.0	0.98571426	0.8947368	0.9727273	0.8408275	1.0	1.0	14.0	3.4889621923369702	0.0	0.09090909	0.0	0.18181819	0.0	0.0	0.09090909	0.0	0.09090909	0.0	0.0	0.0	0.0	0.0	0.18181819	0.27272728	0.09090909	11.0	"SS"	5	1.0	1.0	0.0	0.0	0.0	0.0
4		"SS"	"Male"	"Udesh Shantaram Patekar"	46	"S.Y.B.Com."		"Yes"	1	1	1.0956E7		61	65	14	17	10	14	2014							51.784	48.055	34.932	56.003	45.447	49.629	51.625	55.024	46.786	41.937	39.463	42.996	43.832	40.943	2.8	16.7	41.18	45.7575	64.615	69.35			1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	9	0	0	0	0	2	0	0	0	0	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012.0	485.0	"R/N"	0.47	0.0	"G"	0.0	"G"	1	0.0	1.0	0.93846154	0.8235294	0.92391306	0.913	1.0	1.0	10.8	4.921337655150603	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.1	0.15	0.15	20.0	"SS"	5	1.0	1.0	0.0	0.0	0.0	0.0
