state,year,district,block,seat_no,seat_id_printed,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,printings_agree,script,source_path,source_page
West Bengal,2018,Cooch Behar,Sitalkuchi,17,Sitalkuchi/ZP-17,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Sitalkuchi,18,Sitalkuchi/ZP-18,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Sitalkuchi,19,Sitalkuchi/ZP-19,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Sitai,20,Sitai/ZP-20,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Sitai,21,Sitai/ZP-21,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Dinhata-I,22,Dinhata-I/ZP-22,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Dinhata-I,23,Dinhata-I/ZP-23,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Dinhata-I,24,Dinhata-I/ZP-24,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Dinhata-II,25,Dinhata-II/ZP-25,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Dinhata-II,26,Dinhata-II/ZP-26,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Dinhata-II,27,Dinhata-II/ZP-27,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Tufanganj-I,28,Tufanganj-I/ZP-28,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Tufanganj-I,29,Tufanganj-I/ZP-29,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Tufanganj-I,30,Tufanganj-I/ZP-30,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,3
West Bengal,2018,Cooch Behar,Tufanganj-II,31,Tufanganj-II/ZP-31,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,4
West Bengal,2018,Cooch Behar,Tufanganj-II,32,Tufanganj-II/ZP-32,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,4
West Bengal,2018,Cooch Behar,Tufanganj-II,33,Tufanganj-II/ZP-33,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,4
West Bengal,2018,Alipurduar,Kumargram,1,Kumargram/ZP-1,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,1
West Bengal,2018,Alipurduar,Kumargram,2,Kumargram/ZP-2,zp_member,zilla parishad member,ST Woman,ST,1,ST WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Kumargram,3,Kumargram/ZP-3,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Alipurduar-II,4,Alipurduar-II/ZP-4,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Alipurduar-II,5,Alipurduar-II/ZP-5,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Alipurduar-II,9,Alipurduar-II/ZP-9,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Kalchini,6,Kalchini/ZP-6,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Kalchini,7,Kalchini/ZP-7,zp_member,zilla parishad member,ST Other than Woman,ST,0,ST,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Kalchini,8,Kalchini/ZP-8,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Alipurduar-I,10,Alipurduar-I/ZP-10,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Alipurduar-I,11,Alipurduar-I/ZP-11,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Alipurduar-I,12,Alipurduar-I/ZP-12,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Falakata,13,Falakata/ZP-13,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Falakata,14,Falakata/ZP-14,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Falakata,15,Falakata/ZP-15,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,2
West Bengal,2018,Alipurduar,Madarihat,16,Madarihat/ZP-16,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,3
West Bengal,2018,Alipurduar,Madarihat,17,Madarihat/ZP-17,zp_member,zilla parishad member,ST Woman,ST,1,ST WOMEN,1,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,3
West Bengal,2018,Alipurduar,Madarihat,18,Madarihat/ZP-18,zp_member,zilla parishad member,ST Other than Woman,ST,0,ST,0,latin,data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,3
West Bengal,2018,Jalpaiguri,Dhupguri,1,Dhupguri/ZP-1,zp_member,zilla parishad member,ST Other than Woman,ST,0,ST,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,1
West Bengal,2018,Jalpaiguri,Dhupguri,2,Dhupguri/ZP-2,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Dhupguri,3,Dhupguri/ZP-3,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Maynaguri,4,Maynaguri/ZP-4,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Maynaguri,5,Maynaguri/ZP-5,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Maynaguri,6,Maynaguri/ZP-6,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Jalpaiguri Sadar,7,Jalpaiguri Sadar/ZP-7,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Jalpaiguri Sadar,8,Jalpaiguri Sadar/ZP-8,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Jalpaiguri Sadar,9,Jalpaiguri Sadar/ZP-9,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Rajganj,10,Rajganj/ZP-10,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Rajganj,11,Rajganj/ZP-11,zp_member,zilla parishad member,Other than Woman,NONE,0,,0,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,Rajganj,12,Rajganj/ZP-12,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,2
West Bengal,2018,Jalpaiguri,MaI,13,Mal/ZP-13,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3
West Bengal,2018,Jalpaiguri,MaI,14,Mal/ZP-14,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3
West Bengal,2018,Jalpaiguri,MaI,15,Mal/ZP-15,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3
West Bengal,2018,Jalpaiguri,Matiali,16,Matiali/ZP-16,zp_member,zilla parishad member,ST Woman,ST,1,ST WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3
West Bengal,2018,Jalpaiguri,Matiali,17,Matiali/ZP-17,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3
West Bengal,2018,Jalpaiguri,Nagrakata,18,Nagrakata/ZP-18,zp_member,zilla parishad member,ST Other than Woman,ST,0,ST,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3
West Bengal,2018,Jalpaiguri,Nagrakata,19,Nagrakata/ZP-19,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3
West Bengal,2018,Uttar Dinajpur,Chopra,1,Chopra/ZP-1,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,0,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,1
West Bengal,2018,Uttar Dinajpur,Chopra,2,Chopra/ZP-2,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,1
West Bengal,2018,Uttar Dinajpur,Chopra,3,Chopra/ZP-3,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,1
West Bengal,2018,Uttar Dinajpur,Islampur,4,Islampur/ZP-4,zp_member,zilla parishad member,BC Woman,BC,1,BC WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Islampur,5,Islampur/ZP-5,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Islampur,6,Islampur/ZP-6,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Goalpokher-I,7,Goalpokher-I/ZP-7,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Goalpokher-I,8,Goalpokher-I/ZP-8,zp_member,zilla parishad member,BC Other than Woman,BC,0,BC,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Goalpokher-I,9,Goalpokher-I/ZP-9,zp_member,zilla parishad member,BC Woman,BC,1,BC WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Goalpokher-II,10,Goalpokher-II/ZP-10,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Goalpokher-II,11,Goalpokher-II/ZP-11,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Goalpokher-II,12,Goalpokher-II/ZP-12,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Karandighi,13,Karandighi/ZP-13,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Karandighi,14,Karandighi/ZP-14,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Karandighi,15,Karandighi/ZP-15,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Hemtabad,16,Hemtabad/ZP-16,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Hemtabad,17,Hemtabad/ZP-17,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,2
West Bengal,2018,Uttar Dinajpur,Kaliyaganj,18,Kaliyaganj/ZP-18,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Kaliyaganj,19,Kaliyaganj/ZP-19,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Kaliyaganj,20,Kaliyaganj/ZP-20,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Raiganj,21,Raiganj/ZP-21,zp_member,zilla parishad member,Other than Woman,NONE,0,,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Raiganj,22,Raiganj/ZP-22,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Raiganj,23,Raiganj/ZP-23,zp_member,zilla parishad member,ST Other than Woman,ST,0,ST,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Itahar,24,Itahar/ZP-24,zp_member,zilla parishad member,BC Woman,BC,1,BC WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Itahar,25,Itahar/ZP-25,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,1,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Uttar Dinajpur,Itahar,26,Itahar/ZP-26,zp_member,zilla parishad member,BC Other than Woman,BC,0,BC,0,latin,data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,3
West Bengal,2018,Dakshin Dinajpur,Kushmandi,1,Kushmandi/ZP-1,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,1
West Bengal,2018,Dakshin Dinajpur,Kushmandi,2,Kushmandi/ZP-2,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,1
West Bengal,2018,Dakshin Dinajpur,Gangarampur,3,Gangarampur/ZP-3,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Gangarampur,4,Gangarampur/ZP-4,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Gangarampur,5,Gangarampur/ZP-5,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Kumarganj,6,Kumarganj/ZP-6,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Kumarganj,7,Kumarganj/ZP-7,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Balurghat,8,Balurghat/ZP-8,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Balurghat,9,Balurghat/ZP-9,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Balurghat,10,Balurghat/ZP-10,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Hili,11,Hili/ZP-11,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Tapan,12,Tapan/ZP-12,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Tapan,13,Tapan/ZP-13,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Tapan,14,Tapan/ZP-14,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Harirampur,15,Harirampur/ZP-15,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
West Bengal,2018,Dakshin Dinajpur,Harirampur,16,Harirampur/ZP-16,zp_member,zilla parishad member,ST Woman,ST,1,ST WOMEN,,latin,data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,2
